time,Boston,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Hill vs. A. Johnson (M. Ellis gains possession),,,,Jump ball: J. Hill vs. A. Johnson (M. Ellis gains possession)
11:47.0,,,0-0,,P. George misses 3-pt shot from 25 ft
11:46.0,,,0-0,,Offensive rebound by J. Hill
11:44.0,,,0-2,2,J. Hill makes 2-pt shot from 1 ft
11:29.0,Shooting foul by M. Ellis (drawn by A. Bradley),,0-2,,
11:29.0,A. Bradley makes free throw 1 of 2,1,1-2,,
11:29.0,A. Bradley makes free throw 2 of 2,1,2-2,,
11:08.0,,,2-2,,P. George misses 3-pt shot from 25 ft
11:06.0,Defensive rebound by A. Johnson,,2-2,,
11:01.0,Turnover by J. Crowder (bad pass),,2-2,,
10:41.0,,,2-2,,J. Hill misses 2-pt shot from 19 ft
10:40.0,Defensive rebound by A. Bradley,,2-2,,
10:33.0,J. Sullinger misses 2-pt shot from 1 ft,,2-2,,
10:33.0,,,2-2,,Defensive rebound by J. Hill
10:15.0,,,2-4,2,M. Ellis makes 2-pt shot from 13 ft
9:56.0,J. Crowder makes 2-pt shot from 2 ft (assist by J. Sullinger),2,4-4,,
9:44.0,Personal foul by A. Bradley (drawn by P. George),,4-4,,
9:37.0,,,4-4,,M. Ellis misses 2-pt shot from 19 ft
9:36.0,,,4-4,,Offensive rebound by P. George
9:23.0,,,4-4,,P. George misses 2-pt shot from 15 ft
9:22.0,Defensive rebound by J. Sullinger,,4-4,,
9:17.0,A. Bradley makes 3-pt shot from 27 ft (assist by I. Thomas),3,7-4,,
8:58.0,,,7-4,,J. Hill misses 2-pt shot from 15 ft
8:57.0,Defensive rebound by A. Bradley,,7-4,,
8:51.0,Turnover by A. Johnson (offensive goaltending),,7-4,,
8:36.0,,,7-6,2,L. Allen makes 2-pt shot from 2 ft (assist by M. Ellis)
8:27.0,A. Bradley misses 2-pt shot from 16 ft,,7-6,,
8:26.0,,,7-6,,Defensive rebound by J. Hill
8:17.0,,,7-6,,Turnover by L. Allen (bad pass; steal by J. Sullinger)
8:12.0,I. Thomas makes 2-pt shot from 17 ft (assist by A. Bradley),2,9-6,,
7:51.0,,,9-6,,Shooting foul by A. Johnson (drawn by L. Allen)
7:51.0,,,9-7,1,L. Allen makes free throw 1 of 2
7:51.0,,,9-7,,L. Allen misses free throw 2 of 2
7:51.0,Defensive rebound by J. Crowder,,9-7,,
7:37.0,A. Bradley misses 3-pt shot from 24 ft,,9-7,,
7:37.0,,,9-7,,Defensive rebound by P. George
7:20.0,,,9-9,2,P. George makes 2-pt shot from 18 ft
7:12.0,Turnover by J. Sullinger (lost ball; steal by P. George),,9-9,,
6:58.0,,,9-11,2,L. Allen makes 2-pt shot from 16 ft (assist by G. Hill)
6:46.0,A. Bradley makes 2-pt shot from 17 ft (assist by A. Johnson),2,11-11,,
6:21.0,,,11-13,2,G. Hill makes 2-pt shot from 17 ft
6:07.0,A. Johnson misses 3-pt shot from 27 ft,,11-13,,
6:06.0,,,11-13,,Defensive rebound by M. Ellis
5:53.0,,,11-13,,G. Hill misses 2-pt shot from 17 ft
5:53.0,Defensive rebound by J. Sullinger,,11-13,,
5:47.0,I. Thomas misses 3-pt shot from 25 ft,,11-13,,
5:45.0,Offensive rebound by A. Bradley,,11-13,,
5:42.0,Boston full timeout,,11-13,,
5:42.0,K. Olynyk enters the game for J. Sullinger,,11-13,,
5:34.0,J. Crowder misses 3-pt shot from 25 ft,,11-13,,
5:33.0,,,11-13,,Defensive rebound by J. Hill
5:10.0,,,11-13,,Shooting foul by I. Thomas (drawn by P. George)
5:10.0,,,11-14,1,P. George makes free throw 1 of 2
5:10.0,,,11-15,1,P. George makes free throw 2 of 2
4:52.0,I. Thomas misses 2-pt shot from 12 ft,,11-15,,
4:51.0,,,11-15,,Defensive rebound by P. George
4:31.0,,,11-15,,M. Ellis misses 2-pt shot from 14 ft
4:29.0,Defensive rebound by K. Olynyk,,11-15,,
4:22.0,K. Olynyk misses 3-pt shot from 26 ft,,11-15,,
4:21.0,,,11-15,,Defensive rebound by M. Ellis
4:07.0,,,11-15,,Turnover by M. Ellis (bad pass; steal by J. Crowder)
4:02.0,Turnover by I. Thomas (bad pass),,11-15,,
3:48.0,,,11-15,,G. Hill misses 2-pt shot from 1 ft (block by K. Olynyk)
3:47.0,,,11-15,,Offensive rebound by J. Hill
3:44.0,,,11-15,,L. Allen misses 2-pt shot from 4 ft (block by K. Olynyk)
3:43.0,,,11-15,,Offensive rebound by L. Allen
3:29.0,,,11-15,,Shooting foul by A. Johnson (drawn by P. George)
3:29.0,,,11-16,1,P. George makes free throw 1 of 2
3:29.0,,,11-16,,R. Stuckey enters the game for G. Hill
3:29.0,,,11-16,,M. Turner enters the game for J. Hill
3:29.0,T. Rozier enters the game for I. Thomas,,11-16,,
3:29.0,T. Zeller enters the game for A. Johnson,,11-16,,
3:29.0,,,11-17,1,P. George makes free throw 2 of 2
3:14.0,K. Olynyk misses 2-pt shot from 11 ft,,11-17,,
3:13.0,Offensive rebound by T. Zeller,,11-17,,
3:11.0,T. Zeller misses 2-pt shot from 4 ft,,11-17,,
3:10.0,,,11-17,,Defensive rebound by L. Allen
2:57.0,,,11-19,2,P. George makes 2-pt shot from 18 ft
2:43.0,A. Bradley makes 3-pt shot from 27 ft (assist by T. Zeller),3,14-19,,
2:23.0,,,14-19,,M. Turner misses 2-pt shot from 19 ft
2:22.0,Defensive rebound by T. Rozier,,14-19,,
2:13.0,Turnover by A. Bradley (bad pass; steal by P. George),,14-19,,
2:04.0,,,14-19,,P. George misses 3-pt shot from 24 ft
2:03.0,Defensive rebound by T. Rozier,,14-19,,
1:50.0,,,14-19,,Personal foul by R. Stuckey (drawn by T. Rozier)
1:50.0,,,14-19,,Indiana full timeout
1:50.0,E. Turner enters the game for J. Crowder,,14-19,,
1:50.0,,,14-19,,C. Budinger enters the game for L. Allen
1:38.0,T. Zeller misses 2-pt shot from 1 ft,,14-19,,
1:38.0,,,14-19,,Defensive rebound by R. Stuckey
1:23.0,,,14-19,,R. Stuckey misses 2-pt shot from 17 ft
1:21.0,Defensive rebound by T. Rozier,,14-19,,
1:11.0,A. Bradley misses 3-pt shot from 25 ft,,14-19,,
1:11.0,,,14-19,,Defensive rebound by P. George
1:02.0,,,14-21,2,M. Turner makes 2-pt shot from 19 ft (assist by P. George)
0:49.0,K. Olynyk misses 2-pt shot from 1 ft (block by M. Turner),,14-21,,
0:49.0,Offensive rebound by Team,,14-21,,
0:45.0,T. Rozier misses 3-pt shot from 22 ft,,14-21,,
0:44.0,,,14-21,,Defensive rebound by C. Budinger
0:27.0,,,14-21,,R. Stuckey misses 2-pt shot from 6 ft
0:26.0,,,14-21,,Offensive rebound by R. Stuckey
0:24.0,,,14-21,,R. Stuckey misses 2-pt shot from 3 ft
0:24.0,,,14-21,,Offensive rebound by M. Turner
0:24.0,,,14-23,2,M. Turner makes 2-pt shot from 2 ft
0:04.0,E. Turner makes 2-pt shot from 1 ft,2,16-23,,
0:00.0,,,16-23,,M. Ellis misses 3-pt shot from 26 ft
0:00.0,,,16-23,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,D. Lee makes 2-pt shot from 12 ft,2,18-23,,
11:24.0,,,18-23,,M. Turner misses 2-pt shot from 20 ft
11:23.0,,,18-23,,Offensive rebound by R. Stuckey
11:15.0,,,18-23,,G. Hill misses 3-pt shot from 24 ft
11:14.0,Defensive rebound by D. Lee,,18-23,,
11:08.0,Turnover by K. Olynyk (lost ball; steal by G. Hill),,18-23,,
