time,San Antonio,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. M. Gasol (M. Conley gains possession),,,,Jump ball: T. Duncan vs. M. Gasol (M. Conley gains possession)
11:44.0,,,0-2,2,J. Green makes 2-pt shot from 1 ft
11:27.0,D. Green misses 2-pt shot from 12 ft,,0-2,,
11:25.0,Offensive rebound by D. Green,,0-2,,
11:25.0,D. Green misses 2-pt shot at rim,,0-2,,
11:23.0,,,0-2,,Defensive rebound by T. Allen
11:14.0,,,0-2,,Shooting foul by K. Leonard (drawn by J. Green)
11:14.0,,,0-2,,J. Green misses free throw 1 of 2
11:14.0,,,0-2,,Offensive rebound by Team
11:14.0,,,0-3,1,J. Green makes free throw 2 of 2
10:48.0,L. Aldridge misses 2-pt shot from 20 ft,,0-3,,
10:48.0,,,0-3,,Defensive rebound by M. Gasol
10:39.0,,,0-5,2,Z. Randolph makes 2-pt shot from 5 ft
10:25.0,T. Parker makes 2-pt shot from 6 ft (assist by D. Green),2,2-5,,
10:05.0,,,2-7,2,J. Green makes 2-pt shot from 1 ft
9:50.0,L. Aldridge misses 2-pt shot from 1 ft,,2-7,,
9:48.0,,,2-7,,Defensive rebound by M. Gasol
9:38.0,,,2-7,,Z. Randolph misses 2-pt shot from 18 ft
9:38.0,Defensive rebound by T. Parker,,2-7,,
9:26.0,K. Leonard misses 3-pt shot from 23 ft,,2-7,,
9:25.0,,,2-7,,Defensive rebound by M. Gasol
9:17.0,,,2-9,2,M. Conley makes 2-pt shot at rim
9:17.0,San Antonio full timeout,,2-9,,
8:54.0,T. Duncan makes 2-pt shot from 10 ft,2,4-9,,
8:39.0,,,4-11,2,M. Gasol makes 2-pt shot from 16 ft (assist by J. Green)
8:22.0,D. Green misses 3-pt shot from 22 ft,,4-11,,
8:21.0,Offensive rebound by T. Parker,,4-11,,
8:04.0,T. Parker makes 2-pt shot from 18 ft (assist by T. Duncan),2,6-11,,
7:46.0,,,6-11,,J. Green misses 2-pt shot from 13 ft
7:44.0,Defensive rebound by K. Leonard,,6-11,,
7:38.0,K. Leonard misses 2-pt shot from 16 ft,,6-11,,
7:35.0,Offensive rebound by T. Parker,,6-11,,
7:32.0,T. Parker misses 2-pt shot from 7 ft,,6-11,,
7:30.0,,,6-11,,Defensive rebound by Z. Randolph
7:20.0,,,6-11,,M. Gasol misses 2-pt shot from 17 ft
7:19.0,Defensive rebound by T. Parker,,6-11,,
7:04.0,Shooting foul by M. Gasol (drawn by K. Leonard),,6-11,,
7:04.0,K. Leonard makes free throw 1 of 2,1,7-11,,
7:04.0,K. Leonard makes free throw 2 of 2,1,8-11,,
6:44.0,,,8-11,,J. Green misses 2-pt shot from 8 ft
6:44.0,,,8-11,,Offensive rebound by Z. Randolph
6:41.0,,,8-13,2,Z. Randolph makes 2-pt shot from 6 ft
6:23.0,Offensive foul by D. Green,,8-13,,
6:23.0,Turnover by D. Green (offensive foul),,8-13,,
6:23.0,M. Ginobili enters the game for D. Green,,8-13,,
6:11.0,,,8-13,,M. Conley misses 3-pt shot from 26 ft
6:11.0,Defensive rebound by T. Duncan,,8-13,,
5:59.0,L. Aldridge misses 2-pt shot from 13 ft,,8-13,,
5:58.0,,,8-13,,Defensive rebound by T. Allen
5:43.0,,,8-13,,J. Green misses 2-pt shot from 5 ft
5:41.0,Defensive rebound by L. Aldridge,,8-13,,
5:23.0,T. Duncan makes 2-pt shot at rim (assist by K. Leonard),2,10-13,,
5:12.0,Personal foul by T. Duncan (drawn by M. Gasol),,10-13,,
5:12.0,B. Diaw enters the game for L. Aldridge,,10-13,,
5:12.0,,,10-13,,M. Barnes enters the game for J. Green
5:12.0,,,10-13,,C. Lee enters the game for T. Allen
5:02.0,,,10-13,,Turnover by M. Gasol (lost ball; steal by T. Duncan)
4:57.0,T. Parker misses 2-pt shot at rim (block by M. Conley),,10-13,,
4:53.0,,,10-13,,Defensive rebound by C. Lee
4:50.0,,,10-15,2,Z. Randolph makes 2-pt shot at rim (assist by C. Lee)
4:26.0,B. Diaw misses 2-pt shot at rim,,10-15,,
4:26.0,Offensive rebound by Team,,10-15,,
4:26.0,,,10-15,,Loose ball foul by Z. Randolph (drawn by B. Diaw)
4:20.0,M. Ginobili misses 2-pt shot from 7 ft,,10-15,,
4:18.0,,,10-15,,Defensive rebound by M. Gasol
4:07.0,,,10-15,,Z. Randolph misses 2-pt shot from 17 ft
4:06.0,Defensive rebound by T. Parker,,10-15,,
3:55.0,Turnover by M. Ginobili (bad pass),,10-15,,
3:55.0,,,10-15,,Memphis full timeout
3:55.0,,,10-15,,J. Green enters the game for Z. Randolph
3:55.0,,,10-15,,M. Chalmers enters the game for M. Conley
3:55.0,K. Anderson enters the game for K. Leonard,,10-15,,
3:55.0,P. Mills enters the game for T. Duncan,,10-15,,
3:55.0,D. West enters the game for T. Parker,,10-15,,
3:36.0,,,10-15,,Turnover by M. Gasol (lost ball; steal by P. Mills)
3:28.0,D. West makes 2-pt shot from 1 ft (assist by K. Anderson),2,12-15,,
3:19.0,,,12-15,,Turnover by M. Chalmers (bad pass; steal by M. Ginobili)
3:13.0,M. Ginobili makes 2-pt shot at rim,2,14-15,,
2:57.0,,,14-17,2,M. Gasol makes 2-pt shot from 8 ft
