time,Houston,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. K. Koufos (R. Gay gains possession),,,,Jump ball: C. Capela vs. K. Koufos (R. Gay gains possession)
11:47.0,Personal foul by C. Capela (drawn by M. Belinelli),,0-0,,
11:39.0,,,0-0,,K. Koufos misses 2-pt shot from 3 ft
11:38.0,Defensive rebound by C. Capela,,0-0,,
11:28.0,C. Capela makes 2-pt shot from 3 ft (assist by J. Harden),2,2-0,,
11:28.0,Shooting foul by R. Rondo (drawn by C. Capela),,2-0,,
11:28.0,C. Capela misses free throw 1 of 1,,2-0,,
11:26.0,,,2-0,,Defensive rebound by M. Belinelli
11:17.0,Violation by C. Capela (kicked ball),,2-0,,
11:12.0,,,2-2,2,M. Belinelli makes 2-pt shot from 19 ft (assist by R. Rondo)
10:56.0,T. Ariza misses 2-pt shot from 5 ft,,2-2,,
10:55.0,,,2-2,,Defensive rebound by J. Anderson
10:41.0,,,2-2,,M. Belinelli misses 3-pt shot from 23 ft
10:40.0,Defensive rebound by C. Capela,,2-2,,
10:32.0,T. Ariza misses 3-pt shot from 24 ft,,2-2,,
10:31.0,,,2-2,,Defensive rebound by R. Gay
10:07.0,,,2-2,,R. Rondo misses 3-pt shot from 23 ft
10:07.0,Defensive rebound by T. Ariza,,2-2,,
9:59.0,M. Thornton makes 3-pt shot from 24 ft (assist by J. Harden),3,5-2,,
9:46.0,,,5-2,,J. Anderson misses 3-pt shot from 24 ft
9:45.0,Defensive rebound by T. Ariza,,5-2,,
9:22.0,C. Capela makes 2-pt shot at rim (assist by M. Thornton),2,7-2,,
9:11.0,Personal foul by T. Ariza (drawn by M. Belinelli),,7-2,,
9:02.0,,,7-2,,M. Belinelli misses 2-pt shot from 14 ft
9:02.0,Defensive rebound by C. Capela,,7-2,,
8:50.0,M. Thornton makes 3-pt shot from 24 ft (assist by J. Harden),3,10-2,,
8:36.0,,,10-2,,Turnover by K. Koufos (lost ball)
8:28.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,12-2,,
8:25.0,,,12-2,,Sacramento full timeout
8:03.0,,,12-4,2,R. Gay makes 2-pt shot from 10 ft
7:50.0,T. Ariza misses 3-pt shot from 23 ft,,12-4,,
7:50.0,,,12-4,,Defensive rebound by R. Rondo
7:40.0,,,12-4,,Turnover by R. Rondo (bad pass; steal by J. Harden)
7:37.0,Shooting foul by R. Gay (drawn by J. Harden),,12-4,,
7:37.0,J. Harden makes free throw 1 of 2,1,13-4,,
