time,LA Clippers,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hollins vs. D. Jordan (J. Green gains possession),,,,Jump ball: R. Hollins vs. D. Jordan (J. Green gains possession)
11:42.0,D. Jordan makes 2-pt shot from 2 ft (assist by J. Redick),2,2-0,,
11:22.0,,,2-2,2,Z. Randolph makes 2-pt shot from 20 ft (assist by R. McCallum)
11:08.0,J. Redick misses 2-pt shot from 21 ft,,2-2,,
11:07.0,,,2-2,,Defensive rebound by R. Hollins
10:57.0,,,2-4,2,Z. Randolph makes 2-pt shot from 21 ft (assist by L. Stephenson)
10:35.0,Shooting foul by L. Stephenson (drawn by J. Green),,2-4,,
10:35.0,J. Green misses free throw 1 of 2,,2-4,,
10:35.0,Offensive rebound by Team,,2-4,,
10:35.0,J. Green makes free throw 2 of 2,1,3-4,,
10:22.0,,,3-6,2,R. Hollins makes 2-pt shot from 3 ft
10:12.0,D. Jordan makes 2-pt shot from 2 ft (assist by C. Paul),2,5-6,,
9:51.0,,,5-8,2,Z. Randolph makes 2-pt shot from 15 ft
9:37.0,Turnover by C. Paul (lost ball; steal by L. Stephenson),,5-8,,
9:24.0,,,5-10,2,Z. Randolph makes 2-pt shot from 4 ft
9:07.0,J. Redick misses 3-pt shot from 23 ft,,5-10,,
9:04.0,,,5-10,,Defensive rebound by Team
8:55.0,,,5-12,2,T. Allen makes 2-pt shot from 2 ft (assist by Z. Randolph)
8:55.0,,,5-12,,Shooting foul by J. Redick (drawn by T. Allen)
8:55.0,,,5-13,1,T. Allen makes free throw 1 of 1
8:36.0,J. Redick makes 2-pt shot from 22 ft (assist by L. Mbah a Moute),2,7-13,,
8:19.0,,,7-15,2,R. McCallum makes 2-pt shot from 22 ft (assist by Z. Randolph)
8:12.0,J. Redick misses 3-pt shot from 24 ft,,7-15,,
8:09.0,,,7-15,,Defensive rebound by Z. Randolph
8:01.0,,,7-15,,Z. Randolph misses 3-pt shot from 26 ft
7:59.0,,,7-15,,Offensive rebound by R. Hollins
7:49.0,,,7-17,2,Z. Randolph makes 2-pt shot from 15 ft
7:30.0,L. Mbah a Moute misses 2-pt shot from 18 ft,,7-17,,
7:29.0,,,7-17,,Defensive rebound by R. McCallum
7:16.0,,,7-17,,Z. Randolph misses 2-pt shot from 5 ft
7:14.0,Defensive rebound by D. Jordan,,7-17,,
7:08.0,C. Paul misses 2-pt shot from 18 ft,,7-17,,
7:08.0,,,7-17,,Defensive rebound by Team
7:08.0,Loose ball foul by D. Jordan,,7-17,,
6:56.0,,,7-17,,L. Stephenson misses 2-pt shot from 20 ft
6:54.0,Defensive rebound by J. Green,,7-17,,
6:46.0,Shooting foul by L. Stephenson (drawn by J. Green),,7-17,,
6:46.0,J. Green makes free throw 1 of 2,1,8-17,,
6:46.0,J. Green makes free throw 2 of 2,1,9-17,,
