time,San Antonio,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Andersen vs. B. Marjanovic (A. Miller gains possession),,,,Jump ball: C. Andersen vs. B. Marjanovic (A. Miller gains possession)
11:50.0,Turnover by K. Anderson (lost ball; steal by J. Green),,0-0,,
11:46.0,,,0-2,2,M. Barnes makes 2-pt shot from 1 ft (assist by J. Green)
11:24.0,Shooting foul by J. Farmar (drawn by A. Miller),,0-2,,
11:24.0,A. Miller misses free throw 1 of 2,,0-2,,
11:24.0,Offensive rebound by Team,,0-2,,
11:24.0,A. Miller misses free throw 2 of 2,,0-2,,
11:23.0,,,0-2,,Defensive rebound by J. Green
11:07.0,,,0-2,,J. Green misses 2-pt shot from 20 ft
11:07.0,Defensive rebound by L. Aldridge,,0-2,,
10:46.0,L. Aldridge misses 2-pt shot from 19 ft,,0-2,,
10:45.0,,,0-2,,Defensive rebound by J. Farmar
10:31.0,,,0-4,2,J. Green makes 2-pt shot from 13 ft (assist by M. Barnes)
10:09.0,K. Anderson makes 3-pt shot from 22 ft (assist by B. Marjanovic),3,3-4,,
9:56.0,,,3-4,,C. Andersen misses 2-pt shot from 2 ft (block by D. Green)
9:50.0,Defensive rebound by D. Green,,3-4,,
9:47.0,K. Anderson makes 2-pt shot from 17 ft (assist by A. Miller),2,5-4,,
9:33.0,,,5-4,,T. Allen misses 2-pt shot from 3 ft
9:31.0,Defensive rebound by L. Aldridge,,5-4,,
9:23.0,D. Green makes 2-pt shot at rim (assist by A. Miller),2,7-4,,
8:59.0,,,7-7,3,J. Farmar makes 3-pt shot from 24 ft
8:40.0,B. Marjanovic makes 2-pt shot from 18 ft (assist by K. Anderson),2,9-7,,
8:25.0,,,9-7,,Turnover by M. Barnes (lost ball; steal by K. Anderson)
8:17.0,K. Anderson misses 3-pt shot from 22 ft,,9-7,,
8:15.0,,,9-7,,Defensive rebound by M. Barnes
8:11.0,,,9-7,,Turnover by M. Barnes (lost ball; steal by A. Miller)
7:52.0,Offensive charge foul by D. Green,,9-7,,
7:52.0,Turnover by D. Green (offensive foul),,9-7,,
7:52.0,,,9-7,,R. Hollins enters the game for C. Andersen
7:36.0,,,9-7,,T. Allen misses 2-pt shot from 21 ft
7:35.0,Defensive rebound by B. Marjanovic,,9-7,,
7:21.0,D. Green misses 3-pt shot from 25 ft,,9-7,,
7:20.0,,,9-7,,Defensive rebound by J. Farmar
7:14.0,,,9-7,,Turnover by M. Barnes (lost ball; steal by K. Anderson)
7:06.0,A. Miller misses 2-pt shot from 1 ft,,9-7,,
7:04.0,Offensive rebound by L. Aldridge,,9-7,,
