time,Denver,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:40.0,N. Jokic misses 2-pt shot from 6 ft (block by J. Sullinger),,0-0,,
12:00.0,Jump ball: A. Johnson vs. N. Jokic (G. Harris gains possession),,,,Jump ball: A. Johnson vs. N. Jokic (G. Harris gains possession)
11:39.0,Offensive rebound by Team,,0-0,,
11:36.0,Turnover by N. Jokic (lost ball; steal by J. Crowder),,0-0,,
11:32.0,,,0-0,,Turnover by I. Thomas (bad pass)
11:16.0,D. Gallinari misses 3-pt shot from 25 ft,,0-0,,
11:15.0,,,0-0,,Defensive rebound by A. Bradley
10:59.0,,,0-0,,J. Crowder misses 2-pt shot from 9 ft
10:57.0,,,0-0,,Offensive rebound by A. Johnson
10:50.0,,,0-0,,J. Sullinger misses 2-pt shot from 21 ft
10:49.0,Defensive rebound by D. Gallinari,,0-0,,
10:35.0,N. Jokic misses 2-pt shot from 6 ft,,0-0,,
10:34.0,Offensive rebound by N. Jokic,,0-0,,
10:31.0,Turnover by N. Jokic (bad pass; steal by A. Johnson),,0-0,,
10:25.0,,,0-0,,I. Thomas misses 3-pt shot from 26 ft
10:24.0,,,0-0,,Offensive rebound by A. Johnson
10:20.0,,,0-0,,A. Bradley misses 3-pt shot from 23 ft
10:19.0,Defensive rebound by G. Harris,,0-0,,
10:12.0,E. Mudiay misses 2-pt shot from 1 ft,,0-0,,
10:11.0,Offensive rebound by Team,,0-0,,
10:05.0,Turnover by E. Mudiay (bad pass; steal by A. Bradley),,0-0,,
9:59.0,,,0-2,2,A. Bradley makes 2-pt shot from 1 ft
9:42.0,K. Faried misses 2-pt shot from 5 ft,,0-2,,
9:41.0,Offensive rebound by D. Gallinari,,0-2,,
9:26.0,G. Harris makes 3-pt shot from 23 ft (assist by E. Mudiay),3,3-2,,
9:17.0,,,3-4,2,I. Thomas makes 2-pt shot from 12 ft
9:04.0,D. Gallinari makes 2-pt shot from 22 ft (assist by N. Jokic),2,5-4,,
8:46.0,,,5-7,3,A. Bradley makes 3-pt shot from 25 ft (assist by I. Thomas)
8:29.0,Shooting foul by A. Johnson (drawn by D. Gallinari),,5-7,,
8:29.0,D. Gallinari makes free throw 1 of 2,1,6-7,,
8:29.0,D. Gallinari misses free throw 2 of 2,,6-7,,
8:29.0,Offensive rebound by N. Jokic,,6-7,,
8:19.0,N. Jokic misses 2-pt shot from 8 ft,,6-7,,
8:17.0,Offensive rebound by K. Faried,,6-7,,
8:17.0,K. Faried misses 2-pt shot from 1 ft,,6-7,,
8:16.0,,,6-7,,Defensive rebound by J. Sullinger
8:13.0,Personal foul by K. Faried (drawn by I. Thomas),,6-7,,
8:02.0,,,6-7,,J. Crowder misses 2-pt shot from 19 ft
8:02.0,,,6-7,,Offensive rebound by J. Sullinger
7:59.0,,,6-9,2,J. Sullinger makes 2-pt shot at rim
7:38.0,K. Faried makes 2-pt shot from 7 ft,2,8-9,,
7:21.0,,,8-11,2,A. Bradley makes 2-pt shot from 16 ft (assist by A. Johnson)
7:04.0,K. Faried misses 2-pt shot from 1 ft,,8-11,,
7:03.0,,,8-11,,Defensive rebound by J. Sullinger
6:50.0,,,8-11,,Turnover by I. Thomas (bad pass)
6:32.0,,,8-11,,Personal foul by A. Bradley (drawn by D. Gallinari)
6:26.0,E. Mudiay makes 3-pt shot from 25 ft (assist by N. Jokic),3,11-11,,
6:10.0,,,11-11,,A. Johnson misses 2-pt shot at rim
6:09.0,,,11-11,,Offensive rebound by A. Johnson
6:08.0,,,11-11,,A. Johnson misses 2-pt shot from 3 ft
6:08.0,,,11-11,,Offensive rebound by A. Johnson
6:08.0,,,11-13,2,A. Johnson makes 2-pt shot from 3 ft
5:55.0,Turnover by E. Mudiay (bad pass; steal by J. Sullinger),,11-13,,
5:46.0,,,11-13,,A. Bradley misses 3-pt shot from 25 ft
5:45.0,,,11-13,,Offensive rebound by J. Sullinger
