time,New Orleans,pts.away,score,pts.home,New York
8:34.0,J. Holiday makes free throw 1 of 2,1,4-8,,
8:34.0,J. Holiday misses free throw 2 of 2,,4-8,,
8:33.0,,,4-8,,Defensive rebound by R. Lopez
8:26.0,Personal foul by O. Asik (drawn by C. Anthony),,4-8,,
8:20.0,,,4-8,,A. Afflalo misses 2-pt shot from 15 ft
8:19.0,Defensive rebound by J. Holiday,,4-8,,
8:11.0,A. Davis misses 3-pt shot from 25 ft,,4-8,,
8:10.0,,,4-8,,Defensive rebound by J. Calderon
8:03.0,,,4-8,,K. Porzingis misses 2-pt shot from 20 ft
8:02.0,Defensive rebound by A. Davis,,4-8,,
7:54.0,New Orleans full timeout,,4-8,,
7:43.0,A. Davis makes 2-pt shot from 5 ft,2,6-8,,
7:21.0,,,6-8,,K. Porzingis misses 2-pt shot from 16 ft
7:20.0,Defensive rebound by A. Gee,,6-8,,
7:11.0,A. Davis makes 2-pt shot from 17 ft,2,8-8,,
6:45.0,,,8-10,2,J. Calderon makes 2-pt shot from 16 ft
6:21.0,A. Davis makes 2-pt shot from 14 ft,2,10-10,,
6:03.0,Personal foul by J. Holiday (drawn by J. Calderon),,10-10,,
5:58.0,,,10-12,2,J. Calderon makes 2-pt shot from 19 ft
5:37.0,A. Gee misses 3-pt shot from 25 ft,,10-12,,
5:36.0,,,10-12,,Defensive rebound by Team
5:36.0,R. Anderson enters the game for O. Asik,,10-12,,
5:25.0,,,10-12,,C. Anthony misses 2-pt shot from 18 ft
5:24.0,Defensive rebound by R. Anderson,,10-12,,
5:11.0,J. Holiday misses 2-pt shot from 7 ft (block by R. Lopez),,10-12,,
5:09.0,,,10-12,,Defensive rebound by J. Calderon
5:04.0,,,10-12,,J. Calderon misses 3-pt shot from 25 ft
5:02.0,Defensive rebound by Team,,10-12,,
5:02.0,,,10-12,,Loose ball foul by K. Porzingis (drawn by R. Anderson)
5:02.0,,,10-12,,L. Amundson enters the game for R. Lopez
5:02.0,,,10-12,,K. O'Quinn enters the game for K. Porzingis
4:45.0,,,10-12,,Personal foul by J. Calderon (drawn by A. Davis)
4:45.0,,,10-12,,L. Galloway enters the game for J. Calderon
4:45.0,I. Smith enters the game for J. Holiday,,10-12,,
4:39.0,Shooting foul by L. Amundson (drawn by R. Anderson),,10-12,,
4:39.0,R. Anderson makes free throw 1 of 2,1,11-12,,
4:39.0,D. Cunningham enters the game for A. Davis,,11-12,,
4:39.0,R. Anderson makes free throw 2 of 2,1,12-12,,
4:23.0,,,12-12,,Turnover by L. Galloway (lost ball; steal by A. Gee)
4:18.0,A. Gee makes 2-pt shot at rim,2,14-12,,
4:00.0,,,14-12,,C. Anthony misses 2-pt shot from 5 ft
3:59.0,,,14-12,,Offensive rebound by C. Anthony
3:58.0,,,14-14,2,C. Anthony makes 2-pt shot from 2 ft
3:40.0,D. Cunningham makes 2-pt shot at rim (assist by A. Gee),2,16-14,,
3:33.0,,,16-14,,New York full timeout
3:33.0,,,16-14,,J. Grant enters the game for A. Afflalo
3:33.0,,,16-14,,L. Thomas enters the game for K. O'Quinn
3:16.0,,,16-14,,L. Amundson misses 2-pt shot from 12 ft
3:15.0,Defensive rebound by I. Smith,,16-14,,
3:02.0,R. Anderson makes 2-pt shot from 18 ft (assist by I. Smith),2,18-14,,
2:47.0,Personal foul by E. Gordon (drawn by J. Grant),,18-14,,
2:47.0,T. Douglas enters the game for E. Gordon,,18-14,,
2:47.0,,,18-14,,D. Williams enters the game for C. Anthony
2:30.0,,,18-14,,D. Williams misses 2-pt shot at rim
2:29.0,Defensive rebound by D. Cunningham,,18-14,,
2:15.0,R. Anderson makes 2-pt shot from 16 ft,2,20-14,,
1:59.0,,,20-14,,Turnover by L. Thomas (bad pass; steal by T. Douglas)
1:55.0,Shooting foul by J. Grant (drawn by T. Douglas),,20-14,,
1:55.0,T. Douglas makes free throw 1 of 2,1,21-14,,
1:55.0,L. Babbitt enters the game for A. Gee,,21-14,,
1:55.0,T. Douglas makes free throw 2 of 2,1,22-14,,
1:40.0,,,22-14,,L. Thomas misses 2-pt shot from 2 ft
1:39.0,,,22-14,,Offensive rebound by L. Amundson
1:38.0,,,22-14,,L. Amundson misses 2-pt shot from 2 ft
1:37.0,,,22-14,,Offensive rebound by Team
1:37.0,Loose ball foul by D. Cunningham,,22-14,,
1:37.0,,,22-15,1,L. Amundson makes free throw 1 of 2
1:37.0,,,22-15,,L. Amundson misses free throw 2 of 2
1:36.0,Defensive rebound by R. Anderson,,22-15,,
1:19.0,R. Anderson misses 2-pt shot from 15 ft,,22-15,,
1:18.0,,,22-15,,Defensive rebound by L. Thomas
1:05.0,,,22-18,3,L. Thomas makes 3-pt shot from 25 ft (assist by L. Galloway)
0:57.0,I. Smith makes 2-pt shot from 2 ft,2,24-18,,
0:48.0,,,24-20,2,J. Grant makes 2-pt shot from 3 ft
0:31.0,L. Babbitt makes 3-pt shot from 25 ft (assist by T. Douglas),3,27-20,,
0:17.0,,,27-23,3,L. Galloway makes 3-pt shot from 25 ft (assist by D. Williams)
0:00.0,R. Anderson misses 3-pt shot from 26 ft,,27-23,,
0:00.0,Offensive rebound by Team,,27-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,R. Anderson misses 3-pt shot from 26 ft,,27-23,,
11:43.0,,,27-23,,Defensive rebound by L. Galloway
11:31.0,,,27-23,,L. Galloway misses 3-pt shot from 26 ft
11:30.0,Defensive rebound by A. Davis,,27-23,,
11:18.0,A. Davis misses 2-pt shot from 17 ft,,27-23,,
11:16.0,,,27-23,,Defensive rebound by D. Williams
11:09.0,,,27-23,,L. Thomas misses 3-pt shot from 24 ft
11:08.0,Defensive rebound by A. Davis,,27-23,,
11:00.0,A. Davis makes 2-pt shot at rim (assist by I. Smith),2,29-23,,
10:47.0,,,29-23,,D. Williams misses 2-pt shot from 13 ft
10:46.0,,,29-23,,Offensive rebound by L. Amundson
10:43.0,,,29-25,2,L. Amundson makes 2-pt shot at rim
10:35.0,L. Babbitt misses 3-pt shot from 26 ft,,29-25,,
10:35.0,Offensive rebound by Team,,29-25,,
10:21.0,A. Davis misses 2-pt shot from 17 ft,,29-25,,
10:21.0,Offensive rebound by Team,,29-25,,
10:21.0,,,29-25,,Loose ball foul by L. Thomas (drawn by R. Anderson)
10:13.0,Turnover by I. Smith (lost ball; steal by D. Williams),,29-25,,
10:12.0,,,29-25,,Shooting foul by T. Douglas (drawn by L. Thomas)
10:12.0,,,29-26,1,L. Thomas makes free throw 1 of 2
10:12.0,,,29-27,1,L. Thomas makes free throw 2 of 2
10:00.0,Turnover by A. Davis (turnover),,29-27,,
9:50.0,,,29-27,,L. Thomas misses 2-pt shot from 19 ft
9:49.0,Defensive rebound by R. Anderson,,29-27,,
9:44.0,A. Davis makes 2-pt shot at rim (assist by I. Smith),2,31-27,,
9:21.0,,,31-27,,J. Grant misses 2-pt shot from 16 ft
9:20.0,,,31-27,,Offensive rebound by L. Galloway
9:07.0,,,31-27,,L. Thomas misses 2-pt shot from 18 ft
9:06.0,,,31-27,,Offensive rebound by D. Williams
9:00.0,,,31-29,2,J. Grant makes 2-pt shot from 8 ft (assist by D. Williams)
8:48.0,,,31-29,,Personal foul by D. Williams (drawn by A. Davis)
8:48.0,Official timeout,,31-29,,
8:48.0,,,31-29,,C. Anthony enters the game for L. Galloway
8:48.0,,,31-29,,S. Vujacic enters the game for L. Thomas
8:48.0,,,31-29,,A. Afflalo enters the game for D. Williams
8:37.0,A. Davis makes 3-pt shot from 24 ft (assist by T. Douglas),3,34-29,,
8:17.0,,,34-29,,C. Anthony misses 2-pt shot from 2 ft (block by A. Davis)
8:16.0,Defensive rebound by A. Davis,,34-29,,
8:08.0,T. Douglas misses 3-pt shot from 25 ft,,34-29,,
8:07.0,,,34-29,,Defensive rebound by C. Anthony
7:50.0,,,34-29,,A. Afflalo misses 2-pt shot from 6 ft
7:49.0,,,34-29,,Offensive rebound by S. Vujacic
7:40.0,,,34-29,,C. Anthony misses 3-pt shot from 26 ft
7:39.0,Defensive rebound by I. Smith,,34-29,,
7:29.0,R. Anderson makes 2-pt shot from 18 ft,2,36-29,,
7:13.0,,,36-29,,A. Afflalo misses 2-pt shot from 7 ft (block by L. Babbitt)
7:12.0,Defensive rebound by L. Babbitt,,36-29,,
7:05.0,,,36-29,,Personal foul by C. Anthony (drawn by L. Babbitt)
7:05.0,,,36-29,,K. Porzingis enters the game for L. Amundson
7:05.0,E. Gordon enters the game for T. Douglas,,36-29,,
7:05.0,A. Gee enters the game for L. Babbitt,,36-29,,
6:57.0,A. Gee misses 3-pt shot from 24 ft,,36-29,,
6:56.0,,,36-29,,Defensive rebound by J. Grant
6:48.0,,,36-29,,Shooting foul by R. Anderson (drawn by K. Porzingis)
6:48.0,,,36-29,,K. Porzingis misses free throw 1 of 2
6:48.0,,,36-29,,Offensive rebound by Team
6:48.0,,,36-30,1,K. Porzingis makes free throw 2 of 2
6:31.0,R. Anderson misses 2-pt shot from 4 ft,,36-30,,
6:30.0,,,36-30,,Defensive rebound by C. Anthony
6:19.0,,,36-32,2,K. Porzingis makes 2-pt shot from 2 ft (assist by J. Grant)
6:05.0,Turnover by R. Anderson (traveling),,36-32,,
5:53.0,,,36-32,,J. Grant misses 3-pt shot from 25 ft
5:52.0,Defensive rebound by A. Davis,,36-32,,
5:49.0,Turnover by I. Smith (traveling),,36-32,,
5:49.0,,,36-32,,New York full timeout
5:37.0,,,36-34,2,C. Anthony makes 2-pt shot at rim
5:25.0,Turnover by A. Davis (lost ball; steal by C. Anthony),,36-34,,
5:17.0,,,36-34,,S. Vujacic misses 3-pt shot from 23 ft
5:16.0,Defensive rebound by A. Davis,,36-34,,
5:09.0,R. Anderson misses 3-pt shot from 25 ft,,36-34,,
5:08.0,,,36-34,,Defensive rebound by A. Afflalo
5:04.0,,,36-34,,Turnover by J. Grant (bad pass; steal by A. Gee)
5:03.0,Turnover by A. Gee (step out of bounds),,36-34,,
5:03.0,,,36-34,,J. Calderon enters the game for J. Grant
5:03.0,D. Cunningham enters the game for R. Anderson,,36-34,,
4:50.0,,,36-36,2,C. Anthony makes 2-pt shot from 7 ft
4:31.0,E. Gordon makes 2-pt shot from 18 ft,2,38-36,,
4:08.0,,,38-36,,K. Porzingis misses 2-pt shot from 6 ft (block by A. Davis)
4:07.0,,,38-36,,Offensive rebound by Team
4:02.0,,,38-38,2,C. Anthony makes 2-pt shot from 15 ft (assist by J. Calderon)
3:37.0,A. Davis misses 2-pt shot from 16 ft (block by K. Porzingis),,38-38,,
3:36.0,,,38-38,,Defensive rebound by C. Anthony
3:30.0,Personal foul by A. Davis (drawn by K. Porzingis),,38-38,,
3:24.0,,,38-40,2,A. Afflalo makes 2-pt shot from 11 ft (assist by J. Calderon)
3:09.0,,,38-40,,Personal foul by S. Vujacic (drawn by E. Gordon)
3:03.0,A. Davis makes 2-pt shot from 2 ft (assist by I. Smith),2,40-40,,
2:45.0,,,40-40,,S. Vujacic misses 2-pt shot from 4 ft
2:44.0,Defensive rebound by D. Cunningham,,40-40,,
2:37.0,New Orleans full timeout,,40-40,,
2:37.0,,,40-40,,L. Galloway enters the game for S. Vujacic
2:31.0,Turnover by A. Davis (traveling),,40-40,,
2:16.0,,,40-40,,K. Porzingis misses 2-pt shot from 12 ft (block by A. Davis)
2:15.0,Defensive rebound by D. Cunningham,,40-40,,
2:03.0,D. Cunningham makes 2-pt shot from 19 ft,2,42-40,,
1:37.0,,,42-40,,K. Porzingis misses 3-pt shot from 25 ft
1:36.0,Defensive rebound by D. Cunningham,,42-40,,
1:21.0,A. Davis misses 2-pt shot from 18 ft,,42-40,,
1:20.0,,,42-40,,Defensive rebound by Team
1:20.0,T. Douglas enters the game for I. Smith,,42-40,,
1:20.0,,,42-40,,K. O'Quinn enters the game for K. Porzingis
1:08.0,,,42-42,2,L. Galloway makes 2-pt shot from 7 ft (assist by K. O'Quinn)
0:55.0,,,42-42,,Personal foul by K. O'Quinn (drawn by T. Douglas)
0:55.0,T. Douglas makes free throw 1 of 2,1,43-42,,
0:55.0,T. Douglas makes free throw 2 of 2,1,44-42,,
0:36.0,,,44-42,,C. Anthony misses 3-pt shot from 26 ft
0:35.0,,,44-42,,Offensive rebound by K. O'Quinn
0:26.0,,,44-42,,Turnover by K. O'Quinn (lost ball; steal by A. Davis)
0:02.0,T. Douglas misses 2-pt shot from 2 ft (block by K. O'Quinn),,44-42,,
0:00.0,Offensive rebound by A. Gee,,44-42,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,A. Davis misses 2-pt shot from 9 ft,,44-42,,
11:42.0,,,44-42,,Defensive rebound by C. Anthony
11:30.0,,,44-42,,K. Porzingis misses 3-pt shot from 26 ft
11:29.0,Defensive rebound by A. Gee,,44-42,,
11:27.0,Turnover by A. Gee (lost ball),,44-42,,
11:14.0,,,44-44,2,J. Calderon makes 2-pt shot from 17 ft (assist by R. Lopez)
11:03.0,A. Davis misses 2-pt shot from 10 ft,,44-44,,
11:02.0,,,44-44,,Defensive rebound by A. Afflalo
10:57.0,Personal foul by E. Gordon (drawn by A. Afflalo),,44-44,,
10:38.0,,,44-46,2,K. Porzingis makes 2-pt shot from 2 ft
10:18.0,A. Davis misses 2-pt shot from 9 ft,,44-46,,
10:17.0,,,44-46,,Defensive rebound by K. Porzingis
9:59.0,,,44-46,,A. Afflalo misses 3-pt shot from 26 ft
9:58.0,Defensive rebound by A. Gee,,44-46,,
9:57.0,,,44-46,,Personal foul by K. Porzingis (drawn by A. Gee)
9:39.0,J. Holiday misses 2-pt shot from 19 ft,,44-46,,
9:38.0,,,44-46,,Defensive rebound by R. Lopez
9:29.0,Personal foul by A. Gee (drawn by C. Anthony),,44-46,,
9:20.0,,,44-48,2,C. Anthony makes 2-pt shot from 13 ft
9:10.0,E. Gordon misses 3-pt shot from 25 ft,,44-48,,
9:09.0,,,44-48,,Defensive rebound by R. Lopez
9:00.0,,,44-50,2,J. Calderon makes 2-pt shot from 17 ft
8:59.0,New Orleans full timeout,,44-50,,
8:42.0,Turnover by J. Holiday (bad pass; steal by R. Lopez),,44-50,,
8:21.0,,,44-50,,R. Lopez misses 2-pt shot from 5 ft
8:20.0,Defensive rebound by A. Davis,,44-50,,
8:12.0,E. Gordon makes 2-pt shot from 2 ft,2,46-50,,
7:50.0,,,46-52,2,K. Porzingis makes 2-pt shot from 18 ft (assist by R. Lopez)
7:35.0,A. Davis makes 2-pt shot from 15 ft (assist by J. Holiday),2,48-52,,
7:24.0,Personal foul by A. Davis (drawn by K. Porzingis),,48-52,,
7:16.0,,,48-52,,R. Lopez misses 2-pt shot from 17 ft
7:15.0,Defensive rebound by A. Davis,,48-52,,
7:01.0,A. Davis misses 2-pt shot from 18 ft,,48-52,,
7:00.0,,,48-52,,Defensive rebound by C. Anthony
6:52.0,,,48-54,2,C. Anthony makes 2-pt shot from 15 ft
6:38.0,J. Holiday makes 2-pt shot from 11 ft,2,50-54,,
6:19.0,,,50-54,,C. Anthony misses 3-pt shot from 25 ft
6:18.0,Defensive rebound by E. Gordon,,50-54,,
6:06.0,A. Davis makes 2-pt shot from 4 ft,2,52-54,,
6:06.0,Shooting foul by R. Lopez (drawn by A. Davis),,52-54,,
6:06.0,A. Davis misses free throw 1 of 1,,52-54,,
6:05.0,,,52-54,,Defensive rebound by C. Anthony
5:49.0,,,52-54,,C. Anthony misses 3-pt shot from 24 ft
5:48.0,Defensive rebound by O. Asik,,52-54,,
5:36.0,E. Gordon makes 2-pt shot at rim,2,54-54,,
5:34.0,,,54-54,,New York full timeout
5:34.0,A. Ajinca enters the game for O. Asik,,54-54,,
5:13.0,,,54-54,,K. Porzingis misses 3-pt shot from 26 ft
5:12.0,Defensive rebound by J. Holiday,,54-54,,
4:58.0,Shooting foul by K. Porzingis (drawn by A. Davis),,54-54,,
4:58.0,A. Davis makes free throw 1 of 2,1,55-54,,
4:58.0,,,55-54,,K. Seraphin enters the game for R. Lopez
4:58.0,A. Davis makes free throw 2 of 2,1,56-54,,
4:40.0,,,56-56,2,C. Anthony makes 2-pt shot from 2 ft
4:40.0,,,56-56,,Shooting foul by A. Gee (drawn by C. Anthony)
4:40.0,,,56-56,,K. O'Quinn enters the game for K. Porzingis
4:40.0,,,56-57,1,C. Anthony makes free throw 1 of 1
4:24.0,Turnover by A. Ajinca (lost ball; steal by K. O'Quinn),,56-57,,
4:17.0,,,56-59,2,K. Seraphin makes 2-pt shot at rim (assist by C. Anthony)
4:06.0,A. Davis misses 3-pt shot from 26 ft,,56-59,,
4:05.0,,,56-59,,Defensive rebound by K. Seraphin
3:48.0,,,56-61,2,A. Afflalo makes 2-pt shot from 14 ft
3:31.0,Shooting foul by K. O'Quinn (drawn by A. Davis),,56-61,,
3:31.0,A. Davis makes free throw 1 of 2,1,57-61,,
3:31.0,I. Smith enters the game for J. Holiday,,57-61,,
3:31.0,D. Cunningham enters the game for A. Gee,,57-61,,
3:31.0,,,57-61,,J. Grant enters the game for A. Afflalo
3:31.0,,,57-61,,L. Galloway enters the game for J. Calderon
3:31.0,A. Davis makes free throw 2 of 2,1,58-61,,
3:09.0,,,58-61,,K. O'Quinn misses 2-pt shot from 6 ft
3:08.0,,,58-61,,Offensive rebound by Team
3:05.0,,,58-63,2,L. Galloway makes 2-pt shot from 19 ft (assist by C. Anthony)
2:49.0,,,58-63,,Personal foul by K. O'Quinn (drawn by A. Davis)
2:49.0,A. Davis makes free throw 1 of 2,1,59-63,,
2:49.0,A. Davis makes free throw 2 of 2,1,60-63,,
2:32.0,,,60-63,,Shooting foul by D. Cunningham (drawn by C. Anthony)
2:32.0,,,60-63,,C. Anthony misses free throw 1 of 2
2:32.0,,,60-63,,Offensive rebound by Team
2:32.0,,,60-64,1,C. Anthony makes free throw 2 of 2
2:16.0,Turnover by A. Davis (lost ball; steal by K. Seraphin),,60-64,,
2:06.0,,,60-66,2,K. Seraphin makes 2-pt shot from 11 ft (assist by C. Anthony)
1:47.0,A. Ajinca misses 2-pt shot from 20 ft,,60-66,,
1:46.0,,,60-66,,Defensive rebound by C. Anthony
1:31.0,,,60-66,,Turnover by J. Grant (lost ball)
1:31.0,R. Anderson enters the game for A. Ajinca,,60-66,,
1:31.0,,,60-66,,L. Thomas enters the game for C. Anthony
1:09.0,E. Gordon makes 3-pt shot from 26 ft (assist by I. Smith),3,63-66,,
0:52.0,,,63-66,,K. O'Quinn misses 2-pt shot from 18 ft
0:50.0,Defensive rebound by D. Cunningham,,63-66,,
0:39.0,E. Gordon makes 2-pt shot from 17 ft,2,65-66,,
0:15.0,,,65-68,2,K. Seraphin makes 2-pt shot from 20 ft (assist by J. Grant)
0:01.0,Turnover by I. Smith (lost ball),,65-68,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,65-68,,Offensive foul by K. Seraphin
11:42.0,,,65-68,,Turnover by K. Seraphin (offensive foul)
11:33.0,Offensive foul by A. Ajinca,,65-68,,
11:33.0,Turnover by A. Ajinca (offensive foul),,65-68,,
11:10.0,,,65-68,,J. Grant misses 2-pt shot from 20 ft
11:09.0,Defensive rebound by E. Gordon,,65-68,,
10:59.0,R. Anderson makes 3-pt shot from 24 ft (assist by E. Gordon),3,68-68,,
10:46.0,,,68-68,,Shooting foul by D. Cunningham (drawn by L. Galloway)
10:46.0,,,68-69,1,L. Galloway makes free throw 1 of 2
10:46.0,T. Douglas enters the game for E. Gordon,,68-69,,
10:46.0,,,68-69,,C. Anthony enters the game for K. O'Quinn
10:46.0,,,68-70,1,L. Galloway makes free throw 2 of 2
10:29.0,R. Anderson misses 2-pt shot from 3 ft,,68-70,,
10:28.0,Offensive rebound by A. Ajinca,,68-70,,
10:21.0,Offensive foul by A. Ajinca,,68-70,,
10:21.0,Turnover by A. Ajinca (offensive foul),,68-70,,
10:07.0,,,68-70,,L. Thomas misses 3-pt shot from 24 ft
10:06.0,Defensive rebound by Team,,68-70,,
9:52.0,I. Smith misses 2-pt shot from 3 ft,,68-70,,
9:51.0,Offensive rebound by I. Smith,,68-70,,
9:46.0,T. Douglas misses 3-pt shot from 25 ft,,68-70,,
9:45.0,,,68-70,,Defensive rebound by C. Anthony
9:29.0,,,68-72,2,C. Anthony makes 2-pt shot from 16 ft
9:07.0,Turnover by R. Anderson (bad pass; steal by L. Galloway),,68-72,,
9:02.0,,,68-74,2,L. Galloway makes 2-pt shot from 2 ft (assist by J. Grant)
9:02.0,E. Gordon enters the game for I. Smith,,68-74,,
9:02.0,J. Holiday enters the game for T. Douglas,,68-74,,
9:02.0,A. Davis enters the game for A. Ajinca,,68-74,,
9:02.0,New Orleans full timeout,,68-74,,
8:50.0,E. Gordon misses 2-pt shot from 2 ft,,68-74,,
8:49.0,,,68-74,,Defensive rebound by K. Seraphin
8:36.0,,,68-76,2,L. Thomas makes 2-pt shot from 2 ft (assist by K. Seraphin)
8:28.0,Shooting foul by J. Grant (drawn by J. Holiday),,68-76,,
8:28.0,J. Holiday makes free throw 1 of 2,1,69-76,,
8:28.0,J. Holiday makes free throw 2 of 2,1,70-76,,
8:14.0,,,70-78,2,K. Seraphin makes 2-pt shot from 6 ft
7:58.0,Turnover by R. Anderson (lost ball),,70-78,,
7:51.0,Personal foul by J. Holiday (drawn by L. Galloway),,70-78,,
7:41.0,,,70-78,,Offensive foul by C. Anthony
7:41.0,,,70-78,,Turnover by C. Anthony (offensive foul)
7:22.0,A. Davis makes 2-pt shot from 20 ft (assist by E. Gordon),2,72-78,,
7:05.0,,,72-80,2,L. Galloway makes 2-pt shot from 2 ft (assist by K. Seraphin)
6:54.0,J. Holiday misses 2-pt shot from 18 ft,,72-80,,
6:53.0,,,72-80,,Defensive rebound by L. Galloway
6:38.0,,,72-80,,K. Seraphin misses 2-pt shot from 6 ft
6:37.0,,,72-80,,Offensive rebound by K. Seraphin
6:36.0,,,72-82,2,K. Seraphin makes 2-pt shot from 2 ft
6:28.0,New Orleans full timeout,,72-82,,
6:09.0,J. Holiday misses 3-pt shot from 25 ft,,72-82,,
6:08.0,Offensive rebound by A. Davis,,72-82,,
6:04.0,A. Davis misses 2-pt shot from 2 ft,,72-82,,
6:03.0,,,72-82,,Defensive rebound by C. Anthony
5:47.0,,,72-82,,K. Seraphin misses 2-pt shot from 11 ft
5:46.0,Defensive rebound by R. Anderson,,72-82,,
5:27.0,D. Cunningham makes 2-pt shot from 6 ft,2,74-82,,
5:00.0,,,74-84,2,C. Anthony makes 2-pt shot from 2 ft
4:50.0,A. Davis makes 2-pt shot from 19 ft (assist by J. Holiday),2,76-84,,
4:27.0,,,76-86,2,K. Seraphin makes 2-pt shot from 9 ft
4:14.0,A. Davis makes 2-pt shot at rim (assist by J. Holiday),2,78-86,,
3:52.0,,,78-86,,Turnover by K. Seraphin (traveling)
3:52.0,,,78-86,,K. Porzingis enters the game for L. Thomas
3:37.0,R. Anderson makes 3-pt shot from 24 ft (assist by A. Davis),3,81-86,,
3:36.0,,,81-86,,New York full timeout
3:36.0,,,81-86,,L. Thomas enters the game for K. Seraphin
3:14.0,,,81-88,2,J. Grant makes 2-pt shot from 15 ft
2:58.0,A. Davis misses 2-pt shot from 9 ft,,81-88,,
2:57.0,,,81-88,,Defensive rebound by K. Porzingis
2:45.0,Personal foul by A. Davis (drawn by L. Thomas),,81-88,,
2:32.0,,,81-88,,Shooting foul by E. Gordon (drawn by J. Grant)
2:32.0,,,81-88,,J. Grant misses free throw 1 of 2
2:32.0,,,81-88,,Offensive rebound by Team
2:32.0,,,81-89,1,J. Grant makes free throw 2 of 2
2:22.0,Shooting foul by K. Porzingis (drawn by R. Anderson),,81-89,,
2:22.0,R. Anderson makes free throw 1 of 2,1,82-89,,
2:22.0,R. Anderson makes free throw 2 of 2,1,83-89,,
2:04.0,,,83-89,,L. Thomas misses 2-pt shot from 17 ft
2:03.0,Defensive rebound by R. Anderson,,83-89,,
1:53.0,J. Holiday makes 2-pt shot from 2 ft,2,85-89,,
1:31.0,,,85-89,,C. Anthony misses 2-pt shot from 20 ft
1:30.0,Defensive rebound by Team,,85-89,,
1:20.0,J. Holiday misses 2-pt shot from 6 ft,,85-89,,
1:19.0,,,85-89,,Defensive rebound by Team
1:19.0,,,85-89,,New York full timeout
1:19.0,,,85-89,,K. Seraphin enters the game for K. Porzingis
0:55.0,,,85-89,,C. Anthony misses 2-pt shot from 15 ft
0:54.0,Defensive rebound by A. Davis,,85-89,,
0:34.0,E. Gordon misses 3-pt shot from 25 ft,,85-89,,
0:32.0,,,85-89,,Defensive rebound by C. Anthony
0:30.0,Personal foul by E. Gordon (drawn by C. Anthony),,85-89,,
0:30.0,,,85-90,1,C. Anthony makes free throw 1 of 2
0:30.0,,,85-91,1,C. Anthony makes free throw 2 of 2
0:30.0,New Orleans full timeout,,85-91,,
0:30.0,L. Babbitt enters the game for D. Cunningham,,85-91,,
0:30.0,,,85-91,,L. Amundson enters the game for K. Seraphin
0:29.0,A. Davis makes 2-pt shot at rim (assist by L. Babbitt),2,87-91,,
0:28.0,Personal take foul by A. Davis (drawn by C. Anthony),,87-91,,
0:28.0,,,87-92,1,C. Anthony makes free throw 1 of 2
0:28.0,,,87-93,1,C. Anthony makes free throw 2 of 2
