time,Washington,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. R. Hibbert (N. Hilario gains possession),,,,Jump ball: M. Gortat vs. R. Hibbert (N. Hilario gains possession)
11:44.0,B. Beal misses 3-pt shot from 25 ft,,0-0,,
11:43.0,,,0-0,,Defensive rebound by J. Clarkson
11:25.0,,,0-0,,J. Randle misses 2-pt shot from 17 ft
11:23.0,Defensive rebound by J. Wall,,0-0,,
11:16.0,,,0-0,,Personal foul by J. Randle
11:04.0,M. Gortat makes 2-pt shot from 3 ft (assist by J. Wall),2,2-0,,
10:48.0,,,2-3,3,K. Bryant makes 3-pt shot from 26 ft (assist by J. Clarkson)
10:32.0,N. Hilario misses 2-pt shot from 12 ft,,2-3,,
10:31.0,,,2-3,,Defensive rebound by R. Hibbert
10:27.0,,,2-3,,Turnover by J. Clarkson (lost ball)
10:09.0,N. Hilario misses 2-pt shot from 5 ft,,2-3,,
10:06.0,,,2-3,,Defensive rebound by J. Clarkson
10:01.0,,,2-6,3,K. Bryant makes 3-pt shot from 25 ft (assist by J. Clarkson)
9:51.0,Turnover by J. Wall (lost ball; steal by K. Bryant),,2-6,,
9:40.0,,,2-6,,K. Bryant misses 3-pt shot from 24 ft
9:38.0,,,2-6,,Offensive rebound by D. Russell
9:32.0,,,2-9,3,D. Russell makes 3-pt shot from 25 ft
9:28.0,J. Wall makes 2-pt shot at rim,2,4-9,,
9:08.0,,,4-9,,J. Clarkson misses 3-pt shot from 24 ft
9:07.0,,,4-9,,Offensive rebound by Team
8:52.0,,,4-11,2,J. Randle makes 2-pt shot from 12 ft (assist by K. Bryant)
8:43.0,O. Porter misses 3-pt shot from 25 ft,,4-11,,
8:41.0,,,4-11,,Defensive rebound by J. Clarkson
8:19.0,,,4-13,2,D. Russell makes 2-pt shot from 2 ft
8:13.0,Washington full timeout,,4-13,,
8:01.0,M. Gortat misses 2-pt shot from 5 ft,,4-13,,
7:58.0,Offensive rebound by O. Porter,,4-13,,
7:54.0,M. Gortat misses 2-pt shot from 9 ft,,4-13,,
7:53.0,,,4-13,,Defensive rebound by K. Bryant
7:45.0,,,4-13,,K. Bryant misses 2-pt shot from 2 ft
7:44.0,Defensive rebound by M. Gortat,,4-13,,
7:34.0,M. Gortat misses 2-pt shot from 1 ft,,4-13,,
7:33.0,,,4-13,,Defensive rebound by R. Hibbert
7:25.0,,,4-16,3,D. Russell makes 3-pt shot from 26 ft
7:19.0,J. Wall makes 2-pt shot from 1 ft,2,6-16,,
6:58.0,,,6-16,,K. Bryant misses 3-pt shot from 26 ft
6:58.0,Defensive rebound by Team,,6-16,,
6:43.0,J. Wall makes 3-pt shot from 25 ft,3,9-16,,
6:29.0,,,9-16,,D. Russell misses 2-pt shot from 16 ft
6:27.0,Defensive rebound by B. Beal,,9-16,,
6:18.0,J. Wall makes 3-pt shot from 25 ft (assist by B. Beal),3,12-16,,
5:59.0,,,12-16,,Turnover by J. Clarkson (lost ball; steal by J. Wall)
5:54.0,J. Wall makes 2-pt shot at rim (assist by N. Hilario),2,14-16,,
5:44.0,,,14-16,,LA Lakers full timeout
5:44.0,,,14-16,,L. Williams enters the game for J. Clarkson
5:25.0,,,14-18,2,J. Randle makes 2-pt shot from 20 ft
5:16.0,,,14-18,,Personal foul by J. Randle
5:16.0,,,14-18,,L. Nance enters the game for J. Randle
5:16.0,G. Temple enters the game for N. Hilario,,14-18,,
5:16.0,J. Dudley enters the game for B. Beal,,14-18,,
4:57.0,M. Gortat makes 2-pt shot from 11 ft (assist by J. Wall),2,16-18,,
4:38.0,Jump ball: J. Dudley vs. L. Williams,,,,Jump ball: J. Dudley vs. L. Williams
4:27.0,,,16-21,3,K. Bryant makes 3-pt shot from 23 ft
4:20.0,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall),2,18-21,,
4:04.0,,,18-21,,D. Russell misses 2-pt shot from 12 ft
4:02.0,Defensive rebound by M. Gortat,,18-21,,
3:54.0,Turnover by J. Wall (lost ball; steal by D. Russell),,18-21,,
3:54.0,Personal foul by J. Dudley,,18-21,,
3:54.0,,,18-21,,R. Kelly enters the game for K. Bryant
3:54.0,,,18-21,,B. Bass enters the game for R. Hibbert
3:38.0,,,18-21,,L. Nance misses 2-pt shot from 1 ft
3:37.0,,,18-21,,Offensive rebound by B. Bass
3:22.0,Personal foul by O. Porter,,18-21,,
3:13.0,,,18-21,,M. Huertas enters the game for D. Russell
3:11.0,,,18-21,,L. Williams misses 3-pt shot from 23 ft
3:10.0,Defensive rebound by J. Dudley,,18-21,,
3:09.0,J. Dudley misses 3-pt shot from 26 ft,,18-21,,
3:07.0,,,18-21,,Defensive rebound by L. Nance
2:54.0,,,18-21,,L. Nance misses 2-pt shot from 12 ft
2:51.0,Defensive rebound by M. Gortat,,18-21,,
2:43.0,Turnover by J. Wall (bad pass),,18-21,,
2:31.0,,,18-21,,L. Williams misses 3-pt shot from 23 ft
2:30.0,,,18-21,,Offensive rebound by L. Nance
2:27.0,,,18-21,,L. Nance misses 2-pt shot from 2 ft
2:25.0,,,18-21,,Offensive rebound by R. Kelly
2:23.0,,,18-21,,R. Kelly misses 2-pt shot from 2 ft
2:23.0,Defensive rebound by O. Porter,,18-21,,
2:23.0,Offensive foul by J. Wall,,18-21,,
2:23.0,Turnover by J. Wall (offensive foul),,18-21,,
2:08.0,,,18-23,2,M. Huertas makes 2-pt shot from 2 ft
1:56.0,J. Wall misses 2-pt shot from 15 ft,,18-23,,
1:54.0,,,18-23,,Defensive rebound by B. Bass
1:44.0,,,18-23,,Turnover by M. Huertas (lost ball; steal by G. Temple)
1:38.0,G. Temple makes 2-pt shot from 3 ft,2,20-23,,
1:22.0,,,20-23,,Shooting foul by G. Temple (drawn by L. Williams)
1:22.0,,,20-24,1,L. Williams makes free throw 1 of 2
1:22.0,R. Sessions enters the game for J. Wall,,20-24,,
1:22.0,,,20-25,1,L. Williams makes free throw 2 of 2
1:04.0,M. Gortat makes 2-pt shot at rim (assist by J. Dudley),2,22-25,,
0:55.0,,,22-25,,Turnover by M. Huertas (lost ball; steal by M. Gortat)
0:49.0,,,22-25,,Violation by B. Bass (def goaltending)
0:49.0,R. Sessions makes 2-pt shot from 2 ft,2,24-25,,
0:49.0,Shooting foul by M. Huertas (drawn by R. Sessions),,24-25,,
0:49.0,R. Sessions misses free throw 1 of 1,,24-25,,
0:49.0,,,24-25,,Defensive rebound by B. Bass
0:40.0,Personal foul by G. Temple,,24-25,,
0:40.0,,,24-26,1,L. Williams makes free throw 1 of 2
0:40.0,B. Beal enters the game for G. Temple,,24-26,,
0:40.0,,,24-27,1,L. Williams makes free throw 2 of 2
0:26.0,Turnover by R. Sessions (lost ball; steal by L. Nance),,24-27,,
0:07.0,,,24-27,,M. Huertas misses 2-pt shot from 12 ft
0:03.0,,,24-27,,Offensive rebound by L. Nance
0:03.0,,,24-27,,R. Kelly misses 3-pt shot from 25 ft
0:01.0,Defensive rebound by R. Sessions,,24-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,24-29,2,L. Nance makes 2-pt shot at rim (assist by B. Bass)
11:19.0,Shooting foul by M. Huertas (drawn by M. Thornton),,24-29,,
11:19.0,M. Thornton misses free throw 1 of 2,,24-29,,
11:19.0,Offensive rebound by Team,,24-29,,
11:19.0,M. Thornton makes free throw 2 of 2,1,25-29,,
11:09.0,,,25-29,,Turnover by M. Huertas (lost ball; steal by N. Hilario)
11:09.0,,,25-29,,Personal foul by M. Huertas
11:09.0,,,25-29,,J. Clarkson enters the game for M. Huertas
10:56.0,M. Thornton misses 3-pt shot from 23 ft,,25-29,,
10:55.0,,,25-29,,Defensive rebound by R. Kelly
10:47.0,,,25-29,,Shooting foul by R. Sessions (drawn by L. Williams)
10:47.0,,,25-30,1,L. Williams makes free throw 1 of 3
10:47.0,,,25-31,1,L. Williams makes free throw 2 of 3
10:47.0,,,25-32,1,L. Williams makes free throw 3 of 3
10:28.0,B. Beal misses 2-pt shot from 20 ft,,25-32,,
10:28.0,,,25-32,,Defensive rebound by R. Kelly
10:20.0,,,25-32,,Turnover by L. Williams (lost ball; steal by M. Thornton)
10:12.0,R. Sessions misses 2-pt shot from 1 ft,,25-32,,
10:10.0,,,25-32,,Defensive rebound by L. Nance
9:56.0,,,25-32,,R. Kelly misses 2-pt shot from 3 ft
9:55.0,Defensive rebound by N. Hilario,,25-32,,
9:38.0,M. Thornton misses 2-pt shot from 6 ft,,25-32,,
9:37.0,Offensive rebound by M. Thornton,,25-32,,
9:36.0,M. Thornton misses 2-pt shot from 2 ft,,25-32,,
9:34.0,,,25-32,,Defensive rebound by L. Nance
9:26.0,,,25-32,,Turnover by L. Williams (lost ball; steal by M. Thornton)
9:20.0,R. Sessions makes 2-pt shot from 1 ft (assist by M. Thornton),2,27-32,,
9:02.0,,,27-32,,Turnover by R. Kelly (lost ball; steal by M. Thornton)
8:52.0,R. Sessions makes 2-pt shot from 1 ft (assist by N. Hilario),2,29-32,,
8:48.0,,,29-32,,LA Lakers full timeout
8:48.0,J. Wall enters the game for B. Beal,,29-32,,
8:48.0,,,29-32,,D. Russell enters the game for L. Williams
8:36.0,,,29-32,,J. Clarkson misses 3-pt shot from 24 ft
8:34.0,Defensive rebound by J. Wall,,29-32,,
8:18.0,N. Hilario makes 2-pt shot at rim (assist by J. Dudley),2,31-32,,
7:56.0,,,31-34,2,D. Russell makes 2-pt shot from 8 ft (assist by B. Bass)
7:45.0,J. Wall makes 2-pt shot from 2 ft,2,33-34,,
7:39.0,,,33-34,,Turnover by D. Russell (bad pass)
7:21.0,,,33-34,,Personal foul by L. Nance
7:21.0,,,33-34,,J. Randle enters the game for R. Kelly
7:18.0,,,33-34,,Personal foul by B. Bass
7:09.0,N. Hilario makes 2-pt shot at rim (assist by J. Wall),2,35-34,,
6:51.0,,,35-34,,J. Clarkson misses 2-pt shot from 3 ft
6:50.0,,,35-34,,Offensive rebound by Team
6:50.0,,,35-34,,K. Bryant enters the game for L. Nance
6:44.0,,,35-34,,D. Russell misses 3-pt shot from 25 ft
6:43.0,Defensive rebound by M. Thornton,,35-34,,
6:35.0,R. Sessions makes 3-pt shot from 24 ft (assist by J. Wall),3,38-34,,
6:16.0,,,38-34,,K. Bryant misses 2-pt shot from 12 ft
6:15.0,,,38-34,,Offensive rebound by B. Bass
6:15.0,Personal foul by J. Dudley,,38-34,,
6:15.0,M. Gortat enters the game for J. Dudley,,38-34,,
6:15.0,,,38-34,,R. Hibbert enters the game for B. Bass
6:06.0,,,38-34,,D. Russell misses 2-pt shot from 9 ft
6:03.0,Defensive rebound by M. Gortat,,38-34,,
5:51.0,M. Thornton makes 3-pt shot from 26 ft,3,41-34,,
5:27.0,,,41-34,,R. Hibbert misses 2-pt shot from 5 ft
5:26.0,Defensive rebound by M. Gortat,,41-34,,
5:13.0,M. Gortat makes 2-pt shot from 9 ft (assist by R. Sessions),2,43-34,,
5:05.0,,,43-34,,LA Lakers full timeout
5:05.0,Official timeout,,43-34,,
4:48.0,,,43-34,,K. Bryant misses 2-pt shot from 12 ft
4:46.0,Defensive rebound by J. Wall,,43-34,,
4:40.0,Turnover by N. Hilario (lost ball; steal by R. Hibbert),,43-34,,
4:33.0,,,43-34,,K. Bryant misses 3-pt shot from 28 ft
4:30.0,Defensive rebound by N. Hilario,,43-34,,
