time,Orlando,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Towns vs. N. Vucevic (C. Frye gains possession),,,,Jump ball: K. Towns vs. N. Vucevic (C. Frye gains possession)
11:47.0,T. Harris misses 2-pt shot from 5 ft (block by K. Towns),,0-0,,
11:45.0,,,0-0,,Defensive rebound by K. Martin
11:42.0,,,0-0,,R. Rubio misses 2-pt shot from 2 ft
11:40.0,,,0-0,,Offensive rebound by K. Towns
11:40.0,,,0-0,,K. Towns misses 2-pt shot from 1 ft
11:38.0,Defensive rebound by E. Payton,,0-0,,
11:23.0,N. Vucevic misses 2-pt shot from 7 ft (block by K. Towns),,0-0,,
11:21.0,,,0-0,,Defensive rebound by A. Wiggins
11:14.0,,,0-0,,K. Garnett misses 2-pt shot from 7 ft
11:12.0,,,0-0,,Offensive rebound by K. Garnett
11:12.0,,,0-2,2,K. Garnett makes 2-pt shot at rim
10:58.0,T. Harris misses 3-pt shot from 24 ft,,0-2,,
10:56.0,,,0-2,,Defensive rebound by K. Towns
10:42.0,,,0-2,,Turnover by R. Rubio (bad pass; steal by E. Fournier)
10:23.0,E. Fournier makes 2-pt shot from 21 ft (assist by N. Vucevic),2,2-2,,
10:01.0,,,2-2,,Turnover by K. Garnett (3 sec)
9:48.0,E. Fournier makes 2-pt shot at rim,2,4-2,,
9:23.0,,,4-2,,R. Rubio misses 3-pt shot from 25 ft
9:22.0,Defensive rebound by N. Vucevic,,4-2,,
9:08.0,T. Harris makes 2-pt shot from 10 ft,2,6-2,,
8:46.0,,,6-2,,K. Towns misses 2-pt shot from 14 ft
8:45.0,,,6-2,,Offensive rebound by K. Garnett
8:41.0,,,6-2,,A. Wiggins misses 3-pt shot from 24 ft
8:40.0,,,6-2,,Offensive rebound by R. Rubio
8:24.0,,,6-2,,K. Martin misses 2-pt shot from 2 ft
8:23.0,Defensive rebound by N. Vucevic,,6-2,,
8:20.0,,,6-2,,Personal foul by R. Rubio (drawn by E. Payton)
8:11.0,N. Vucevic makes 2-pt shot at rim (assist by E. Payton),2,8-2,,
8:04.0,,,8-2,,Minnesota full timeout
7:56.0,,,8-2,,K. Martin misses 2-pt shot from 20 ft
7:55.0,Defensive rebound by C. Frye,,8-2,,
7:44.0,E. Payton misses 2-pt shot from 20 ft,,8-2,,
7:43.0,,,8-2,,Defensive rebound by K. Garnett
7:33.0,,,8-2,,K. Towns misses 3-pt shot from 24 ft
7:32.0,Defensive rebound by C. Frye,,8-2,,
7:26.0,N. Vucevic misses 2-pt shot from 15 ft,,8-2,,
7:25.0,,,8-2,,Defensive rebound by K. Towns
7:18.0,,,8-2,,K. Towns misses 2-pt shot from 1 ft (block by N. Vucevic)
7:17.0,Defensive rebound by C. Frye,,8-2,,
7:12.0,Offensive charge foul by E. Payton,,8-2,,
7:12.0,Turnover by E. Payton (offensive foul),,8-2,,
7:00.0,,,8-2,,Shooting foul by N. Vucevic (drawn by A. Wiggins)
7:00.0,,,8-3,1,A. Wiggins makes free throw 1 of 2
7:00.0,,,8-4,1,A. Wiggins makes free throw 2 of 2
6:45.0,E. Fournier misses 2-pt shot at rim (block by K. Garnett),,8-4,,
6:44.0,,,8-4,,Defensive rebound by K. Garnett
6:36.0,,,8-4,,K. Martin misses 2-pt shot from 13 ft
6:35.0,Defensive rebound by T. Harris,,8-4,,
6:27.0,C. Frye misses 3-pt shot from 24 ft,,8-4,,
6:26.0,,,8-4,,Defensive rebound by K. Towns
6:22.0,,,8-4,,Shooting foul by T. Harris (drawn by K. Towns)
6:22.0,,,8-4,,K. Towns misses free throw 1 of 2
6:22.0,,,8-4,,Offensive rebound by Team
6:22.0,,,8-4,,K. Towns misses free throw 2 of 2
6:22.0,Defensive rebound by N. Vucevic,,8-4,,
6:06.0,N. Vucevic misses 2-pt shot from 6 ft,,8-4,,
6:05.0,,,8-4,,Defensive rebound by K. Garnett
5:54.0,,,8-4,,Turnover by A. Wiggins (bad pass; steal by N. Vucevic)
5:45.0,Shooting foul by K. Towns (drawn by E. Payton),,8-4,,
5:45.0,E. Payton makes free throw 1 of 2,1,9-4,,
5:45.0,,,9-4,,N. Bjelica enters the game for K. Garnett
5:45.0,E. Payton makes free throw 2 of 2,1,10-4,,
