time,Phoenix,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. A. Horford (P. Millsap gains possession),,,,Jump ball: T. Chandler vs. A. Horford (P. Millsap gains possession)
11:42.0,,,0-0,,J. Teague misses 3-pt shot from 24 ft
11:39.0,Defensive rebound by D. Booker,,0-0,,
11:17.0,T. Chandler misses 2-pt shot from 17 ft,,0-0,,
11:16.0,,,0-0,,Defensive rebound by K. Bazemore
11:08.0,,,0-0,,Shooting foul by D. Booker (drawn by K. Bazemore)
11:08.0,,,0-0,,K. Bazemore misses free throw 1 of 2
11:08.0,,,0-0,,Offensive rebound by Team
11:08.0,,,0-0,,K. Bazemore misses free throw 2 of 2
11:07.0,Defensive rebound by P. Tucker,,0-0,,
10:51.0,A. Len makes 2-pt shot from 6 ft (assist by R. Price),2,2-0,,
10:34.0,,,2-2,2,A. Horford makes 2-pt shot from 19 ft (assist by K. Bazemore)
10:20.0,Shooting foul by P. Millsap (drawn by A. Len),,2-2,,
10:20.0,A. Len makes free throw 1 of 2,1,3-2,,
10:20.0,A. Len makes free throw 2 of 2,1,4-2,,
10:10.0,,,4-2,,A. Horford misses 2-pt shot from 18 ft
10:08.0,Defensive rebound by A. Len,,4-2,,
10:03.0,Turnover by A. Len (traveling),,4-2,,
9:55.0,,,4-2,,Turnover by J. Teague (lost ball; steal by R. Price)
9:49.0,D. Booker misses 3-pt shot from 24 ft,,4-2,,
9:48.0,,,4-2,,Defensive rebound by Team
9:36.0,,,4-2,,P. Millsap misses 2-pt shot from 4 ft
9:34.0,Defensive rebound by A. Len,,4-2,,
9:23.0,T. Chandler makes 2-pt shot from 1 ft (assist by R. Price),2,6-2,,
9:08.0,,,6-5,3,J. Teague makes 3-pt shot from 24 ft (assist by P. Millsap)
8:51.0,A. Len misses 2-pt shot from 19 ft,,6-5,,
8:49.0,,,6-5,,Defensive rebound by P. Millsap
8:42.0,,,6-8,3,J. Teague makes 3-pt shot from 25 ft (assist by P. Millsap)
8:25.0,Turnover by P. Tucker (step out of bounds),,6-8,,
8:18.0,,,6-10,2,K. Korver makes 2-pt shot from 1 ft (assist by K. Bazemore)
8:18.0,,,6-10,,Shooting foul by P. Tucker (drawn by K. Korver)
8:18.0,,,6-11,1,K. Korver makes free throw 1 of 1
7:59.0,R. Price makes 3-pt shot from 25 ft (assist by P. Tucker),3,9-11,,
7:50.0,,,9-14,3,P. Millsap makes 3-pt shot from 24 ft (assist by K. Bazemore)
7:30.0,P. Tucker misses 2-pt shot from 8 ft,,9-14,,
7:28.0,,,9-14,,Defensive rebound by P. Millsap
7:23.0,,,9-14,,P. Millsap misses 3-pt shot from 24 ft
7:22.0,,,9-14,,Offensive rebound by A. Horford
7:13.0,,,9-16,2,J. Teague makes 2-pt shot at rim
7:03.0,Turnover by P. Tucker (lost ball; steal by K. Bazemore),,9-16,,
6:56.0,,,9-18,2,P. Millsap makes 2-pt shot at rim (assist by J. Teague)
6:56.0,Phoenix full timeout,,9-18,,
6:56.0,,,9-18,,K. Humphries enters the game for P. Millsap
6:50.0,R. Price misses 2-pt shot from 16 ft,,9-18,,
6:48.0,,,9-18,,Defensive rebound by K. Korver
6:37.0,,,9-18,,J. Teague misses 3-pt shot from 24 ft
6:34.0,Defensive rebound by T. Chandler,,9-18,,
6:22.0,R. Price makes 3-pt shot from 23 ft (assist by A. Len),3,12-18,,
6:04.0,,,12-18,,Turnover by J. Teague (lost ball; steal by R. Price)
5:47.0,Turnover by R. Price (lost ball; steal by K. Bazemore),,12-18,,
5:44.0,,,12-20,2,K. Bazemore makes 2-pt shot at rim
5:31.0,D. Booker makes 2-pt shot from 17 ft,2,14-20,,
5:17.0,,,14-20,,K. Korver misses 2-pt shot from 12 ft
5:13.0,Defensive rebound by P. Tucker,,14-20,,
5:10.0,D. Booker makes 3-pt shot from 25 ft (assist by R. Price),3,17-20,,
4:53.0,,,17-20,,J. Teague misses 2-pt shot at rim
4:51.0,Defensive rebound by T. Chandler,,17-20,,
4:47.0,D. Booker misses 3-pt shot from 25 ft,,17-20,,
4:45.0,,,17-20,,Defensive rebound by K. Humphries
4:34.0,,,17-20,,A. Horford misses 2-pt shot from 18 ft
4:32.0,Defensive rebound by T. Chandler,,17-20,,
4:16.0,R. Price makes 3-pt shot from 25 ft (assist by T. Chandler),3,20-20,,
4:15.0,,,20-20,,Atlanta full timeout
4:15.0,,,20-20,,T. Hardaway enters the game for K. Bazemore
4:15.0,,,20-20,,D. Schroder enters the game for A. Horford
4:15.0,,,20-20,,T. Sefolosha enters the game for K. Korver
4:15.0,,,20-20,,P. Millsap enters the game for J. Teague
4:15.0,A. Goodwin enters the game for R. Price,,20-20,,
4:04.0,,,20-20,,T. Hardaway misses 3-pt shot from 25 ft
4:03.0,,,20-20,,Offensive rebound by D. Schroder
3:52.0,,,20-20,,Turnover by D. Schroder (lost ball; steal by A. Goodwin)
3:48.0,A. Goodwin misses 2-pt shot from 1 ft (block by P. Millsap),,20-20,,
3:48.0,Offensive rebound by Team,,20-20,,
3:40.0,A. Len makes 2-pt shot from 10 ft (assist by D. Booker),2,22-20,,
3:29.0,,,22-22,2,K. Humphries makes 2-pt shot from 13 ft
3:07.0,P. Tucker misses 3-pt shot from 24 ft,,22-22,,
3:06.0,,,22-22,,Defensive rebound by D. Schroder
2:59.0,,,22-22,,Turnover by K. Humphries (lost ball; steal by T. Chandler)
2:49.0,D. Booker misses 2-pt shot from 1 ft,,22-22,,
2:49.0,,,22-22,,Defensive rebound by Team
2:38.0,,,22-22,,D. Schroder misses 2-pt shot from 18 ft
2:36.0,Defensive rebound by T. Chandler,,22-22,,
2:26.0,Shooting foul by T. Hardaway (drawn by A. Len),,22-22,,
2:26.0,A. Len makes free throw 1 of 2,1,23-22,,
2:26.0,A. Williams enters the game for T. Chandler,,23-22,,
2:26.0,M. Teletovic enters the game for P. Tucker,,23-22,,
2:26.0,A. Len makes free throw 2 of 2,1,24-22,,
2:16.0,,,24-25,3,K. Humphries makes 3-pt shot from 24 ft (assist by T. Hardaway)
1:59.0,A. Goodwin makes 3-pt shot from 25 ft (assist by M. Teletovic),3,27-25,,
1:42.0,,,27-25,,D. Schroder misses 2-pt shot from 2 ft (block by A. Goodwin)
1:39.0,Defensive rebound by A. Goodwin,,27-25,,
1:37.0,D. Booker makes 2-pt shot from 1 ft (assist by A. Goodwin),2,29-25,,
1:14.0,,,29-25,,D. Schroder misses 2-pt shot from 22 ft
1:12.0,Defensive rebound by A. Len,,29-25,,
0:55.0,M. Teletovic makes 3-pt shot from 24 ft (assist by A. Williams),3,32-25,,
0:38.0,,,32-27,2,T. Hardaway makes 2-pt shot at rim (assist by D. Schroder)
0:38.0,,,32-27,,Shooting foul by A. Williams (drawn by T. Hardaway)
0:38.0,,,32-27,,M. Scott enters the game for K. Humphries
0:38.0,,,32-28,1,T. Hardaway makes free throw 1 of 1
0:17.0,D. Booker makes 3-pt shot from 26 ft (assist by A. Len),3,35-28,,
0:05.0,,,35-28,,D. Schroder misses 2-pt shot at rim
0:04.0,Defensive rebound by M. Teletovic,,35-28,,
0:00.0,M. Teletovic makes 3-pt shot from 24 ft,3,38-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
