time,Phoenix,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. R. Hibbert (D. Booker gains possession),,,,Jump ball: T. Chandler vs. R. Hibbert (D. Booker gains possession)
11:41.0,J. Leuer misses 2-pt shot from 9 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by A. Brown
11:25.0,,,0-0,,L. Williams misses 2-pt shot from 3 ft
11:22.0,,,0-0,,Offensive rebound by L. Nance
11:04.0,,,0-0,,J. Clarkson misses 2-pt shot from 1 ft
11:02.0,Defensive rebound by J. Leuer,,0-0,,
10:50.0,T. Chandler misses 2-pt shot from 16 ft,,0-0,,
10:49.0,,,0-0,,Defensive rebound by L. Williams
10:40.0,,,0-2,2,R. Hibbert makes 2-pt shot from 13 ft (assist by L. Williams)
10:27.0,J. Leuer misses 3-pt shot from 24 ft,,0-2,,
10:26.0,,,0-2,,Defensive rebound by L. Nance
10:20.0,Personal block foul by P. Tucker (drawn by J. Clarkson),,0-2,,
10:11.0,,,0-4,2,L. Nance makes 2-pt shot from 19 ft (assist by R. Hibbert)
9:55.0,T. Chandler misses 2-pt shot from 4 ft,,0-4,,
9:54.0,,,0-4,,Defensive rebound by Team
9:41.0,,,0-4,,L. Nance misses 2-pt shot from 19 ft
9:40.0,Defensive rebound by T. Chandler,,0-4,,
9:19.0,J. Leuer makes 2-pt shot from 4 ft,2,2-4,,
8:57.0,,,2-4,,L. Nance misses 2-pt shot from 17 ft
8:56.0,Defensive rebound by T. Chandler,,2-4,,
8:47.0,B. Knight makes 2-pt shot from 8 ft,2,4-4,,
8:36.0,Personal foul by D. Booker (drawn by A. Brown),,4-4,,
8:25.0,,,4-6,2,R. Hibbert makes 2-pt shot from 16 ft (assist by A. Brown)
8:11.0,D. Booker misses 2-pt shot from 17 ft,,4-6,,
8:10.0,,,4-6,,Defensive rebound by A. Brown
8:01.0,,,4-8,2,J. Clarkson makes 2-pt shot at rim
7:48.0,Turnover by B. Knight (lost ball; steal by J. Clarkson),,4-8,,
7:40.0,,,4-8,,Turnover by A. Brown (bad pass; steal by P. Tucker)
7:32.0,Turnover by D. Booker (bad pass; steal by J. Clarkson),,4-8,,
7:27.0,,,4-10,2,L. Nance makes 2-pt shot at rim (assist by J. Clarkson)
7:08.0,B. Knight misses 2-pt shot from 21 ft,,4-10,,
7:07.0,,,4-10,,Defensive rebound by R. Hibbert
6:52.0,,,4-10,,L. Williams misses 2-pt shot from 4 ft
6:51.0,Defensive rebound by T. Chandler,,4-10,,
6:39.0,D. Booker makes 2-pt shot from 9 ft (assist by B. Knight),2,6-10,,
6:26.0,,,6-10,,A. Brown misses 2-pt shot from 20 ft
6:25.0,Defensive rebound by T. Chandler,,6-10,,
6:16.0,B. Knight misses 2-pt shot from 14 ft,,6-10,,
6:13.0,,,6-10,,Defensive rebound by R. Hibbert
6:02.0,,,6-10,,R. Hibbert misses 2-pt shot from 18 ft
6:01.0,Defensive rebound by B. Knight,,6-10,,
5:47.0,B. Knight misses 2-pt shot from 5 ft,,6-10,,
5:45.0,,,6-10,,Defensive rebound by L. Nance
5:38.0,,,6-12,2,L. Williams makes 2-pt shot from 2 ft (assist by J. Clarkson)
5:38.0,Phoenix full timeout,,6-12,,
5:38.0,T. Warren enters the game for P. Tucker,,6-12,,
5:38.0,A. Len enters the game for T. Chandler,,6-12,,
5:38.0,,,6-12,,D. Russell enters the game for L. Williams
5:12.0,D. Booker misses 3-pt shot from 26 ft,,6-12,,
5:12.0,,,6-12,,Defensive rebound by R. Hibbert
4:52.0,,,6-12,,R. Hibbert misses 2-pt shot from 8 ft
4:50.0,Defensive rebound by J. Leuer,,6-12,,
4:40.0,A. Len makes 2-pt shot from 1 ft (assist by J. Leuer),2,8-12,,
4:14.0,,,8-14,2,J. Clarkson makes 2-pt shot from 6 ft
3:57.0,D. Booker misses 2-pt shot from 3 ft,,8-14,,
3:55.0,,,8-14,,Defensive rebound by L. Nance
3:50.0,R. Price enters the game for D. Booker,,8-14,,
3:50.0,S. Weems enters the game for B. Knight,,8-14,,
3:50.0,,,8-14,,B. Bass enters the game for R. Hibbert
3:47.0,,,8-14,,J. Randle enters the game for L. Nance
3:36.0,,,8-16,2,D. Russell makes 2-pt shot from 13 ft (assist by B. Bass)
3:28.0,Turnover by S. Weems (lost ball; steal by J. Clarkson),,8-16,,
3:26.0,,,8-16,,Shooting foul by R. Price (drawn by J. Clarkson)
3:26.0,,,8-17,1,J. Clarkson makes free throw 1 of 2
3:26.0,,,8-17,,N. Young enters the game for A. Brown
3:26.0,M. Teletovic enters the game for J. Leuer,,8-17,,
3:26.0,,,8-18,1,J. Clarkson makes free throw 2 of 2
3:05.0,M. Teletovic misses 2-pt shot from 2 ft,,8-18,,
3:03.0,,,8-18,,Defensive rebound by J. Clarkson
3:01.0,,,8-18,,Shooting foul by R. Price (drawn by D. Russell)
3:01.0,,,8-19,1,D. Russell makes free throw 1 of 2
3:01.0,,,8-20,1,D. Russell makes free throw 2 of 2
2:49.0,Turnover by M. Teletovic (bad pass; steal by D. Russell),,8-20,,
2:43.0,,,8-22,2,J. Clarkson makes 2-pt shot from 1 ft (assist by D. Russell)
2:31.0,A. Len misses 2-pt shot from 18 ft,,8-22,,
2:31.0,,,8-22,,Defensive rebound by J. Randle
2:20.0,,,8-22,,J. Randle misses 2-pt shot from 1 ft
2:19.0,,,8-22,,Offensive rebound by B. Bass
2:15.0,,,8-22,,Shooting foul by A. Len (drawn by J. Randle)
2:15.0,,,8-22,,LA Lakers full timeout
2:15.0,,,8-23,1,J. Randle makes free throw 1 of 2
2:15.0,,,8-24,1,J. Randle makes free throw 2 of 2
2:04.0,T. Warren misses 2-pt shot from 5 ft,,8-24,,
2:02.0,,,8-24,,Defensive rebound by J. Clarkson
1:45.0,,,8-24,,N. Young misses 2-pt shot from 13 ft
1:44.0,Defensive rebound by R. Price,,8-24,,
1:37.0,T. Warren misses 2-pt shot from 22 ft,,8-24,,
1:36.0,Offensive rebound by M. Teletovic,,8-24,,
1:35.0,M. Teletovic makes 2-pt shot from 1 ft,2,10-24,,
