time,Chicago,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Noah vs. J. Okafor (T. Gibson gains possession),,,,Jump ball: J. Noah vs. J. Okafor (T. Gibson gains possession)
11:32.0,J. Butler misses 2-pt shot from 19 ft,,0-0,,
11:31.0,,,0-0,,Defensive rebound by Team
11:21.0,,,0-2,2,C. Landry makes 2-pt shot from 20 ft (assist by I. Smith)
11:05.0,N. Mirotic misses 2-pt shot from 13 ft,,0-2,,
11:03.0,,,0-2,,Defensive rebound by I. Smith
10:56.0,,,0-2,,C. Landry misses 2-pt shot from 17 ft
10:55.0,Defensive rebound by K. Hinrich,,0-2,,
10:39.0,T. Gibson misses 2-pt shot from 1 ft,,0-2,,
10:35.0,Offensive rebound by J. Butler,,0-2,,
10:30.0,J. Butler makes 3-pt shot from 24 ft (assist by K. Hinrich),3,3-2,,
10:04.0,,,3-5,3,N. Stauskas makes 3-pt shot from 26 ft (assist by I. Smith)
9:51.0,J. Noah makes 2-pt shot from 18 ft (assist by J. Butler),2,5-5,,
9:39.0,,,5-7,2,J. Okafor makes 2-pt shot from 15 ft
9:17.0,N. Mirotic misses 3-pt shot from 26 ft,,5-7,,
9:15.0,,,5-7,,Defensive rebound by C. Landry
9:04.0,,,5-9,2,C. Landry makes 2-pt shot from 2 ft (assist by N. Stauskas)
8:50.0,N. Mirotic misses 2-pt shot from 5 ft,,5-9,,
8:48.0,Offensive rebound by Team,,5-9,,
8:44.0,,,5-9,,Personal foul by I. Smith (drawn by J. Noah)
8:44.0,Shooting foul by J. Sampson (drawn by J. Butler),,5-9,,
8:44.0,J. Butler makes free throw 1 of 2,1,6-9,,
8:44.0,J. Butler misses free throw 2 of 2,,6-9,,
8:43.0,,,6-9,,Defensive rebound by J. Okafor
8:30.0,,,6-9,,J. Sampson misses 2-pt shot from 4 ft
8:28.0,Defensive rebound by T. Gibson,,6-9,,
8:19.0,Turnover by J. Noah (bad pass; steal by I. Smith),,6-9,,
8:14.0,,,6-9,,I. Smith misses 2-pt shot from 12 ft
8:11.0,Defensive rebound by Team,,6-9,,
8:11.0,,,6-9,,N. Noel enters the game for C. Landry
8:00.0,K. Hinrich makes 2-pt shot from 1 ft (assist by J. Noah),2,8-9,,
7:54.0,,,8-9,,Turnover by I. Smith (bad pass; steal by J. Butler)
7:49.0,J. Butler makes 2-pt shot from 2 ft,2,10-9,,
7:43.0,,,10-9,,Philadelphia full timeout
7:43.0,,,10-9,,R. Covington enters the game for J. Sampson
7:38.0,,,10-9,,N. Noel misses 2-pt shot from 14 ft
7:37.0,Defensive rebound by K. Hinrich,,10-9,,
7:29.0,K. Hinrich misses 3-pt shot from 25 ft,,10-9,,
7:27.0,,,10-9,,Defensive rebound by N. Noel
7:19.0,,,10-11,2,N. Noel makes 2-pt shot at rim (assist by I. Smith)
6:54.0,N. Mirotic misses 3-pt shot from 25 ft,,10-11,,
6:52.0,Offensive rebound by T. Gibson,,10-11,,
6:47.0,N. Mirotic misses 3-pt shot from 28 ft,,10-11,,
6:46.0,,,10-11,,Defensive rebound by N. Stauskas
6:38.0,,,10-11,,N. Stauskas misses 2-pt shot from 19 ft
6:37.0,Defensive rebound by J. Noah,,10-11,,
6:26.0,T. Gibson makes 2-pt shot from 18 ft,2,12-11,,
6:03.0,,,12-13,2,J. Okafor makes 2-pt shot from 8 ft
5:47.0,,,12-13,,H. Thompson enters the game for N. Stauskas
5:40.0,J. Butler misses 2-pt shot from 13 ft,,12-13,,
5:34.0,Offensive rebound by J. Noah,,12-13,,
5:33.0,J. Butler misses 2-pt shot from 2 ft (block by N. Noel),,12-13,,
