time,Denver,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. J. Hickson (T. Parker gains possession),,,,Jump ball: T. Duncan vs. J. Hickson (T. Parker gains possession)
11:46.0,,,0-2,2,T. Duncan makes 2-pt shot from 2 ft (assist by T. Parker)
11:26.0,J. Hickson misses 2-pt shot from 11 ft,,0-2,,
11:24.0,Offensive rebound by G. Harris,,0-2,,
11:09.0,E. Mudiay misses 2-pt shot from 4 ft,,0-2,,
11:08.0,,,0-2,,Defensive rebound by K. Leonard
11:03.0,,,0-2,,D. Green misses 3-pt shot from 24 ft
11:02.0,Defensive rebound by D. Gallinari,,0-2,,
10:51.0,K. Faried misses 2-pt shot from 6 ft,,0-2,,
10:50.0,,,0-2,,Defensive rebound by L. Aldridge
10:29.0,,,0-4,2,L. Aldridge makes 2-pt shot from 15 ft (assist by T. Parker)
10:09.0,G. Harris makes 2-pt shot from 15 ft (assist by K. Faried),2,2-4,,
9:52.0,,,2-6,2,L. Aldridge makes 2-pt shot from 17 ft (assist by T. Parker)
9:34.0,G. Harris makes 2-pt shot from 1 ft,2,4-6,,
9:15.0,,,4-6,,T. Parker misses 2-pt shot from 2 ft
9:14.0,Defensive rebound by K. Faried,,4-6,,
9:03.0,J. Hickson misses 2-pt shot from 5 ft,,4-6,,
9:02.0,,,4-6,,Defensive rebound by T. Duncan
8:51.0,,,4-6,,L. Aldridge misses 2-pt shot from 11 ft
8:50.0,,,4-6,,Offensive rebound by T. Duncan
8:46.0,,,4-6,,Turnover by D. Green (bad pass; steal by K. Faried)
8:35.0,J. Hickson misses 2-pt shot from 5 ft (block by T. Duncan),,4-6,,
8:34.0,,,4-6,,Defensive rebound by L. Aldridge
8:24.0,,,4-6,,T. Parker misses 2-pt shot from 5 ft
8:23.0,,,4-6,,Offensive rebound by L. Aldridge
8:23.0,,,4-6,,L. Aldridge misses 2-pt shot from 3 ft
8:22.0,Defensive rebound by K. Faried,,4-6,,
8:08.0,J. Hickson misses 2-pt shot from 11 ft,,4-6,,
8:07.0,,,4-6,,Defensive rebound by Team
7:55.0,,,4-8,2,K. Leonard makes 2-pt shot from 1 ft (assist by T. Duncan)
7:54.0,Denver full timeout,,4-8,,
7:40.0,D. Gallinari misses 2-pt shot from 14 ft,,4-8,,
7:39.0,,,4-8,,Defensive rebound by D. Green
7:27.0,,,4-8,,L. Aldridge misses 2-pt shot from 18 ft
7:26.0,,,4-8,,Offensive rebound by T. Duncan
7:11.0,,,4-10,2,T. Duncan makes 2-pt shot from 7 ft (assist by T. Parker)
6:54.0,E. Mudiay misses 2-pt shot from 16 ft,,4-10,,
6:53.0,,,4-10,,Defensive rebound by D. Green
6:36.0,,,4-10,,Shooting foul by E. Mudiay (drawn by T. Parker)
6:36.0,,,4-11,1,T. Parker makes free throw 1 of 2
6:36.0,N. Jokic enters the game for J. Hickson,,4-11,,
6:36.0,,,4-12,1,T. Parker makes free throw 2 of 2
6:24.0,G. Harris makes 2-pt shot from 2 ft (assist by K. Faried),2,6-12,,
6:15.0,Personal foul by K. Faried (drawn by L. Aldridge),,6-12,,
6:08.0,,,6-14,2,T. Parker makes 2-pt shot from 1 ft
5:56.0,Shooting foul by T. Duncan (drawn by D. Gallinari),,6-14,,
5:56.0,D. Gallinari makes free throw 1 of 2,1,7-14,,
5:56.0,,,7-14,,K. Anderson enters the game for D. Green
5:56.0,D. Gallinari makes free throw 2 of 2,1,8-14,,
5:42.0,,,8-16,2,T. Parker makes 2-pt shot from 6 ft
5:34.0,E. Mudiay misses 2-pt shot from 15 ft,,8-16,,
5:33.0,,,8-16,,Defensive rebound by K. Leonard
5:22.0,,,8-16,,Turnover by T. Parker (bad pass; steal by G. Harris)
5:18.0,Shooting foul by T. Parker (drawn by E. Mudiay),,8-16,,
5:18.0,E. Mudiay makes 2-pt shot from 1 ft (assist by G. Harris),2,10-16,,
5:18.0,,,10-16,,B. Diaw enters the game for T. Duncan
5:18.0,E. Mudiay makes free throw 1 of 1,1,11-16,,
5:03.0,,,11-16,,L. Aldridge misses 2-pt shot from 18 ft
5:02.0,Defensive rebound by D. Gallinari,,11-16,,
4:54.0,D. Gallinari misses 2-pt shot from 4 ft,,11-16,,
4:53.0,Offensive rebound by D. Gallinari,,11-16,,
4:52.0,D. Gallinari misses 2-pt shot from 2 ft,,11-16,,
4:51.0,Offensive rebound by D. Gallinari,,11-16,,
4:50.0,D. Gallinari misses 2-pt shot from 1 ft (block by L. Aldridge),,11-16,,
4:49.0,Offensive rebound by D. Gallinari,,11-16,,
4:49.0,,,11-16,,Personal foul by B. Diaw (drawn by D. Gallinari)
4:41.0,G. Harris makes 3-pt shot from 26 ft (assist by E. Mudiay),3,14-16,,
4:41.0,,,14-16,,San Antonio full timeout
4:41.0,,,14-16,,P. Mills enters the game for T. Parker
4:41.0,,,14-16,,R. Butler enters the game for K. Anderson
4:22.0,,,14-16,,K. Leonard misses 2-pt shot from 10 ft
4:20.0,Defensive rebound by K. Faried,,14-16,,
3:58.0,G. Harris misses 2-pt shot from 1 ft,,14-16,,
3:57.0,,,14-16,,Defensive rebound by P. Mills
3:37.0,,,14-19,3,P. Mills makes 3-pt shot from 25 ft (assist by L. Aldridge)
3:27.0,E. Mudiay misses 2-pt shot from 7 ft,,14-19,,
3:26.0,Offensive rebound by N. Jokic,,14-19,,
3:25.0,N. Jokic misses 2-pt shot from 1 ft,,14-19,,
3:24.0,Offensive rebound by N. Jokic,,14-19,,
3:23.0,N. Jokic misses 2-pt shot from 1 ft (block by P. Mills),,14-19,,
3:22.0,,,14-19,,Defensive rebound by K. Leonard
3:01.0,,,14-22,3,R. Butler makes 3-pt shot from 25 ft (assist by P. Mills)
2:52.0,Denver full timeout,,14-22,,
2:52.0,D. Arthur enters the game for K. Faried,,14-22,,
2:52.0,J. Nelson enters the game for E. Mudiay,,14-22,,
2:45.0,N. Jokic makes 2-pt shot from 8 ft (assist by J. Nelson),2,16-22,,
2:30.0,,,16-22,,B. Diaw misses 2-pt shot from 6 ft
2:30.0,,,16-22,,Offensive rebound by L. Aldridge
2:30.0,,,16-22,,Shooting foul by J. Nelson (drawn by L. Aldridge)
2:30.0,,,16-23,1,L. Aldridge makes free throw 1 of 2
2:30.0,W. Barton enters the game for G. Harris,,16-23,,
2:30.0,,,16-24,1,L. Aldridge makes free throw 2 of 2
2:15.0,N. Jokic makes 2-pt shot from 1 ft (assist by W. Barton),2,18-24,,
1:59.0,,,18-27,3,P. Mills makes 3-pt shot from 25 ft (assist by R. Butler)
1:41.0,N. Jokic makes 2-pt shot from 1 ft (assist by D. Gallinari),2,20-27,,
1:25.0,Personal foul by N. Jokic (drawn by L. Aldridge),,20-27,,
1:25.0,,,20-27,,D. Green enters the game for K. Leonard
1:25.0,,,20-27,,D. West enters the game for L. Aldridge
1:25.0,R. Foye enters the game for D. Gallinari,,20-27,,
1:10.0,,,20-27,,D. Green misses 2-pt shot from 18 ft
1:09.0,Defensive rebound by W. Barton,,20-27,,
0:59.0,D. Arthur misses 2-pt shot from 16 ft,,20-27,,
0:58.0,,,20-27,,Defensive rebound by R. Butler
0:48.0,,,20-27,,Turnover by B. Diaw (bad pass; steal by N. Jokic)
0:41.0,D. Arthur misses 2-pt shot from 6 ft,,20-27,,
0:40.0,Offensive rebound by N. Jokic,,20-27,,
0:40.0,Shooting foul by D. Green (drawn by N. Jokic),,20-27,,
0:40.0,N. Jokic makes free throw 1 of 2,1,21-27,,
0:40.0,N. Jokic makes free throw 2 of 2,1,22-27,,
0:33.0,,,22-29,2,P. Mills makes 2-pt shot from 17 ft
0:17.0,Turnover by R. Foye (bad pass; steal by P. Mills),,22-29,,
0:14.0,,,22-29,,Shooting foul by N. Jokic (drawn by D. Green)
0:14.0,,,22-30,1,D. Green makes free throw 1 of 2
0:14.0,,,22-31,1,D. Green makes free throw 2 of 2
0:03.0,J. Nelson misses 2-pt shot from 22 ft,,22-31,,
0:02.0,Offensive rebound by D. Arthur,,22-31,,
0:01.0,D. Arthur makes 2-pt shot at rim,2,24-31,,
0:00.0,,,24-31,,D. Green misses 3-pt shot from 62 ft
0:00.0,,,24-31,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,D. Arthur makes 2-pt shot from 16 ft (assist by W. Barton),2,26-31,,
11:22.0,,,26-33,2,P. Mills makes 2-pt shot from 16 ft (assist by R. Butler)
11:13.0,W. Barton misses 2-pt shot from 16 ft,,26-33,,
11:12.0,,,26-33,,Defensive rebound by P. Mills
11:02.0,,,26-33,,P. Mills misses 2-pt shot from 17 ft
