time,Portland,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. M. Plumlee (B. Griffin gains possession),,,,Jump ball: D. Jordan vs. M. Plumlee (B. Griffin gains possession)
11:40.0,,,0-0,,Turnover by J. Redick (lost ball)
11:22.0,N. Vonleh makes 2-pt shot from 16 ft (assist by C. McCollum),2,2-0,,
11:11.0,,,2-0,,J. Redick misses 2-pt shot from 16 ft
11:10.0,Defensive rebound by M. Plumlee,,2-0,,
10:57.0,Offensive foul by M. Plumlee,,2-0,,
10:57.0,Turnover by M. Plumlee (offensive foul),,2-0,,
10:46.0,,,2-0,,B. Griffin misses 2-pt shot from 6 ft
10:44.0,Defensive rebound by A. Aminu,,2-0,,
10:37.0,N. Vonleh misses 2-pt shot from 20 ft,,2-0,,
10:36.0,,,2-0,,Defensive rebound by D. Jordan
10:24.0,,,2-2,2,C. Paul makes 2-pt shot from 13 ft (assist by B. Griffin)
9:58.0,N. Vonleh misses 2-pt shot from 17 ft,,2-2,,
9:58.0,Offensive rebound by Team,,2-2,,
9:58.0,Turnover by Team (shot clock),,2-2,,
9:50.0,,,2-4,2,C. Paul makes 2-pt shot from 16 ft
9:32.0,C. McCollum misses 2-pt shot from 12 ft,,2-4,,
9:31.0,Offensive rebound by Team,,2-4,,
9:14.0,A. Aminu misses 2-pt shot from 19 ft,,2-4,,
9:13.0,,,2-4,,Defensive rebound by D. Jordan
9:04.0,,,2-6,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
8:47.0,D. Lillard misses 3-pt shot from 28 ft,,2-6,,
8:46.0,,,2-6,,Defensive rebound by D. Jordan
8:36.0,,,2-6,,B. Griffin misses 2-pt shot from 22 ft
8:36.0,,,2-6,,Offensive rebound by C. Paul
8:26.0,,,2-6,,B. Griffin misses 2-pt shot from 18 ft
8:26.0,,,2-6,,Offensive rebound by D. Jordan
8:25.0,,,2-8,2,D. Jordan makes 2-pt shot from 1 ft
8:25.0,,,2-8,,Shooting foul by M. Plumlee (drawn by D. Jordan)
8:25.0,E. Davis enters the game for M. Plumlee,,2-8,,
8:25.0,,,2-9,1,D. Jordan makes free throw 1 of 1
8:08.0,C. McCollum misses 2-pt shot from 16 ft,,2-9,,
8:08.0,,,2-9,,Defensive rebound by L. Mbah a Moute
7:56.0,,,2-11,2,D. Jordan makes 2-pt shot at rim (assist by L. Mbah a Moute)
7:55.0,Portland full timeout,,2-11,,
7:32.0,A. Aminu misses 2-pt shot from 1 ft,,2-11,,
7:31.0,,,2-11,,Defensive rebound by D. Jordan
7:13.0,,,2-11,,B. Griffin misses 2-pt shot from 2 ft
7:12.0,,,2-11,,Offensive rebound by B. Griffin
7:11.0,,,2-13,2,B. Griffin makes 2-pt shot from 2 ft
6:57.0,Turnover by D. Lillard (bad pass; steal by B. Griffin),,2-13,,
6:54.0,,,2-13,,Shooting foul by N. Vonleh (drawn by D. Jordan)
6:54.0,,,2-13,,D. Jordan misses free throw 1 of 2
6:54.0,,,2-13,,Offensive rebound by Team
