time,Orlando,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. I. Mahinmi (A. Gordon gains possession),,,,Jump ball: D. Dedmon vs. I. Mahinmi (A. Gordon gains possession)
11:48.0,V. Oladipo makes 2-pt shot from 18 ft (assist by D. Dedmon),2,2-0,,
11:26.0,,,2-3,3,M. Ellis makes 3-pt shot from 24 ft (assist by G. Hill)
11:01.0,E. Fournier misses 2-pt shot from 10 ft,,2-3,,
11:00.0,,,2-3,,Defensive rebound by M. Turner
10:54.0,,,2-3,,G. Hill misses 2-pt shot from 2 ft
10:53.0,Defensive rebound by V. Oladipo,,2-3,,
10:40.0,E. Fournier makes 2-pt shot from 19 ft (assist by V. Oladipo),2,4-3,,
10:26.0,,,4-3,,P. George misses 2-pt shot from 19 ft
10:25.0,,,4-3,,Offensive rebound by M. Turner
10:22.0,,,4-6,3,G. Hill makes 3-pt shot from 25 ft (assist by M. Turner)
10:10.0,Turnover by E. Fournier (lost ball; steal by P. George),,4-6,,
10:04.0,,,4-6,,P. George misses 2-pt shot from 1 ft (block by A. Gordon)
10:01.0,,,4-6,,Offensive rebound by P. George
9:53.0,,,4-6,,M. Turner misses 2-pt shot from 16 ft
9:51.0,,,4-6,,Offensive rebound by P. George
9:51.0,,,4-8,2,P. George makes 2-pt shot at rim
9:30.0,A. Gordon misses 2-pt shot at rim (block by M. Turner),,4-8,,
9:28.0,Offensive rebound by A. Gordon,,4-8,,
9:27.0,A. Gordon makes 2-pt shot at rim,2,6-8,,
9:18.0,,,6-8,,Shooting foul by D. Dedmon (drawn by I. Mahinmi)
9:18.0,,,6-8,,I. Mahinmi misses free throw 1 of 2
9:18.0,,,6-8,,Offensive rebound by Team
9:18.0,,,6-9,1,I. Mahinmi makes free throw 2 of 2
8:58.0,Shooting foul by I. Mahinmi (drawn by A. Gordon),,6-9,,
8:58.0,A. Gordon makes free throw 1 of 2,1,7-9,,
8:58.0,A. Gordon makes free throw 2 of 2,1,8-9,,
8:45.0,,,8-9,,M. Ellis misses 2-pt shot from 1 ft
8:44.0,Defensive rebound by E. Payton,,8-9,,
8:31.0,E. Fournier makes 2-pt shot from 18 ft,2,10-9,,
8:03.0,,,10-11,2,M. Ellis makes 2-pt shot from 22 ft
7:54.0,D. Dedmon makes 2-pt shot at rim (assist by E. Payton),2,12-11,,
7:52.0,,,12-11,,Turnover by I. Mahinmi (bad pass)
7:49.0,Turnover by E. Fournier (lost ball; steal by P. George),,12-11,,
7:31.0,,,12-13,2,M. Turner makes 2-pt shot from 16 ft
7:13.0,E. Payton misses 2-pt shot from 12 ft,,12-13,,
7:13.0,Offensive rebound by D. Dedmon,,12-13,,
7:13.0,Shooting foul by M. Ellis (drawn by D. Dedmon),,12-13,,
7:13.0,D. Dedmon makes free throw 1 of 2,1,13-13,,
7:13.0,D. Dedmon misses free throw 2 of 2,,13-13,,
7:13.0,,,13-13,,Defensive rebound by M. Turner
7:04.0,,,13-13,,Shooting foul by D. Dedmon (drawn by M. Turner)
7:04.0,,,13-14,1,M. Turner makes free throw 1 of 2
7:04.0,N. Vucevic enters the game for D. Dedmon,,13-14,,
7:04.0,,,13-15,1,M. Turner makes free throw 2 of 2
6:54.0,V. Oladipo makes 2-pt shot from 11 ft,2,15-15,,
