time,Boston,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. N. Noel (I. Thomas gains possession),,,,Jump ball: A. Johnson vs. N. Noel (I. Thomas gains possession)
11:52.0,E. Turner misses 2-pt shot from 11 ft,,0-0,,
11:49.0,,,0-0,,Defensive rebound by J. Grant
11:45.0,,,0-3,3,H. Thompson makes 3-pt shot from 25 ft (assist by I. Smith)
11:33.0,I. Thomas misses 3-pt shot from 26 ft,,0-3,,
11:32.0,,,0-3,,Defensive rebound by I. Canaan
11:13.0,,,0-3,,N. Noel misses 2-pt shot from 18 ft
11:11.0,Defensive rebound by I. Thomas,,0-3,,
11:04.0,A. Bradley misses 2-pt shot from 21 ft,,0-3,,
11:02.0,,,0-3,,Defensive rebound by N. Noel
10:52.0,,,0-3,,Turnover by H. Thompson (lost ball; steal by I. Thomas)
10:42.0,Shooting foul by I. Smith (drawn by I. Thomas),,0-3,,
10:42.0,I. Thomas makes free throw 1 of 2,1,1-3,,
10:42.0,I. Thomas makes free throw 2 of 2,1,2-3,,
10:32.0,Personal foul by A. Johnson,,2-3,,
10:18.0,,,2-3,,J. Grant misses 2-pt shot at rim
10:17.0,Defensive rebound by A. Johnson,,2-3,,
10:06.0,A. Bradley misses 3-pt shot from 28 ft,,2-3,,
10:04.0,,,2-3,,Defensive rebound by I. Canaan
9:58.0,,,2-6,3,H. Thompson makes 3-pt shot from 25 ft (assist by J. Grant)
9:49.0,I. Thomas makes 2-pt shot from 2 ft,2,4-6,,
9:34.0,,,4-6,,I. Canaan misses 2-pt shot from 12 ft
9:30.0,Defensive rebound by J. Sullinger,,4-6,,
9:28.0,I. Thomas misses 3-pt shot from 24 ft,,4-6,,
9:26.0,,,4-6,,Defensive rebound by I. Smith
9:18.0,,,4-9,3,J. Grant makes 3-pt shot from 23 ft (assist by H. Thompson)
9:04.0,Turnover by J. Sullinger (bad pass),,4-9,,
8:46.0,,,4-9,,N. Noel misses 2-pt shot from 1 ft
8:44.0,Defensive rebound by I. Thomas,,4-9,,
8:40.0,A. Bradley makes 2-pt shot from 1 ft (assist by E. Turner),2,6-9,,
8:20.0,,,6-9,,I. Smith misses 3-pt shot from 25 ft
8:19.0,Defensive rebound by A. Johnson,,6-9,,
8:13.0,J. Sullinger misses 2-pt shot from 1 ft (block by N. Noel),,6-9,,
8:10.0,Offensive rebound by J. Sullinger,,6-9,,
8:03.0,A. Johnson makes 2-pt shot from 3 ft,2,8-9,,
7:42.0,,,8-9,,H. Thompson misses 2-pt shot from 6 ft
7:41.0,Defensive rebound by E. Turner,,8-9,,
7:38.0,,,8-9,,Personal foul by H. Thompson
7:29.0,J. Sullinger misses 2-pt shot from 7 ft,,8-9,,
7:27.0,,,8-9,,Defensive rebound by J. Grant
7:09.0,,,8-9,,I. Canaan misses 3-pt shot from 25 ft
7:06.0,Defensive rebound by I. Thomas,,8-9,,
7:03.0,A. Johnson makes 2-pt shot at rim (assist by I. Thomas),2,10-9,,
7:01.0,,,10-9,,Philadelphia full timeout
6:47.0,,,10-9,,I. Canaan misses 3-pt shot from 25 ft
6:45.0,Defensive rebound by A. Johnson,,10-9,,
6:32.0,A. Bradley makes 2-pt shot from 20 ft (assist by E. Turner),2,12-9,,
6:11.0,,,12-9,,I. Smith misses 2-pt shot from 19 ft
6:10.0,Defensive rebound by E. Turner,,12-9,,
6:03.0,A. Johnson makes 2-pt shot from 5 ft (assist by E. Turner),2,14-9,,
5:47.0,,,14-9,,H. Thompson misses 3-pt shot from 26 ft
5:45.0,Defensive rebound by J. Sullinger,,14-9,,
5:39.0,I. Thomas misses 2-pt shot from 8 ft (block by H. Thompson),,14-9,,
5:37.0,,,14-9,,Defensive rebound by N. Noel
5:33.0,,,14-9,,Shooting foul by I. Thomas (drawn by I. Smith)
5:33.0,,,14-10,1,I. Smith makes free throw 1 of 2
5:33.0,,,14-10,,K. Marshall enters the game for I. Canaan
5:33.0,,,14-10,,N. Stauskas enters the game for H. Thompson
5:33.0,K. Olynyk enters the game for J. Sullinger,,14-10,,
5:33.0,,,14-11,1,I. Smith makes free throw 2 of 2
5:23.0,Shooting foul by N. Stauskas (drawn by A. Bradley),,14-11,,
5:23.0,A. Bradley makes free throw 1 of 2,1,15-11,,
5:23.0,A. Bradley makes free throw 2 of 2,1,16-11,,
5:15.0,,,16-11,,J. Grant misses 2-pt shot from 2 ft
5:13.0,Defensive rebound by I. Thomas,,16-11,,
5:06.0,A. Johnson makes 2-pt shot from 1 ft (assist by I. Thomas),2,18-11,,
4:46.0,,,18-11,,N. Stauskas misses 2-pt shot from 16 ft
4:45.0,,,18-11,,Offensive rebound by N. Noel
4:43.0,,,18-11,,N. Noel misses 2-pt shot from 1 ft (block by A. Johnson)
4:41.0,Defensive rebound by A. Johnson,,18-11,,
4:31.0,,,18-11,,Personal foul by N. Noel
4:31.0,M. Smart enters the game for A. Bradley,,18-11,,
4:23.0,I. Thomas misses 2-pt shot from 19 ft,,18-11,,
4:21.0,Offensive rebound by A. Johnson,,18-11,,
4:17.0,I. Thomas makes 2-pt shot from 5 ft (assist by E. Turner),2,20-11,,
3:59.0,,,20-11,,Offensive charge foul by J. Grant
3:59.0,,,20-11,,Turnover by J. Grant (offensive foul)
3:59.0,,,20-11,,E. Brand enters the game for N. Noel
3:51.0,E. Turner makes 2-pt shot at rim (assist by M. Smart),2,22-11,,
3:50.0,,,22-11,,Philadelphia full timeout
3:50.0,T. Zeller enters the game for A. Johnson,,22-11,,
3:37.0,,,22-11,,N. Stauskas misses 3-pt shot from 26 ft
3:35.0,,,22-11,,Offensive rebound by J. Grant
3:32.0,,,22-11,,K. Marshall misses 3-pt shot from 24 ft
3:30.0,Defensive rebound by E. Turner,,22-11,,
3:20.0,Offensive foul by T. Zeller,,22-11,,
3:20.0,Turnover by T. Zeller (offensive foul),,22-11,,
3:20.0,,,22-11,,T. McConnell enters the game for I. Smith
3:08.0,,,22-11,,T. McConnell misses 2-pt shot from 10 ft
3:07.0,,,22-11,,Offensive rebound by Team
2:54.0,,,22-11,,J. Grant misses 2-pt shot from 7 ft
2:53.0,Defensive rebound by M. Smart,,22-11,,
2:36.0,E. Turner misses 2-pt shot from 12 ft,,22-11,,
2:34.0,,,22-11,,Defensive rebound by E. Brand
2:12.0,,,22-11,,J. Grant misses 3-pt shot from 25 ft
2:11.0,,,22-11,,Offensive rebound by J. Grant
2:11.0,Personal foul by E. Turner,,22-11,,
2:11.0,Boston full timeout,,22-11,,
2:11.0,T. Rozier enters the game for I. Thomas,,22-11,,
2:11.0,,,22-11,,C. Landry enters the game for J. Grant
2:02.0,,,22-11,,E. Brand misses 2-pt shot from 12 ft
2:00.0,Defensive rebound by T. Rozier,,22-11,,
1:45.0,M. Smart makes 2-pt shot from 5 ft,2,24-11,,
1:28.0,,,24-11,,K. Marshall misses 2-pt shot from 6 ft
1:26.0,,,24-11,,Offensive rebound by E. Brand
1:26.0,,,24-13,2,E. Brand makes 2-pt shot at rim
1:26.0,,,24-13,,Shooting foul by T. Zeller (drawn by E. Brand)
1:26.0,,,24-14,1,E. Brand makes free throw 1 of 1
1:12.0,E. Turner makes 2-pt shot from 4 ft (assist by M. Smart),2,26-14,,
0:59.0,Personal foul by T. Rozier,,26-14,,
0:59.0,,,26-14,,N. Stauskas misses free throw 1 of 2
0:59.0,,,26-14,,Offensive rebound by Team
0:59.0,,,26-14,,N. Stauskas misses free throw 2 of 2
0:57.0,Defensive rebound by T. Zeller,,26-14,,
0:47.0,Shooting foul by C. Landry (drawn by T. Zeller),,26-14,,
0:47.0,T. Zeller makes free throw 1 of 2,1,27-14,,
0:47.0,T. Zeller makes free throw 2 of 2,1,28-14,,
0:29.0,,,28-16,2,C. Landry makes 2-pt shot from 7 ft (assist by K. Marshall)
0:12.0,Offensive charge foul by K. Olynyk,,28-16,,
0:12.0,Turnover by K. Olynyk (offensive foul),,28-16,,
0:03.0,,,28-16,,C. Landry misses 3-pt shot from 23 ft
0:01.0,Defensive rebound by E. Turner,,28-16,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,28-18,2,N. Stauskas makes 2-pt shot at rim (assist by E. Brand)
11:32.0,T. Rozier misses 2-pt shot from 15 ft,,28-18,,
11:30.0,Offensive rebound by T. Rozier,,28-18,,
11:27.0,Turnover by T. Rozier (lost ball; steal by E. Brand),,28-18,,
11:13.0,,,28-18,,C. Landry misses 2-pt shot from 2 ft
11:11.0,,,28-18,,Offensive rebound by C. Landry
11:11.0,,,28-18,,C. Landry misses 2-pt shot from 2 ft (block by A. Bradley)
11:11.0,,,28-18,,Offensive rebound by Team
11:07.0,,,28-20,2,C. Landry makes 2-pt shot from 2 ft (assist by T. McConnell)
10:54.0,K. Olynyk misses 3-pt shot from 26 ft,,28-20,,
10:52.0,,,28-20,,Defensive rebound by N. Stauskas
10:46.0,,,28-20,,Turnover by N. Stauskas (lost ball; steal by M. Smart)
10:40.0,K. Olynyk misses 2-pt shot from 1 ft (block by E. Brand),,28-20,,
10:40.0,Offensive rebound by Team,,28-20,,
10:40.0,,,28-20,,H. Thompson enters the game for K. Marshall
10:40.0,J. Sullinger enters the game for K. Olynyk,,28-20,,
10:40.0,,,28-20,,N. Noel enters the game for E. Brand
10:36.0,Turnover by T. Rozier (lost ball; steal by T. McConnell),,28-20,,
10:32.0,,,28-20,,Turnover by T. McConnell (lost ball; steal by A. Bradley)
10:28.0,M. Smart misses 2-pt shot from 20 ft,,28-20,,
10:26.0,Jump ball: C. Landry vs. J. Sullinger (T. Rozier gains possession),,,,Jump ball: C. Landry vs. J. Sullinger (T. Rozier gains possession)
10:26.0,Offensive rebound by Team,,28-20,,
10:21.0,M. Smart misses 3-pt shot from 25 ft,,28-20,,
10:19.0,,,28-20,,Defensive rebound by N. Noel
10:06.0,,,28-22,2,C. Landry makes 2-pt shot from 14 ft (assist by N. Noel)
9:53.0,T. Zeller misses 2-pt shot from 5 ft,,28-22,,
9:51.0,,,28-22,,Defensive rebound by N. Stauskas
9:40.0,,,28-24,2,N. Noel makes 2-pt shot from 6 ft (assist by N. Stauskas)
9:39.0,Boston full timeout,,28-24,,
9:39.0,A. Johnson enters the game for T. Zeller,,28-24,,
9:23.0,T. Rozier misses 2-pt shot from 11 ft,,28-24,,
9:21.0,Offensive rebound by Team,,28-24,,
9:15.0,M. Smart makes 2-pt shot from 5 ft,2,30-24,,
9:00.0,,,30-27,3,N. Stauskas makes 3-pt shot from 22 ft (assist by N. Noel)
8:47.0,J. Sullinger makes 2-pt shot from 19 ft (assist by A. Bradley),2,32-27,,
8:26.0,,,32-29,2,C. Landry makes 2-pt shot from 7 ft
8:17.0,J. Sullinger makes 3-pt shot from 25 ft (assist by T. Rozier),3,35-29,,
8:03.0,,,35-29,,Shooting foul by A. Johnson (drawn by C. Landry)
8:03.0,,,35-30,1,C. Landry makes free throw 1 of 2
8:03.0,,,35-31,1,C. Landry makes free throw 2 of 2
7:51.0,M. Smart makes 3-pt shot from 25 ft (assist by T. Rozier),3,38-31,,
7:35.0,Personal foul by M. Smart,,38-31,,
7:35.0,,,38-31,,J. Grant enters the game for C. Landry
7:21.0,,,38-31,,N. Stauskas misses 2-pt shot from 2 ft
7:19.0,Defensive rebound by A. Johnson,,38-31,,
7:13.0,A. Johnson misses 2-pt shot from 10 ft,,38-31,,
7:11.0,Offensive rebound by A. Johnson,,38-31,,
7:10.0,A. Johnson makes 2-pt shot from 5 ft,2,40-31,,
7:09.0,,,40-31,,Technical foul by Team
7:09.0,A. Bradley makes technical free throw,1,41-31,,
6:58.0,,,41-31,,N. Noel misses 2-pt shot from 2 ft (block by A. Johnson)
6:56.0,Defensive rebound by J. Sullinger,,41-31,,
6:50.0,A. Bradley makes 3-pt shot from 26 ft (assist by T. Rozier),3,44-31,,
6:49.0,,,44-31,,Philadelphia full timeout
6:49.0,,,44-31,,I. Canaan enters the game for N. Stauskas
6:49.0,,,44-31,,I. Smith enters the game for T. McConnell
6:33.0,,,44-31,,Turnover by I. Smith (lost ball; steal by A. Bradley)
6:28.0,M. Smart misses 3-pt shot from 25 ft,,44-31,,
6:24.0,Offensive rebound by T. Rozier,,44-31,,
6:20.0,,,44-31,,Violation by H. Thompson (kicked ball)
6:14.0,J. Sullinger misses 2-pt shot from 2 ft,,44-31,,
6:13.0,Offensive rebound by J. Sullinger,,44-31,,
6:11.0,J. Sullinger misses 2-pt shot at rim (block by J. Grant),,44-31,,
6:11.0,Jump ball: J. Grant vs. J. Sullinger (I. Smith gains possession),,,,Jump ball: J. Grant vs. J. Sullinger (I. Smith gains possession)
6:11.0,,,44-31,,Offensive rebound by Team
6:01.0,,,44-31,,Turnover by N. Noel (lost ball; steal by M. Smart)
6:00.0,,,44-31,,Personal foul by N. Noel
6:00.0,I. Thomas enters the game for T. Rozier,,44-31,,
5:41.0,A. Bradley makes 2-pt shot from 1 ft,2,46-31,,
5:26.0,,,46-31,,J. Grant misses 2-pt shot from 2 ft
5:24.0,Defensive rebound by J. Sullinger,,46-31,,
5:24.0,,,46-31,,Personal foul by H. Thompson
5:13.0,I. Thomas misses 2-pt shot from 15 ft,,46-31,,
5:11.0,,,46-31,,Defensive rebound by N. Noel
4:59.0,,,46-34,3,I. Canaan makes 3-pt shot from 26 ft
