time,Cleveland,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. T. Thompson (S. Ibaka gains possession),,,,Jump ball: S. Adams vs. T. Thompson (S. Ibaka gains possession)
11:44.0,,,0-0,,S. Ibaka misses 2-pt shot from 17 ft
11:43.0,,,0-0,,Offensive rebound by S. Adams
11:37.0,,,0-0,,R. Westbrook misses 2-pt shot from 13 ft
11:36.0,Defensive rebound by K. Irving,,0-0,,
11:19.0,K. Irving makes 2-pt shot from 20 ft,2,2-0,,
11:05.0,,,2-3,3,K. Durant makes 3-pt shot from 24 ft (assist by D. Waiters)
10:53.0,,,2-3,,Personal foul by K. Durant (drawn by K. Love)
10:39.0,K. Love misses 2-pt shot from 11 ft,,2-3,,
10:39.0,Offensive rebound by L. James,,2-3,,
10:31.0,K. Love misses 2-pt shot from 6 ft (block by K. Durant),,2-3,,
10:26.0,Offensive rebound by K. Love,,2-3,,
10:18.0,K. Love misses 3-pt shot from 24 ft,,2-3,,
10:17.0,,,2-3,,Defensive rebound by R. Westbrook
10:14.0,Personal block foul by K. Irving (drawn by R. Westbrook),,2-3,,
10:02.0,,,2-3,,Turnover by S. Adams (traveling)
9:48.0,L. James misses 2-pt shot from 18 ft,,2-3,,
9:47.0,,,2-3,,Defensive rebound by K. Durant
9:41.0,,,2-3,,D. Waiters misses 3-pt shot from 25 ft
9:40.0,Defensive rebound by K. Love,,2-3,,
9:29.0,T. Thompson makes 2-pt shot from 1 ft (assist by L. James),2,4-3,,
9:09.0,,,4-3,,D. Waiters misses 2-pt shot at rim (block by T. Thompson)
9:06.0,Defensive rebound by T. Thompson,,4-3,,
9:01.0,T. Thompson makes 2-pt shot at rim (assist by K. Love),2,6-3,,
8:50.0,,,6-5,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
8:24.0,K. Love makes 2-pt shot from 1 ft,2,8-5,,
8:12.0,,,8-5,,K. Durant misses 3-pt shot from 24 ft
8:11.0,Defensive rebound by K. Love,,8-5,,
7:58.0,,,8-5,,Personal foul by D. Waiters (drawn by K. Love)
7:47.0,J. Smith makes 3-pt shot from 26 ft (assist by L. James),3,11-5,,
7:28.0,,,11-7,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
7:08.0,K. Irving misses 2-pt shot from 22 ft,,11-7,,
7:07.0,,,11-7,,Defensive rebound by Team
6:55.0,,,11-9,2,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook)
6:55.0,,,11-9,,Shooting foul by J. Smith (drawn by S. Adams)
6:55.0,,,11-10,1,S. Adams makes free throw 1 of 1
6:41.0,,,11-10,,Violation by R. Westbrook (kicked ball)
6:32.0,J. Smith makes 3-pt shot from 24 ft (assist by L. James),3,14-10,,
6:20.0,,,14-12,2,R. Westbrook makes 2-pt shot at rim
6:09.0,K. Irving misses 2-pt shot from 2 ft (block by S. Adams),,14-12,,
6:09.0,Offensive rebound by T. Thompson,,14-12,,
6:09.0,Shooting foul by S. Adams (drawn by T. Thompson),,14-12,,
6:09.0,T. Thompson makes free throw 1 of 2,1,15-12,,
6:09.0,T. Thompson misses free throw 2 of 2,,15-12,,
6:08.0,,,15-12,,Defensive rebound by K. Durant
5:56.0,,,15-14,2,K. Durant makes 2-pt shot from 7 ft
5:43.0,K. Irving misses 3-pt shot from 23 ft,,15-14,,
5:42.0,,,15-14,,Defensive rebound by Team
5:42.0,Loose ball foul by T. Thompson (drawn by S. Adams),,15-14,,
5:42.0,,,15-14,,Oklahoma City full timeout
5:19.0,,,15-14,,S. Ibaka misses 2-pt shot from 4 ft
5:19.0,,,15-14,,Offensive rebound by S. Adams
5:16.0,,,15-16,2,S. Ibaka makes 2-pt shot from 5 ft (assist by S. Adams)
4:52.0,K. Love makes 2-pt shot from 18 ft (assist by K. Irving),2,17-16,,
4:31.0,,,17-18,2,K. Durant makes 2-pt shot from 7 ft
4:08.0,L. James misses 2-pt shot from 14 ft,,17-18,,
4:06.0,,,17-18,,Defensive rebound by S. Ibaka
4:02.0,,,17-20,2,R. Westbrook makes 2-pt shot at rim
3:44.0,K. Irving misses 2-pt shot from 2 ft,,17-20,,
3:43.0,,,17-20,,Defensive rebound by R. Westbrook
3:36.0,,,17-20,,D. Waiters misses 3-pt shot from 22 ft
3:36.0,Defensive rebound by J. Smith,,17-20,,
3:31.0,J. Smith misses 2-pt shot at rim (block by K. Durant),,17-20,,
3:30.0,Offensive rebound by L. James,,17-20,,
3:28.0,L. James makes 2-pt shot from 1 ft,2,19-20,,
3:12.0,,,19-22,2,S. Adams makes 2-pt shot from 6 ft (assist by K. Durant)
2:54.0,K. Love makes 2-pt shot from 18 ft (assist by L. James),2,21-22,,
2:44.0,,,21-22,,Shooting foul by J. Smith (drawn by R. Westbrook)
2:44.0,Cleveland full timeout,,21-22,,
2:44.0,,,21-22,,R. Foye enters the game for D. Waiters
2:44.0,M. Dellavedova enters the game for J. Smith,,21-22,,
2:44.0,R. Jefferson enters the game for K. Irving,,21-22,,
2:44.0,,,21-23,1,R. Westbrook makes free throw 1 of 2
2:44.0,,,21-24,1,R. Westbrook makes free throw 2 of 2
2:34.0,L. James makes 2-pt shot at rim (assist by M. Dellavedova),2,23-24,,
2:18.0,,,23-24,,R. Westbrook misses 2-pt shot from 2 ft
2:17.0,Defensive rebound by T. Thompson,,23-24,,
2:10.0,Turnover by L. James (lost ball; steal by S. Ibaka),,23-24,,
2:05.0,Personal block foul by M. Dellavedova (drawn by R. Westbrook),,23-24,,
2:05.0,,,23-25,1,R. Westbrook makes free throw 1 of 2
2:05.0,,,23-25,,E. Kanter enters the game for S. Ibaka
2:05.0,T. Mozgov enters the game for T. Thompson,,23-25,,
2:05.0,,,23-26,1,R. Westbrook makes free throw 2 of 2
1:55.0,L. James makes 2-pt shot at rim (assist by M. Dellavedova),2,25-26,,
1:44.0,,,25-26,,Turnover by R. Westbrook (bad pass)
