time,Atlanta,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. A. Horford (T. Harris gains possession),,,,Jump ball: A. Drummond vs. A. Horford (T. Harris gains possession)
11:47.0,,,0-0,,T. Harris misses 3-pt shot from 26 ft
11:47.0,Defensive rebound by Team,,0-0,,
11:30.0,K. Korver makes 2-pt shot at rim (assist by A. Horford),2,2-0,,
11:06.0,,,2-0,,A. Drummond misses 2-pt shot from 7 ft
11:05.0,Defensive rebound by P. Millsap,,2-0,,
10:47.0,K. Korver misses 3-pt shot from 23 ft,,2-0,,
10:46.0,,,2-0,,Defensive rebound by A. Drummond
10:35.0,,,2-0,,M. Morris misses 3-pt shot from 23 ft
10:34.0,,,2-0,,Offensive rebound by T. Harris
10:30.0,,,2-0,,T. Harris misses 2-pt shot from 2 ft
10:27.0,Defensive rebound by P. Millsap,,2-0,,
10:17.0,A. Horford misses 2-pt shot from 18 ft,,2-0,,
10:16.0,Offensive rebound by J. Teague,,2-0,,
10:12.0,K. Korver makes 2-pt shot from 16 ft (assist by J. Teague),2,4-0,,
9:53.0,,,4-0,,T. Harris misses 2-pt shot from 6 ft
9:51.0,Defensive rebound by J. Teague,,4-0,,
9:36.0,P. Millsap makes 3-pt shot from 25 ft (assist by J. Teague),3,7-0,,
9:21.0,,,7-0,,R. Jackson misses 3-pt shot from 26 ft
9:20.0,,,7-0,,Offensive rebound by A. Drummond
9:18.0,,,7-0,,Turnover by A. Drummond (lost ball; steal by P. Millsap)
9:18.0,,,7-0,,Loose ball foul by A. Drummond
8:57.0,K. Korver misses 2-pt shot from 17 ft,,7-0,,
8:56.0,,,7-0,,Defensive rebound by A. Drummond
8:36.0,,,7-0,,Shooting foul by P. Millsap (drawn by A. Drummond)
8:36.0,,,7-1,1,A. Drummond makes free throw 1 of 2
8:36.0,,,7-2,1,A. Drummond makes free throw 2 of 2
