time,Minnesota,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. K. Towns (A. Aminu gains possession),,,,Jump ball: M. Plumlee vs. K. Towns (A. Aminu gains possession)
11:41.0,,,0-0,,Turnover by C. McCollum (bad pass; steal by K. Towns)
11:23.0,K. Towns misses 2-pt shot from 19 ft,,0-0,,
11:22.0,Offensive rebound by G. Dieng,,0-0,,
11:22.0,Shooting foul by D. Lillard (drawn by G. Dieng),,0-0,,
11:22.0,G. Dieng makes free throw 1 of 2,1,1-0,,
11:22.0,G. Dieng misses free throw 2 of 2,,1-0,,
11:20.0,Offensive rebound by K. Towns,,1-0,,
11:14.0,T. Prince makes 2-pt shot from 20 ft (assist by R. Rubio),2,3-0,,
10:54.0,,,3-0,,M. Plumlee misses 2-pt shot from 4 ft
10:54.0,Defensive rebound by G. Dieng,,3-0,,
10:47.0,A. Wiggins misses 2-pt shot from 1 ft (block by N. Vonleh),,3-0,,
10:46.0,,,3-0,,Defensive rebound by N. Vonleh
10:42.0,,,3-0,,C. McCollum misses 2-pt shot from 20 ft
10:40.0,Defensive rebound by T. Prince,,3-0,,
10:35.0,R. Rubio makes 2-pt shot at rim (assist by T. Prince),2,5-0,,
10:10.0,,,5-0,,D. Lillard misses 3-pt shot from 25 ft
10:09.0,Defensive rebound by T. Prince,,5-0,,
10:02.0,Shooting foul by A. Aminu (drawn by G. Dieng),,5-0,,
10:02.0,G. Dieng makes free throw 1 of 2,1,6-0,,
10:02.0,G. Dieng makes free throw 2 of 2,1,7-0,,
9:48.0,,,7-2,2,C. McCollum makes 2-pt shot from 18 ft
9:29.0,A. Wiggins misses 2-pt shot from 19 ft,,7-2,,
9:28.0,,,7-2,,Defensive rebound by N. Vonleh
9:22.0,,,7-2,,Turnover by D. Lillard (bad pass; steal by K. Towns)
9:20.0,Turnover by K. Towns (bad pass; steal by C. McCollum),,7-2,,
9:14.0,,,7-4,2,N. Vonleh makes 2-pt shot at rim (assist by D. Lillard)
8:55.0,Shooting foul by C. McCollum (drawn by A. Wiggins),,7-4,,
8:55.0,A. Wiggins makes free throw 1 of 2,1,8-4,,
8:55.0,A. Wiggins misses free throw 2 of 2,,8-4,,
8:54.0,,,8-4,,Defensive rebound by M. Plumlee
8:40.0,,,8-6,2,M. Plumlee makes 2-pt shot from 2 ft (assist by D. Lillard)
8:19.0,A. Wiggins misses 2-pt shot from 17 ft,,8-6,,
8:18.0,Offensive rebound by K. Towns,,8-6,,
8:12.0,K. Towns makes 2-pt shot from 1 ft,2,10-6,,
7:52.0,,,10-6,,N. Vonleh misses 2-pt shot from 7 ft
7:51.0,,,10-6,,Offensive rebound by N. Vonleh
7:45.0,,,10-6,,Shooting foul by G. Dieng (drawn by M. Plumlee)
7:45.0,,,10-7,1,M. Plumlee makes free throw 1 of 2
7:45.0,,,10-8,1,M. Plumlee makes free throw 2 of 2
7:31.0,R. Rubio makes 2-pt shot from 18 ft (assist by K. Towns),2,12-8,,
7:17.0,,,12-8,,Turnover by C. McCollum (bad pass; steal by R. Rubio)
