time,Utah,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. D. Favors (T. Lyles gains possession),,,,Jump ball: S. Adams vs. D. Favors (T. Lyles gains possession)
11:35.0,A. Burks makes 2-pt shot from 18 ft,2,2-0,,
11:09.0,,,2-0,,R. Westbrook misses 3-pt shot from 24 ft
11:08.0,Defensive rebound by T. Lyles,,2-0,,
10:45.0,R. Hood misses 3-pt shot from 24 ft,,2-0,,
10:44.0,Offensive rebound by D. Favors,,2-0,,
10:25.0,A. Burks misses 2-pt shot from 3 ft,,2-0,,
10:24.0,,,2-0,,Defensive rebound by A. Roberson
10:14.0,,,2-0,,R. Westbrook misses 3-pt shot from 23 ft
10:13.0,Defensive rebound by T. Lyles,,2-0,,
9:52.0,D. Favors misses 2-pt shot from 13 ft,,2-0,,
9:52.0,,,2-0,,Defensive rebound by K. Durant
9:39.0,,,2-0,,S. Adams misses 2-pt shot from 3 ft
9:39.0,Defensive rebound by G. Hayward,,2-0,,
9:30.0,Turnover by G. Hayward (lost ball; steal by A. Roberson),,2-0,,
9:25.0,,,2-0,,A. Roberson misses 2-pt shot from 2 ft (block by G. Hayward)
9:24.0,Defensive rebound by D. Favors,,2-0,,
9:06.0,Turnover by R. Hood (bad pass; steal by R. Westbrook),,2-0,,
8:56.0,,,2-2,2,R. Westbrook makes 2-pt shot from 8 ft
8:37.0,A. Burks misses 2-pt shot from 2 ft (block by R. Westbrook),,2-2,,
8:36.0,Offensive rebound by D. Favors,,2-2,,
8:29.0,R. Hood misses 3-pt shot from 24 ft,,2-2,,
8:29.0,Offensive rebound by Team,,2-2,,
8:29.0,Turnover by Team (shot clock),,2-2,,
8:18.0,,,2-2,,Shooting foul by R. Hood (drawn by A. Roberson)
8:18.0,,,2-3,1,S. Adams makes free throw 1 of 2
8:18.0,,,2-4,1,S. Adams makes free throw 2 of 2
8:03.0,,,2-4,,Personal foul by A. Roberson (drawn by G. Hayward)
7:48.0,R. Hood makes 2-pt shot from 3 ft,2,4-4,,
7:36.0,,,4-4,,Turnover by K. Durant (lost ball; steal by A. Burks)
7:33.0,G. Hayward makes 2-pt shot at rim (assist by A. Burks),2,6-4,,
7:17.0,,,6-4,,R. Westbrook misses 2-pt shot from 6 ft
7:17.0,Defensive rebound by Team,,6-4,,
7:17.0,,,6-4,,Loose ball foul by S. Adams (drawn by D. Favors)
6:57.0,D. Favors makes 2-pt shot from 12 ft,2,8-4,,
6:37.0,,,8-4,,A. Roberson misses 3-pt shot from 23 ft
6:37.0,Defensive rebound by A. Burks,,8-4,,
6:22.0,R. Hood makes 3-pt shot from 24 ft,3,11-4,,
6:00.0,,,11-6,2,K. Durant makes 2-pt shot from 15 ft (assist by A. Roberson)
5:37.0,R. Hood misses 3-pt shot from 23 ft,,11-6,,
5:36.0,,,11-6,,Defensive rebound by R. Westbrook
