time,Golden State,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. C. Zeller (S. Curry gains possession),,,,Jump ball: A. Bogut vs. C. Zeller (S. Curry gains possession)
11:45.0,K. Thompson makes 2-pt shot from 20 ft (assist by D. Green),2,2-0,,
11:28.0,,,2-0,,Shooting foul by S. Curry (drawn by C. Zeller)
11:28.0,,,2-1,1,C. Zeller makes free throw 1 of 2
11:28.0,,,2-2,1,C. Zeller makes free throw 2 of 2
11:17.0,K. Thompson makes 2-pt shot from 16 ft (assist by D. Green),2,4-2,,
11:07.0,,,4-2,,N. Batum misses 2-pt shot from 22 ft
11:06.0,,,4-2,,Offensive rebound by M. Williams
11:02.0,,,4-2,,M. Williams misses 2-pt shot from 5 ft
11:01.0,,,4-2,,Offensive rebound by N. Batum
11:01.0,,,4-4,2,N. Batum makes 2-pt shot from 1 ft
10:42.0,S. Curry misses 3-pt shot from 23 ft,,4-4,,
10:41.0,,,4-4,,Defensive rebound by N. Batum
10:28.0,,,4-4,,C. Zeller misses 2-pt shot from 1 ft
10:26.0,,,4-4,,Offensive rebound by M. Williams
10:26.0,,,4-6,2,M. Williams makes 2-pt shot from 1 ft
10:20.0,K. Thompson makes 3-pt shot from 25 ft (assist by S. Curry),3,7-6,,
10:09.0,,,7-9,3,N. Batum makes 3-pt shot from 24 ft (assist by P. Hairston)
9:53.0,K. Thompson misses 3-pt shot from 22 ft,,7-9,,
9:52.0,,,7-9,,Defensive rebound by N. Batum
9:42.0,,,7-9,,Turnover by C. Zeller (bad pass)
9:31.0,Turnover by B. Rush (traveling),,7-9,,
9:12.0,,,7-9,,N. Batum misses 3-pt shot from 24 ft
9:11.0,Defensive rebound by A. Bogut,,7-9,,
9:03.0,D. Green makes 2-pt shot from 1 ft (assist by S. Curry),2,9-9,,
8:46.0,,,9-9,,K. Walker misses 2-pt shot from 1 ft (block by D. Green)
8:44.0,Defensive rebound by A. Bogut,,9-9,,
8:40.0,B. Rush makes 3-pt shot from 23 ft (assist by D. Green),3,12-9,,
8:19.0,,,12-9,,M. Williams misses 3-pt shot from 25 ft
8:18.0,Defensive rebound by A. Bogut,,12-9,,
8:04.0,B. Rush misses 3-pt shot from 24 ft,,12-9,,
8:03.0,Offensive rebound by A. Bogut,,12-9,,
7:59.0,K. Thompson makes 3-pt shot from 26 ft (assist by A. Bogut),3,15-9,,
7:39.0,,,15-9,,N. Batum misses 2-pt shot from 20 ft
7:38.0,Defensive rebound by K. Thompson,,15-9,,
