time,Golden State,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. T. Thompson (K. Thompson gains possession),,,,Jump ball: A. Bogut vs. T. Thompson (K. Thompson gains possession)
11:38.0,D. Green misses 3-pt shot from 28 ft,,0-0,,
11:37.0,,,0-0,,Defensive rebound by R. Jefferson
11:22.0,,,0-0,,J. Smith misses 3-pt shot from 27 ft
11:22.0,Defensive rebound by D. Green,,0-0,,
11:12.0,S. Curry misses 2-pt shot from 10 ft,,0-0,,
11:12.0,,,0-0,,Defensive rebound by L. James
11:01.0,,,0-2,2,K. Irving makes 2-pt shot from 12 ft (assist by T. Thompson)
10:47.0,K. Thompson misses 3-pt shot from 25 ft,,0-2,,
10:47.0,Offensive rebound by S. Curry,,0-2,,
10:45.0,Turnover by S. Curry (lost ball; steal by K. Irving),,0-2,,
10:39.0,,,0-4,2,L. James makes 2-pt shot from 1 ft (assist by J. Smith)
10:21.0,K. Thompson misses 2-pt shot from 18 ft,,0-4,,
10:18.0,,,0-4,,Defensive rebound by Team
10:18.0,Loose ball foul by D. Green,,0-4,,
10:00.0,,,0-6,2,K. Irving makes 2-pt shot from 1 ft (assist by L. James)
9:41.0,Turnover by K. Thompson (lost ball),,0-6,,
9:30.0,,,0-9,3,R. Jefferson makes 3-pt shot from 24 ft (assist by K. Irving)
9:30.0,Golden State full timeout,,0-9,,
9:12.0,A. Bogut makes 2-pt shot at rim (assist by D. Green),2,2-9,,
9:00.0,,,2-9,,K. Irving misses 2-pt shot from 15 ft (block by A. Bogut)
9:00.0,,,2-9,,Offensive rebound by Team
8:56.0,,,2-9,,J. Smith misses 3-pt shot from 27 ft
8:56.0,Defensive rebound by Team,,2-9,,
8:40.0,A. Bogut makes 2-pt shot from 6 ft (assist by H. Barnes),2,4-9,,
8:23.0,,,4-9,,K. Irving misses 2-pt shot from 16 ft
8:22.0,Defensive rebound by K. Thompson,,4-9,,
8:02.0,K. Thompson misses 3-pt shot from 23 ft,,4-9,,
8:01.0,,,4-9,,Defensive rebound by R. Jefferson
7:44.0,,,4-9,,R. Jefferson misses 2-pt shot from 6 ft
7:43.0,,,4-9,,Offensive rebound by T. Thompson
7:41.0,,,4-11,2,T. Thompson makes 2-pt shot at rim
7:34.0,Shooting foul by J. Smith (drawn by K. Thompson),,4-11,,
7:34.0,K. Thompson misses free throw 1 of 2,,4-11,,
7:34.0,Offensive rebound by Team,,4-11,,
7:34.0,A. Iguodala enters the game for H. Barnes,,4-11,,
7:34.0,K. Thompson misses free throw 2 of 2,,4-11,,
7:33.0,Offensive rebound by D. Green,,4-11,,
7:28.0,K. Thompson misses 3-pt shot from 26 ft,,4-11,,
7:27.0,,,4-11,,Defensive rebound by K. Irving
7:07.0,,,4-11,,Turnover by L. James (bad pass)
6:57.0,Turnover by S. Curry (lost ball; steal by J. Smith),,4-11,,
6:51.0,,,4-13,2,L. James makes 2-pt shot at rim (assist by R. Jefferson)
6:37.0,A. Bogut misses 2-pt shot from 12 ft,,4-13,,
6:35.0,,,4-13,,Defensive rebound by T. Thompson
6:20.0,,,4-15,2,L. James makes 2-pt shot from 6 ft (assist by K. Irving)
