time,Miami,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. L. Deng (P. Patterson gains possession),,,,Jump ball: B. Biyombo vs. L. Deng (P. Patterson gains possession)
11:43.0,,,0-2,2,D. DeRozan makes 2-pt shot from 20 ft
11:23.0,J. Winslow misses 2-pt shot from 19 ft,,0-2,,
11:23.0,,,0-2,,Defensive rebound by B. Biyombo
11:13.0,,,0-2,,K. Lowry misses 3-pt shot from 25 ft
11:13.0,Defensive rebound by J. Winslow,,0-2,,
11:05.0,G. Dragic misses 3-pt shot from 26 ft,,0-2,,
11:04.0,,,0-2,,Defensive rebound by D. DeRozan
10:53.0,,,0-2,,D. DeRozan misses 2-pt shot from 15 ft
10:53.0,Defensive rebound by D. Wade,,0-2,,
10:45.0,G. Dragic makes 2-pt shot from 3 ft,2,2-2,,
10:23.0,,,2-2,,K. Lowry misses 2-pt shot from 3 ft
10:22.0,,,2-2,,Offensive rebound by K. Lowry
10:22.0,,,2-2,,Shooting foul by J. Winslow (drawn by K. Lowry)
10:22.0,,,2-3,1,K. Lowry makes free throw 1 of 2
10:22.0,,,2-4,1,K. Lowry makes free throw 2 of 2
10:10.0,J. Winslow misses 2-pt shot from 5 ft (block by P. Patterson),,2-4,,
10:10.0,Offensive rebound by J. Winslow,,2-4,,
10:09.0,Jump ball: P. Patterson vs. J. Winslow (D. Wade gains possession),,,,Jump ball: P. Patterson vs. J. Winslow (D. Wade gains possession)
10:02.0,J. Johnson misses 3-pt shot from 23 ft,,2-4,,
10:01.0,,,2-4,,Defensive rebound by D. DeRozan
9:43.0,,,2-4,,D. DeRozan misses 2-pt shot from 21 ft
9:42.0,Defensive rebound by L. Deng,,2-4,,
9:31.0,J. Winslow makes 2-pt shot at rim (assist by J. Johnson),2,4-4,,
9:14.0,,,4-6,2,D. Carroll makes 2-pt shot from 3 ft (assist by K. Lowry)
8:57.0,Turnover by D. Wade (lost ball; steal by K. Lowry),,4-6,,
8:52.0,,,4-8,2,D. DeRozan makes 2-pt shot from 3 ft (assist by K. Lowry)
8:35.0,D. Wade misses 2-pt shot from 6 ft,,4-8,,
8:35.0,Offensive rebound by D. Wade,,4-8,,
8:32.0,Shooting foul by K. Lowry (drawn by J. Winslow),,4-8,,
8:32.0,J. Winslow misses free throw 1 of 2,,4-8,,
8:32.0,Offensive rebound by Team,,4-8,,
8:32.0,J. Winslow makes free throw 2 of 2,1,5-8,,
8:10.0,,,5-8,,K. Lowry misses 3-pt shot from 26 ft
8:10.0,Defensive rebound by G. Dragic,,5-8,,
8:02.0,G. Dragic misses 2-pt shot from 4 ft,,5-8,,
8:00.0,Offensive rebound by G. Dragic,,5-8,,
7:58.0,G. Dragic makes 2-pt shot from 4 ft,2,7-8,,
7:50.0,,,7-8,,P. Patterson misses 3-pt shot from 24 ft
7:50.0,Defensive rebound by Team,,7-8,,
7:40.0,G. Dragic misses 2-pt shot from 22 ft,,7-8,,
7:40.0,,,7-8,,Defensive rebound by D. Carroll
7:27.0,,,7-8,,Shooting foul by G. Dragic (drawn by D. Carroll)
7:27.0,,,7-9,1,D. Carroll makes free throw 1 of 2
7:27.0,,,7-10,1,D. Carroll makes free throw 2 of 2
7:05.0,Turnover by J. Winslow (lost ball; steal by K. Lowry),,7-10,,
7:04.0,Jump ball: K. Lowry vs. J. Winslow (G. Dragic gains possession),,,,Jump ball: K. Lowry vs. J. Winslow (G. Dragic gains possession)
7:04.0,,,7-10,,Turnover by K. Lowry (lost ball; steal by J. Winslow)
6:49.0,L. Deng misses 3-pt shot from 24 ft,,7-10,,
6:49.0,,,7-10,,Defensive rebound by B. Biyombo
6:32.0,,,7-10,,D. DeRozan misses 2-pt shot from 15 ft
6:31.0,,,7-10,,Offensive rebound by P. Patterson
6:31.0,,,7-10,,Shooting foul by D. Wade (drawn by P. Patterson)
6:31.0,Violation by Team (jump ball),,7-10,,
6:31.0,,,7-11,1,P. Patterson makes free throw 1 of 2
6:31.0,,,7-12,1,P. Patterson makes free throw 2 of 2
6:14.0,D. Wade makes 2-pt shot from 18 ft,2,9-12,,
5:59.0,,,9-14,2,K. Lowry makes 2-pt shot from 2 ft
5:52.0,,,9-14,,Personal foul by B. Biyombo
5:52.0,,,9-14,,Toronto full timeout
5:52.0,J. Richardson enters the game for G. Dragic,,9-14,,
5:42.0,L. Deng makes 2-pt shot from 1 ft (assist by D. Wade),2,11-14,,
5:22.0,,,11-14,,Shooting foul by D. Wade (drawn by D. Carroll)
5:22.0,,,11-15,1,D. Carroll makes free throw 1 of 2
5:22.0,T. Johnson enters the game for D. Wade,,11-15,,
5:22.0,,,11-16,1,D. Carroll makes free throw 2 of 2
5:05.0,Shooting foul by D. Carroll (drawn by L. Deng),,11-16,,
5:05.0,L. Deng makes free throw 1 of 2,1,12-16,,
5:05.0,L. Deng makes free throw 2 of 2,1,13-16,,
4:53.0,,,13-16,,D. DeRozan misses 2-pt shot from 19 ft
4:52.0,Defensive rebound by J. Richardson,,13-16,,
4:32.0,L. Deng makes 2-pt shot from 2 ft (assist by T. Johnson),2,15-16,,
4:12.0,,,15-18,2,D. DeRozan makes 2-pt shot from 17 ft
3:45.0,L. Deng misses 3-pt shot from 25 ft,,15-18,,
3:45.0,,,15-18,,Defensive rebound by P. Patterson
3:35.0,,,15-18,,Shooting foul by T. Johnson (drawn by D. DeRozan)
3:35.0,,,15-19,1,D. DeRozan makes free throw 1 of 2
3:35.0,,,15-19,,T. Ross enters the game for D. Carroll
3:35.0,,,15-19,,D. DeRozan misses free throw 2 of 2
3:34.0,Defensive rebound by J. Johnson,,15-19,,
3:29.0,Miami full timeout,,15-19,,
3:29.0,G. Dragic enters the game for J. Johnson,,15-19,,
3:16.0,J. Winslow misses 2-pt shot from 4 ft,,15-19,,
3:16.0,Offensive rebound by L. Deng,,15-19,,
3:04.0,J. Winslow makes 3-pt shot from 23 ft (assist by G. Dragic),3,18-19,,
2:50.0,,,18-19,,Turnover by K. Lowry (lost ball; steal by J. Winslow)
