time,Miami,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:41.0,,,0-0,,N. Vucevic misses 2-pt shot from 7 ft
12:00.0,Jump ball: A. Stoudemire vs. N. Vucevic (E. Payton gains possession),,,,Jump ball: A. Stoudemire vs. N. Vucevic (E. Payton gains possession)
11:38.0,Defensive rebound by L. Deng,,0-0,,
11:18.0,A. Stoudemire makes 2-pt shot from 9 ft,2,2-0,,
11:01.0,,,2-0,,V. Oladipo misses 2-pt shot from 13 ft
10:59.0,Defensive rebound by A. Stoudemire,,2-0,,
10:44.0,G. Dragic misses 2-pt shot from 2 ft,,2-0,,
10:44.0,Offensive rebound by G. Dragic,,2-0,,
10:44.0,Shooting foul by E. Payton (drawn by G. Dragic),,2-0,,
10:44.0,G. Dragic makes free throw 1 of 2,1,3-0,,
10:44.0,G. Dragic makes free throw 2 of 2,1,4-0,,
10:27.0,,,4-0,,N. Vucevic misses 2-pt shot at rim
10:26.0,Defensive rebound by G. Dragic,,4-0,,
10:21.0,G. Dragic misses 2-pt shot from 2 ft (block by V. Oladipo),,4-0,,
10:18.0,,,4-0,,Defensive rebound by E. Payton
10:16.0,,,4-2,2,E. Fournier makes 2-pt shot from 2 ft (assist by E. Payton)
10:16.0,,,4-2,,Shooting foul by D. Wade (drawn by E. Fournier)
10:16.0,,,4-3,1,E. Fournier makes free throw 1 of 1
10:05.0,,,4-3,,Personal foul by E. Fournier
9:58.0,Turnover by G. Dragic (traveling),,4-3,,
9:42.0,,,4-3,,Shooting foul by G. Dragic (drawn by E. Payton)
9:42.0,,,4-3,,E. Payton misses free throw 1 of 2
9:42.0,,,4-3,,Offensive rebound by Team
9:42.0,,,4-3,,E. Payton misses free throw 2 of 2
9:41.0,Defensive rebound by L. Deng,,4-3,,
9:22.0,D. Wade misses 2-pt shot from 16 ft,,4-3,,
9:21.0,,,4-3,,Defensive rebound by E. Fournier
9:12.0,,,4-3,,E. Ilyasova misses 3-pt shot from 25 ft
9:11.0,,,4-3,,Offensive rebound by N. Vucevic
8:56.0,,,4-3,,E. Ilyasova misses 2-pt shot from 16 ft
8:55.0,,,4-3,,Offensive rebound by Team
8:55.0,,,4-3,,Turnover by Team (shot clock)
8:44.0,A. Stoudemire makes 2-pt shot at rim (assist by D. Wade),2,6-3,,
8:27.0,,,6-5,2,N. Vucevic makes 2-pt shot from 7 ft
8:07.0,J. Johnson misses 2-pt shot from 4 ft,,6-5,,
8:06.0,Offensive rebound by L. Deng,,6-5,,
8:06.0,L. Deng makes 2-pt shot from 1 ft,2,8-5,,
7:59.0,,,8-7,2,E. Payton makes 2-pt shot from 1 ft
7:36.0,G. Dragic makes 2-pt shot from 14 ft (assist by D. Wade),2,10-7,,
7:22.0,,,10-9,2,N. Vucevic makes 2-pt shot from 16 ft (assist by E. Payton)
7:01.0,J. Johnson misses 3-pt shot from 24 ft,,10-9,,
7:00.0,Offensive rebound by L. Deng,,10-9,,
6:54.0,G. Dragic misses 3-pt shot from 25 ft,,10-9,,
6:52.0,,,10-9,,Defensive rebound by E. Ilyasova
6:45.0,,,10-9,,Shooting foul by A. Stoudemire (drawn by N. Vucevic)
6:45.0,,,10-10,1,N. Vucevic makes free throw 1 of 2
6:45.0,J. Richardson enters the game for G. Dragic,,10-10,,
6:45.0,,,10-11,1,N. Vucevic makes free throw 2 of 2
6:34.0,D. Wade misses 2-pt shot from 10 ft,,10-11,,
6:32.0,Offensive rebound by A. Stoudemire,,10-11,,
6:27.0,Turnover by D. Wade (lost ball),,10-11,,
6:14.0,,,10-11,,V. Oladipo misses 2-pt shot from 18 ft
6:12.0,Defensive rebound by L. Deng,,10-11,,
6:04.0,A. Stoudemire misses 2-pt shot from 5 ft (block by N. Vucevic),,10-11,,
6:03.0,Offensive rebound by A. Stoudemire,,10-11,,
5:48.0,L. Deng makes 3-pt shot from 23 ft (assist by J. Richardson),3,13-11,,
5:38.0,,,13-11,,E. Payton misses 2-pt shot from 1 ft (block by J. Richardson)
5:35.0,Defensive rebound by L. Deng,,13-11,,
5:32.0,Turnover by A. Stoudemire (offensive foul),,13-11,,
5:32.0,Offensive foul by A. Stoudemire,,13-11,,
5:32.0,,,13-11,,Orlando full timeout
5:32.0,H. Whiteside enters the game for A. Stoudemire,,13-11,,
5:18.0,,,13-11,,N. Vucevic misses 2-pt shot from 6 ft
5:17.0,Defensive rebound by L. Deng,,13-11,,
5:11.0,Turnover by D. Wade (bad pass),,13-11,,
5:00.0,,,13-11,,Turnover by E. Payton (lost ball; steal by D. Wade)
4:57.0,D. Wade makes 2-pt shot from 2 ft,2,15-11,,
4:41.0,,,15-13,2,N. Vucevic makes 2-pt shot from 2 ft (assist by E. Fournier)
4:24.0,H. Whiteside misses 2-pt shot from 8 ft,,15-13,,
4:22.0,,,15-13,,Defensive rebound by E. Fournier
4:14.0,,,15-15,2,E. Ilyasova makes 2-pt shot from 6 ft (assist by E. Fournier)
4:08.0,Miami full timeout,,15-15,,
4:08.0,G. Green enters the game for L. Deng,,15-15,,
4:08.0,J. Winslow enters the game for D. Wade,,15-15,,
3:51.0,J. Johnson misses 3-pt shot from 23 ft,,15-15,,
3:50.0,,,15-15,,Defensive rebound by E. Payton
3:36.0,,,15-15,,E. Fournier misses 2-pt shot from 8 ft
3:35.0,Defensive rebound by J. Richardson,,15-15,,
3:17.0,J. Winslow makes 2-pt shot from 7 ft (assist by J. Richardson),2,17-15,,
3:02.0,,,17-15,,N. Vucevic misses 2-pt shot from 11 ft
3:01.0,Defensive rebound by J. Winslow,,17-15,,
2:50.0,H. Whiteside makes 2-pt shot from 20 ft,2,19-15,,
2:36.0,,,19-17,2,E. Payton makes 2-pt shot from 7 ft
2:15.0,H. Whiteside misses 2-pt shot from 7 ft,,19-17,,
2:13.0,,,19-17,,Defensive rebound by E. Ilyasova
2:07.0,,,19-17,,V. Oladipo misses 2-pt shot from 1 ft
2:05.0,Defensive rebound by H. Whiteside,,19-17,,
2:00.0,J. Richardson misses 3-pt shot from 24 ft,,19-17,,
1:59.0,,,19-17,,Defensive rebound by N. Vucevic
1:49.0,,,19-17,,E. Ilyasova misses 3-pt shot from 25 ft
1:48.0,Defensive rebound by Team,,19-17,,
1:47.0,,,19-17,,M. Hezonja enters the game for E. Fournier
1:47.0,,,19-17,,J. Smith enters the game for N. Vucevic
1:47.0,,,19-17,,C. Watson enters the game for E. Payton
1:47.0,G. Dragic enters the game for J. Johnson,,19-17,,
1:35.0,G. Green makes 3-pt shot from 25 ft (assist by G. Dragic),3,22-17,,
1:15.0,,,22-19,2,M. Hezonja makes 2-pt shot from 2 ft
0:56.0,J. Winslow makes 2-pt shot from 1 ft (assist by J. Richardson),2,24-19,,
0:43.0,,,24-19,,V. Oladipo misses 2-pt shot from 8 ft (block by H. Whiteside)
0:40.0,Defensive rebound by G. Dragic,,24-19,,
0:34.0,G. Green makes 3-pt shot from 25 ft (assist by G. Dragic),3,27-19,,
0:17.0,,,27-19,,J. Smith misses 2-pt shot from 16 ft
0:16.0,Defensive rebound by H. Whiteside,,27-19,,
0:06.0,,,27-19,,Personal take foul by C. Watson
0:00.0,H. Whiteside misses 2-pt shot from 4 ft (block by V. Oladipo),,27-19,,
0:00.0,Offensive rebound by Team,,27-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,G. Green makes 2-pt shot from 17 ft,2,29-19,,
11:34.0,,,29-19,,J. Smith misses 2-pt shot from 15 ft
11:33.0,,,29-19,,Offensive rebound by E. Fournier
11:32.0,,,29-19,,Turnover by E. Fournier (lost ball; steal by J. Winslow)
11:18.0,G. Green misses 2-pt shot from 12 ft,,29-19,,
11:17.0,,,29-19,,Defensive rebound by J. Smith
11:04.0,,,29-19,,J. Smith misses 2-pt shot from 16 ft
11:03.0,Defensive rebound by G. Dragic,,29-19,,
10:47.0,J. Richardson misses 2-pt shot from 2 ft,,29-19,,
10:45.0,Offensive rebound by H. Whiteside,,29-19,,
10:45.0,H. Whiteside misses 2-pt shot from 2 ft,,29-19,,
10:42.0,,,29-19,,Defensive rebound by E. Fournier
10:32.0,,,29-21,2,M. Hezonja makes 2-pt shot from 18 ft (assist by E. Fournier)
10:12.0,G. Green misses 3-pt shot from 23 ft,,29-21,,
10:11.0,,,29-21,,Defensive rebound by C. Watson
10:10.0,Personal foul by G. Green,,29-21,,
10:02.0,,,29-23,2,C. Watson makes 2-pt shot from 2 ft
9:38.0,J. Winslow misses 2-pt shot from 7 ft,,29-23,,
9:38.0,Offensive rebound by H. Whiteside,,29-23,,
9:38.0,,,29-23,,Personal foul by D. Marble
9:38.0,H. Whiteside misses free throw 1 of 2,,29-23,,
9:38.0,Offensive rebound by Team,,29-23,,
9:38.0,L. Deng enters the game for G. Green,,29-23,,
9:38.0,H. Whiteside misses free throw 2 of 2,,29-23,,
9:37.0,,,29-23,,Defensive rebound by D. Marble
9:26.0,,,29-23,,D. Marble misses 2-pt shot from 14 ft
9:24.0,Defensive rebound by H. Whiteside,,29-23,,
9:11.0,H. Whiteside makes 2-pt shot from 4 ft,2,31-23,,
9:11.0,Shooting foul by D. Marble (drawn by H. Whiteside),,31-23,,
9:11.0,H. Whiteside misses free throw 1 of 1,,31-23,,
9:11.0,,,31-23,,Defensive rebound by D. Marble
9:00.0,,,31-25,2,M. Hezonja makes 2-pt shot from 21 ft
8:50.0,Offensive foul by G. Dragic,,31-25,,
8:50.0,Turnover by G. Dragic (offensive foul),,31-25,,
8:50.0,Official timeout,,31-25,,
8:50.0,G. Green enters the game for G. Dragic,,31-25,,
8:40.0,,,31-25,,J. Smith misses 2-pt shot from 19 ft
8:38.0,Defensive rebound by H. Whiteside,,31-25,,
8:18.0,G. Green misses 2-pt shot from 7 ft (block by J. Smith),,31-25,,
8:16.0,Offensive rebound by H. Whiteside,,31-25,,
8:16.0,H. Whiteside makes 2-pt shot from 2 ft,2,33-25,,
7:58.0,,,33-27,2,J. Smith makes 2-pt shot from 1 ft (assist by M. Hezonja)
7:48.0,Turnover by J. Richardson (step out of bounds),,33-27,,
7:33.0,,,33-29,2,E. Fournier makes 2-pt shot from 3 ft
7:22.0,Miami full timeout,,33-29,,
7:22.0,,,33-29,,N. Vucevic enters the game for J. Smith
7:22.0,,,33-29,,V. Oladipo enters the game for D. Marble
7:22.0,U. Haslem enters the game for H. Whiteside,,33-29,,
7:22.0,D. Wade enters the game for J. Winslow,,33-29,,
7:03.0,J. Richardson misses 2-pt shot from 17 ft,,33-29,,
7:02.0,,,33-29,,Defensive rebound by Team
6:42.0,,,33-31,2,E. Fournier makes 2-pt shot from 10 ft
6:42.0,,,33-31,,Shooting foul by G. Green (drawn by E. Fournier)
6:42.0,,,33-32,1,E. Fournier makes free throw 1 of 1
6:27.0,D. Wade makes 2-pt shot from 13 ft (assist by G. Green),2,35-32,,
6:15.0,,,35-32,,N. Vucevic misses 2-pt shot from 2 ft
6:15.0,,,35-32,,Offensive rebound by Team
6:15.0,J. Johnson enters the game for J. Richardson,,35-32,,
6:15.0,G. Dragic enters the game for G. Green,,35-32,,
6:08.0,,,35-35,3,E. Fournier makes 3-pt shot from 26 ft (assist by M. Hezonja)
5:47.0,L. Deng misses 2-pt shot from 16 ft,,35-35,,
5:46.0,,,35-35,,Defensive rebound by N. Vucevic
5:33.0,,,35-35,,Shooting foul by L. Deng (drawn by E. Fournier)
5:33.0,,,35-35,,E. Fournier misses free throw 1 of 2
5:33.0,,,35-35,,Offensive rebound by Team
5:33.0,,,35-36,1,E. Fournier makes free throw 2 of 2
5:13.0,J. Johnson makes 2-pt shot from 8 ft,2,37-36,,
4:59.0,,,37-38,2,V. Oladipo makes 2-pt shot from 13 ft
4:46.0,U. Haslem makes 2-pt shot from 6 ft (assist by G. Dragic),2,39-38,,
4:32.0,,,39-40,2,V. Oladipo makes 2-pt shot from 2 ft
4:14.0,J. Johnson makes 2-pt shot from 8 ft,2,41-40,,
4:05.0,,,41-40,,C. Watson misses 2-pt shot from 2 ft
4:04.0,Defensive rebound by U. Haslem,,41-40,,
3:57.0,U. Haslem makes 2-pt shot from 2 ft (assist by D. Wade),2,43-40,,
3:46.0,,,43-40,,Shooting foul by U. Haslem (drawn by E. Fournier)
3:46.0,,,43-41,1,E. Fournier makes free throw 1 of 2
3:46.0,H. Whiteside enters the game for U. Haslem,,43-41,,
3:46.0,,,43-42,1,E. Fournier makes free throw 2 of 2
3:30.0,Turnover by J. Johnson (lost ball; steal by N. Vucevic),,43-42,,
3:20.0,,,43-44,2,N. Vucevic makes 2-pt shot from 2 ft (assist by M. Hezonja)
3:02.0,L. Deng makes 3-pt shot from 23 ft (assist by J. Johnson),3,46-44,,
2:50.0,Personal foul by H. Whiteside,,46-44,,
2:50.0,,,46-44,,Orlando full timeout
2:50.0,,,46-44,,E. Payton enters the game for M. Hezonja
2:50.0,,,46-44,,N. Vucevic misses free throw 1 of 2
2:50.0,,,46-44,,Offensive rebound by Team
2:50.0,,,46-45,1,N. Vucevic makes free throw 2 of 2
2:38.0,D. Wade misses 2-pt shot from 8 ft (block by N. Vucevic),,46-45,,
2:36.0,,,46-45,,Defensive rebound by V. Oladipo
2:32.0,Personal foul by H. Whiteside,,46-45,,
2:32.0,,,46-46,1,N. Vucevic makes free throw 1 of 2
2:32.0,,,46-47,1,N. Vucevic makes free throw 2 of 2
2:22.0,D. Wade misses 2-pt shot from 13 ft,,46-47,,
2:21.0,,,46-47,,Defensive rebound by E. Fournier
2:18.0,,,46-47,,Turnover by E. Fournier (offensive foul)
2:18.0,,,46-47,,Offensive charge foul by E. Fournier
2:00.0,G. Dragic misses 2-pt shot from 8 ft,,46-47,,
1:58.0,Offensive rebound by L. Deng,,46-47,,
1:58.0,L. Deng makes 2-pt shot from 1 ft,2,48-47,,
1:45.0,,,48-49,2,N. Vucevic makes 2-pt shot at rim (assist by E. Payton)
1:31.0,G. Dragic misses 3-pt shot from 25 ft,,48-49,,
1:29.0,Offensive rebound by G. Dragic,,48-49,,
1:24.0,L. Deng misses 2-pt shot from 8 ft,,48-49,,
1:22.0,Offensive rebound by H. Whiteside,,48-49,,
1:22.0,H. Whiteside misses 2-pt shot from 1 ft,,48-49,,
1:20.0,Offensive rebound by H. Whiteside,,48-49,,
1:20.0,H. Whiteside makes 2-pt shot from 1 ft,2,50-49,,
1:10.0,,,50-49,,V. Oladipo misses 2-pt shot from 20 ft
1:08.0,Defensive rebound by H. Whiteside,,50-49,,
1:02.0,G. Dragic makes 2-pt shot from 2 ft,2,52-49,,
0:58.0,,,52-51,2,V. Oladipo makes 2-pt shot from 2 ft (assist by E. Payton)
0:45.0,J. Johnson makes 2-pt shot from 8 ft,2,54-51,,
0:37.0,,,54-51,,Turnover by E. Payton (traveling)
0:37.0,U. Haslem enters the game for H. Whiteside,,54-51,,
0:37.0,J. Richardson enters the game for G. Dragic,,54-51,,
0:26.0,,,54-51,,Personal foul by V. Oladipo
0:17.0,D. Wade misses 2-pt shot from 9 ft,,54-51,,
0:17.0,Offensive rebound by Team,,54-51,,
0:17.0,,,54-51,,Loose ball foul by E. Payton
0:17.0,U. Haslem misses free throw 1 of 2,,54-51,,
0:17.0,Offensive rebound by Team,,54-51,,
0:17.0,J. Winslow enters the game for J. Johnson,,54-51,,
0:17.0,U. Haslem makes free throw 2 of 2,1,55-51,,
0:03.0,,,55-53,2,N. Vucevic makes 2-pt shot from 8 ft (assist by E. Payton)
0:00.0,D. Wade misses 3-pt shot from 39 ft,,55-53,,
0:00.0,Offensive rebound by Team,,55-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
