time,New York,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. R. Lopez (Z. Randolph gains possession),,,,Jump ball: M. Gasol vs. R. Lopez (Z. Randolph gains possession)
11:42.0,,,0-0,,M. Gasol misses 2-pt shot from 18 ft
11:41.0,Defensive rebound by A. Afflalo,,0-0,,
11:26.0,R. Lopez makes 2-pt shot from 15 ft (assist by K. Porzingis),2,2-0,,
11:07.0,,,2-2,2,M. Gasol makes 2-pt shot from 15 ft (assist by M. Chalmers)
10:53.0,K. Porzingis misses 2-pt shot from 18 ft,,2-2,,
10:52.0,,,2-2,,Defensive rebound by M. Gasol
10:41.0,,,2-4,2,Z. Randolph makes 2-pt shot from 17 ft (assist by M. Chalmers)
10:12.0,A. Afflalo misses 2-pt shot from 11 ft,,2-4,,
10:11.0,,,2-4,,Defensive rebound by Z. Randolph
10:00.0,,,2-6,2,M. Gasol makes 2-pt shot from 6 ft (assist by M. Chalmers)
9:49.0,Shooting foul by C. Lee (drawn by L. Galloway),,2-6,,
9:49.0,L. Galloway makes free throw 1 of 2,1,3-6,,
9:49.0,L. Galloway makes free throw 2 of 2,1,4-6,,
9:27.0,,,4-8,2,Z. Randolph makes 2-pt shot from 16 ft
9:09.0,R. Lopez misses 2-pt shot from 4 ft (block by M. Gasol),,4-8,,
9:07.0,,,4-8,,Defensive rebound by M. Gasol
8:59.0,,,4-10,2,M. Gasol makes 2-pt shot from 22 ft (assist by M. Chalmers)
8:47.0,K. Porzingis makes 3-pt shot from 25 ft (assist by J. Calderon),3,7-10,,
8:31.0,,,7-10,,Z. Randolph misses 2-pt shot from 5 ft (block by R. Lopez)
8:31.0,,,7-10,,Offensive rebound by Z. Randolph
8:31.0,,,7-12,2,Z. Randolph makes 2-pt shot from 5 ft
8:31.0,,,7-12,,Shooting foul by R. Lopez (drawn by Z. Randolph)
8:31.0,,,7-13,1,Z. Randolph makes free throw 1 of 1
8:20.0,L. Galloway misses 2-pt shot from 7 ft,,7-13,,
8:18.0,Offensive rebound by L. Galloway,,7-13,,
8:14.0,J. Calderon misses 3-pt shot from 25 ft,,7-13,,
8:14.0,,,7-13,,Defensive rebound by T. Allen
8:07.0,,,7-13,,T. Allen misses 2-pt shot from 2 ft
8:03.0,Defensive rebound by L. Galloway,,7-13,,
7:57.0,K. Porzingis makes 2-pt shot from 8 ft,2,9-13,,
7:37.0,,,9-13,,Z. Randolph misses 2-pt shot at rim (block by R. Lopez)
7:36.0,Defensive rebound by L. Galloway,,9-13,,
7:32.0,L. Galloway makes 2-pt shot from 1 ft,2,11-13,,
7:26.0,,,11-13,,Shooting foul by R. Lopez (drawn by T. Allen)
7:26.0,,,11-14,1,T. Allen makes free throw 1 of 2
7:26.0,K. O'Quinn enters the game for R. Lopez,,11-14,,
7:26.0,,,11-14,,T. Allen misses free throw 2 of 2
7:25.0,Defensive rebound by A. Afflalo,,11-14,,
7:15.0,Offensive foul by K. O'Quinn,,11-14,,
7:15.0,Turnover by K. O'Quinn (offensive foul),,11-14,,
6:54.0,Jump ball: L. Galloway vs. M. Gasol (Z. Randolph gains possession),,,,Jump ball: L. Galloway vs. M. Gasol (Z. Randolph gains possession)
6:48.0,,,11-14,,Z. Randolph misses 2-pt shot from 4 ft
6:47.0,Defensive rebound by L. Galloway,,11-14,,
6:36.0,K. Porzingis makes 2-pt shot from 9 ft (assist by A. Afflalo),2,13-14,,
6:26.0,,,13-14,,Shooting foul by K. Porzingis (drawn by M. Chalmers)
6:26.0,,,13-15,1,M. Chalmers makes free throw 1 of 2
6:26.0,,,13-16,1,M. Chalmers makes free throw 2 of 2
6:16.0,J. Calderon makes 2-pt shot from 19 ft,2,15-16,,
6:01.0,,,15-16,,M. Gasol misses 2-pt shot from 19 ft
6:01.0,Defensive rebound by K. Porzingis,,15-16,,
5:45.0,K. Porzingis makes 2-pt shot from 1 ft,2,17-16,,
5:45.0,Shooting foul by T. Allen (drawn by K. Porzingis),,17-16,,
5:45.0,,,17-16,,Memphis full timeout
5:45.0,,,17-16,,J. Green enters the game for T. Allen
5:45.0,,,17-16,,M. Barnes enters the game for Z. Randolph
5:45.0,K. Porzingis makes free throw 1 of 1,1,18-16,,
5:35.0,Personal foul by K. O'Quinn (drawn by M. Gasol),,18-16,,
5:35.0,L. Thomas enters the game for K. Porzingis,,18-16,,
5:23.0,,,18-18,2,M. Gasol makes 2-pt shot from 1 ft
5:11.0,J. Calderon makes 2-pt shot from 18 ft,2,20-18,,
4:56.0,,,20-18,,M. Gasol misses 2-pt shot from 7 ft
4:54.0,Defensive rebound by L. Galloway,,20-18,,
4:42.0,A. Afflalo misses 3-pt shot from 24 ft,,20-18,,
4:41.0,,,20-18,,Defensive rebound by M. Gasol
4:29.0,Def 3 sec tech foul by K. O'Quinn,,20-18,,
4:29.0,,,20-19,1,C. Lee makes technical free throw
4:18.0,,,20-21,2,J. Green makes 2-pt shot from 17 ft
4:03.0,A. Afflalo makes 2-pt shot from 10 ft (assist by L. Thomas),2,22-21,,
3:50.0,,,22-21,,Shooting foul by L. Thomas (drawn by J. Green)
3:50.0,,,22-22,1,J. Green makes free throw 1 of 2
3:50.0,D. Williams enters the game for L. Galloway,,22-22,,
3:50.0,,,22-23,1,J. Green makes free throw 2 of 2
3:40.0,Shooting foul by J. Green (drawn by L. Thomas),,22-23,,
3:40.0,L. Thomas makes free throw 1 of 2,1,23-23,,
3:40.0,L. Thomas makes free throw 2 of 2,1,24-23,,
3:26.0,,,24-23,,J. Green misses 2-pt shot from 2 ft
