time,Brooklyn,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. B. Lopez (T. Young gains possession),,,,Jump ball: A. Johnson vs. B. Lopez (T. Young gains possession)
11:42.0,T. Young makes 2-pt shot from 1 ft (assist by J. Johnson),2,2-0,,
11:32.0,,,2-0,,Turnover by J. Sullinger (bad pass; steal by B. Lopez)
11:14.0,T. Young misses 2-pt shot from 21 ft,,2-0,,
11:13.0,,,2-0,,Defensive rebound by A. Bradley
11:05.0,Personal foul by T. Young (drawn by J. Sullinger),,2-0,,
11:01.0,,,2-0,,Offensive charge foul by J. Sullinger
11:01.0,,,2-0,,Turnover by J. Sullinger (offensive foul)
10:44.0,B. Lopez makes 2-pt shot from 8 ft (assist by J. Jack),2,4-0,,
10:29.0,,,4-0,,I. Thomas misses 3-pt shot from 24 ft
10:28.0,Defensive rebound by B. Lopez,,4-0,,
10:21.0,B. Bogdanovic misses 2-pt shot from 4 ft (block by J. Sullinger),,4-0,,
10:20.0,,,4-0,,Defensive rebound by J. Crowder
10:04.0,,,4-0,,J. Crowder misses 2-pt shot from 18 ft
10:03.0,Defensive rebound by B. Lopez,,4-0,,
9:58.0,B. Bogdanovic makes 2-pt shot at rim (assist by J. Jack),2,6-0,,
9:58.0,,,6-0,,Boston full timeout
9:43.0,,,6-0,,I. Thomas misses 2-pt shot from 17 ft
9:42.0,Defensive rebound by J. Jack,,6-0,,
9:34.0,,,6-0,,Personal foul by A. Johnson (drawn by B. Lopez)
9:19.0,B. Lopez makes 2-pt shot from 7 ft,2,8-0,,
9:07.0,,,8-2,2,A. Bradley makes 2-pt shot from 20 ft (assist by J. Crowder)
9:00.0,,,8-2,,Personal foul by A. Bradley (drawn by B. Bogdanovic)
8:55.0,B. Lopez makes 2-pt shot from 11 ft (assist by J. Jack),2,10-2,,
8:55.0,Shooting foul by J. Crowder (drawn by B. Lopez),,10-2,,
8:55.0,B. Lopez makes free throw 1 of 1,1,11-2,,
8:46.0,,,11-2,,A. Bradley misses 2-pt shot from 20 ft
8:45.0,,,11-2,,Offensive rebound by A. Johnson
8:45.0,,,11-4,2,A. Johnson makes 2-pt shot at rim
8:28.0,T. Young misses 2-pt shot from 2 ft,,11-4,,
8:27.0,,,11-4,,Defensive rebound by J. Crowder
8:25.0,,,11-4,,Shooting foul by J. Johnson (drawn by J. Crowder)
8:25.0,,,11-5,1,J. Crowder makes free throw 1 of 2
8:25.0,,,11-6,1,J. Crowder makes free throw 2 of 2
8:22.0,Brooklyn full timeout,,11-6,,
8:05.0,T. Young misses 2-pt shot at rim (block by A. Johnson),,11-6,,
8:04.0,Offensive rebound by T. Young,,11-6,,
8:04.0,T. Young misses 2-pt shot at rim (block by A. Johnson),,11-6,,
8:03.0,,,11-6,,Defensive rebound by J. Crowder
7:51.0,,,11-8,2,J. Crowder makes 2-pt shot from 2 ft (assist by I. Thomas)
7:33.0,B. Lopez misses 2-pt shot from 17 ft,,11-8,,
7:32.0,,,11-8,,Defensive rebound by I. Thomas
7:18.0,,,11-10,2,J. Sullinger makes 2-pt shot from 21 ft (assist by J. Crowder)
7:09.0,B. Lopez makes 2-pt shot from 1 ft (assist by J. Jack),2,13-10,,
7:09.0,Shooting foul by A. Johnson (drawn by B. Lopez),,13-10,,
7:09.0,B. Lopez makes free throw 1 of 1,1,14-10,,
6:51.0,,,14-10,,J. Sullinger misses 2-pt shot from 2 ft (block by B. Lopez)
6:50.0,,,14-10,,Offensive rebound by J. Sullinger
6:49.0,,,14-12,2,J. Sullinger makes 2-pt shot from 1 ft
6:28.0,B. Bogdanovic misses 3-pt shot from 23 ft,,14-12,,
6:27.0,,,14-12,,Defensive rebound by J. Sullinger
6:21.0,,,14-15,3,I. Thomas makes 3-pt shot from 25 ft
6:00.0,J. Johnson makes 3-pt shot from 24 ft (assist by B. Bogdanovic),3,17-15,,
5:50.0,,,17-18,3,J. Crowder makes 3-pt shot from 25 ft (assist by I. Thomas)
5:34.0,J. Johnson makes 2-pt shot from 20 ft (assist by J. Jack),2,19-18,,
5:24.0,,,19-18,,A. Bradley misses 3-pt shot from 25 ft
5:23.0,,,19-18,,Offensive rebound by A. Johnson
5:23.0,,,19-20,2,A. Johnson makes 2-pt shot at rim
5:01.0,J. Johnson makes 2-pt shot from 8 ft (assist by J. Jack),2,21-20,,
4:54.0,,,21-20,,J. Crowder misses 2-pt shot from 5 ft
4:53.0,Defensive rebound by Team,,21-20,,
4:53.0,,,21-20,,K. Olynyk enters the game for A. Johnson
4:53.0,W. Reed enters the game for B. Lopez,,21-20,,
4:53.0,,,21-20,,E. Turner enters the game for A. Bradley
4:32.0,J. Johnson misses 2-pt shot from 10 ft,,21-20,,
4:30.0,Offensive rebound by W. Reed,,21-20,,
4:23.0,B. Bogdanovic misses 3-pt shot from 25 ft,,21-20,,
4:21.0,Offensive rebound by W. Reed,,21-20,,
4:21.0,W. Reed makes 2-pt shot from 1 ft,2,23-20,,
4:03.0,,,23-23,3,J. Sullinger makes 3-pt shot from 24 ft (assist by J. Crowder)
3:46.0,Turnover by J. Johnson (bad pass; steal by J. Sullinger),,23-23,,
3:40.0,,,23-25,2,K. Olynyk makes 2-pt shot from 1 ft (assist by I. Thomas)
3:18.0,T. Young misses 2-pt shot from 8 ft,,23-25,,
3:17.0,,,23-25,,Defensive rebound by J. Sullinger
3:09.0,,,23-27,2,I. Thomas makes 2-pt shot at rim
3:08.0,Brooklyn full timeout,,23-27,,
3:08.0,B. Lopez enters the game for B. Bogdanovic,,23-27,,
3:08.0,,,23-27,,T. Zeller enters the game for J. Sullinger
3:08.0,W. Ellington enters the game for T. Young,,23-27,,
2:57.0,J. Johnson makes 2-pt shot from 18 ft (assist by W. Ellington),2,25-27,,
2:39.0,,,25-27,,I. Thomas misses 3-pt shot from 25 ft
2:38.0,Defensive rebound by W. Ellington,,25-27,,
2:29.0,Turnover by B. Lopez (traveling),,25-27,,
2:09.0,,,25-27,,T. Zeller misses 2-pt shot from 20 ft
2:08.0,Defensive rebound by W. Reed,,25-27,,
