time,Miami,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. A. Stoudemire (G. Dragic gains possession),,,,Jump ball: A. Johnson vs. A. Stoudemire (G. Dragic gains possession)
11:48.0,Turnover by J. Winslow (bad pass; steal by A. Johnson),,0-0,,
11:27.0,,,0-0,,Turnover by A. Johnson (offensive foul)
11:27.0,,,0-0,,Offensive foul by A. Johnson
11:04.0,A. Stoudemire misses 2-pt shot from 2 ft (block by J. Sullinger),,0-0,,
11:02.0,,,0-0,,Defensive rebound by J. Crowder
10:55.0,,,0-0,,J. Sullinger misses 2-pt shot from 5 ft
10:54.0,Defensive rebound by G. Dragic,,0-0,,
10:42.0,G. Dragic misses 3-pt shot from 23 ft,,0-0,,
10:41.0,,,0-0,,Defensive rebound by J. Sullinger
10:26.0,,,0-0,,I. Thomas misses 2-pt shot from 7 ft
10:25.0,Defensive rebound by A. Stoudemire,,0-0,,
10:15.0,L. Deng misses 2-pt shot from 22 ft,,0-0,,
10:14.0,,,0-0,,Defensive rebound by I. Thomas
10:04.0,,,0-0,,A. Bradley misses 3-pt shot from 23 ft
10:03.0,,,0-0,,Offensive rebound by A. Johnson
9:51.0,,,0-2,2,J. Sullinger makes 2-pt shot from 2 ft (assist by J. Crowder)
9:41.0,,,0-2,,Violation by J. Sullinger (kicked ball)
9:32.0,A. Stoudemire makes 2-pt shot at rim (assist by G. Dragic),2,2-2,,
9:24.0,,,2-2,,J. Sullinger misses 2-pt shot from 19 ft
9:23.0,Defensive rebound by L. Deng,,2-2,,
9:10.0,A. Stoudemire makes 2-pt shot from 18 ft (assist by G. Dragic),2,4-2,,
8:56.0,,,4-2,,Turnover by I. Thomas (bad pass; steal by D. Wade)
8:50.0,L. Deng misses 3-pt shot from 23 ft,,4-2,,
8:49.0,,,4-2,,Defensive rebound by J. Sullinger
8:35.0,,,4-2,,J. Sullinger misses 2-pt shot from 1 ft
8:34.0,Defensive rebound by A. Stoudemire,,4-2,,
8:30.0,Shooting foul by J. Crowder (drawn by L. Deng),,4-2,,
8:30.0,L. Deng makes 2-pt shot from 1 ft (assist by J. Winslow),2,6-2,,
8:30.0,L. Deng misses free throw 1 of 1,,6-2,,
8:30.0,,,6-2,,Defensive rebound by A. Johnson
8:18.0,,,6-2,,J. Crowder misses 3-pt shot from 26 ft
8:17.0,Defensive rebound by J. Winslow,,6-2,,
7:59.0,D. Wade misses 2-pt shot from 5 ft,,6-2,,
7:58.0,Offensive rebound by L. Deng,,6-2,,
7:57.0,J. Winslow makes 2-pt shot from 2 ft (assist by L. Deng),2,8-2,,
7:57.0,,,8-2,,Boston full timeout
7:39.0,,,8-2,,Turnover by A. Johnson (3 sec)
7:26.0,A. Stoudemire misses 2-pt shot from 17 ft,,8-2,,
7:25.0,,,8-2,,Defensive rebound by A. Johnson
7:18.0,,,8-2,,I. Thomas misses 2-pt shot from 8 ft
7:17.0,,,8-2,,Offensive rebound by A. Johnson
7:16.0,,,8-4,2,A. Johnson makes 2-pt shot at rim
6:54.0,Offensive foul by L. Deng,,8-4,,
6:54.0,Turnover by L. Deng (offensive foul),,8-4,,
6:39.0,,,8-4,,J. Crowder misses 3-pt shot from 24 ft
6:38.0,Defensive rebound by G. Dragic,,8-4,,
6:27.0,A. Stoudemire makes 2-pt shot at rim (assist by G. Dragic),2,10-4,,
6:10.0,,,10-6,2,J. Sullinger makes 2-pt shot at rim (assist by J. Crowder)
5:54.0,J. Winslow misses 3-pt shot from 23 ft,,10-6,,
5:53.0,,,10-6,,Defensive rebound by A. Bradley
5:38.0,,,10-6,,Turnover by J. Sullinger (bad pass; steal by L. Deng)
5:31.0,Shooting foul by J. Sullinger (drawn by G. Dragic),,10-6,,
5:31.0,G. Dragic makes free throw 1 of 2,1,11-6,,
5:31.0,,,11-6,,E. Turner enters the game for J. Sullinger
5:31.0,,,11-6,,M. Smart enters the game for A. Bradley
5:31.0,G. Green enters the game for D. Wade,,11-6,,
5:31.0,G. Dragic makes free throw 2 of 2,1,12-6,,
5:21.0,,,12-6,,Shooting foul by G. Dragic (drawn by I. Thomas)
5:21.0,,,12-6,,I. Thomas misses free throw 1 of 2
5:21.0,,,12-6,,Offensive rebound by Team
5:21.0,,,12-7,1,I. Thomas makes free throw 2 of 2
5:14.0,G. Dragic makes 2-pt shot at rim,2,14-7,,
5:04.0,,,14-7,,I. Thomas misses 2-pt shot at rim
5:03.0,,,14-7,,Offensive rebound by A. Johnson
5:02.0,,,14-7,,A. Johnson misses 2-pt shot from 1 ft
5:01.0,Defensive rebound by G. Dragic,,14-7,,
4:58.0,Turnover by J. Winslow (offensive foul),,14-7,,
4:58.0,Offensive foul by J. Winslow,,14-7,,
4:48.0,,,14-7,,M. Smart misses 3-pt shot from 25 ft
4:47.0,Defensive rebound by L. Deng,,14-7,,
4:38.0,J. Winslow makes 2-pt shot from 1 ft (assist by L. Deng),2,16-7,,
4:27.0,,,16-7,,Turnover by M. Smart (bad pass; steal by G. Green)
4:21.0,L. Deng makes 2-pt shot from 1 ft (assist by G. Green),2,18-7,,
4:02.0,,,18-7,,E. Turner misses 2-pt shot from 12 ft
4:01.0,Defensive rebound by L. Deng,,18-7,,
3:58.0,Turnover by L. Deng (lost ball; steal by J. Crowder),,18-7,,
3:56.0,,,18-7,,Shooting foul by A. Stoudemire (drawn by J. Crowder)
3:56.0,,,18-8,1,J. Crowder makes free throw 1 of 2
3:56.0,,,18-8,,T. Zeller enters the game for A. Johnson
3:56.0,,,18-8,,J. Jerebko enters the game for I. Thomas
3:56.0,H. Whiteside enters the game for A. Stoudemire,,18-8,,
3:56.0,,,18-8,,J. Crowder misses free throw 2 of 2
3:55.0,Defensive rebound by H. Whiteside,,18-8,,
3:41.0,G. Dragic makes 2-pt shot from 15 ft,2,20-8,,
3:28.0,,,20-10,2,T. Zeller makes 2-pt shot from 19 ft (assist by E. Turner)
3:21.0,Miami full timeout,,20-10,,
3:02.0,G. Green misses 2-pt shot from 17 ft,,20-10,,
3:00.0,Offensive rebound by Team,,20-10,,
3:00.0,Turnover by Team (shot clock),,20-10,,
2:49.0,,,20-10,,J. Crowder misses 2-pt shot from 1 ft
2:48.0,,,20-10,,Offensive rebound by Team
2:42.0,,,20-12,2,M. Smart makes 2-pt shot from 14 ft (assist by E. Turner)
2:30.0,G. Dragic makes 2-pt shot from 2 ft,2,22-12,,
2:19.0,,,22-14,2,E. Turner makes 2-pt shot from 11 ft
1:58.0,Shooting foul by M. Smart (drawn by L. Deng),,22-14,,
1:58.0,L. Deng misses free throw 1 of 2,,22-14,,
1:58.0,Offensive rebound by Team,,22-14,,
1:58.0,J. Richardson enters the game for J. Winslow,,22-14,,
1:58.0,D. Wade enters the game for G. Dragic,,22-14,,
1:58.0,L. Deng makes free throw 2 of 2,1,23-14,,
1:46.0,,,23-14,,Turnover by J. Jerebko (lost ball)
1:46.0,J. McRoberts enters the game for L. Deng,,23-14,,
1:34.0,G. Green misses 2-pt shot from 13 ft,,23-14,,
1:33.0,Offensive rebound by H. Whiteside,,23-14,,
1:32.0,H. Whiteside misses 2-pt shot at rim,,23-14,,
1:29.0,,,23-14,,Defensive rebound by T. Zeller
1:21.0,,,23-14,,M. Smart misses 2-pt shot from 3 ft (block by H. Whiteside)
1:20.0,Defensive rebound by H. Whiteside,,23-14,,
1:16.0,Shooting foul by J. Jerebko (drawn by D. Wade),,23-14,,
1:16.0,D. Wade misses free throw 1 of 2,,23-14,,
1:16.0,Offensive rebound by Team,,23-14,,
1:16.0,D. Wade makes free throw 2 of 2,1,24-14,,
1:04.0,,,24-16,2,T. Zeller makes 2-pt shot from 18 ft (assist by E. Turner)
0:45.0,H. Whiteside misses 2-pt shot from 9 ft,,24-16,,
0:44.0,Offensive rebound by Team,,24-16,,
0:44.0,,,24-16,,Loose ball foul by M. Smart (drawn by J. Richardson)
0:44.0,J. Richardson makes free throw 1 of 2,1,25-16,,
0:44.0,J. Richardson makes free throw 2 of 2,1,26-16,,
0:32.0,,,26-16,,Shooting foul by J. McRoberts (drawn by T. Zeller)
0:32.0,,,26-17,1,T. Zeller makes free throw 1 of 2
0:32.0,,,26-18,1,T. Zeller makes free throw 2 of 2
0:24.0,Turnover by D. Wade (lost ball; steal by J. Crowder),,26-18,,
0:16.0,,,26-18,,J. Jerebko misses 2-pt shot at rim (block by H. Whiteside)
0:15.0,Defensive rebound by H. Whiteside,,26-18,,
0:01.0,D. Wade misses 3-pt shot from 26 ft,,26-18,,
0:00.0,,,26-18,,Defensive rebound by J. Jerebko
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,26-18,,T. Zeller misses 2-pt shot from 7 ft (block by H. Whiteside)
11:45.0,,,26-18,,Offensive rebound by Team
11:42.0,,,26-18,,T. Zeller misses 2-pt shot from 16 ft
11:41.0,Defensive rebound by H. Whiteside,,26-18,,
11:20.0,J. McRoberts misses 3-pt shot from 25 ft,,26-18,,
11:19.0,,,26-18,,Defensive rebound by J. Jerebko
11:11.0,,,26-18,,Shooting foul by J. Richardson (drawn by M. Smart)
11:11.0,,,26-18,,M. Smart misses free throw 1 of 2
11:11.0,,,26-18,,Offensive rebound by Team
11:11.0,,,26-19,1,M. Smart makes free throw 2 of 2
11:00.0,Turnover by D. Wade (bad pass; steal by M. Smart),,26-19,,
10:53.0,,,26-19,,Turnover by A. Bradley (bad pass; steal by H. Whiteside)
10:43.0,J. Richardson makes 2-pt shot from 1 ft (assist by D. Wade),2,28-19,,
10:30.0,,,28-21,2,E. Turner makes 2-pt shot from 13 ft (assist by J. Jerebko)
10:09.0,Turnover by G. Green (bad pass; steal by E. Turner),,28-21,,
10:03.0,,,28-24,3,J. Jerebko makes 3-pt shot from 23 ft (assist by E. Turner)
9:52.0,Miami full timeout,,28-24,,
9:51.0,Turnover by J. Richardson (back court),,28-24,,
9:34.0,,,28-26,2,T. Zeller makes 2-pt shot at rim (assist by E. Turner)
9:17.0,Turnover by D. Wade (lost ball; steal by A. Bradley),,28-26,,
9:17.0,Jump ball: A. Bradley vs. D. Wade (M. Smart gains possession),,,,Jump ball: A. Bradley vs. D. Wade (M. Smart gains possession)
9:08.0,,,28-28,2,E. Turner makes 2-pt shot at rim (assist by M. Smart)
8:47.0,J. McRoberts misses 2-pt shot from 19 ft,,28-28,,
8:46.0,Offensive rebound by H. Whiteside,,28-28,,
8:45.0,H. Whiteside makes 2-pt shot at rim,2,30-28,,
8:28.0,,,30-30,2,J. Jerebko makes 2-pt shot from 9 ft
8:11.0,J. McRoberts makes 2-pt shot from 12 ft,2,32-30,,
7:56.0,,,32-30,,Shooting foul by J. McRoberts (drawn by E. Turner)
7:56.0,,,32-30,,E. Turner misses free throw 1 of 2
7:56.0,,,32-30,,Offensive rebound by Team
7:56.0,,,32-31,1,E. Turner makes free throw 2 of 2
7:44.0,H. Whiteside misses 2-pt shot from 6 ft,,32-31,,
7:43.0,,,32-31,,Defensive rebound by E. Turner
7:31.0,,,32-33,2,E. Turner makes 2-pt shot from 12 ft
7:15.0,Shooting foul by M. Smart (drawn by J. Richardson),,32-33,,
7:15.0,J. Richardson makes free throw 1 of 2,1,33-33,,
7:15.0,G. Dragic enters the game for G. Green,,33-33,,
7:15.0,L. Deng enters the game for J. McRoberts,,33-33,,
7:15.0,J. Richardson makes free throw 2 of 2,1,34-33,,
7:00.0,,,34-33,,E. Turner misses 2-pt shot from 15 ft
6:59.0,,,34-33,,Offensive rebound by M. Smart
6:59.0,,,34-35,2,M. Smart makes 2-pt shot from 1 ft
6:47.0,D. Wade makes 2-pt shot from 16 ft (assist by G. Dragic),2,36-35,,
6:30.0,,,36-35,,A. Bradley misses 2-pt shot from 16 ft
6:29.0,Defensive rebound by D. Wade,,36-35,,
6:20.0,H. Whiteside makes 2-pt shot from 1 ft (assist by D. Wade),2,38-35,,
6:20.0,Shooting foul by J. Jerebko (drawn by H. Whiteside),,38-35,,
6:20.0,,,38-35,,I. Thomas enters the game for M. Smart
6:20.0,H. Whiteside makes free throw 1 of 1,1,39-35,,
6:02.0,,,39-35,,I. Thomas misses 2-pt shot from 8 ft
6:01.0,,,39-35,,Offensive rebound by I. Thomas
5:54.0,,,39-35,,Turnover by J. Jerebko (bad pass; steal by J. Richardson)
5:39.0,G. Dragic misses 2-pt shot from 16 ft,,39-35,,
5:38.0,Offensive rebound by D. Wade,,39-35,,
5:35.0,D. Wade misses 2-pt shot at rim,,39-35,,
5:34.0,Offensive rebound by G. Dragic,,39-35,,
5:33.0,G. Dragic makes 2-pt shot at rim,2,41-35,,
5:33.0,,,41-35,,Boston full timeout
5:33.0,,,41-35,,J. Sullinger enters the game for T. Zeller
5:33.0,,,41-35,,J. Crowder enters the game for J. Jerebko
5:33.0,J. Winslow enters the game for D. Wade,,41-35,,
5:16.0,,,41-35,,Turnover by I. Thomas (bad pass; steal by J. Richardson)
5:15.0,Turnover by J. Richardson (bad pass; steal by J. Crowder),,41-35,,
5:05.0,Personal foul by H. Whiteside (drawn by J. Sullinger),,41-35,,
5:03.0,Personal block foul by J. Richardson (drawn by I. Thomas),,41-35,,
