time,Brooklyn,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. B. Lopez (D. Schroder gains possession),,,,Jump ball: A. Horford vs. B. Lopez (D. Schroder gains possession)
11:40.0,,,0-0,,Turnover by D. Schroder (bad pass; steal by T. Young)
11:36.0,Turnover by J. Jack (bad pass),,0-0,,
11:15.0,,,0-3,3,P. Millsap makes 3-pt shot from 24 ft (assist by J. Teague)
10:53.0,M. Brown makes 3-pt shot from 24 ft (assist by J. Johnson),3,3-3,,
10:36.0,,,3-3,,P. Millsap misses 3-pt shot from 24 ft
10:34.0,Defensive rebound by B. Lopez,,3-3,,
10:20.0,T. Young makes 2-pt shot from 5 ft,2,5-3,,
10:02.0,,,5-3,,D. Schroder misses 2-pt shot from 1 ft
10:01.0,Defensive rebound by J. Jack,,5-3,,
9:51.0,J. Jack makes 2-pt shot from 5 ft,2,7-3,,
9:42.0,,,7-3,,Shooting foul by J. Johnson (drawn by J. Teague)
9:42.0,,,7-3,,J. Teague misses free throw 1 of 2
9:42.0,,,7-3,,Offensive rebound by Team
9:42.0,,,7-4,1,J. Teague makes free throw 2 of 2
9:25.0,J. Johnson misses 2-pt shot from 18 ft,,7-4,,
9:24.0,,,7-4,,Defensive rebound by D. Schroder
9:19.0,Personal foul by M. Brown (drawn by D. Schroder),,7-4,,
9:14.0,,,7-6,2,D. Schroder makes 2-pt shot from 17 ft
8:59.0,J. Johnson misses 3-pt shot from 24 ft,,7-6,,
8:56.0,,,7-6,,Defensive rebound by A. Horford
8:45.0,,,7-6,,Turnover by D. Schroder (bad pass; steal by M. Brown)
8:40.0,T. Young misses 2-pt shot from 1 ft (block by K. Bazemore),,7-6,,
8:40.0,Offensive rebound by Team,,7-6,,
8:22.0,J. Jack misses 2-pt shot from 19 ft (block by A. Horford),,7-6,,
8:19.0,,,7-6,,Defensive rebound by P. Millsap
8:15.0,,,7-6,,Shooting foul by M. Brown (drawn by A. Horford)
8:15.0,,,7-7,1,A. Horford makes free throw 1 of 2
8:15.0,,,7-8,1,A. Horford makes free throw 2 of 2
7:56.0,J. Johnson misses 2-pt shot from 1 ft (block by K. Bazemore),,7-8,,
7:54.0,Offensive rebound by T. Young,,7-8,,
7:52.0,Turnover by T. Young (lost ball),,7-8,,
7:41.0,,,7-10,2,A. Horford makes 2-pt shot from 15 ft (assist by J. Teague)
7:17.0,B. Lopez makes 2-pt shot from 6 ft,2,9-10,,
6:57.0,,,9-10,,D. Schroder misses 3-pt shot from 24 ft
6:55.0,Defensive rebound by J. Jack,,9-10,,
6:51.0,T. Young makes 2-pt shot from 1 ft (assist by J. Jack),2,11-10,,
6:32.0,,,11-10,,A. Horford misses 2-pt shot from 10 ft
6:31.0,Defensive rebound by J. Johnson,,11-10,,
6:27.0,Turnover by M. Brown (bad pass; steal by K. Bazemore),,11-10,,
6:20.0,,,11-10,,D. Schroder misses 3-pt shot from 24 ft
6:18.0,Defensive rebound by Team,,11-10,,
6:18.0,,,11-10,,J. Holiday enters the game for J. Teague
6:18.0,,,11-10,,T. Splitter enters the game for A. Horford
6:07.0,J. Jack misses 2-pt shot from 6 ft,,11-10,,
6:05.0,Offensive rebound by B. Lopez,,11-10,,
6:02.0,T. Young misses 3-pt shot from 23 ft,,11-10,,
6:00.0,,,11-10,,Defensive rebound by K. Bazemore
5:41.0,,,11-13,3,K. Bazemore makes 3-pt shot from 24 ft (assist by P. Millsap)
5:23.0,M. Brown misses 3-pt shot from 24 ft,,11-13,,
5:19.0,Offensive rebound by T. Young,,11-13,,
5:19.0,Brooklyn full timeout,,11-13,,
5:19.0,B. Bogdanovic enters the game for M. Brown,,11-13,,
5:19.0,W. Ellington enters the game for J. Johnson,,11-13,,
5:19.0,S. Larkin enters the game for J. Jack,,11-13,,
5:06.0,,,11-13,,Personal foul by D. Schroder (drawn by W. Ellington)
4:57.0,B. Lopez misses 2-pt shot from 2 ft,,11-13,,
4:57.0,,,11-13,,Defensive rebound by Team
4:43.0,,,11-13,,D. Schroder misses 2-pt shot from 16 ft
4:39.0,,,11-13,,Offensive rebound by P. Millsap
4:32.0,,,11-13,,P. Millsap misses 2-pt shot from 2 ft
4:31.0,Defensive rebound by S. Larkin,,11-13,,
4:22.0,Turnover by T. Young (lost ball; steal by P. Millsap),,11-13,,
4:15.0,,,11-13,,J. Holiday misses 3-pt shot from 25 ft
