time,Detroit,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:40.0,K. Caldwell-Pope misses 3-pt shot from 23 ft,,0-0,,
12:00.0,Jump ball: A. Drummond vs. I. Mahinmi (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. I. Mahinmi (R. Jackson gains possession)
11:38.0,,,0-0,,Defensive rebound by G. Hill
11:22.0,,,0-0,,M. Ellis misses 2-pt shot from 1 ft
11:21.0,Defensive rebound by E. Ilyasova,,0-0,,
11:08.0,E. Ilyasova makes 2-pt shot from 2 ft (assist by R. Jackson),2,2-0,,
10:53.0,,,2-0,,M. Ellis misses 2-pt shot from 20 ft
10:52.0,Defensive rebound by R. Jackson,,2-0,,
10:38.0,M. Morris misses 3-pt shot from 26 ft,,2-0,,
10:37.0,,,2-0,,Defensive rebound by G. Hill
10:27.0,,,2-0,,P. George misses 2-pt shot from 1 ft
10:27.0,Defensive rebound by E. Ilyasova,,2-0,,
10:19.0,E. Ilyasova makes 2-pt shot from 1 ft (assist by K. Caldwell-Pope),2,4-0,,
10:06.0,,,4-0,,I. Mahinmi misses 2-pt shot from 18 ft
10:05.0,Defensive rebound by A. Drummond,,4-0,,
9:54.0,A. Drummond misses 2-pt shot at rim,,4-0,,
9:53.0,,,4-0,,Defensive rebound by M. Ellis
9:43.0,,,4-0,,L. Allen misses 2-pt shot from 19 ft
9:42.0,Defensive rebound by A. Drummond,,4-0,,
9:37.0,K. Caldwell-Pope makes 2-pt shot at rim (assist by R. Jackson),2,6-0,,
9:37.0,,,6-0,,Indiana full timeout
9:15.0,,,6-3,3,P. George makes 3-pt shot from 23 ft
8:57.0,K. Caldwell-Pope misses 2-pt shot from 17 ft,,6-3,,
8:56.0,Offensive rebound by A. Drummond,,6-3,,
8:47.0,M. Morris misses 2-pt shot from 16 ft,,6-3,,
8:46.0,,,6-3,,Defensive rebound by I. Mahinmi
8:31.0,,,6-3,,P. George misses 2-pt shot from 7 ft
8:29.0,Defensive rebound by K. Caldwell-Pope,,6-3,,
8:14.0,R. Jackson makes 2-pt shot from 1 ft,2,8-3,,
7:52.0,,,8-3,,Turnover by P. George (bad pass; steal by A. Drummond)
7:43.0,E. Ilyasova misses 3-pt shot from 26 ft,,8-3,,
7:42.0,,,8-3,,Defensive rebound by P. George
7:34.0,,,8-3,,Turnover by P. George (bad pass; steal by E. Ilyasova)
7:29.0,M. Morris misses 2-pt shot from 1 ft,,8-3,,
7:29.0,Offensive rebound by Team,,8-3,,
7:29.0,,,8-3,,Loose ball foul by G. Hill (drawn by A. Drummond)
7:17.0,Shooting foul by L. Allen (drawn by A. Drummond),,8-3,,
7:17.0,A. Drummond misses free throw 1 of 2,,8-3,,
7:17.0,Offensive rebound by Team,,8-3,,
7:17.0,A. Drummond misses free throw 2 of 2,,8-3,,
7:17.0,,,8-3,,Defensive rebound by L. Allen
6:50.0,,,8-3,,P. George misses 3-pt shot from 24 ft
6:49.0,Defensive rebound by A. Drummond,,8-3,,
6:34.0,M. Morris misses 2-pt shot from 10 ft,,8-3,,
6:33.0,,,8-3,,Defensive rebound by P. George
6:26.0,,,8-3,,Shooting foul by R. Jackson (drawn by G. Hill)
6:26.0,,,8-3,,G. Hill misses free throw 1 of 2
6:26.0,,,8-3,,Offensive rebound by Team
6:26.0,,,8-4,1,G. Hill makes free throw 2 of 2
6:13.0,E. Ilyasova misses 3-pt shot from 25 ft,,8-4,,
6:10.0,,,8-4,,Defensive rebound by L. Allen
6:02.0,,,8-4,,M. Ellis misses 2-pt shot at rim
6:01.0,,,8-4,,Offensive rebound by L. Allen
6:00.0,,,8-6,2,L. Allen makes 2-pt shot from 1 ft
5:50.0,R. Jackson misses 2-pt shot at rim (block by M. Ellis),,8-6,,
