time,Sacramento,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: W. Cauley-Stein vs. T. Chandler (M. Morris gains possession),,,,Jump ball: W. Cauley-Stein vs. T. Chandler (M. Morris gains possession)
11:43.0,,,0-0,,Turnover by P. Tucker (lost ball; steal by R. Gay)
11:33.0,Turnover by J. Anderson (lost ball; steal by E. Bledsoe),,0-0,,
11:17.0,,,0-2,2,T. Chandler makes 2-pt shot at rim (assist by B. Knight)
11:02.0,D. Collison makes 2-pt shot from 15 ft,2,2-2,,
10:48.0,,,2-2,,E. Bledsoe misses 2-pt shot from 16 ft
10:46.0,Defensive rebound by R. Gay,,2-2,,
10:40.0,R. Rondo misses 2-pt shot from 1 ft,,2-2,,
10:35.0,,,2-2,,Defensive rebound by T. Chandler
10:16.0,,,2-5,3,E. Bledsoe makes 3-pt shot from 24 ft (assist by B. Knight)
9:57.0,R. Gay misses 2-pt shot from 21 ft,,2-5,,
9:53.0,,,2-5,,Defensive rebound by T. Chandler
9:51.0,,,2-7,2,E. Bledsoe makes 2-pt shot from 19 ft
9:22.0,J. Anderson misses 2-pt shot from 19 ft,,2-7,,
9:22.0,,,2-7,,Defensive rebound by Team
9:22.0,Loose ball foul by R. Rondo (drawn by B. Knight),,2-7,,
9:06.0,,,2-9,2,M. Morris makes 2-pt shot from 19 ft (assist by E. Bledsoe)
8:55.0,Shooting foul by P. Tucker (drawn by R. Gay),,2-9,,
8:55.0,R. Gay makes free throw 1 of 2,1,3-9,,
8:55.0,R. Gay misses free throw 2 of 2,,3-9,,
8:54.0,,,3-9,,Defensive rebound by T. Chandler
8:33.0,,,3-9,,M. Morris misses 2-pt shot from 6 ft (block by W. Cauley-Stein)
8:30.0,Defensive rebound by R. Gay,,3-9,,
8:27.0,J. Anderson makes 2-pt shot from 2 ft,2,5-9,,
8:27.0,,,5-9,,Shooting block foul by P. Tucker (drawn by J. Anderson)
8:27.0,,,5-9,,T. Warren enters the game for P. Tucker
8:27.0,J. Anderson makes free throw 1 of 1,1,6-9,,
8:13.0,,,6-9,,B. Knight misses 3-pt shot from 25 ft
8:11.0,Defensive rebound by W. Cauley-Stein,,6-9,,
8:04.0,R. Gay misses 2-pt shot from 6 ft,,6-9,,
8:02.0,Offensive rebound by R. Gay,,6-9,,
7:51.0,J. Anderson misses 2-pt shot from 8 ft,,6-9,,
7:47.0,,,6-9,,Defensive rebound by T. Chandler
7:40.0,,,6-12,3,T. Warren makes 3-pt shot from 22 ft (assist by M. Morris)
7:20.0,R. Gay makes 2-pt shot from 10 ft,2,8-12,,
7:03.0,,,8-14,2,M. Morris makes 2-pt shot at rim (assist by E. Bledsoe)
6:41.0,J. Anderson misses 3-pt shot from 23 ft,,8-14,,
6:39.0,,,8-14,,Defensive rebound by E. Bledsoe
6:33.0,,,8-17,3,E. Bledsoe makes 3-pt shot from 24 ft
6:27.0,Sacramento full timeout,,8-17,,
6:11.0,D. Collison misses 2-pt shot from 2 ft (block by E. Bledsoe),,8-17,,
6:08.0,,,8-17,,Defensive rebound by M. Morris
6:02.0,,,8-17,,Shooting foul by W. Cauley-Stein (drawn by T. Chandler)
6:02.0,,,8-17,,T. Chandler misses free throw 1 of 2
6:02.0,,,8-17,,Offensive rebound by Team
6:02.0,M. Belinelli enters the game for J. Anderson,,8-17,,
6:02.0,K. Koufos enters the game for W. Cauley-Stein,,8-17,,
6:02.0,,,8-18,1,T. Chandler makes free throw 2 of 2
5:49.0,R. Rondo makes 2-pt shot from 18 ft (assist by M. Belinelli),2,10-18,,
5:40.0,,,10-18,,T. Chandler misses 2-pt shot at rim
5:37.0,Defensive rebound by K. Koufos,,10-18,,
5:34.0,K. Koufos makes 2-pt shot from 1 ft (assist by R. Gay),2,12-18,,
5:24.0,,,12-18,,B. Knight misses 2-pt shot from 2 ft
5:22.0,,,12-18,,Offensive rebound by T. Chandler
5:04.0,,,12-20,2,T. Warren makes 2-pt shot from 13 ft (assist by M. Morris)
4:45.0,R. Rondo misses 3-pt shot from 24 ft,,12-20,,
4:43.0,,,12-20,,Defensive rebound by E. Bledsoe
4:36.0,,,12-20,,B. Knight misses 2-pt shot from 1 ft
4:33.0,Defensive rebound by R. Gay,,12-20,,
4:30.0,R. Gay misses 2-pt shot from 3 ft,,12-20,,
4:25.0,,,12-20,,Defensive rebound by T. Chandler
4:10.0,,,12-20,,E. Bledsoe misses 2-pt shot from 6 ft
4:09.0,Defensive rebound by R. Rondo,,12-20,,
4:03.0,R. Rondo misses 2-pt shot from 1 ft,,12-20,,
4:01.0,Offensive rebound by K. Koufos,,12-20,,
4:01.0,K. Koufos makes 2-pt shot at rim,2,14-20,,
3:44.0,O. Casspi enters the game for D. Collison,,14-20,,
3:44.0,,,14-20,,S. Weems enters the game for B. Knight
3:44.0,,,14-20,,A. Len enters the game for T. Chandler
3:43.0,Personal block foul by R. Gay (drawn by T. Warren),,14-20,,
3:43.0,,,14-20,,Phoenix full timeout
3:30.0,,,14-22,2,E. Bledsoe makes 2-pt shot from 19 ft
3:11.0,Turnover by K. Koufos (bad pass; steal by E. Bledsoe),,14-22,,
3:11.0,,,14-22,,Turnover by E. Bledsoe (bad pass)
2:58.0,R. Gay misses 2-pt shot from 6 ft (block by M. Morris),,14-22,,
2:54.0,,,14-22,,Defensive rebound by M. Morris
2:49.0,,,14-22,,A. Len misses 2-pt shot from 2 ft (block by K. Koufos)
2:49.0,Jump ball: K. Koufos vs. A. Len (M. Morris gains possession),,,,Jump ball: K. Koufos vs. A. Len (M. Morris gains possession)
2:41.0,,,14-22,,Offensive rebound by Team
2:36.0,,,14-24,2,T. Warren makes 2-pt shot from 18 ft (assist by M. Morris)
2:20.0,,,14-24,,Shooting block foul by S. Weems (drawn by R. Rondo)
2:20.0,R. Rondo misses free throw 1 of 2,,14-24,,
2:20.0,Offensive rebound by Team,,14-24,,
2:20.0,C. Butler enters the game for R. Gay,,14-24,,
2:20.0,,,14-24,,J. Leuer enters the game for M. Morris
2:20.0,R. Rondo misses free throw 2 of 2,,14-24,,
2:19.0,,,14-24,,Defensive rebound by T. Warren
1:55.0,,,14-24,,Turnover by Team (shot clock)
1:47.0,M. Belinelli misses 3-pt shot from 24 ft,,14-24,,
1:47.0,,,14-24,,Defensive rebound by Team
1:32.0,,,14-24,,Turnover by A. Len (3 sec)
1:26.0,Turnover by O. Casspi (bad pass; steal by E. Bledsoe),,14-24,,
1:19.0,,,14-24,,T. Warren misses 2-pt shot from 2 ft
1:16.0,,,14-24,,Offensive rebound by A. Len
1:16.0,,,14-26,2,A. Len makes 2-pt shot at rim
1:05.0,M. Belinelli makes 2-pt shot from 8 ft (assist by R. Rondo),2,16-26,,
1:00.0,,,16-28,2,S. Weems makes 2-pt shot from 1 ft (assist by E. Bledsoe)
0:49.0,R. Rondo makes 2-pt shot from 20 ft,2,18-28,,
0:38.0,,,18-28,,J. Leuer misses 2-pt shot from 15 ft
0:37.0,Defensive rebound by R. Rondo,,18-28,,
0:19.0,R. Rondo misses 2-pt shot from 19 ft,,18-28,,
0:17.0,,,18-28,,Defensive rebound by T. Warren
0:00.0,,,18-28,,E. Bledsoe misses 3-pt shot from 24 ft
0:00.0,,,18-28,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,Shooting foul by J. Leuer (drawn by O. Casspi),,18-28,,
11:41.0,O. Casspi misses free throw 1 of 2,,18-28,,
11:41.0,Offensive rebound by Team,,18-28,,
11:41.0,O. Casspi misses free throw 2 of 2,,18-28,,
11:40.0,,,18-28,,Defensive rebound by A. Len
11:17.0,,,18-30,2,J. Leuer makes 2-pt shot from 11 ft
11:02.0,Shooting foul by J. Leuer (drawn by O. Casspi),,18-30,,
11:02.0,O. Casspi makes free throw 1 of 2,1,19-30,,
11:02.0,O. Casspi makes free throw 2 of 2,1,20-30,,
10:38.0,,,20-30,,T. Warren misses 3-pt shot from 30 ft
10:35.0,,,20-30,,Offensive rebound by S. Weems
10:28.0,,,20-30,,Offensive foul by A. Len
10:28.0,,,20-30,,Turnover by A. Len (offensive foul)
10:13.0,D. Collison misses 2-pt shot from 4 ft,,20-30,,
10:11.0,,,20-30,,Defensive rebound by T. Warren
10:06.0,,,20-30,,Turnover by T. Warren (lost ball; steal by O. Casspi)
10:02.0,M. Belinelli makes 2-pt shot at rim (assist by D. Collison),2,22-30,,
10:02.0,Shooting foul by R. Price (drawn by M. Belinelli),,22-30,,
10:02.0,M. Belinelli makes free throw 1 of 1,1,23-30,,
9:49.0,,,23-30,,Turnover by S. Weems (bad pass; steal by C. Butler)
9:47.0,Turnover by D. Collison (bad pass; steal by R. Price),,23-30,,
9:42.0,,,23-32,2,T. Warren makes 2-pt shot at rim (assist by S. Weems)
9:30.0,K. Koufos misses 2-pt shot from 2 ft,,23-32,,
9:28.0,,,23-32,,Defensive rebound by S. Weems
9:21.0,,,23-32,,Shooting foul by K. Koufos (drawn by S. Weems)
9:21.0,,,23-33,1,S. Weems makes free throw 1 of 2
9:21.0,,,23-34,1,S. Weems makes free throw 2 of 2
9:05.0,C. Butler misses 3-pt shot from 24 ft,,23-34,,
9:03.0,,,23-34,,Defensive rebound by S. Weems
8:51.0,,,23-34,,Offensive foul by A. Len
8:51.0,,,23-34,,Turnover by A. Len (offensive foul)
8:51.0,Official timeout,,23-34,,
8:51.0,W. Cauley-Stein enters the game for K. Koufos,,23-34,,
8:51.0,,,23-34,,D. Booker enters the game for S. Weems
8:37.0,M. Belinelli misses 3-pt shot from 24 ft,,23-34,,
8:35.0,,,23-34,,Defensive rebound by J. Leuer
8:22.0,R. Gay enters the game for C. Butler,,23-34,,
8:12.0,,,23-34,,R. Price misses 2-pt shot from 21 ft
8:10.0,Defensive rebound by W. Cauley-Stein,,23-34,,
7:57.0,R. Gay misses 2-pt shot from 1 ft,,23-34,,
7:55.0,,,23-34,,Defensive rebound by J. Leuer
7:50.0,,,23-34,,Turnover by R. Price (bad pass)
