time,Cleveland,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. T. Mozgov (T. Evans gains possession),,,,Jump ball: A. Davis vs. T. Mozgov (T. Evans gains possession)
11:46.0,,,0-2,2,E. Gordon makes 2-pt shot from 20 ft (assist by A. Davis)
11:27.0,Turnover by T. Mozgov (lost ball; steal by O. Asik),,0-2,,
11:11.0,,,0-2,,Turnover by A. Gee (bad pass)
10:52.0,J. Smith makes 3-pt shot from 25 ft (assist by L. James),3,3-2,,
10:37.0,,,3-2,,T. Evans misses 2-pt shot from 20 ft
10:36.0,Defensive rebound by K. Love,,3-2,,
10:25.0,J. Smith makes 3-pt shot from 23 ft (assist by L. James),3,6-2,,
10:08.0,,,6-4,2,A. Davis makes 2-pt shot from 19 ft (assist by T. Evans)
9:56.0,J. Smith makes 3-pt shot from 25 ft,3,9-4,,
9:45.0,,,9-4,,A. Davis misses 2-pt shot from 18 ft
9:44.0,Defensive rebound by T. Mozgov,,9-4,,
9:36.0,,,9-4,,Personal foul by T. Evans (drawn by J. Smith)
9:27.0,T. Mozgov makes 2-pt shot at rim (assist by M. Dellavedova),2,11-4,,
9:09.0,,,11-4,,Turnover by T. Evans (bad pass; steal by K. Love)
9:04.0,L. James makes 2-pt shot at rim,2,13-4,,
8:55.0,,,13-4,,New Orleans full timeout
8:46.0,,,13-4,,A. Davis misses 2-pt shot from 17 ft
8:45.0,Defensive rebound by T. Mozgov,,13-4,,
8:25.0,Turnover by K. Love (bad pass; steal by A. Davis),,13-4,,
8:20.0,Personal foul by K. Love (drawn by A. Davis),,13-4,,
8:13.0,,,13-4,,T. Evans misses 3-pt shot from 24 ft
8:12.0,Defensive rebound by K. Love,,13-4,,
8:02.0,L. James makes 2-pt shot at rim (assist by M. Dellavedova),2,15-4,,
7:41.0,,,15-6,2,A. Gee makes 2-pt shot from 13 ft
7:28.0,K. Love misses 3-pt shot from 24 ft,,15-6,,
7:27.0,,,15-6,,Defensive rebound by A. Gee
7:20.0,,,15-8,2,T. Evans makes 2-pt shot at rim
7:20.0,,,15-8,,Shooting foul by T. Mozgov (drawn by T. Evans)
7:20.0,,,15-9,1,T. Evans makes free throw 1 of 1
