time,Detroit,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. A. Drummond (R. Jackson gains possession),,,,Jump ball: T. Chandler vs. A. Drummond (R. Jackson gains possession)
11:45.0,R. Jackson misses 3-pt shot from 22 ft,,0-0,,
11:44.0,,,0-0,,Defensive rebound by T. Chandler
11:23.0,,,0-0,,M. Morris misses 2-pt shot from 3 ft (block by E. Ilyasova)
11:22.0,Defensive rebound by A. Drummond,,0-0,,
11:10.0,M. Morris misses 2-pt shot from 13 ft,,0-0,,
11:10.0,,,0-0,,Defensive rebound by E. Bledsoe
11:03.0,,,0-0,,B. Knight misses 2-pt shot from 5 ft
11:00.0,,,0-0,,Offensive rebound by M. Morris
11:00.0,,,0-2,2,M. Morris makes 2-pt shot from 1 ft
10:49.0,K. Caldwell-Pope misses 2-pt shot from 17 ft,,0-2,,
10:49.0,,,0-2,,Defensive rebound by T. Chandler
10:39.0,,,0-2,,E. Bledsoe misses 3-pt shot from 24 ft
10:39.0,Defensive rebound by R. Jackson,,0-2,,
10:28.0,R. Jackson misses 2-pt shot from 8 ft,,0-2,,
10:27.0,Offensive rebound by A. Drummond,,0-2,,
10:27.0,A. Drummond misses 2-pt shot from 2 ft,,0-2,,
10:26.0,,,0-2,,Defensive rebound by T. Chandler
10:17.0,,,0-2,,M. Morris misses 3-pt shot from 24 ft
10:16.0,,,0-2,,Offensive rebound by T. Chandler
10:08.0,,,0-2,,E. Bledsoe misses 2-pt shot from 9 ft
10:08.0,Defensive rebound by A. Drummond,,0-2,,
9:52.0,Turnover by R. Jackson (bad pass; steal by B. Knight),,0-2,,
9:46.0,,,0-4,2,B. Knight makes 2-pt shot from 1 ft
9:27.0,,,0-4,,Personal foul by M. Morris (drawn by E. Ilyasova)
9:13.0,E. Ilyasova misses 2-pt shot from 19 ft (block by B. Knight),,0-4,,
9:11.0,,,0-4,,Defensive rebound by B. Knight
9:07.0,,,0-4,,Turnover by E. Bledsoe (bad pass; steal by M. Morris)
9:03.0,,,0-4,,Personal block foul by E. Bledsoe (drawn by E. Ilyasova)
8:47.0,R. Jackson misses 3-pt shot from 24 ft,,0-4,,
8:46.0,,,0-4,,Defensive rebound by P. Tucker
8:43.0,,,0-4,,Offensive foul by M. Morris
8:43.0,,,0-4,,Turnover by M. Morris (offensive foul)
8:43.0,,,0-4,,M. Teletovic enters the game for M. Morris
8:43.0,,,0-4,,Technical foul by M. Morris
8:43.0,R. Jackson makes technical free throw,1,1-4,,
8:30.0,E. Ilyasova misses 3-pt shot from 24 ft,,1-4,,
8:29.0,,,1-4,,Defensive rebound by P. Tucker
8:20.0,,,1-7,3,E. Bledsoe makes 3-pt shot from 25 ft (assist by B. Knight)
8:05.0,K. Caldwell-Pope makes 2-pt shot from 4 ft,2,3-7,,
8:02.0,Personal foul by A. Drummond (drawn by E. Bledsoe),,3-7,,
7:53.0,,,3-7,,B. Knight misses 3-pt shot from 24 ft
7:52.0,Defensive rebound by R. Jackson,,3-7,,
7:46.0,K. Caldwell-Pope makes 2-pt shot from 21 ft (assist by R. Jackson),2,5-7,,
7:24.0,,,5-7,,M. Teletovic misses 3-pt shot from 24 ft
7:23.0,Defensive rebound by M. Morris,,5-7,,
7:14.0,E. Ilyasova makes 2-pt shot from 1 ft (assist by R. Jackson),2,7-7,,
7:14.0,Shooting foul by P. Tucker (drawn by E. Ilyasova),,7-7,,
7:14.0,E. Ilyasova makes free throw 1 of 1,1,8-7,,
6:55.0,,,8-7,,B. Knight misses 3-pt shot from 24 ft
6:55.0,Defensive rebound by A. Drummond,,8-7,,
6:35.0,M. Morris misses 3-pt shot from 22 ft,,8-7,,
6:34.0,,,8-7,,Defensive rebound by M. Teletovic
6:24.0,,,8-7,,E. Bledsoe misses 2-pt shot from 5 ft
6:23.0,Defensive rebound by A. Drummond,,8-7,,
6:15.0,Turnover by K. Caldwell-Pope (back court),,8-7,,
6:00.0,,,8-7,,Turnover by T. Chandler (offensive goaltending)
5:36.0,K. Caldwell-Pope makes 2-pt shot from 18 ft,2,10-7,,
5:16.0,,,10-9,2,T. Chandler makes 2-pt shot from 2 ft
5:11.0,Detroit full timeout,,10-9,,
5:11.0,S. Johnson enters the game for M. Morris,,10-9,,
4:57.0,R. Jackson misses 2-pt shot from 4 ft,,10-9,,
4:57.0,,,10-9,,Defensive rebound by T. Chandler
4:47.0,,,10-9,,B. Knight misses 3-pt shot from 22 ft
4:47.0,Defensive rebound by S. Johnson,,10-9,,
4:41.0,K. Caldwell-Pope makes 2-pt shot at rim (assist by S. Johnson),2,12-9,,
4:17.0,,,12-9,,P. Tucker misses 2-pt shot from 6 ft
4:17.0,Defensive rebound by E. Ilyasova,,12-9,,
4:09.0,Turnover by R. Jackson (lost ball),,12-9,,
4:09.0,A. Tolliver enters the game for E. Ilyasova,,12-9,,
4:09.0,,,12-9,,S. Weems enters the game for B. Knight
4:09.0,,,12-9,,T. Warren enters the game for P. Tucker
