time,Philadelphia,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Noel vs. H. Whiteside (G. Dragic gains possession),,,,Jump ball: N. Noel vs. H. Whiteside (G. Dragic gains possession)
11:42.0,,,0-2,2,H. Whiteside makes 2-pt shot from 5 ft
11:25.0,J. Grant misses 3-pt shot from 23 ft,,0-2,,
11:24.0,,,0-2,,Defensive rebound by H. Whiteside
11:05.0,,,0-5,3,L. Deng makes 3-pt shot from 23 ft (assist by C. Bosh)
10:47.0,J. Okafor misses 2-pt shot from 8 ft (block by H. Whiteside),,0-5,,
10:46.0,,,0-5,,Defensive rebound by C. Bosh
10:40.0,,,0-5,,Turnover by C. Bosh (bad pass; steal by N. Noel)
10:38.0,N. Noel makes 2-pt shot at rim,2,2-5,,
10:14.0,,,2-5,,H. Whiteside misses 2-pt shot from 2 ft (block by J. Grant)
10:13.0,,,2-5,,Offensive rebound by G. Dragic
10:11.0,,,2-5,,G. Dragic misses 2-pt shot from 4 ft (block by J. Okafor)
10:10.0,Defensive rebound by N. Noel,,2-5,,
9:59.0,N. Stauskas misses 3-pt shot from 24 ft,,2-5,,
9:58.0,Offensive rebound by J. Grant,,2-5,,
9:57.0,J. Grant misses 2-pt shot at rim (block by C. Bosh),,2-5,,
9:56.0,,,2-5,,Defensive rebound by L. Deng
9:50.0,,,2-5,,L. Deng misses 3-pt shot from 24 ft
9:49.0,Defensive rebound by Team,,2-5,,
9:49.0,,,2-5,,Loose ball foul by D. Wade (drawn by J. Grant)
9:36.0,Turnover by J. Grant (turnover),,2-5,,
9:25.0,,,2-5,,D. Wade misses 2-pt shot from 16 ft
9:24.0,Defensive rebound by J. Grant,,2-5,,
9:12.0,J. Okafor makes 2-pt shot from 2 ft (assist by T. McConnell),2,4-5,,
9:02.0,,,4-5,,G. Dragic misses 2-pt shot from 13 ft
9:01.0,Defensive rebound by T. McConnell,,4-5,,
8:57.0,,,4-5,,Personal foul by G. Dragic (drawn by T. McConnell)
8:48.0,N. Noel misses 2-pt shot at rim (block by H. Whiteside),,4-5,,
8:47.0,Offensive rebound by J. Grant,,4-5,,
8:42.0,N. Stauskas makes 3-pt shot from 23 ft (assist by J. Grant),3,7-5,,
8:23.0,,,7-5,,C. Bosh misses 2-pt shot from 19 ft
8:22.0,,,7-5,,Offensive rebound by G. Dragic
8:21.0,,,7-5,,G. Dragic misses 2-pt shot from 1 ft (block by N. Stauskas)
8:20.0,Defensive rebound by N. Noel,,7-5,,
7:57.0,J. Okafor misses 2-pt shot from 18 ft,,7-5,,
7:56.0,,,7-5,,Defensive rebound by C. Bosh
7:48.0,Violation by J. Okafor (def goaltending),,7-5,,
7:48.0,,,7-7,2,D. Wade makes 2-pt shot from 2 ft
7:48.0,,,7-7,,Shooting foul by N. Stauskas (drawn by D. Wade)
7:48.0,,,7-7,,D. Wade misses free throw 1 of 1
7:47.0,Defensive rebound by T. McConnell,,7-7,,
7:38.0,J. Okafor misses 2-pt shot from 9 ft,,7-7,,
7:37.0,,,7-7,,Defensive rebound by C. Bosh
7:26.0,,,7-7,,Turnover by H. Whiteside (bad pass; steal by T. McConnell)
7:22.0,J. Okafor misses 2-pt shot from 2 ft (block by C. Bosh),,7-7,,
7:19.0,,,7-7,,Defensive rebound by D. Wade
7:08.0,,,7-7,,Shooting foul by T. McConnell (drawn by D. Wade)
7:08.0,,,7-8,1,D. Wade makes free throw 1 of 2
7:08.0,,,7-8,,J. Winslow enters the game for C. Bosh
7:08.0,R. Covington enters the game for J. Okafor,,7-8,,
7:08.0,,,7-9,1,D. Wade makes free throw 2 of 2
6:55.0,R. Covington makes 2-pt shot from 1 ft (assist by N. Noel),2,9-9,,
6:39.0,,,9-12,3,J. Winslow makes 3-pt shot from 24 ft (assist by G. Dragic)
6:19.0,N. Stauskas misses 3-pt shot from 23 ft,,9-12,,
6:18.0,,,9-12,,Defensive rebound by D. Wade
6:15.0,,,9-12,,Turnover by D. Wade (turnover)
