time,Oklahoma City,pts.away,score,pts.home,Charlotte
6:16.0,,,102-85,,K. Walker misses 2-pt shot from 17 ft
6:15.0,,,102-85,,Offensive rebound by C. Zeller
6:10.0,,,102-85,,J. Lin misses 3-pt shot from 25 ft
6:07.0,Defensive rebound by E. Kanter,,102-85,,
5:57.0,Turnover by K. Singler (lost ball; steal by K. Walker),,102-85,,
5:52.0,Official timeout,,102-85,,
5:52.0,S. Ibaka enters the game for K. Singler,,102-85,,
5:52.0,,,102-85,,M. Williams enters the game for T. Daniels
5:48.0,,,102-85,,Turnover by F. Kaminsky (lost ball; steal by R. Westbrook)
5:45.0,Shooting foul by K. Walker (drawn by R. Westbrook),,102-85,,
5:45.0,R. Westbrook makes free throw 1 of 2,1,103-85,,
5:45.0,C. Payne enters the game for A. Morrow,,103-85,,
5:45.0,R. Westbrook misses free throw 2 of 2,,103-85,,
5:44.0,,,103-85,,Defensive rebound by M. Williams
5:29.0,,,103-85,,J. Lin misses 3-pt shot from 25 ft
5:27.0,,,103-85,,Offensive rebound by M. Williams
5:25.0,,,103-85,,Shooting foul by S. Ibaka (drawn by C. Zeller)
5:25.0,,,103-86,1,C. Zeller makes free throw 1 of 2
5:25.0,,,103-86,,C. Zeller misses free throw 2 of 2
5:24.0,Defensive rebound by K. Durant,,103-86,,
5:05.0,E. Kanter makes 2-pt shot from 15 ft (assist by R. Westbrook),2,105-86,,
4:42.0,,,105-86,,F. Kaminsky misses 2-pt shot from 2 ft (block by S. Ibaka)
4:40.0,Defensive rebound by R. Westbrook,,105-86,,
4:37.0,Turnover by R. Westbrook (bad pass; steal by J. Lin),,105-86,,
4:32.0,,,105-86,,K. Walker misses 3-pt shot from 25 ft
4:31.0,Defensive rebound by S. Ibaka,,105-86,,
4:13.0,Turnover by S. Ibaka (3 sec),,105-86,,
3:59.0,,,105-86,,F. Kaminsky misses 2-pt shot from 5 ft (block by K. Durant)
3:59.0,Jump ball: K. Durant vs. F. Kaminsky (R. Westbrook gains possession),,,,Jump ball: K. Durant vs. F. Kaminsky (R. Westbrook gains possession)
3:59.0,Defensive rebound by Team,,105-86,,
3:49.0,,,105-86,,B. Roberts enters the game for K. Walker
3:49.0,,,105-86,,A. Harrison enters the game for M. Williams
3:49.0,,,105-86,,T. Hansbrough enters the game for C. Zeller
3:44.0,S. Ibaka misses 2-pt shot from 18 ft,,105-86,,
3:41.0,,,105-86,,Defensive rebound by J. Lin
3:35.0,Personal foul by C. Payne (drawn by J. Lin),,105-86,,
3:21.0,,,105-86,,F. Kaminsky misses 2-pt shot from 7 ft
3:20.0,Defensive rebound by R. Westbrook,,105-86,,
3:14.0,E. Kanter misses 2-pt shot from 1 ft,,105-86,,
3:12.0,,,105-86,,Defensive rebound by F. Kaminsky
3:12.0,Personal foul by K. Durant (drawn by F. Kaminsky),,105-86,,
3:12.0,,,105-86,,F. Kaminsky misses free throw 1 of 2
3:12.0,,,105-86,,Offensive rebound by Team
3:12.0,D. Waiters enters the game for K. Durant,,105-86,,
3:12.0,A. Morrow enters the game for R. Westbrook,,105-86,,
3:12.0,,,105-87,1,F. Kaminsky makes free throw 2 of 2
2:55.0,S. Ibaka makes 2-pt shot from 12 ft (assist by C. Payne),2,107-87,,
2:36.0,,,107-87,,F. Kaminsky misses 2-pt shot from 2 ft (block by E. Kanter)
2:36.0,,,107-87,,Offensive rebound by Team
2:36.0,Oklahoma City full timeout,,107-87,,
2:36.0,M. McGary enters the game for S. Ibaka,,107-87,,
2:31.0,,,107-87,,F. Kaminsky misses 2-pt shot from 10 ft
2:30.0,Defensive rebound by E. Kanter,,107-87,,
2:16.0,D. Waiters misses 2-pt shot from 6 ft,,107-87,,
2:14.0,Offensive rebound by E. Kanter,,107-87,,
2:14.0,E. Kanter misses 2-pt shot at rim,,107-87,,
2:13.0,,,107-87,,Defensive rebound by F. Kaminsky
2:01.0,Personal foul by C. Payne (drawn by J. Lin),,107-87,,
2:01.0,,,107-88,1,J. Lin makes free throw 1 of 2
2:01.0,,,107-88,,J. Lin misses free throw 2 of 2
1:59.0,Defensive rebound by A. Morrow,,107-88,,
1:39.0,M. McGary misses 2-pt shot from 2 ft (block by J. Lin),,107-88,,
1:37.0,Offensive rebound by Team,,107-88,,
1:37.0,Turnover by Team (shot clock),,107-88,,
1:28.0,,,107-90,2,J. Lin makes 2-pt shot at rim (assist by B. Roberts)
1:21.0,E. Kanter makes 2-pt shot from 1 ft (assist by C. Payne),2,109-90,,
1:05.0,,,109-90,,Shooting foul by E. Kanter (drawn by T. Hansbrough)
1:05.0,,,109-90,,T. Hansbrough misses free throw 1 of 2
1:05.0,,,109-90,,Offensive rebound by Team
1:05.0,,,109-90,,T. Hansbrough misses free throw 2 of 2
1:03.0,,,109-90,,Offensive rebound by A. Harrison
0:58.0,,,109-90,,A. Harrison misses 3-pt shot from 24 ft
0:57.0,Defensive rebound by D. Waiters,,109-90,,
0:43.0,A. Morrow misses 3-pt shot from 25 ft,,109-90,,
0:41.0,,,109-90,,Defensive rebound by F. Kaminsky
0:32.0,,,109-90,,B. Roberts misses 2-pt shot from 17 ft
0:29.0,Defensive rebound by M. McGary,,109-90,,
0:05.0,Turnover by Team (shot clock),,109-90,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
