time,Dallas,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. Z. Pachulia (K. Lowry gains possession),,,,Jump ball: B. Biyombo vs. Z. Pachulia (K. Lowry gains possession)
11:47.0,,,0-0,,L. Scola misses 2-pt shot from 18 ft
11:46.0,,,0-0,,Offensive rebound by B. Biyombo
11:42.0,,,0-3,3,K. Lowry makes 3-pt shot from 23 ft (assist by B. Biyombo)
11:25.0,W. Matthews makes 2-pt shot from 16 ft (assist by D. Williams),2,2-3,,
11:05.0,,,2-5,2,T. Ross makes 2-pt shot from 18 ft
10:44.0,R. Felton misses 2-pt shot from 3 ft,,2-5,,
10:43.0,,,2-5,,Defensive rebound by K. Lowry
10:34.0,,,2-7,2,L. Scola makes 2-pt shot from 18 ft (assist by D. DeRozan)
10:06.0,D. Nowitzki misses 3-pt shot from 25 ft,,2-7,,
10:06.0,,,2-7,,Defensive rebound by B. Biyombo
9:53.0,,,2-10,3,T. Ross makes 3-pt shot from 24 ft
9:27.0,D. Nowitzki misses 2-pt shot from 13 ft,,2-10,,
9:26.0,,,2-10,,Defensive rebound by K. Lowry
9:14.0,,,2-10,,L. Scola misses 3-pt shot from 25 ft
9:14.0,,,2-10,,Offensive rebound by B. Biyombo
9:12.0,,,2-12,2,B. Biyombo makes 2-pt shot at rim
9:11.0,Dallas full timeout,,2-12,,
8:50.0,D. Nowitzki misses 2-pt shot from 13 ft,,2-12,,
8:49.0,,,2-12,,Defensive rebound by B. Biyombo
8:40.0,,,2-14,2,D. DeRozan makes 2-pt shot from 12 ft
8:23.0,D. Williams misses 3-pt shot from 23 ft,,2-14,,
8:22.0,,,2-14,,Defensive rebound by B. Biyombo
8:12.0,Personal foul by W. Matthews (drawn by K. Lowry),,2-14,,
8:12.0,J. McGee enters the game for Z. Pachulia,,2-14,,
7:56.0,,,2-14,,D. DeRozan misses 3-pt shot from 24 ft
7:55.0,Defensive rebound by J. McGee,,2-14,,
7:33.0,R. Felton makes 3-pt shot from 26 ft (assist by D. Williams),3,5-14,,
7:12.0,,,5-14,,L. Scola misses 2-pt shot from 19 ft
7:12.0,Defensive rebound by R. Felton,,5-14,,
7:02.0,J. McGee makes 2-pt shot at rim (assist by R. Felton),2,7-14,,
6:49.0,,,7-14,,Turnover by D. DeRozan (bad pass)
6:41.0,R. Felton misses 3-pt shot from 24 ft,,7-14,,
6:40.0,Offensive rebound by Team,,7-14,,
6:40.0,,,7-14,,Loose ball foul by L. Scola (drawn by D. Nowitzki)
6:40.0,C. Villanueva enters the game for D. Nowitzki,,7-14,,
6:40.0,C. Parsons enters the game for R. Felton,,7-14,,
6:32.0,W. Matthews makes 3-pt shot from 26 ft (assist by D. Williams),3,10-14,,
6:22.0,,,10-14,,Shooting foul by C. Villanueva (drawn by L. Scola)
6:22.0,,,10-14,,L. Scola misses free throw 1 of 2
6:22.0,,,10-14,,Offensive rebound by Team
6:22.0,,,10-15,1,L. Scola makes free throw 2 of 2
6:07.0,D. Williams misses 2-pt shot from 12 ft,,10-15,,
6:06.0,,,10-15,,Defensive rebound by L. Scola
6:00.0,,,10-15,,K. Lowry misses 2-pt shot from 3 ft
5:59.0,,,10-15,,Offensive rebound by L. Scola
5:56.0,,,10-15,,L. Scola misses 2-pt shot from 2 ft
5:56.0,Defensive rebound by J. McGee,,10-15,,
5:52.0,C. Villanueva misses 3-pt shot from 25 ft,,10-15,,
5:51.0,,,10-15,,Defensive rebound by B. Biyombo
5:35.0,,,10-17,2,B. Biyombo makes 2-pt shot from 10 ft (assist by D. DeRozan)
5:18.0,C. Villanueva misses 2-pt shot from 1 ft,,10-17,,
5:18.0,,,10-17,,Defensive rebound by K. Lowry
5:10.0,,,10-19,2,L. Scola makes 2-pt shot from 5 ft (assist by K. Lowry)
4:49.0,C. Parsons misses 2-pt shot from 19 ft,,10-19,,
4:48.0,,,10-19,,Defensive rebound by B. Biyombo
4:42.0,,,10-21,2,K. Lowry makes 2-pt shot from 1 ft (assist by B. Biyombo)
4:40.0,Dallas full timeout,,10-21,,
4:40.0,D. Powell enters the game for C. Villanueva,,10-21,,
4:24.0,W. Matthews misses 2-pt shot from 17 ft,,10-21,,
4:23.0,,,10-21,,Defensive rebound by D. DeRozan
4:14.0,,,10-21,,Shooting foul by W. Matthews (drawn by D. DeRozan)
4:14.0,,,10-22,1,D. DeRozan makes free throw 1 of 2
4:14.0,R. Felton enters the game for W. Matthews,,10-22,,
4:14.0,,,10-22,,P. Patterson enters the game for B. Biyombo
4:14.0,,,10-23,1,D. DeRozan makes free throw 2 of 2
3:59.0,J. McGee misses 2-pt shot from 1 ft (block by K. Lowry),,10-23,,
3:59.0,Offensive rebound by Team,,10-23,,
3:59.0,,,10-23,,C. Joseph enters the game for T. Ross
3:54.0,D. Williams makes 2-pt shot from 17 ft (assist by J. McGee),2,12-23,,
3:33.0,,,12-23,,Turnover by D. DeRozan (bad pass; steal by R. Felton)
3:30.0,Turnover by D. Powell (lost ball),,12-23,,
3:30.0,D. Nowitzki enters the game for J. McGee,,12-23,,
3:19.0,,,12-23,,D. DeRozan misses 2-pt shot from 13 ft
3:16.0,Defensive rebound by R. Felton,,12-23,,
3:16.0,R. Felton misses 2-pt shot from 4 ft (block by L. Scola),,12-23,,
3:08.0,,,12-23,,Defensive rebound by L. Scola
3:08.0,Technical foul by R. Felton,,12-23,,
3:08.0,,,12-24,1,D. DeRozan makes technical free throw
3:08.0,J. Barea enters the game for D. Williams,,12-24,,
2:55.0,,,12-26,2,D. DeRozan makes 2-pt shot at rim (assist by C. Joseph)
2:29.0,R. Felton misses 3-pt shot from 27 ft,,12-26,,
2:29.0,Offensive rebound by D. Powell,,12-26,,
2:25.0,D. Nowitzki misses 3-pt shot from 24 ft,,12-26,,
2:24.0,Offensive rebound by D. Nowitzki,,12-26,,
2:21.0,D. Nowitzki makes 2-pt shot from 16 ft,2,14-26,,
2:10.0,,,14-26,,Toronto full timeout
2:10.0,,,14-26,,T. Ross enters the game for L. Scola
2:10.0,,,14-26,,L. Nogueira enters the game for K. Lowry
1:57.0,,,14-26,,P. Patterson misses 3-pt shot from 23 ft
1:56.0,Defensive rebound by D. Powell,,14-26,,
1:34.0,D. Nowitzki misses 2-pt shot from 15 ft,,14-26,,
1:33.0,,,14-26,,Defensive rebound by Team
1:20.0,,,14-28,2,D. DeRozan makes 2-pt shot from 4 ft
1:20.0,,,14-28,,Shooting foul by C. Parsons (drawn by D. DeRozan)
1:20.0,,,14-29,1,D. DeRozan makes free throw 1 of 1
1:13.0,J. Barea misses 2-pt shot from 10 ft,,14-29,,
1:11.0,Offensive rebound by D. Powell,,14-29,,
1:11.0,,,14-29,,Personal foul by T. Ross (drawn by D. Powell)
1:03.0,C. Parsons misses 2-pt shot from 2 ft,,14-29,,
1:03.0,,,14-29,,Defensive rebound by T. Ross
0:59.0,,,14-29,,Turnover by P. Patterson (traveling)
0:42.0,Turnover by J. Barea (bad pass; steal by P. Patterson),,14-29,,
0:37.0,,,14-32,3,T. Ross makes 3-pt shot from 25 ft
0:21.0,D. Nowitzki makes 2-pt shot from 18 ft,2,16-32,,
0:02.0,,,16-32,,Turnover by D. DeRozan (bad pass; steal by J. Barea)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,,,16-32,,Personal foul by K. Lowry (drawn by D. Nowitzki)
11:44.0,Z. Pachulia misses 2-pt shot from 17 ft,,16-32,,
11:43.0,,,16-32,,Defensive rebound by K. Lowry
11:29.0,,,16-32,,P. Patterson misses 3-pt shot from 24 ft
11:29.0,Defensive rebound by J. Jenkins,,16-32,,
11:19.0,Z. Pachulia makes 2-pt shot from 1 ft,2,18-32,,
11:19.0,Shooting foul by L. Nogueira (drawn by Z. Pachulia),,18-32,,
11:19.0,Z. Pachulia makes free throw 1 of 1,1,19-32,,
10:55.0,,,19-32,,T. Ross misses 3-pt shot from 24 ft
10:55.0,Defensive rebound by J. Jenkins,,19-32,,
10:46.0,D. Nowitzki misses 3-pt shot from 25 ft,,19-32,,
10:45.0,,,19-32,,Defensive rebound by T. Ross
10:33.0,,,19-32,,Turnover by C. Joseph (lost ball; steal by C. Parsons)
10:23.0,J. Barea makes 2-pt shot from 3 ft,2,21-32,,
10:18.0,,,21-32,,Turnover by C. Joseph (dbl dribble)
10:05.0,D. Nowitzki makes 2-pt shot from 16 ft,2,23-32,,
9:56.0,,,23-32,,Toronto full timeout
9:56.0,,,23-32,,B. Biyombo enters the game for L. Nogueira
9:47.0,,,23-32,,K. Lowry misses 3-pt shot from 25 ft
9:46.0,Defensive rebound by D. Nowitzki,,23-32,,
9:31.0,C. Parsons makes 2-pt shot from 2 ft,2,25-32,,
9:07.0,,,25-32,,B. Biyombo misses 2-pt shot from 14 ft
9:07.0,Defensive rebound by Z. Pachulia,,25-32,,
8:54.0,J. Jenkins makes 2-pt shot from 20 ft,2,27-32,,
8:37.0,,,27-35,3,T. Ross makes 3-pt shot from 23 ft (assist by C. Joseph)
8:27.0,Z. Pachulia misses 2-pt shot from 3 ft,,27-35,,
8:27.0,,,27-35,,Defensive rebound by K. Lowry
8:27.0,Personal foul by Z. Pachulia (drawn by K. Lowry),,27-35,,
8:13.0,,,27-37,2,K. Lowry makes 2-pt shot from 2 ft
7:57.0,,,27-37,,Personal foul by C. Joseph
7:57.0,,,27-37,,L. Scola enters the game for P. Patterson
7:57.0,,,27-37,,D. Wright enters the game for C. Joseph
7:57.0,W. Matthews enters the game for D. Nowitzki,,27-37,,
7:57.0,J. McGee enters the game for Z. Pachulia,,27-37,,
7:57.0,R. Felton enters the game for C. Parsons,,27-37,,
7:57.0,D. Williams enters the game for J. Barea,,27-37,,
7:57.0,C. Villanueva enters the game for J. Jenkins,,27-37,,
7:52.0,,,27-37,,Personal foul by B. Biyombo (drawn by J. McGee)
7:41.0,J. McGee misses 2-pt shot from 4 ft,,27-37,,
7:41.0,,,27-37,,Defensive rebound by Team
7:34.0,,,27-37,,Turnover by K. Lowry (bad pass)
7:18.0,,,27-37,,Violation by B. Biyombo (def goaltending)
