time,Charlotte,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Hawes vs. R. Hibbert (J. Lin gains possession),,,,Jump ball: S. Hawes vs. R. Hibbert (J. Lin gains possession)
11:40.0,M. Williams makes 3-pt shot from 25 ft (assist by M. Kidd-Gilchrist),3,3-0,,
11:26.0,,,3-0,,R. Hibbert misses 2-pt shot from 8 ft
11:21.0,Defensive rebound by S. Hawes,,3-0,,
11:13.0,K. Walker makes 3-pt shot from 24 ft (assist by S. Hawes),3,6-0,,
10:57.0,,,6-0,,K. Bryant misses 2-pt shot from 20 ft
10:56.0,Defensive rebound by M. Williams,,6-0,,
10:53.0,Shooting foul by J. Clarkson (drawn by M. Kidd-Gilchrist),,6-0,,
10:53.0,M. Kidd-Gilchrist misses free throw 1 of 2,,6-0,,
10:53.0,Offensive rebound by Team,,6-0,,
10:53.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,7-0,,
10:40.0,,,7-0,,Shooting foul by J. Lin (drawn by L. Williams)
10:40.0,,,7-1,1,L. Williams makes free throw 1 of 2
10:40.0,,,7-2,1,L. Williams makes free throw 2 of 2
10:27.0,J. Lin misses 3-pt shot from 23 ft,,7-2,,
10:24.0,,,7-2,,Defensive rebound by K. Bryant
10:07.0,,,7-4,2,J. Randle makes 2-pt shot from 4 ft
9:47.0,S. Hawes misses 3-pt shot from 22 ft,,7-4,,
9:47.0,,,7-4,,Defensive rebound by Team
9:47.0,Loose ball foul by M. Williams (drawn by J. Randle),,7-4,,
9:34.0,,,7-4,,J. Clarkson misses 2-pt shot from 17 ft
9:32.0,Defensive rebound by M. Kidd-Gilchrist,,7-4,,
9:26.0,M. Williams misses 3-pt shot from 24 ft,,7-4,,
9:23.0,,,7-4,,Defensive rebound by K. Bryant
9:12.0,,,7-4,,K. Bryant misses 2-pt shot from 9 ft
9:08.0,Defensive rebound by M. Kidd-Gilchrist,,7-4,,
9:05.0,M. Kidd-Gilchrist makes 2-pt shot at rim,2,9-4,,
8:58.0,Personal block foul by M. Kidd-Gilchrist,,9-4,,
8:51.0,,,9-7,3,J. Clarkson makes 3-pt shot from 24 ft (assist by K. Bryant)
8:27.0,M. Williams misses 3-pt shot from 24 ft,,9-7,,
8:26.0,,,9-7,,Defensive rebound by R. Hibbert
8:21.0,,,9-7,,Turnover by L. Williams (lost ball)
8:06.0,J. Lin misses 2-pt shot from 14 ft,,9-7,,
8:05.0,,,9-7,,Defensive rebound by K. Bryant
7:56.0,,,9-10,3,J. Clarkson makes 3-pt shot from 24 ft (assist by K. Bryant)
7:39.0,M. Kidd-Gilchrist makes 3-pt shot from 24 ft (assist by S. Hawes),3,12-10,,
7:21.0,,,12-10,,K. Bryant misses 2-pt shot from 8 ft
7:20.0,Defensive rebound by M. Williams,,12-10,,
7:14.0,J. Lin makes 2-pt shot from 16 ft (assist by M. Kidd-Gilchrist),2,14-10,,
6:52.0,,,14-10,,J. Randle misses 2-pt shot from 6 ft
6:52.0,Defensive rebound by Team,,14-10,,
6:37.0,K. Walker makes 3-pt shot from 24 ft (assist by S. Hawes),3,17-10,,
6:24.0,,,17-10,,J. Clarkson misses 3-pt shot from 24 ft
6:22.0,,,17-10,,Offensive rebound by K. Bryant
6:12.0,,,17-10,,K. Bryant misses 2-pt shot from 20 ft
6:11.0,Defensive rebound by S. Hawes,,17-10,,
6:06.0,J. Lin misses 2-pt shot from 20 ft,,17-10,,
6:05.0,Offensive rebound by M. Kidd-Gilchrist,,17-10,,
5:58.0,K. Walker misses 2-pt shot from 10 ft,,17-10,,
5:55.0,,,17-10,,Defensive rebound by J. Randle
5:46.0,,,17-10,,L. Williams misses 2-pt shot from 15 ft
5:45.0,Defensive rebound by J. Lin,,17-10,,
5:34.0,S. Hawes makes 2-pt shot from 1 ft (assist by J. Lin),2,19-10,,
5:11.0,,,19-10,,R. Hibbert misses 2-pt shot from 15 ft
5:08.0,Defensive rebound by M. Williams,,19-10,,
4:54.0,S. Hawes misses 3-pt shot from 24 ft,,19-10,,
4:52.0,,,19-10,,Defensive rebound by K. Bryant
4:46.0,,,19-10,,K. Bryant misses 3-pt shot from 24 ft
4:43.0,Defensive rebound by S. Hawes,,19-10,,
4:39.0,M. Williams misses 2-pt shot at rim (block by R. Hibbert),,19-10,,
4:39.0,Offensive rebound by Team,,19-10,,
4:39.0,,,19-10,,LA Lakers full timeout
4:39.0,T. Daniels enters the game for M. Kidd-Gilchrist,,19-10,,
4:39.0,P. Hairston enters the game for J. Lin,,19-10,,
