time,Toronto,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. J. Valanciunas (D. Booker gains possession),,,,Jump ball: T. Chandler vs. J. Valanciunas (D. Booker gains possession)
11:47.0,,,0-0,,M. Morris misses 2-pt shot from 7 ft
11:45.0,,,0-0,,Offensive rebound by T. Chandler
11:44.0,,,0-2,2,M. Morris makes 2-pt shot from 12 ft
11:27.0,D. DeRozan misses 3-pt shot from 22 ft,,0-2,,
11:26.0,,,0-2,,Defensive rebound by M. Morris
11:12.0,,,0-5,3,D. Booker makes 3-pt shot from 24 ft (assist by A. Goodwin)
10:47.0,Turnover by N. Powell (lost ball; steal by D. Booker),,0-5,,
10:33.0,,,0-7,2,A. Goodwin makes 2-pt shot at rim
10:31.0,Toronto full timeout,,0-7,,
10:15.0,K. Lowry misses 2-pt shot from 1 ft,,0-7,,
10:14.0,Offensive rebound by K. Lowry,,0-7,,
10:14.0,K. Lowry makes 2-pt shot from 1 ft,2,2-7,,
9:55.0,,,2-9,2,P. Tucker makes 2-pt shot from 6 ft (assist by T. Chandler)
9:48.0,,,2-9,,Personal foul by P. Tucker (drawn by D. DeRozan)
9:37.0,K. Lowry makes 3-pt shot from 24 ft (assist by D. DeRozan),3,5-9,,
9:28.0,Personal foul by N. Powell (drawn by D. Booker),,5-9,,
9:28.0,,,5-9,,Offensive foul by M. Morris
9:28.0,,,5-9,,Turnover by M. Morris (offensive foul)
9:10.0,Turnover by K. Lowry (bad pass; steal by P. Tucker),,5-9,,
9:03.0,,,5-9,,Turnover by A. Goodwin (bad pass; steal by K. Lowry)
8:57.0,K. Lowry misses 3-pt shot from 23 ft,,5-9,,
8:56.0,,,5-9,,Defensive rebound by D. Booker
8:52.0,,,5-9,,Turnover by D. Booker (lost ball; steal by N. Powell)
8:43.0,J. Valanciunas makes 2-pt shot at rim (assist by D. DeRozan),2,7-9,,
8:43.0,Shooting foul by T. Chandler (drawn by J. Valanciunas),,7-9,,
8:43.0,J. Valanciunas makes free throw 1 of 1,1,8-9,,
8:30.0,,,8-11,2,P. Tucker makes 2-pt shot from 18 ft
8:06.0,L. Scola makes 3-pt shot from 22 ft (assist by D. DeRozan),3,11-11,,
7:50.0,,,11-13,2,M. Morris makes 2-pt shot from 12 ft
7:34.0,N. Powell misses 2-pt shot from 7 ft,,11-13,,
7:33.0,Offensive rebound by J. Valanciunas,,11-13,,
7:33.0,J. Valanciunas makes 2-pt shot from 1 ft,2,13-13,,
7:14.0,,,13-15,2,M. Morris makes 2-pt shot at rim (assist by A. Goodwin)
6:49.0,N. Powell misses 2-pt shot from 14 ft,,13-15,,
6:49.0,,,13-15,,Defensive rebound by M. Morris
6:44.0,,,13-15,,Phoenix full timeout
6:44.0,T. Ross enters the game for N. Powell,,13-15,,
6:41.0,,,13-15,,Shooting foul by T. Ross (drawn by D. Booker)
6:41.0,,,13-16,1,D. Booker makes free throw 1 of 2
6:41.0,,,13-17,1,D. Booker makes free throw 2 of 2
6:27.0,Turnover by L. Scola (bad pass; steal by D. Booker),,13-17,,
6:10.0,,,13-19,2,M. Morris makes 2-pt shot from 21 ft (assist by A. Goodwin)
6:01.0,,,13-19,,Personal foul by A. Goodwin (drawn by K. Lowry)
5:46.0,D. DeRozan makes 2-pt shot from 16 ft,2,15-19,,
5:30.0,,,15-19,,P. Tucker misses 2-pt shot from 6 ft
5:28.0,,,15-19,,Offensive rebound by M. Morris
5:28.0,,,15-19,,M. Morris misses 2-pt shot from 6 ft (block by L. Scola)
5:28.0,Jump ball: M. Morris vs. L. Scola (A. Goodwin gains possession),,,,Jump ball: M. Morris vs. L. Scola (A. Goodwin gains possession)
5:28.0,,,15-19,,Offensive rebound by Team
5:20.0,,,15-21,2,M. Morris makes 2-pt shot at rim (assist by A. Goodwin)
5:20.0,,,15-21,,Shooting foul by J. Valanciunas (drawn by M. Morris)
5:20.0,,,15-21,,M. Teletovic enters the game for P. Tucker
5:20.0,,,15-21,,A. Len enters the game for T. Chandler
5:20.0,,,15-21,,J. McRae enters the game for A. Goodwin
5:20.0,,,15-22,1,M. Morris makes free throw 1 of 1
5:13.0,Turnover by L. Scola (bad pass),,15-22,,
4:58.0,,,15-22,,J. McRae misses 3-pt shot from 22 ft
4:58.0,Defensive rebound by L. Scola,,15-22,,
4:48.0,T. Ross misses 3-pt shot from 24 ft,,15-22,,
4:45.0,Offensive rebound by J. Valanciunas,,15-22,,
4:45.0,J. Valanciunas makes 2-pt shot from 1 ft,2,17-22,,
4:22.0,Shooting block foul by T. Ross (drawn by J. McRae),,17-22,,
4:22.0,,,17-23,1,J. McRae makes free throw 1 of 2
4:22.0,B. Biyombo enters the game for L. Scola,,17-23,,
4:22.0,P. Patterson enters the game for J. Valanciunas,,17-23,,
