time,Orlando,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: G. Monroe vs. N. Vucevic (G. Antetokounmpo gains possession),,,,Jump ball: G. Monroe vs. N. Vucevic (G. Antetokounmpo gains possession)
11:35.0,,,0-0,,M. Carter-Williams misses 2-pt shot from 2 ft
11:33.0,Defensive rebound by V. Oladipo,,0-0,,
11:18.0,N. Vucevic misses 2-pt shot from 18 ft,,0-0,,
11:17.0,,,0-0,,Defensive rebound by G. Antetokounmpo
11:07.0,,,0-2,2,G. Monroe makes 2-pt shot at rim (assist by K. Middleton)
10:49.0,T. Harris misses 3-pt shot from 24 ft,,0-2,,
10:47.0,,,0-2,,Defensive rebound by G. Monroe
10:37.0,,,0-4,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by M. Carter-Williams)
10:22.0,Turnover by E. Payton (bad pass; steal by G. Antetokounmpo),,0-4,,
10:18.0,,,0-4,,Turnover by J. Parker (step out of bounds)
10:04.0,T. Harris makes 2-pt shot at rim (assist by E. Payton),2,2-4,,
9:44.0,,,2-6,2,K. Middleton makes 2-pt shot from 11 ft (assist by J. Parker)
9:21.0,E. Payton makes 2-pt shot from 1 ft,2,4-6,,
9:00.0,,,4-6,,G. Monroe misses 2-pt shot from 5 ft
8:59.0,Defensive rebound by A. Gordon,,4-6,,
8:49.0,A. Gordon misses 2-pt shot from 16 ft,,4-6,,
8:47.0,,,4-6,,Defensive rebound by G. Monroe
8:40.0,,,4-6,,J. Parker misses 2-pt shot from 17 ft
8:38.0,Defensive rebound by N. Vucevic,,4-6,,
8:24.0,A. Gordon makes 3-pt shot from 27 ft (assist by V. Oladipo),3,7-6,,
8:03.0,,,7-6,,Turnover by K. Middleton (bad pass)
7:50.0,,,7-6,,Shooting block foul by G. Monroe (drawn by V. Oladipo)
7:50.0,V. Oladipo makes free throw 1 of 2,1,8-6,,
7:50.0,V. Oladipo makes free throw 2 of 2,1,9-6,,
7:36.0,Violation by N. Vucevic (kicked ball),,9-6,,
7:30.0,,,9-8,2,G. Monroe makes 2-pt shot from 3 ft
7:16.0,N. Vucevic misses 2-pt shot from 18 ft,,9-8,,
7:15.0,Offensive rebound by A. Gordon,,9-8,,
7:06.0,T. Harris misses 2-pt shot from 4 ft (block by J. Parker),,9-8,,
7:04.0,,,9-8,,Defensive rebound by G. Monroe
6:50.0,,,9-8,,G. Antetokounmpo misses 2-pt shot from 20 ft
6:49.0,Defensive rebound by N. Vucevic,,9-8,,
6:38.0,N. Vucevic makes 2-pt shot from 1 ft (assist by E. Payton),2,11-8,,
6:13.0,,,11-8,,J. Parker misses 2-pt shot from 9 ft
6:12.0,Defensive rebound by V. Oladipo,,11-8,,
6:02.0,T. Harris makes 3-pt shot from 24 ft (assist by V. Oladipo),3,14-8,,
6:01.0,,,14-8,,Milwaukee full timeout
6:01.0,,,14-8,,J. Henson enters the game for G. Monroe
5:48.0,,,14-8,,M. Carter-Williams misses 2-pt shot from 14 ft (block by E. Payton)
5:46.0,Defensive rebound by T. Harris,,14-8,,
5:28.0,Turnover by T. Harris (step out of bounds),,14-8,,
5:20.0,Personal foul by E. Payton (drawn by M. Carter-Williams),,14-8,,
5:15.0,,,14-10,2,K. Middleton makes 2-pt shot at rim (assist by J. Henson)
4:50.0,E. Payton misses 2-pt shot from 19 ft,,14-10,,
4:49.0,,,14-10,,Defensive rebound by J. Parker
4:44.0,,,14-10,,Shooting foul by E. Payton (drawn by K. Middleton)
4:44.0,,,14-11,1,K. Middleton makes free throw 1 of 2
4:44.0,S. Napier enters the game for E. Payton,,14-11,,
4:44.0,,,14-11,,J. Bayless enters the game for G. Antetokounmpo
4:44.0,,,14-12,1,K. Middleton makes free throw 2 of 2
4:31.0,T. Harris misses 2-pt shot from 2 ft (block by J. Henson),,14-12,,
4:29.0,Offensive rebound by N. Vucevic,,14-12,,
4:29.0,N. Vucevic misses 2-pt shot from 1 ft,,14-12,,
4:27.0,Offensive rebound by T. Harris,,14-12,,
4:25.0,T. Harris misses 2-pt shot at rim,,14-12,,
4:24.0,Offensive rebound by T. Harris,,14-12,,
4:12.0,N. Vucevic misses 2-pt shot from 15 ft,,14-12,,
4:11.0,Offensive rebound by Team,,14-12,,
4:05.0,T. Harris makes 3-pt shot from 23 ft (assist by V. Oladipo),3,17-12,,
3:49.0,,,17-14,2,M. Carter-Williams makes 2-pt shot from 11 ft
3:31.0,N. Vucevic makes 2-pt shot from 7 ft,2,19-14,,
3:22.0,,,19-14,,Turnover by M. Carter-Williams (bad pass)
3:03.0,A. Gordon makes 2-pt shot at rim (assist by V. Oladipo),2,21-14,,
2:43.0,,,21-14,,K. Middleton misses 2-pt shot from 13 ft
2:41.0,Defensive rebound by A. Gordon,,21-14,,
2:31.0,Orlando full timeout,,21-14,,
2:31.0,E. Fournier enters the game for A. Gordon,,21-14,,
2:31.0,C. Frye enters the game for V. Oladipo,,21-14,,
2:31.0,,,21-14,,R. Vaughn enters the game for J. Parker
2:31.0,,,21-14,,G. Antetokounmpo enters the game for M. Carter-Williams
2:31.0,,,21-14,,Inbound foul by J. Henson
2:31.0,N. Vucevic makes free throw 1 of 2,1,22-14,,
2:31.0,N. Vucevic makes free throw 2 of 2,1,23-14,,
2:17.0,,,23-14,,J. Henson misses 2-pt shot at rim
2:15.0,Defensive rebound by N. Vucevic,,23-14,,
1:55.0,Offensive foul by C. Frye,,23-14,,
1:55.0,Turnover by C. Frye (offensive foul),,23-14,,
1:55.0,J. Smith enters the game for N. Vucevic,,23-14,,
1:55.0,M. Hezonja enters the game for T. Harris,,23-14,,
1:48.0,,,23-16,2,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Bayless)
1:48.0,,,23-16,,Shooting foul by C. Frye (drawn by G. Antetokounmpo)
1:48.0,,,23-17,1,G. Antetokounmpo makes free throw 1 of 1
1:33.0,J. Smith makes 2-pt shot from 19 ft (assist by S. Napier),2,25-17,,
1:17.0,,,25-17,,Turnover by G. Antetokounmpo (lost ball; steal by S. Napier)
1:06.0,C. Frye misses 2-pt shot from 2 ft (block by J. Henson),,25-17,,
1:04.0,,,25-17,,Defensive rebound by J. Henson
0:53.0,,,25-20,3,K. Middleton makes 3-pt shot from 24 ft (assist by J. Henson)
0:39.0,S. Napier makes 3-pt shot from 26 ft,3,28-20,,
0:28.0,,,28-23,3,J. Bayless makes 3-pt shot from 27 ft (assist by K. Middleton)
0:05.0,E. Fournier makes 2-pt shot from 1 ft,2,30-23,,
0:00.0,,,30-23,,J. Bayless misses 2-pt shot from 4 ft
0:00.0,,,30-23,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,S. Napier misses 2-pt shot from 14 ft,,30-23,,
11:46.0,,,30-23,,Defensive rebound by M. Carter-Williams
11:30.0,,,30-23,,M. Carter-Williams misses 2-pt shot from 10 ft
11:28.0,,,30-23,,Offensive rebound by G. Antetokounmpo
11:28.0,,,30-25,2,G. Antetokounmpo makes 2-pt shot at rim
11:15.0,E. Fournier misses 3-pt shot from 26 ft,,30-25,,
11:14.0,,,30-25,,Defensive rebound by J. Bayless
11:01.0,Def 3 sec tech foul by M. Hezonja,,30-25,,
11:01.0,,,30-25,,J. Bayless misses technical free throw
11:01.0,,,30-25,,Offensive rebound by Team
10:55.0,,,30-25,,R. Vaughn misses 3-pt shot from 23 ft
10:53.0,,,30-25,,Offensive rebound by G. Antetokounmpo
10:53.0,,,30-27,2,G. Antetokounmpo makes 2-pt shot at rim
10:30.0,Turnover by S. Napier (lost ball),,30-27,,
10:12.0,,,30-27,,J. Bayless misses 2-pt shot from 7 ft
10:12.0,Defensive rebound by Team,,30-27,,
9:55.0,J. Smith makes 2-pt shot from 19 ft (assist by E. Fournier),2,32-27,,
9:35.0,,,32-27,,G. Monroe misses 2-pt shot from 4 ft
9:34.0,Defensive rebound by C. Frye,,32-27,,
9:22.0,C. Frye makes 3-pt shot from 24 ft (assist by E. Fournier),3,35-27,,
9:03.0,,,35-27,,J. Bayless misses 3-pt shot from 24 ft
9:02.0,Defensive rebound by C. Frye,,35-27,,
8:49.0,C. Frye misses 2-pt shot from 16 ft,,35-27,,
8:47.0,,,35-27,,Defensive rebound by G. Monroe
8:30.0,,,35-27,,R. Vaughn misses 3-pt shot from 23 ft
8:23.0,Defensive rebound by J. Smith,,35-27,,
8:21.0,M. Hezonja makes 2-pt shot from 19 ft (assist by J. Smith),2,37-27,,
8:21.0,,,37-27,,Milwaukee full timeout
8:21.0,,,37-27,,J. Parker enters the game for R. Vaughn
8:01.0,,,37-27,,Shooting foul by S. Napier (drawn by J. Bayless)
8:01.0,,,37-28,1,J. Bayless makes free throw 1 of 2
8:01.0,,,37-28,,J. Bayless misses free throw 2 of 2
7:59.0,Defensive rebound by J. Smith,,37-28,,
7:49.0,M. Hezonja misses 2-pt shot from 19 ft,,37-28,,
7:45.0,,,37-28,,Defensive rebound by G. Monroe
7:41.0,,,37-28,,Shooting foul by C. Frye (drawn by G. Monroe)
7:41.0,,,37-29,1,G. Monroe makes free throw 1 of 2
7:41.0,E. Payton enters the game for S. Napier,,37-29,,
7:41.0,A. Gordon enters the game for C. Frye,,37-29,,
7:41.0,N. Vucevic enters the game for J. Smith,,37-29,,
7:41.0,V. Oladipo enters the game for M. Hezonja,,37-29,,
7:41.0,,,37-30,1,G. Monroe makes free throw 2 of 2
7:21.0,V. Oladipo makes 3-pt shot from 24 ft (assist by N. Vucevic),3,40-30,,
7:05.0,,,40-30,,Turnover by G. Antetokounmpo (traveling)
6:47.0,N. Vucevic misses 2-pt shot from 16 ft,,40-30,,
6:45.0,,,40-30,,Defensive rebound by J. Parker
6:39.0,,,40-32,2,G. Antetokounmpo makes 2-pt shot at rim (assist by G. Monroe)
6:23.0,,,40-32,,Personal foul by J. Bayless (drawn by V. Oladipo)
6:23.0,V. Oladipo makes free throw 1 of 3,1,41-32,,
6:23.0,V. Oladipo makes free throw 2 of 3,1,42-32,,
6:23.0,,,42-32,,K. Middleton enters the game for J. Bayless
6:23.0,V. Oladipo misses free throw 3 of 3,,42-32,,
6:21.0,Offensive rebound by N. Vucevic,,42-32,,
6:00.0,E. Fournier makes 3-pt shot from 25 ft,3,45-32,,
5:43.0,,,45-32,,Turnover by G. Monroe (bad pass; steal by V. Oladipo)
5:35.0,V. Oladipo makes 3-pt shot from 24 ft (assist by A. Gordon),3,48-32,,
5:35.0,,,48-32,,Milwaukee full timeout
5:35.0,Official timeout,,48-32,,
5:35.0,,,48-32,,J. Henson enters the game for G. Monroe
5:22.0,,,48-34,2,J. Parker makes 2-pt shot at rim (assist by G. Antetokounmpo)
5:03.0,E. Fournier misses 3-pt shot from 25 ft,,48-34,,
5:01.0,Offensive rebound by N. Vucevic,,48-34,,
4:53.0,E. Fournier misses 2-pt shot from 19 ft,,48-34,,
4:52.0,,,48-34,,Defensive rebound by J. Parker
4:45.0,,,48-36,2,J. Parker makes 2-pt shot from 5 ft
4:39.0,,,48-36,,Personal foul by M. Carter-Williams (drawn by E. Payton)
4:39.0,T. Harris enters the game for E. Fournier,,48-36,,
4:29.0,,,48-36,,Personal foul by J. Henson (drawn by N. Vucevic)
4:20.0,N. Vucevic misses 2-pt shot from 11 ft,,48-36,,
4:19.0,,,48-36,,Defensive rebound by J. Parker
3:58.0,,,48-38,2,J. Henson makes 2-pt shot at rim (assist by K. Middleton)
3:46.0,,,48-38,,Personal foul by M. Carter-Williams (drawn by E. Payton)
3:33.0,T. Harris misses 2-pt shot from 1 ft,,48-38,,
3:30.0,Offensive rebound by A. Gordon,,48-38,,
3:30.0,A. Gordon makes 2-pt shot from 2 ft,2,50-38,,
3:18.0,,,50-40,2,M. Carter-Williams makes 2-pt shot from 1 ft
3:18.0,,,50-40,,Violation by Team (delay of game)
3:08.0,Offensive foul by T. Harris,,50-40,,
3:08.0,Turnover by T. Harris (offensive foul),,50-40,,
2:56.0,,,50-42,2,G. Antetokounmpo makes 2-pt shot from 10 ft (assist by J. Henson)
2:51.0,Orlando full timeout,,50-42,,
2:32.0,N. Vucevic makes 2-pt shot from 13 ft (assist by T. Harris),2,52-42,,
2:17.0,,,52-44,2,J. Parker makes 2-pt shot from 3 ft (assist by G. Antetokounmpo)
1:58.0,A. Gordon misses 2-pt shot from 1 ft (block by J. Henson),,52-44,,
1:56.0,,,52-44,,Defensive rebound by K. Middleton
1:52.0,,,52-46,2,K. Middleton makes 2-pt shot at rim
1:45.0,Shooting foul by J. Henson (drawn by T. Harris),,52-46,,
1:45.0,T. Harris misses free throw 1 of 2,,52-46,,
1:45.0,Offensive rebound by Team,,52-46,,
1:45.0,,,52-46,,G. Monroe enters the game for J. Henson
1:45.0,T. Harris makes free throw 2 of 2,1,53-46,,
1:30.0,,,53-46,,Shooting foul by N. Vucevic (drawn by G. Monroe)
1:30.0,,,53-47,1,G. Monroe makes free throw 1 of 2
1:30.0,,,53-48,1,G. Monroe makes free throw 2 of 2
1:15.0,Shooting foul by K. Middleton (drawn by V. Oladipo),,53-48,,
1:15.0,V. Oladipo makes free throw 1 of 3,1,54-48,,
1:15.0,V. Oladipo makes free throw 2 of 3,1,55-48,,
1:15.0,V. Oladipo makes free throw 3 of 3,1,56-48,,
0:55.0,,,56-50,2,G. Monroe makes 2-pt shot from 2 ft
0:35.0,A. Gordon misses 2-pt shot from 16 ft,,56-50,,
0:33.0,,,56-50,,Defensive rebound by M. Carter-Williams
0:17.0,,,56-53,3,K. Middleton makes 3-pt shot from 24 ft
0:03.0,V. Oladipo misses 2-pt shot from 20 ft,,56-53,,
0:02.0,,,56-53,,Defensive rebound by G. Antetokounmpo
0:00.0,,,56-53,,G. Antetokounmpo misses 2-pt shot from 3 ft
0:00.0,,,56-53,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,N. Vucevic makes 2-pt shot from 6 ft,2,58-53,,
11:23.0,,,58-53,,G. Monroe misses 2-pt shot from 1 ft (block by T. Harris)
11:20.0,,,58-53,,Offensive rebound by G. Monroe
11:17.0,,,58-55,2,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Carter-Williams)
10:50.0,E. Payton makes 3-pt shot from 27 ft (assist by V. Oladipo),3,61-55,,
10:34.0,Def 3 sec tech foul by N. Vucevic,,61-55,,
10:34.0,,,61-56,1,K. Middleton makes technical free throw
10:22.0,,,61-56,,Turnover by M. Carter-Williams (bad pass; steal by A. Gordon)
10:17.0,A. Gordon misses 2-pt shot from 1 ft (block by G. Antetokounmpo),,61-56,,
10:17.0,Offensive rebound by Team,,61-56,,
10:14.0,Offensive foul by V. Oladipo,,61-56,,
10:14.0,Turnover by V. Oladipo (offensive foul),,61-56,,
10:03.0,,,61-56,,K. Middleton misses 3-pt shot from 23 ft
10:02.0,Defensive rebound by N. Vucevic,,61-56,,
9:53.0,N. Vucevic makes 2-pt shot from 1 ft (assist by E. Payton),2,63-56,,
9:35.0,,,63-56,,M. Carter-Williams misses 2-pt shot from 9 ft
9:34.0,Defensive rebound by V. Oladipo,,63-56,,
9:31.0,,,63-56,,Personal foul by J. Parker (drawn by A. Gordon)
