time,Philadelphia,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:45.0,,,0-0,,A. Jefferson misses 2-pt shot from 9 ft
12:00.0,Jump ball: J. Grant vs. A. Jefferson (K. Walker gains possession),,,,Jump ball: J. Grant vs. A. Jefferson (K. Walker gains possession)
11:44.0,Defensive rebound by T. McConnell,,0-0,,
11:32.0,J. Okafor misses 2-pt shot from 10 ft (block by A. Jefferson),,0-0,,
11:30.0,,,0-0,,Defensive rebound by J. Lin
11:16.0,,,0-0,,Shooting foul by R. Covington (drawn by A. Jefferson)
11:16.0,,,0-0,,A. Jefferson misses free throw 1 of 2
11:16.0,,,0-0,,Offensive rebound by Team
11:16.0,,,0-1,1,A. Jefferson makes free throw 2 of 2
10:54.0,R. Covington misses 3-pt shot from 24 ft,,0-1,,
10:53.0,,,0-1,,Defensive rebound by A. Jefferson
10:42.0,,,0-3,2,K. Walker makes 2-pt shot from 1 ft
10:22.0,N. Stauskas misses 2-pt shot from 1 ft (block by M. Williams),,0-3,,
10:20.0,,,0-3,,Defensive rebound by A. Jefferson
10:13.0,,,0-6,3,K. Walker makes 3-pt shot from 25 ft (assist by N. Batum)
9:49.0,J. Okafor misses 2-pt shot from 6 ft (block by A. Jefferson),,0-6,,
9:48.0,,,0-6,,Defensive rebound by M. Williams
9:42.0,,,0-6,,J. Lin misses 3-pt shot from 24 ft
9:41.0,Defensive rebound by J. Okafor,,0-6,,
9:29.0,J. Okafor makes 2-pt shot from 1 ft (assist by T. McConnell),2,2-6,,
9:07.0,,,2-8,2,J. Lin makes 2-pt shot at rim (assist by K. Walker)
8:45.0,J. Grant makes 2-pt shot at rim (assist by R. Covington),2,4-8,,
8:30.0,,,4-10,2,K. Walker makes 2-pt shot from 15 ft (assist by J. Lin)
8:19.0,T. McConnell misses 2-pt shot from 8 ft,,4-10,,
8:18.0,Offensive rebound by J. Grant,,4-10,,
8:08.0,Shooting foul by A. Jefferson (drawn by R. Covington),,4-10,,
8:08.0,R. Covington makes free throw 1 of 2,1,5-10,,
8:08.0,R. Covington makes free throw 2 of 2,1,6-10,,
7:56.0,,,6-10,,A. Jefferson misses 2-pt shot from 1 ft (block by J. Grant)
7:54.0,Defensive rebound by R. Covington,,6-10,,
7:41.0,T. McConnell makes 3-pt shot from 25 ft (assist by N. Stauskas),3,9-10,,
7:27.0,,,9-12,2,J. Lin makes 2-pt shot from 1 ft (assist by A. Jefferson)
7:18.0,Turnover by J. Okafor (lost ball; steal by K. Walker),,9-12,,
7:14.0,,,9-12,,Turnover by K. Walker (bad pass; steal by T. McConnell)
7:08.0,N. Stauskas misses 3-pt shot from 27 ft,,9-12,,
7:06.0,,,9-12,,Defensive rebound by M. Williams
6:59.0,,,9-12,,N. Batum misses 2-pt shot from 14 ft
6:56.0,Defensive rebound by J. Okafor,,9-12,,
6:48.0,J. Grant misses 2-pt shot from 1 ft,,9-12,,
6:47.0,,,9-12,,Defensive rebound by N. Batum
6:44.0,,,9-12,,Offensive charge foul by N. Batum
6:44.0,,,9-12,,Turnover by N. Batum (offensive foul)
6:44.0,Philadelphia full timeout,,9-12,,
6:44.0,H. Thompson enters the game for R. Covington,,9-12,,
6:44.0,N. Noel enters the game for J. Okafor,,9-12,,
6:29.0,N. Stauskas misses 3-pt shot from 26 ft,,9-12,,
6:27.0,,,9-12,,Defensive rebound by A. Jefferson
6:16.0,,,9-14,2,A. Jefferson makes 2-pt shot from 4 ft (assist by K. Walker)
6:16.0,,,9-14,,Shooting foul by N. Noel (drawn by A. Jefferson)
6:16.0,,,9-15,1,A. Jefferson makes free throw 1 of 1
5:54.0,N. Noel misses 2-pt shot from 17 ft,,9-15,,
5:52.0,,,9-15,,Defensive rebound by J. Lin
5:43.0,,,9-17,2,A. Jefferson makes 2-pt shot from 16 ft (assist by J. Lin)
5:30.0,H. Thompson misses 2-pt shot from 17 ft,,9-17,,
5:26.0,,,9-17,,Defensive rebound by A. Jefferson
5:19.0,,,9-17,,N. Batum misses 3-pt shot from 25 ft
5:18.0,Defensive rebound by N. Noel,,9-17,,
5:07.0,H. Thompson misses 2-pt shot from 2 ft (block by M. Williams),,9-17,,
5:07.0,Offensive rebound by H. Thompson,,9-17,,
5:07.0,Turnover by H. Thompson (step out of bounds),,9-17,,
5:06.0,I. Canaan enters the game for N. Stauskas,,9-17,,
4:55.0,,,9-19,2,A. Jefferson makes 2-pt shot from 8 ft
4:45.0,,,9-19,,Personal foul by K. Walker (drawn by T. McConnell)
4:45.0,,,9-19,,J. Lamb enters the game for M. Williams
4:45.0,,,9-19,,F. Kaminsky enters the game for J. Lin
4:32.0,Turnover by T. McConnell (bad pass),,9-19,,
4:32.0,P. Pressey enters the game for T. McConnell,,9-19,,
4:18.0,,,9-21,2,A. Jefferson makes 2-pt shot from 17 ft (assist by K. Walker)
4:04.0,Turnover by H. Thompson (bad pass; steal by K. Walker),,9-21,,
3:54.0,,,9-21,,J. Lamb misses 3-pt shot from 22 ft
3:53.0,Defensive rebound by H. Thompson,,9-21,,
3:47.0,N. Noel makes 2-pt shot at rim (assist by P. Pressey),2,11-21,,
3:35.0,,,11-24,3,N. Batum makes 3-pt shot from 25 ft (assist by F. Kaminsky)
3:19.0,I. Canaan makes 2-pt shot from 14 ft,2,13-24,,
3:02.0,,,13-26,2,A. Jefferson makes 2-pt shot from 5 ft
2:47.0,H. Thompson misses 3-pt shot from 25 ft,,13-26,,
2:45.0,,,13-26,,Defensive rebound by K. Walker
2:37.0,,,13-28,2,F. Kaminsky makes 2-pt shot from 1 ft (assist by N. Batum)
2:17.0,N. Noel makes 2-pt shot from 2 ft,2,15-28,,
1:59.0,,,15-30,2,A. Jefferson makes 2-pt shot from 16 ft (assist by K. Walker)
1:37.0,Shooting foul by F. Kaminsky (drawn by J. Grant),,15-30,,
1:37.0,,,15-30,,Charlotte full timeout
1:37.0,,,15-30,,S. Hawes enters the game for A. Jefferson
1:37.0,,,15-30,,B. Roberts enters the game for K. Walker
1:37.0,J. Sampson enters the game for H. Thompson,,15-30,,
1:37.0,J. Grant misses free throw 1 of 2,,15-30,,
1:37.0,Offensive rebound by Team,,15-30,,
1:37.0,J. Grant misses free throw 2 of 2,,15-30,,
1:31.0,Offensive rebound by J. Grant,,15-30,,
1:20.0,J. Sampson makes 2-pt shot from 1 ft (assist by P. Pressey),2,17-30,,
