time,Indiana,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. I. Mahinmi (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. I. Mahinmi (R. Jackson gains possession)
11:35.0,,,0-0,,M. Morris misses 2-pt shot from 15 ft
11:34.0,,,0-0,,Offensive rebound by A. Drummond
11:29.0,,,0-2,2,A. Drummond makes 2-pt shot at rim
11:21.0,Turnover by P. George (bad pass; steal by E. Ilyasova),,0-2,,
11:17.0,,,0-2,,R. Jackson misses 2-pt shot from 13 ft
11:17.0,Defensive rebound by Team,,0-2,,
11:17.0,,,0-2,,Loose ball foul by A. Drummond (drawn by I. Mahinmi)
10:58.0,M. Ellis makes 2-pt shot at rim,2,2-2,,
10:42.0,,,2-2,,Turnover by K. Caldwell-Pope (lost ball; steal by M. Ellis)
10:36.0,M. Ellis makes 2-pt shot at rim,2,4-2,,
10:21.0,,,4-2,,Turnover by R. Jackson (lost ball; steal by G. Hill)
10:16.0,P. George makes 2-pt shot at rim (assist by G. Hill),2,6-2,,
9:59.0,,,6-5,3,E. Ilyasova makes 3-pt shot from 25 ft (assist by K. Caldwell-Pope)
9:46.0,C. Miles misses 2-pt shot from 15 ft,,6-5,,
9:45.0,,,6-5,,Defensive rebound by A. Drummond
9:38.0,Personal foul by G. Hill (drawn by R. Jackson),,6-5,,
9:23.0,,,6-5,,A. Drummond misses 2-pt shot from 7 ft
9:23.0,,,6-5,,Offensive rebound by M. Morris
9:23.0,,,6-5,,Shooting foul by P. George (drawn by M. Morris)
9:23.0,,,6-6,1,M. Morris makes free throw 1 of 2
9:23.0,,,6-7,1,M. Morris makes free throw 2 of 2
9:08.0,M. Ellis misses 3-pt shot from 26 ft,,6-7,,
9:08.0,,,6-7,,Defensive rebound by A. Drummond
8:58.0,,,6-7,,Turnover by R. Jackson (bad pass; steal by G. Hill)
8:50.0,P. George makes 3-pt shot from 26 ft (assist by G. Hill),3,9-7,,
8:34.0,,,9-7,,R. Jackson misses 2-pt shot from 8 ft (block by G. Hill)
8:32.0,Defensive rebound by G. Hill,,9-7,,
8:18.0,G. Hill makes 2-pt shot from 15 ft,2,11-7,,
7:55.0,,,11-7,,M. Morris misses 3-pt shot from 25 ft
7:55.0,,,11-7,,Offensive rebound by E. Ilyasova
7:54.0,,,11-7,,E. Ilyasova misses 2-pt shot from 1 ft
7:54.0,,,11-7,,Offensive rebound by E. Ilyasova
7:53.0,,,11-9,2,E. Ilyasova makes 2-pt shot from 1 ft
7:38.0,Offensive foul by I. Mahinmi,,11-9,,
7:38.0,Turnover by I. Mahinmi (offensive foul),,11-9,,
7:25.0,,,11-11,2,E. Ilyasova makes 2-pt shot from 16 ft (assist by R. Jackson)
7:12.0,G. Hill misses 3-pt shot from 25 ft,,11-11,,
7:12.0,,,11-11,,Defensive rebound by A. Drummond
7:02.0,,,11-11,,Turnover by M. Morris (bad pass; steal by C. Miles)
6:59.0,C. Miles misses 2-pt shot from 6 ft (block by R. Jackson),,11-11,,
6:58.0,Offensive rebound by M. Ellis,,11-11,,
6:58.0,M. Ellis misses 2-pt shot from 5 ft,,11-11,,
6:57.0,,,11-11,,Defensive rebound by K. Caldwell-Pope
6:52.0,,,11-13,2,A. Drummond makes 2-pt shot from 1 ft (assist by K. Caldwell-Pope)
6:42.0,P. George misses 2-pt shot from 9 ft,,11-13,,
6:41.0,,,11-13,,Defensive rebound by A. Drummond
6:32.0,,,11-15,2,R. Jackson makes 2-pt shot from 1 ft
6:31.0,Indiana full timeout,,11-15,,
6:31.0,M. Turner enters the game for I. Mahinmi,,11-15,,
6:12.0,C. Miles misses 3-pt shot from 25 ft,,11-15,,
6:11.0,,,11-15,,Defensive rebound by Team
5:52.0,,,11-15,,E. Ilyasova misses 2-pt shot from 4 ft
5:52.0,,,11-15,,Offensive rebound by A. Drummond
5:48.0,,,11-17,2,A. Drummond makes 2-pt shot from 1 ft
5:35.0,,,11-17,,Violation by A. Drummond (kicked ball)
5:21.0,C. Miles misses 3-pt shot from 25 ft,,11-17,,
5:20.0,,,11-17,,Defensive rebound by M. Morris
5:09.0,,,11-20,3,E. Ilyasova makes 3-pt shot from 24 ft (assist by R. Jackson)
4:53.0,,,11-20,,Personal foul by M. Morris (drawn by P. George)
4:44.0,G. Hill makes 2-pt shot from 17 ft,2,13-20,,
4:28.0,,,13-22,2,R. Jackson makes 2-pt shot at rim
4:09.0,M. Turner makes 2-pt shot from 12 ft (assist by G. Hill),2,15-22,,
3:59.0,,,15-22,,Turnover by M. Morris (step out of bounds)
3:59.0,R. Stuckey enters the game for G. Hill,,15-22,,
3:43.0,M. Ellis makes 2-pt shot from 16 ft,2,17-22,,
3:23.0,,,17-24,2,A. Drummond makes 2-pt shot from 5 ft (assist by R. Jackson)
3:17.0,Shooting foul by K. Caldwell-Pope (drawn by C. Miles),,17-24,,
3:17.0,C. Miles makes free throw 1 of 2,1,18-24,,
3:17.0,C. Miles makes free throw 2 of 2,1,19-24,,
3:02.0,,,19-26,2,R. Jackson makes 2-pt shot at rim
2:47.0,Turnover by P. George (lost ball; steal by R. Jackson),,19-26,,
2:31.0,,,19-28,2,R. Jackson makes 2-pt shot at rim
2:17.0,M. Ellis makes 3-pt shot from 23 ft (assist by P. George),3,22-28,,
1:52.0,,,22-28,,Turnover by A. Drummond (lost ball)
1:52.0,,,22-28,,Detroit full timeout
1:52.0,,,22-28,,S. Johnson enters the game for M. Morris
1:52.0,,,22-28,,S. Blake enters the game for R. Jackson
1:52.0,L. Allen enters the game for C. Miles,,22-28,,
1:35.0,P. George misses 3-pt shot from 26 ft,,22-28,,
1:34.0,,,22-28,,Defensive rebound by A. Drummond
1:21.0,,,22-28,,S. Johnson misses 3-pt shot from 25 ft
