time,Cleveland,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. T. Mozgov (M. Conley gains possession),,,,Jump ball: M. Gasol vs. T. Mozgov (M. Conley gains possession)
11:43.0,,,0-0,,M. Conley misses 2-pt shot from 20 ft
11:43.0,Defensive rebound by K. Love,,0-0,,
11:19.0,J. Smith misses 2-pt shot from 21 ft,,0-0,,
11:17.0,,,0-0,,Defensive rebound by Z. Randolph
11:06.0,,,0-0,,M. Gasol misses 2-pt shot from 4 ft
11:05.0,Defensive rebound by K. Love,,0-0,,
10:56.0,Turnover by M. Williams (bad pass; steal by C. Lee),,0-0,,
10:53.0,,,0-0,,Shooting foul by J. Smith (drawn by C. Lee)
10:53.0,,,0-1,1,C. Lee makes free throw 1 of 2
10:53.0,,,0-2,1,C. Lee makes free throw 2 of 2
10:33.0,T. Mozgov misses 2-pt shot from 15 ft,,0-2,,
10:32.0,Offensive rebound by K. Love,,0-2,,
10:21.0,K. Love makes 2-pt shot from 1 ft (assist by L. James),2,2-2,,
10:01.0,,,2-2,,Z. Randolph misses 2-pt shot from 18 ft
10:01.0,Defensive rebound by M. Williams,,2-2,,
9:51.0,K. Love misses 3-pt shot from 22 ft,,2-2,,
9:51.0,,,2-2,,Defensive rebound by J. Green
9:43.0,,,2-4,2,Z. Randolph makes 2-pt shot at rim (assist by J. Green)
9:24.0,M. Williams makes 3-pt shot from 24 ft,3,5-4,,
9:06.0,,,5-6,2,Z. Randolph makes 2-pt shot at rim
8:45.0,L. James misses 2-pt shot from 15 ft,,5-6,,
8:44.0,,,5-6,,Defensive rebound by Z. Randolph
8:27.0,,,5-6,,M. Gasol misses 2-pt shot from 9 ft
8:27.0,Defensive rebound by K. Love,,5-6,,
8:19.0,J. Smith makes 3-pt shot from 25 ft (assist by M. Williams),3,8-6,,
8:01.0,,,8-6,,J. Green misses 2-pt shot from 17 ft
8:00.0,Defensive rebound by K. Love,,8-6,,
7:57.0,L. James makes 2-pt shot at rim (assist by K. Love),2,10-6,,
7:29.0,,,10-6,,Z. Randolph misses 3-pt shot from 22 ft
7:28.0,,,10-6,,Offensive rebound by Z. Randolph
7:14.0,,,10-6,,Z. Randolph misses 2-pt shot from 8 ft
7:12.0,Defensive rebound by K. Love,,10-6,,
6:59.0,T. Mozgov misses 2-pt shot from 13 ft,,10-6,,
6:59.0,Offensive rebound by J. Smith,,10-6,,
6:54.0,M. Williams misses 3-pt shot from 23 ft,,10-6,,
6:54.0,,,10-6,,Defensive rebound by Team
6:35.0,,,10-6,,J. Green misses 3-pt shot from 26 ft
6:34.0,Defensive rebound by T. Mozgov,,10-6,,
6:27.0,T. Mozgov makes 2-pt shot at rim (assist by L. James),2,12-6,,
6:20.0,,,12-6,,Memphis full timeout
6:20.0,R. Jefferson enters the game for L. James,,12-6,,
6:07.0,,,12-6,,C. Lee misses 2-pt shot from 21 ft
6:07.0,Defensive rebound by K. Love,,12-6,,
5:54.0,K. Love makes 3-pt shot from 25 ft (assist by M. Williams),3,15-6,,
5:39.0,,,15-8,2,M. Gasol makes 2-pt shot from 20 ft (assist by M. Conley)
5:15.0,K. Love misses 3-pt shot from 23 ft,,15-8,,
5:14.0,,,15-8,,Defensive rebound by Z. Randolph
4:55.0,,,15-8,,J. Green misses 2-pt shot from 8 ft
4:53.0,Defensive rebound by K. Love,,15-8,,
4:45.0,R. Jefferson makes 3-pt shot from 24 ft (assist by J. Smith),3,18-8,,
4:44.0,,,18-8,,Memphis full timeout
4:44.0,,,18-8,,T. Allen enters the game for J. Green
4:44.0,T. Thompson enters the game for K. Love,,18-8,,
4:33.0,,,18-8,,Turnover by Z. Randolph (traveling)
4:26.0,Offensive foul by R. Jefferson,,18-8,,
4:26.0,Turnover by R. Jefferson (offensive foul),,18-8,,
4:10.0,,,18-8,,M. Conley misses 2-pt shot from 8 ft
4:10.0,,,18-8,,Offensive rebound by T. Allen
4:10.0,Personal foul by R. Jefferson (drawn by T. Allen),,18-8,,
4:10.0,M. Dellavedova enters the game for M. Williams,,18-8,,
4:10.0,L. James enters the game for R. Jefferson,,18-8,,
4:02.0,Personal foul by M. Dellavedova (drawn by M. Conley),,18-8,,
3:48.0,,,18-8,,M. Gasol misses 2-pt shot from 11 ft
3:46.0,Defensive rebound by T. Mozgov,,18-8,,
3:33.0,Turnover by T. Mozgov (traveling),,18-8,,
3:33.0,,,18-8,,B. Wright enters the game for Z. Randolph
3:33.0,,,18-8,,M. Barnes enters the game for C. Lee
3:20.0,,,18-8,,T. Allen misses 2-pt shot from 18 ft
3:19.0,,,18-8,,Offensive rebound by T. Allen
3:17.0,,,18-8,,T. Allen misses 2-pt shot at rim
3:16.0,Defensive rebound by J. Smith,,18-8,,
3:03.0,Shooting foul by M. Barnes (drawn by L. James),,18-8,,
3:03.0,L. James makes free throw 1 of 2,1,19-8,,
3:03.0,A. Varejao enters the game for T. Mozgov,,19-8,,
3:03.0,L. James misses free throw 2 of 2,,19-8,,
3:02.0,,,19-8,,Defensive rebound by M. Barnes
2:52.0,,,19-8,,M. Conley misses 2-pt shot from 7 ft
2:52.0,Defensive rebound by Team,,19-8,,
2:52.0,,,19-8,,Loose ball foul by M. Gasol (drawn by A. Varejao)
2:52.0,Cleveland full timeout,,19-8,,
2:52.0,,,19-8,,B. Udrih enters the game for M. Conley
2:32.0,L. James misses 3-pt shot from 25 ft,,19-8,,
2:31.0,,,19-8,,Defensive rebound by T. Allen
2:13.0,,,19-8,,M. Barnes misses 3-pt shot from 23 ft
2:13.0,Defensive rebound by A. Varejao,,19-8,,
2:04.0,Turnover by J. Smith (bad pass),,19-8,,
1:48.0,,,19-8,,Offensive foul by B. Udrih
1:48.0,,,19-8,,Turnover by B. Udrih (offensive foul)
1:48.0,J. Cunningham enters the game for J. Smith,,19-8,,
1:39.0,M. Dellavedova makes 3-pt shot from 25 ft,3,22-8,,
1:21.0,,,22-8,,T. Allen misses 2-pt shot from 5 ft
1:20.0,Defensive rebound by L. James,,22-8,,
1:07.0,A. Varejao makes 2-pt shot from 13 ft (assist by M. Dellavedova),2,24-8,,
0:50.0,Personal foul by A. Varejao (drawn by M. Gasol),,24-8,,
0:45.0,,,24-10,2,B. Udrih makes 2-pt shot from 21 ft (assist by M. Barnes)
0:39.0,M. Dellavedova misses 3-pt shot from 25 ft,,24-10,,
0:38.0,,,24-10,,Defensive rebound by M. Gasol
0:31.0,,,24-10,,Turnover by B. Udrih (lost ball; steal by L. James)
0:23.0,L. James makes 2-pt shot at rim (assist by A. Varejao),2,26-10,,
0:03.0,,,26-10,,Turnover by B. Wright (lost ball; steal by L. James)
0:00.0,L. James misses 2-pt shot from 15 ft,,26-10,,
0:00.0,Offensive rebound by Team,,26-10,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,Turnover by L. James (traveling),,26-10,,
11:49.0,R. Jefferson enters the game for L. James,,26-10,,
11:29.0,,,26-10,,B. Udrih misses 2-pt shot from 20 ft
11:27.0,Defensive rebound by R. Jefferson,,26-10,,
11:24.0,J. Cunningham makes 2-pt shot at rim (assist by M. Dellavedova),2,28-10,,
11:12.0,,,28-10,,B. Wright misses 2-pt shot from 10 ft
11:10.0,Defensive rebound by K. Love,,28-10,,
10:48.0,A. Varejao misses 2-pt shot from 9 ft,,28-10,,
10:48.0,Offensive rebound by Team,,28-10,,
10:48.0,,,28-10,,M. Conley enters the game for B. Udrih
10:42.0,K. Love misses 2-pt shot from 21 ft,,28-10,,
10:41.0,,,28-10,,Defensive rebound by M. Barnes
10:30.0,,,28-10,,B. Wright misses 2-pt shot at rim
10:28.0,,,28-10,,Offensive rebound by J. Green
10:28.0,,,28-10,,Turnover by M. Barnes (lost ball)
10:12.0,M. Dellavedova makes 2-pt shot from 5 ft,2,30-10,,
10:02.0,,,30-10,,M. Conley misses 3-pt shot from 24 ft
10:00.0,,,30-10,,Offensive rebound by T. Allen
9:56.0,,,30-12,2,J. Green makes 2-pt shot from 4 ft (assist by T. Allen)
9:44.0,R. Jefferson makes 3-pt shot from 25 ft (assist by A. Varejao),3,33-12,,
9:38.0,,,33-12,,Memphis full timeout
9:38.0,T. Thompson enters the game for A. Varejao,,33-12,,
9:28.0,,,33-12,,M. Barnes misses 2-pt shot from 18 ft
9:26.0,,,33-12,,Offensive rebound by Team
9:22.0,,,33-12,,Turnover by B. Wright (bad pass)
9:08.0,K. Love makes 2-pt shot from 6 ft,2,35-12,,
9:08.0,Shooting foul by J. Green (drawn by K. Love),,35-12,,
9:08.0,,,35-12,,Z. Randolph enters the game for B. Wright
9:08.0,K. Love makes free throw 1 of 1,1,36-12,,
8:50.0,Shooting block foul by K. Love (drawn by M. Conley),,36-12,,
8:50.0,,,36-13,1,M. Conley makes free throw 1 of 2
8:50.0,,,36-13,,C. Lee enters the game for T. Allen
8:50.0,,,36-14,1,M. Conley makes free throw 2 of 2
8:35.0,R. Jefferson makes 2-pt shot at rim (assist by K. Love),2,38-14,,
8:35.0,Shooting foul by M. Barnes (drawn by R. Jefferson),,38-14,,
8:35.0,R. Jefferson makes free throw 1 of 1,1,39-14,,
8:15.0,,,39-14,,Z. Randolph misses 2-pt shot from 9 ft
8:14.0,Defensive rebound by T. Thompson,,39-14,,
8:04.0,Offensive foul by T. Thompson,,39-14,,
8:04.0,Turnover by T. Thompson (offensive foul),,39-14,,
7:49.0,,,39-14,,J. Green misses 3-pt shot from 22 ft
7:49.0,Defensive rebound by J. Cunningham,,39-14,,
7:32.0,M. Dellavedova misses 2-pt shot from 1 ft,,39-14,,
7:28.0,Offensive rebound by T. Thompson,,39-14,,
7:28.0,T. Thompson makes 2-pt shot at rim,2,41-14,,
7:18.0,,,41-14,,M. Conley misses 2-pt shot from 2 ft
7:16.0,,,41-14,,Offensive rebound by J. Green
7:16.0,,,41-14,,J. Green misses 2-pt shot from 2 ft
7:16.0,,,41-14,,Offensive rebound by J. Green
7:16.0,,,41-14,,J. Green misses 2-pt shot from 2 ft
7:16.0,,,41-14,,Offensive rebound by J. Green
7:16.0,Loose ball foul by M. Dellavedova (drawn by J. Green),,41-14,,
7:16.0,,,41-14,,M. Gasol enters the game for J. Green
7:16.0,M. Williams enters the game for M. Dellavedova,,41-14,,
7:06.0,,,41-14,,Z. Randolph misses 2-pt shot from 1 ft
7:04.0,,,41-14,,Offensive rebound by Z. Randolph
7:04.0,,,41-14,,Shooting foul by T. Thompson (drawn by Z. Randolph)
7:04.0,,,41-14,,Z. Randolph misses free throw 1 of 2
7:04.0,,,41-14,,Offensive rebound by Team
7:04.0,T. Mozgov enters the game for T. Thompson,,41-14,,
7:04.0,L. James enters the game for J. Cunningham,,41-14,,
7:04.0,,,41-14,,T. Allen enters the game for M. Barnes
7:04.0,,,41-15,1,Z. Randolph makes free throw 2 of 2
6:54.0,T. Mozgov makes 2-pt shot at rim (assist by M. Williams),2,43-15,,
6:39.0,,,43-17,2,M. Conley makes 2-pt shot from 19 ft
6:13.0,K. Love misses 2-pt shot from 17 ft,,43-17,,
6:12.0,,,43-17,,Defensive rebound by M. Conley
6:07.0,,,43-20,3,C. Lee makes 3-pt shot from 25 ft (assist by M. Conley)
5:40.0,L. James misses 2-pt shot from 19 ft,,43-20,,
5:38.0,,,43-20,,Defensive rebound by M. Gasol
5:29.0,,,43-20,,M. Gasol misses 2-pt shot from 19 ft
5:28.0,Defensive rebound by K. Love,,43-20,,
5:25.0,Turnover by K. Love (lost ball; steal by T. Allen),,43-20,,
