time,Golden State,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. T. Chandler,,,,Jump ball: A. Bogut vs. T. Chandler
11:54.0,H. Barnes makes 2-pt shot at rim (assist by S. Curry),2,2-0,,
11:37.0,,,2-2,2,M. Morris makes 2-pt shot from 20 ft (assist by T. Chandler)
11:25.0,K. Thompson misses 3-pt shot from 26 ft,,2-2,,
11:22.0,Offensive rebound by S. Curry,,2-2,,
11:22.0,S. Curry makes 2-pt shot from 12 ft,2,4-2,,
11:05.0,,,4-4,2,P. Tucker makes 2-pt shot from 3 ft (assist by M. Morris)
10:54.0,D. Green makes 3-pt shot from 25 ft (assist by S. Curry),3,7-4,,
10:37.0,,,7-7,3,P. Tucker makes 3-pt shot from 23 ft (assist by M. Morris)
10:16.0,S. Curry makes 3-pt shot from 23 ft (assist by D. Green),3,10-7,,
9:50.0,,,10-7,,P. Tucker misses 2-pt shot at rim (block by H. Barnes)
9:50.0,Defensive rebound by K. Thompson,,10-7,,
9:32.0,H. Barnes misses 3-pt shot from 25 ft,,10-7,,
9:32.0,,,10-7,,Defensive rebound by T. Chandler
9:25.0,,,10-7,,Turnover by A. Goodwin (bad pass; steal by K. Thompson)
9:18.0,K. Thompson makes 3-pt shot from 25 ft (assist by D. Green),3,13-7,,
9:16.0,,,13-7,,Phoenix full timeout
9:16.0,,,13-7,,O. Johnson enters the game for A. Goodwin
9:08.0,,,13-9,2,D. Booker makes 2-pt shot from 15 ft
8:56.0,,,13-9,,Personal foul by T. Chandler (drawn by H. Barnes)
8:49.0,K. Thompson makes 2-pt shot from 11 ft (assist by S. Curry),2,15-9,,
8:37.0,,,15-9,,Turnover by D. Booker (lost ball)
8:19.0,A. Bogut makes 2-pt shot at rim (assist by K. Thompson),2,17-9,,
8:03.0,,,17-11,2,D. Booker makes 2-pt shot from 19 ft
7:50.0,Turnover by S. Curry (bad pass; steal by M. Morris),,17-11,,
7:38.0,,,17-11,,M. Morris misses 2-pt shot from 9 ft
7:37.0,,,17-11,,Offensive rebound by O. Johnson
7:34.0,,,17-13,2,O. Johnson makes 2-pt shot from 1 ft
7:21.0,K. Thompson misses 3-pt shot from 24 ft,,17-13,,
7:21.0,,,17-13,,Defensive rebound by T. Chandler
7:09.0,,,17-15,2,T. Chandler makes 2-pt shot at rim (assist by D. Booker)
7:09.0,,,17-15,,Shooting foul by K. Thompson (drawn by T. Chandler)
7:09.0,,,17-15,,T. Chandler misses free throw 1 of 1
7:08.0,Defensive rebound by A. Bogut,,17-15,,
6:55.0,K. Thompson misses 2-pt shot from 6 ft,,17-15,,
6:53.0,,,17-15,,Defensive rebound by T. Chandler
6:39.0,,,17-15,,D. Booker misses 3-pt shot from 27 ft
6:39.0,Defensive rebound by A. Bogut,,17-15,,
6:35.0,,,17-15,,Personal foul by D. Booker (drawn by S. Curry)
6:27.0,Turnover by D. Green (bad pass; steal by T. Chandler),,17-15,,
6:20.0,,,17-15,,P. Tucker misses 2-pt shot from 2 ft (block by A. Bogut)
6:19.0,Defensive rebound by H. Barnes,,17-15,,
6:13.0,S. Curry misses 3-pt shot from 24 ft,,17-15,,
6:13.0,,,17-15,,Defensive rebound by M. Morris
6:03.0,,,17-17,2,T. Chandler makes 2-pt shot from 1 ft (assist by D. Booker)
5:47.0,S. Curry makes 2-pt shot from 7 ft,2,19-17,,
5:24.0,,,19-17,,Turnover by P. Tucker (traveling)
5:24.0,A. Iguodala enters the game for H. Barnes,,19-17,,
5:09.0,S. Curry makes 3-pt shot from 24 ft (assist by A. Iguodala),3,22-17,,
4:47.0,,,22-17,,Shooting foul by K. Thompson (drawn by D. Booker)
4:47.0,,,22-18,1,D. Booker makes free throw 1 of 2
4:47.0,L. Barbosa enters the game for K. Thompson,,22-18,,
4:47.0,,,22-18,,D. Booker misses free throw 2 of 2
4:47.0,,,22-18,,Offensive rebound by Team
4:38.0,,,22-20,2,M. Morris makes 2-pt shot from 11 ft
4:22.0,A. Iguodala misses 3-pt shot from 23 ft,,22-20,,
4:21.0,,,22-20,,Defensive rebound by O. Johnson
4:15.0,Shooting block foul by L. Barbosa (drawn by D. Booker),,22-20,,
4:15.0,,,22-21,1,D. Booker makes free throw 1 of 2
4:15.0,,,22-22,1,D. Booker makes free throw 2 of 2
4:02.0,S. Curry misses 3-pt shot from 24 ft,,22-22,,
4:01.0,,,22-22,,Defensive rebound by T. Chandler
3:47.0,,,22-22,,P. Tucker misses 2-pt shot from 4 ft (block by A. Bogut)
