time,Sacramento,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Koufos vs. K. Towns (R. Rondo gains possession),,,,Jump ball: K. Koufos vs. K. Towns (R. Rondo gains possession)
11:43.0,Turnover by R. Rondo (lost ball),,0-0,,
11:29.0,,,0-2,2,A. Wiggins makes 2-pt shot from 1 ft (assist by R. Rubio)
11:11.0,K. Koufos misses 2-pt shot from 10 ft,,0-2,,
11:10.0,Offensive rebound by R. Gay,,0-2,,
11:03.0,Q. Acy makes 3-pt shot from 23 ft (assist by R. Gay),3,3-2,,
10:46.0,,,3-4,2,G. Dieng makes 2-pt shot from 18 ft (assist by R. Rubio)
10:42.0,Turnover by R. Gay (lost ball; steal by R. Rubio),,3-4,,
10:36.0,,,3-4,,Turnover by Z. LaVine (lost ball; steal by R. Rondo)
10:28.0,Q. Acy makes 2-pt shot at rim (assist by R. Gay),2,5-4,,
10:14.0,,,5-4,,G. Dieng misses 2-pt shot from 13 ft
10:12.0,Defensive rebound by R. Rondo,,5-4,,
10:02.0,Shooting foul by K. Towns (drawn by R. Rondo),,5-4,,
10:02.0,R. Rondo makes free throw 1 of 2,1,6-4,,
10:02.0,R. Rondo makes free throw 2 of 2,1,7-4,,
9:50.0,,,7-7,3,R. Rubio makes 3-pt shot from 23 ft (assist by A. Wiggins)
9:35.0,R. Rondo makes 2-pt shot from 2 ft,2,9-7,,
9:28.0,,,9-9,2,K. Towns makes 2-pt shot from 2 ft (assist by R. Rubio)
9:28.0,,,9-9,,Shooting foul by K. Koufos (drawn by K. Towns)
9:28.0,,,9-10,1,K. Towns makes free throw 1 of 1
9:19.0,R. Rondo makes 2-pt shot from 20 ft,2,11-10,,
9:05.0,,,11-12,2,R. Rubio makes 2-pt shot from 19 ft
8:55.0,R. Rondo misses 2-pt shot from 18 ft (block by K. Towns),,11-12,,
8:54.0,,,11-12,,Defensive rebound by R. Rubio
8:45.0,,,11-12,,Turnover by R. Rubio (lost ball; steal by R. Gay)
8:38.0,J. Anderson misses 2-pt shot from 1 ft,,11-12,,
8:36.0,,,11-12,,Defensive rebound by G. Dieng
8:22.0,,,11-12,,A. Wiggins misses 2-pt shot from 1 ft
8:21.0,Defensive rebound by K. Koufos,,11-12,,
8:16.0,Turnover by R. Gay (lost ball; steal by R. Rubio),,11-12,,
8:12.0,,,11-14,2,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio)
8:12.0,,,11-14,,Shooting foul by Q. Acy (drawn by A. Wiggins)
8:12.0,,,11-15,1,A. Wiggins makes free throw 1 of 1
7:58.0,R. Rondo misses 2-pt shot at rim,,11-15,,
7:58.0,,,11-15,,Defensive rebound by K. Towns
7:48.0,,,11-15,,G. Dieng misses 2-pt shot from 8 ft
7:48.0,Defensive rebound by R. Rondo,,11-15,,
7:39.0,R. Gay misses 2-pt shot at rim (block by K. Towns),,11-15,,
7:38.0,,,11-15,,Defensive rebound by R. Rubio
7:30.0,,,11-15,,R. Rubio misses 3-pt shot from 25 ft
7:29.0,Defensive rebound by R. Gay,,11-15,,
7:21.0,K. Koufos makes 2-pt shot from 4 ft (assist by R. Rondo),2,13-15,,
7:03.0,,,13-15,,Z. LaVine misses 2-pt shot from 21 ft
7:03.0,Defensive rebound by K. Koufos,,13-15,,
6:50.0,Turnover by Q. Acy (back court),,13-15,,
6:41.0,,,13-15,,K. Towns misses 2-pt shot from 8 ft
6:41.0,Defensive rebound by K. Koufos,,13-15,,
6:24.0,Turnover by R. Rondo (lost ball; steal by R. Rubio),,13-15,,
6:18.0,,,13-17,2,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio)
6:14.0,Sacramento full timeout,,13-17,,
6:01.0,J. Anderson makes 2-pt shot from 16 ft (assist by R. Rondo),2,15-17,,
5:48.0,,,15-17,,Shooting foul by Q. Acy (drawn by K. Towns)
5:48.0,,,15-17,,K. Towns misses free throw 1 of 2
5:48.0,,,15-17,,Offensive rebound by Team
5:48.0,W. Cauley-Stein enters the game for Q. Acy,,15-17,,
5:48.0,,,15-18,1,K. Towns makes free throw 2 of 2
5:37.0,R. Rondo makes 3-pt shot from 25 ft,3,18-18,,
5:23.0,,,18-18,,G. Dieng misses 2-pt shot from 5 ft
5:22.0,,,18-18,,Offensive rebound by G. Dieng
5:21.0,,,18-18,,Turnover by G. Dieng (traveling)
5:02.0,J. Anderson misses 3-pt shot from 24 ft,,18-18,,
5:01.0,,,18-18,,Defensive rebound by K. Towns
4:47.0,,,18-20,2,K. Towns makes 2-pt shot at rim (assist by R. Rubio)
4:40.0,,,18-20,,Personal foul by R. Rubio
4:40.0,O. Casspi enters the game for K. Koufos,,18-20,,
4:40.0,M. Belinelli enters the game for J. Anderson,,18-20,,
4:40.0,,,18-20,,G. Smith enters the game for G. Dieng
4:32.0,R. Gay misses 2-pt shot from 13 ft,,18-20,,
4:31.0,,,18-20,,Defensive rebound by G. Smith
4:22.0,,,18-20,,Shooting foul by W. Cauley-Stein (drawn by A. Wiggins)
4:22.0,,,18-20,,A. Wiggins misses free throw 1 of 2
4:22.0,,,18-20,,Offensive rebound by Team
4:22.0,,,18-20,,A. Wiggins misses free throw 2 of 2
4:22.0,Defensive rebound by W. Cauley-Stein,,18-20,,
