time,Boston,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. A. Johnson (M. Morris gains possession),,,,Jump ball: A. Drummond vs. A. Johnson (M. Morris gains possession)
11:48.0,,,0-0,,Turnover by K. Caldwell-Pope (bad pass)
11:34.0,A. Bradley makes 3-pt shot from 27 ft (assist by I. Thomas),3,3-0,,
11:08.0,,,3-3,3,R. Jackson makes 3-pt shot from 26 ft (assist by E. Ilyasova)
10:48.0,I. Thomas misses 3-pt shot from 26 ft,,3-3,,
10:48.0,,,3-3,,Defensive rebound by E. Ilyasova
10:33.0,Violation by J. Sullinger (def goaltending),,3-3,,
10:33.0,,,3-5,2,A. Drummond makes 2-pt shot from 3 ft (assist by R. Jackson)
10:22.0,A. Bradley makes 2-pt shot from 20 ft,2,5-5,,
9:57.0,,,5-7,2,M. Morris makes 2-pt shot from 12 ft
9:46.0,I. Thomas makes 2-pt shot at rim,2,7-7,,
9:23.0,,,7-7,,Shooting foul by J. Sullinger (drawn by A. Drummond)
9:23.0,,,7-7,,A. Drummond misses free throw 1 of 2
9:23.0,,,7-7,,Offensive rebound by Team
9:23.0,,,7-8,1,A. Drummond makes free throw 2 of 2
9:11.0,I. Thomas misses 2-pt shot from 12 ft,,7-8,,
9:10.0,,,7-8,,Defensive rebound by K. Caldwell-Pope
9:03.0,,,7-8,,A. Drummond misses 2-pt shot from 6 ft
9:01.0,Defensive rebound by J. Crowder,,7-8,,
8:54.0,A. Bradley misses 3-pt shot from 22 ft,,7-8,,
8:54.0,Offensive rebound by A. Johnson,,7-8,,
8:46.0,J. Crowder misses 3-pt shot from 25 ft,,7-8,,
8:45.0,Offensive rebound by A. Johnson,,7-8,,
8:41.0,A. Johnson makes 2-pt shot at rim,2,9-8,,
8:41.0,Personal foul by J. Crowder (drawn by M. Morris),,9-8,,
8:29.0,,,9-8,,Offensive charge foul by K. Caldwell-Pope
8:29.0,,,9-8,,Turnover by K. Caldwell-Pope (offensive foul)
8:15.0,J. Sullinger makes 2-pt shot at rim,2,11-8,,
7:59.0,Personal foul by A. Bradley (drawn by R. Jackson),,11-8,,
7:48.0,,,11-8,,E. Ilyasova misses 3-pt shot from 26 ft
7:47.0,Defensive rebound by J. Sullinger,,11-8,,
7:40.0,A. Bradley makes 2-pt shot from 18 ft,2,13-8,,
7:26.0,,,13-8,,Turnover by R. Jackson (lost ball; steal by A. Bradley)
7:14.0,J. Sullinger misses 2-pt shot from 15 ft,,13-8,,
7:14.0,,,13-8,,Defensive rebound by M. Morris
7:05.0,,,13-8,,A. Drummond misses 2-pt shot from 5 ft
7:03.0,,,13-8,,Offensive rebound by E. Ilyasova
7:00.0,,,13-10,2,E. Ilyasova makes 2-pt shot from 1 ft
6:49.0,J. Crowder misses 2-pt shot from 14 ft,,13-10,,
6:49.0,,,13-10,,Defensive rebound by Team
6:49.0,Loose ball foul by A. Johnson (drawn by A. Drummond),,13-10,,
6:31.0,,,13-12,2,M. Morris makes 2-pt shot from 19 ft
6:09.0,A. Johnson makes 2-pt shot from 7 ft (assist by I. Thomas),2,15-12,,
5:53.0,,,15-12,,K. Caldwell-Pope misses 2-pt shot from 6 ft
5:51.0,Defensive rebound by J. Sullinger,,15-12,,
5:46.0,Turnover by I. Thomas (lost ball; steal by E. Ilyasova),,15-12,,
5:44.0,,,15-12,,Shooting foul by J. Sullinger (drawn by E. Ilyasova)
5:44.0,,,15-12,,Detroit full timeout
5:44.0,K. Olynyk enters the game for J. Crowder,,15-12,,
5:44.0,J. Jerebko enters the game for J. Sullinger,,15-12,,
5:44.0,,,15-13,1,E. Ilyasova makes free throw 1 of 2
5:44.0,,,15-14,1,E. Ilyasova makes free throw 2 of 2
5:24.0,I. Thomas makes 2-pt shot at rim,2,17-14,,
5:16.0,,,17-14,,Offensive foul by M. Morris
5:16.0,,,17-14,,Turnover by M. Morris (offensive foul)
5:09.0,Turnover by I. Thomas (offensive foul),,17-14,,
5:09.0,Offensive foul by I. Thomas,,17-14,,
4:51.0,,,17-14,,M. Morris misses 2-pt shot from 13 ft
4:50.0,Defensive rebound by A. Johnson,,17-14,,
