time,Minnesota,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Lauvergne vs. K. Towns (K. Faried gains possession),,,,Jump ball: J. Lauvergne vs. K. Towns (K. Faried gains possession)
11:38.0,,,0-0,,G. Harris misses 2-pt shot from 13 ft
11:36.0,Defensive rebound by T. Prince,,0-0,,
11:18.0,R. Rubio makes 2-pt shot from 1 ft,2,2-0,,
10:53.0,,,2-0,,E. Mudiay misses 2-pt shot from 21 ft
10:51.0,Defensive rebound by K. Garnett,,2-0,,
10:35.0,A. Wiggins misses 2-pt shot from 2 ft,,2-0,,
10:33.0,Offensive rebound by K. Towns,,2-0,,
10:31.0,Shooting foul by J. Lauvergne (drawn by K. Towns),,2-0,,
10:31.0,K. Towns makes free throw 1 of 2,1,3-0,,
10:31.0,K. Towns makes free throw 2 of 2,1,4-0,,
10:10.0,,,4-2,2,D. Gallinari makes 2-pt shot from 2 ft
9:51.0,K. Towns makes 2-pt shot from 7 ft (assist by T. Prince),2,6-2,,
9:42.0,Personal foul by K. Garnett (drawn by K. Faried),,6-2,,
9:38.0,Personal foul by R. Rubio (drawn by E. Mudiay),,6-2,,
9:33.0,,,6-2,,E. Mudiay misses 2-pt shot from 13 ft
9:33.0,Defensive rebound by R. Rubio,,6-2,,
9:16.0,R. Rubio misses 2-pt shot from 22 ft,,6-2,,
9:15.0,,,6-2,,Defensive rebound by K. Faried
9:06.0,,,6-2,,K. Faried misses 2-pt shot at rim
9:05.0,,,6-2,,Offensive rebound by J. Lauvergne
8:58.0,,,6-4,2,G. Harris makes 2-pt shot from 1 ft (assist by D. Gallinari)
8:44.0,K. Towns makes 2-pt shot from 19 ft (assist by R. Rubio),2,8-4,,
8:22.0,,,8-6,2,J. Lauvergne makes 2-pt shot at rim (assist by K. Faried)
8:04.0,R. Rubio misses 2-pt shot from 17 ft,,8-6,,
8:04.0,,,8-6,,Defensive rebound by D. Gallinari
8:00.0,Personal foul by T. Prince (drawn by D. Gallinari),,8-6,,
7:48.0,,,8-8,2,D. Gallinari makes 2-pt shot at rim
7:33.0,Shooting foul by G. Harris (drawn by A. Wiggins),,8-8,,
7:33.0,A. Wiggins makes free throw 1 of 2,1,9-8,,
7:33.0,N. Bjelica enters the game for K. Garnett,,9-8,,
7:33.0,A. Wiggins makes free throw 2 of 2,1,10-8,,
7:14.0,,,10-10,2,G. Harris makes 2-pt shot from 21 ft (assist by E. Mudiay)
6:59.0,Turnover by A. Wiggins (lost ball; steal by G. Harris),,10-10,,
6:54.0,,,10-10,,Turnover by D. Gallinari (bad pass)
6:54.0,Minnesota full timeout,,10-10,,
6:42.0,A. Wiggins makes 2-pt shot from 2 ft,2,12-10,,
6:42.0,Shooting foul by G. Harris (drawn by A. Wiggins),,12-10,,
6:42.0,,,12-10,,W. Barton enters the game for G. Harris
6:42.0,A. Wiggins makes free throw 1 of 1,1,13-10,,
6:30.0,,,13-10,,W. Barton misses 2-pt shot from 18 ft (block by A. Wiggins)
6:28.0,Defensive rebound by K. Towns,,13-10,,
6:18.0,A. Wiggins misses 2-pt shot from 15 ft,,13-10,,
6:17.0,,,13-10,,Defensive rebound by E. Mudiay
6:10.0,,,13-10,,E. Mudiay misses 2-pt shot from 1 ft (block by K. Towns)
6:09.0,Defensive rebound by T. Prince,,13-10,,
5:56.0,K. Towns misses 2-pt shot from 6 ft,,13-10,,
5:55.0,,,13-10,,Defensive rebound by K. Faried
5:43.0,,,13-10,,J. Lauvergne misses 2-pt shot from 6 ft (block by K. Towns)
5:41.0,,,13-10,,Offensive rebound by K. Faried
5:35.0,,,13-10,,E. Mudiay misses 2-pt shot from 17 ft
5:34.0,,,13-10,,Offensive rebound by Team
5:34.0,,,13-10,,Turnover by Team (shot clock)
5:34.0,K. Martin enters the game for T. Prince,,13-10,,
5:34.0,,,13-10,,R. Foye enters the game for J. Lauvergne
5:19.0,A. Wiggins misses 2-pt shot from 11 ft,,13-10,,
5:18.0,,,13-10,,Defensive rebound by K. Faried
4:58.0,,,13-10,,K. Faried misses 2-pt shot from 8 ft
4:57.0,Defensive rebound by K. Martin,,13-10,,
4:54.0,Turnover by K. Martin (bad pass; steal by K. Faried),,13-10,,
4:50.0,,,13-12,2,K. Faried makes 2-pt shot at rim
4:38.0,K. Towns makes 2-pt shot at rim (assist by R. Rubio),2,15-12,,
4:38.0,,,15-12,,Denver full timeout
4:38.0,,,15-12,,J. Nelson enters the game for E. Mudiay
4:38.0,S. Muhammad enters the game for K. Towns,,15-12,,
4:38.0,G. Dieng enters the game for A. Wiggins,,15-12,,
4:18.0,,,15-12,,D. Gallinari misses 3-pt shot from 25 ft
4:17.0,Defensive rebound by S. Muhammad,,15-12,,
4:03.0,N. Bjelica makes 3-pt shot from 24 ft (assist by K. Martin),3,18-12,,
3:44.0,,,18-14,2,K. Faried makes 2-pt shot from 2 ft (assist by W. Barton)
3:29.0,,,18-14,,Violation by K. Faried (def goaltending)
3:29.0,S. Muhammad makes 2-pt shot from 6 ft,2,20-14,,
3:19.0,Personal foul by R. Rubio (drawn by J. Nelson),,20-14,,
3:13.0,Z. LaVine enters the game for R. Rubio,,20-14,,
3:13.0,,,20-14,,D. Arthur enters the game for K. Faried
3:13.0,,,20-14,,Turnover by R. Foye (bad pass)
2:56.0,K. Martin misses 2-pt shot from 7 ft,,20-14,,
2:54.0,,,20-14,,Defensive rebound by D. Arthur
2:47.0,,,20-14,,R. Foye misses 3-pt shot from 25 ft
2:46.0,Defensive rebound by N. Bjelica,,20-14,,
2:35.0,G. Dieng makes 2-pt shot from 12 ft (assist by Z. LaVine),2,22-14,,
2:22.0,,,22-14,,J. Nelson misses 3-pt shot from 25 ft
2:20.0,Defensive rebound by K. Martin,,22-14,,
2:10.0,K. Martin misses 2-pt shot from 22 ft,,22-14,,
2:09.0,,,22-14,,Defensive rebound by D. Gallinari
2:04.0,,,22-14,,D. Gallinari misses 2-pt shot from 3 ft (block by G. Dieng)
2:03.0,Defensive rebound by Team,,22-14,,
1:52.0,Shooting foul by J. Nelson (drawn by K. Martin),,22-14,,
1:52.0,K. Martin makes free throw 1 of 2,1,23-14,,
1:52.0,K. Martin makes free throw 2 of 2,1,24-14,,
1:38.0,,,24-14,,W. Barton misses 2-pt shot from 4 ft
1:37.0,Defensive rebound by N. Bjelica,,24-14,,
1:30.0,Offensive charge foul by S. Muhammad,,24-14,,
1:30.0,Turnover by S. Muhammad (offensive foul),,24-14,,
1:19.0,,,24-16,2,W. Barton makes 2-pt shot from 2 ft (assist by J. Nelson)
1:01.0,,,24-16,,Def 3 sec tech foul by D. Arthur
