time,Brooklyn,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. R. Lopez (S. Larkin gains possession),,,,Jump ball: B. Lopez vs. R. Lopez (S. Larkin gains possession)
11:43.0,B. Lopez makes 2-pt shot from 2 ft,2,2-0,,
11:27.0,,,2-0,,J. Grant misses 3-pt shot from 24 ft
11:25.0,Defensive rebound by R. Hollis-Jefferson,,2-0,,
11:11.0,S. Larkin makes 2-pt shot from 1 ft (assist by B. Lopez),2,4-0,,
10:57.0,,,4-0,,Turnover by R. Lopez (lost ball; steal by S. Larkin)
10:54.0,W. Ellington misses 2-pt shot from 1 ft (block by S. Vujacic),,4-0,,
10:53.0,,,4-0,,Defensive rebound by Team
10:42.0,,,4-0,,C. Anthony misses 2-pt shot from 23 ft
10:39.0,Defensive rebound by T. Robinson,,4-0,,
10:26.0,B. Lopez misses 3-pt shot from 23 ft,,4-0,,
10:24.0,,,4-0,,Defensive rebound by C. Anthony
10:16.0,,,4-0,,Shooting foul by T. Robinson (drawn by D. Williams)
10:16.0,,,4-1,1,D. Williams makes free throw 1 of 2
10:16.0,,,4-2,1,D. Williams makes free throw 2 of 2
10:05.0,Offensive foul by B. Lopez,,4-2,,
10:05.0,Turnover by B. Lopez (offensive foul),,4-2,,
9:54.0,,,4-2,,C. Anthony misses 2-pt shot from 8 ft
9:52.0,Defensive rebound by B. Lopez,,4-2,,
9:44.0,R. Hollis-Jefferson misses 2-pt shot from 19 ft,,4-2,,
9:43.0,,,4-2,,Defensive rebound by Team
9:32.0,,,4-5,3,J. Grant makes 3-pt shot from 25 ft (assist by R. Lopez)
9:09.0,B. Lopez misses 2-pt shot from 2 ft (block by J. Grant),,4-5,,
9:08.0,Offensive rebound by Team,,4-5,,
9:04.0,T. Robinson makes 2-pt shot from 22 ft (assist by R. Hollis-Jefferson),2,6-5,,
8:49.0,,,6-5,,D. Williams misses 2-pt shot from 19 ft
8:48.0,Defensive rebound by S. Larkin,,6-5,,
8:37.0,Turnover by S. Larkin (bad pass),,6-5,,
8:24.0,,,6-7,2,R. Lopez makes 2-pt shot at rim (assist by C. Anthony)
8:09.0,B. Lopez misses 2-pt shot from 10 ft,,6-7,,
8:07.0,,,6-7,,Defensive rebound by R. Lopez
7:52.0,,,6-7,,Turnover by C. Anthony (lost ball; steal by T. Robinson)
7:42.0,R. Hollis-Jefferson misses 2-pt shot from 2 ft,,6-7,,
7:40.0,,,6-7,,Defensive rebound by S. Vujacic
7:37.0,Personal foul by R. Hollis-Jefferson,,6-7,,
7:24.0,,,6-7,,Turnover by R. Lopez (lost ball; steal by W. Ellington)
7:11.0,T. Robinson misses 2-pt shot from 2 ft,,6-7,,
7:09.0,Offensive rebound by T. Robinson,,6-7,,
7:06.0,T. Robinson misses 2-pt shot from 2 ft (block by R. Lopez),,6-7,,
7:03.0,Offensive rebound by S. Larkin,,6-7,,
6:54.0,S. Larkin misses 2-pt shot from 20 ft,,6-7,,
6:53.0,,,6-7,,Defensive rebound by C. Anthony
6:38.0,,,6-9,2,C. Anthony makes 2-pt shot from 19 ft
6:21.0,B. Lopez misses 2-pt shot from 16 ft,,6-9,,
