time,Portland,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:35.0,N. Vonleh misses 2-pt shot from 16 ft,,0-0,,
12:00.0,Jump ball: A. Bogut vs. M. Plumlee (N. Vonleh gains possession),,,,Jump ball: A. Bogut vs. M. Plumlee (N. Vonleh gains possession)
11:35.0,,,0-0,,Defensive rebound by S. Curry
11:27.0,,,0-0,,D. Green misses 3-pt shot from 25 ft
11:27.0,Defensive rebound by N. Vonleh,,0-0,,
11:18.0,D. Lillard misses 3-pt shot from 25 ft,,0-0,,
11:17.0,,,0-0,,Defensive rebound by H. Barnes
11:00.0,,,0-3,3,K. Thompson makes 3-pt shot from 26 ft (assist by H. Barnes)
10:34.0,A. Aminu misses 3-pt shot from 24 ft,,0-3,,
10:34.0,Offensive rebound by Team,,0-3,,
10:34.0,Turnover by Team (shot clock),,0-3,,
10:24.0,,,0-6,3,K. Thompson makes 3-pt shot from 25 ft (assist by S. Curry)
10:07.0,C. McCollum misses 2-pt shot from 15 ft,,0-6,,
10:06.0,,,0-6,,Defensive rebound by A. Bogut
9:57.0,,,0-6,,K. Thompson misses 3-pt shot from 26 ft
9:56.0,Defensive rebound by A. Aminu,,0-6,,
9:42.0,A. Aminu misses 2-pt shot from 10 ft,,0-6,,
9:41.0,,,0-6,,Defensive rebound by A. Bogut
9:27.0,,,0-6,,S. Curry misses 2-pt shot at rim
9:26.0,Defensive rebound by M. Plumlee,,0-6,,
9:12.0,C. McCollum makes 2-pt shot from 15 ft (assist by M. Plumlee),2,2-6,,
8:59.0,,,2-8,2,A. Bogut makes 2-pt shot from 1 ft (assist by D. Green)
8:42.0,C. McCollum misses 3-pt shot from 25 ft,,2-8,,
8:41.0,,,2-8,,Defensive rebound by A. Bogut
8:32.0,,,2-10,2,D. Green makes 2-pt shot from 4 ft
8:18.0,Turnover by D. Lillard (lost ball; steal by A. Bogut),,2-10,,
8:11.0,,,2-10,,S. Curry misses 2-pt shot at rim (block by D. Lillard)
8:10.0,,,2-10,,Offensive rebound by K. Thompson
8:10.0,,,2-10,,K. Thompson misses 2-pt shot from 1 ft
8:05.0,Defensive rebound by N. Vonleh,,2-10,,
7:59.0,A. Aminu makes 3-pt shot from 24 ft,3,5-10,,
7:54.0,,,5-10,,K. Thompson misses 2-pt shot from 2 ft
7:53.0,Defensive rebound by M. Plumlee,,5-10,,
7:43.0,N. Vonleh misses 3-pt shot from 25 ft,,5-10,,
7:42.0,Offensive rebound by M. Plumlee,,5-10,,
7:33.0,D. Lillard makes 3-pt shot from 27 ft,3,8-10,,
7:15.0,,,8-10,,S. Curry misses 3-pt shot from 26 ft
7:14.0,Defensive rebound by M. Plumlee,,8-10,,
7:05.0,N. Vonleh misses 3-pt shot from 24 ft,,8-10,,
7:04.0,,,8-10,,Defensive rebound by H. Barnes
6:57.0,Personal foul by N. Vonleh,,8-10,,
6:50.0,,,8-10,,A. Bogut misses 2-pt shot from 5 ft
6:49.0,Defensive rebound by N. Vonleh,,8-10,,
6:39.0,D. Lillard misses 2-pt shot from 18 ft,,8-10,,
6:38.0,,,8-10,,Defensive rebound by D. Green
6:30.0,,,8-13,3,K. Thompson makes 3-pt shot from 24 ft (assist by A. Bogut)
6:08.0,,,8-13,,Personal foul by A. Bogut
6:08.0,M. Plumlee misses free throw 1 of 2,,8-13,,
6:08.0,Offensive rebound by Team,,8-13,,
6:08.0,M. Plumlee makes free throw 2 of 2,1,9-13,,
5:57.0,,,9-16,3,K. Thompson makes 3-pt shot from 25 ft (assist by S. Curry)
5:55.0,Portland full timeout,,9-16,,
5:55.0,G. Henderson enters the game for N. Vonleh,,9-16,,
5:55.0,E. Davis enters the game for C. McCollum,,9-16,,
5:55.0,A. Crabbe enters the game for M. Plumlee,,9-16,,
5:39.0,D. Lillard misses 2-pt shot from 4 ft,,9-16,,
5:38.0,,,9-16,,Defensive rebound by D. Green
5:27.0,,,9-18,2,H. Barnes makes 2-pt shot from 18 ft (assist by S. Curry)
5:11.0,,,9-18,,Personal foul by K. Thompson
