time,Chicago,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. A. Stoudemire (M. Dunleavy gains possession),,,,Jump ball: P. Gasol vs. A. Stoudemire (M. Dunleavy gains possession)
11:38.0,P. Gasol makes 2-pt shot from 17 ft (assist by N. Mirotic),2,2-0,,
11:22.0,,,2-0,,A. Stoudemire misses 2-pt shot from 1 ft
11:21.0,Defensive rebound by D. Rose,,2-0,,
11:15.0,D. Rose misses 2-pt shot from 18 ft,,2-0,,
11:14.0,,,2-0,,Defensive rebound by A. Stoudemire
11:01.0,,,2-0,,A. Stoudemire misses 2-pt shot from 19 ft
11:00.0,Defensive rebound by P. Gasol,,2-0,,
10:52.0,Turnover by P. Gasol (lost ball; steal by A. Stoudemire),,2-0,,
10:35.0,,,2-2,2,L. Deng makes 2-pt shot from 1 ft
10:18.0,N. Mirotic misses 2-pt shot from 9 ft,,2-2,,
10:17.0,,,2-2,,Defensive rebound by G. Dragic
10:07.0,,,2-2,,G. Dragic misses 2-pt shot from 16 ft
10:06.0,Defensive rebound by M. Dunleavy,,2-2,,
9:52.0,D. Rose makes 2-pt shot from 1 ft,2,4-2,,
9:41.0,,,4-2,,Turnover by D. Wade (bad pass)
9:25.0,J. Butler misses 2-pt shot from 11 ft,,4-2,,
9:24.0,,,4-2,,Defensive rebound by A. Stoudemire
9:13.0,,,4-2,,Turnover by L. Deng (traveling)
9:03.0,P. Gasol makes 2-pt shot at rim (assist by J. Butler),2,6-2,,
8:46.0,Jump ball: M. Dunleavy vs. J. Johnson (L. Deng gains possession),,,,Jump ball: M. Dunleavy vs. J. Johnson (L. Deng gains possession)
8:33.0,,,6-2,,Turnover by D. Wade (lost ball; steal by N. Mirotic)
8:30.0,,,6-2,,Personal foul by G. Dragic
8:24.0,P. Gasol misses 2-pt shot from 2 ft,,6-2,,
8:23.0,Offensive rebound by P. Gasol,,6-2,,
8:22.0,P. Gasol misses 2-pt shot from 1 ft,,6-2,,
8:21.0,,,6-2,,Defensive rebound by G. Dragic
8:15.0,,,6-4,2,J. Johnson makes 2-pt shot from 3 ft
7:46.0,D. Rose makes 2-pt shot from 8 ft,2,8-4,,
7:26.0,,,8-7,3,J. Johnson makes 3-pt shot from 25 ft (assist by L. Deng)
7:11.0,J. Butler makes 2-pt shot from 11 ft,2,10-7,,
6:59.0,,,10-7,,D. Wade misses 2-pt shot from 13 ft
6:58.0,Defensive rebound by P. Gasol,,10-7,,
6:53.0,Turnover by P. Gasol (lost ball; steal by A. Stoudemire),,10-7,,
6:44.0,,,10-9,2,A. Stoudemire makes 2-pt shot from 3 ft (assist by L. Deng)
6:32.0,D. Rose makes 2-pt shot from 17 ft,2,12-9,,
6:09.0,,,12-11,2,G. Dragic makes 2-pt shot from 17 ft
5:59.0,D. Rose misses 2-pt shot from 2 ft (block by G. Dragic),,12-11,,
5:58.0,Offensive rebound by D. Rose,,12-11,,
5:46.0,P. Gasol makes 2-pt shot from 4 ft,2,14-11,,
5:40.0,,,14-11,,G. Dragic misses 2-pt shot from 1 ft
5:39.0,Defensive rebound by P. Gasol,,14-11,,
5:24.0,J. Butler misses 2-pt shot from 19 ft,,14-11,,
5:23.0,,,14-11,,Defensive rebound by D. Wade
5:19.0,,,14-11,,Offensive charge foul by D. Wade
5:19.0,,,14-11,,Turnover by D. Wade (offensive foul)
5:19.0,,,14-11,,Miami full timeout
5:19.0,,,14-11,,J. Winslow enters the game for L. Deng
5:19.0,,,14-11,,J. Richardson enters the game for A. Stoudemire
5:19.0,,,14-11,,H. Whiteside enters the game for G. Dragic
5:08.0,J. Butler makes 2-pt shot at rim (assist by P. Gasol),2,16-11,,
4:41.0,,,16-11,,J. Winslow misses 3-pt shot from 23 ft
4:40.0,,,16-11,,Offensive rebound by D. Wade
4:38.0,,,16-13,2,D. Wade makes 2-pt shot from 1 ft
4:14.0,J. Butler misses 2-pt shot from 5 ft,,16-13,,
4:13.0,Offensive rebound by P. Gasol,,16-13,,
4:12.0,Turnover by Team (shot clock),,16-13,,
4:12.0,J. Holiday enters the game for D. Rose,,16-13,,
3:53.0,,,16-13,,D. Wade misses 2-pt shot from 6 ft
3:52.0,Defensive rebound by P. Gasol,,16-13,,
3:45.0,N. Mirotic misses 3-pt shot from 23 ft,,16-13,,
3:44.0,,,16-13,,Defensive rebound by H. Whiteside
3:32.0,,,16-13,,J. Richardson misses 2-pt shot from 15 ft
3:31.0,Defensive rebound by M. Dunleavy,,16-13,,
3:19.0,J. Holiday makes 2-pt shot from 1 ft (assist by J. Butler),2,18-13,,
2:55.0,,,18-13,,H. Whiteside misses 2-pt shot from 7 ft
2:54.0,Defensive rebound by M. Dunleavy,,18-13,,
2:42.0,P. Gasol misses 2-pt shot from 5 ft,,18-13,,
2:41.0,,,18-13,,Defensive rebound by J. Winslow
2:37.0,,,18-13,,J. Winslow misses 2-pt shot at rim (block by J. Holiday)
2:36.0,,,18-13,,Offensive rebound by J. Winslow
2:34.0,,,18-15,2,J. Winslow makes 2-pt shot from 1 ft
2:33.0,Chicago full timeout,,18-15,,
2:33.0,,,18-15,,G. Dragic enters the game for J. Johnson
2:33.0,,,18-15,,L. Deng enters the game for D. Wade
2:33.0,C. Felicio enters the game for M. Dunleavy,,18-15,,
2:33.0,D. McDermott enters the game for P. Gasol,,18-15,,
2:15.0,J. Holiday makes 2-pt shot at rim (assist by J. Butler),2,20-15,,
1:54.0,,,20-17,2,H. Whiteside makes 2-pt shot from 2 ft (assist by G. Dragic)
1:39.0,J. Holiday misses 2-pt shot from 13 ft,,20-17,,
1:38.0,,,20-17,,Defensive rebound by G. Dragic
1:33.0,,,20-19,2,G. Dragic makes 2-pt shot from 9 ft
1:15.0,C. Felicio misses 2-pt shot at rim,,20-19,,
1:14.0,,,20-19,,Defensive rebound by J. Winslow
1:08.0,Personal block foul by J. Butler,,20-19,,
1:08.0,B. Portis enters the game for N. Mirotic,,20-19,,
0:57.0,,,20-19,,J. Richardson misses 3-pt shot from 23 ft
0:56.0,Defensive rebound by C. Felicio,,20-19,,
0:44.0,B. Portis misses 2-pt shot from 2 ft,,20-19,,
0:42.0,Offensive rebound by B. Portis,,20-19,,
0:40.0,B. Portis misses 2-pt shot from 3 ft,,20-19,,
0:39.0,,,20-19,,Defensive rebound by J. Richardson
0:30.0,,,20-19,,L. Deng misses 3-pt shot from 25 ft
0:29.0,Defensive rebound by J. Holiday,,20-19,,
0:23.0,C. Felicio makes 2-pt shot from 1 ft (assist by J. Holiday),2,22-19,,
0:03.0,,,22-21,2,G. Dragic makes 2-pt shot from 1 ft
0:01.0,J. Butler misses 3-pt shot from 25 ft,,22-21,,
0:00.0,Offensive rebound by Team,,22-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,22-21,,H. Whiteside misses 2-pt shot from 4 ft
11:39.0,Defensive rebound by C. Felicio,,22-21,,
11:19.0,D. Rose makes 2-pt shot from 16 ft,2,24-21,,
11:02.0,,,24-21,,Shooting foul by C. Felicio (drawn by G. Dragic)
11:02.0,,,24-22,1,G. Dragic makes free throw 1 of 2
11:02.0,,,24-23,1,G. Dragic makes free throw 2 of 2
10:46.0,D. McDermott misses 3-pt shot from 23 ft,,24-23,,
10:45.0,Offensive rebound by B. Portis,,24-23,,
10:45.0,,,24-23,,Personal foul by H. Whiteside
10:40.0,Turnover by C. Felicio (lost ball; steal by G. Dragic),,24-23,,
10:37.0,,,24-23,,L. Deng misses 2-pt shot from 1 ft (block by J. Holiday)
10:35.0,,,24-23,,Offensive rebound by G. Dragic
10:33.0,,,24-25,2,G. Dragic makes 2-pt shot from 15 ft
10:20.0,D. McDermott makes 2-pt shot from 1 ft,2,26-25,,
