time,Miami,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. H. Whiteside (G. Dragic gains possession),,,,Jump ball: R. Lopez vs. H. Whiteside (G. Dragic gains possession)
11:44.0,D. Wade misses 2-pt shot from 13 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by C. Anthony
11:34.0,,,0-0,,R. Lopez misses 2-pt shot from 1 ft
11:32.0,Defensive rebound by C. Bosh,,0-0,,
11:28.0,Turnover by G. Green (step out of bounds),,0-0,,
11:06.0,,,0-2,2,J. Calderon makes 2-pt shot from 17 ft
10:47.0,C. Bosh misses 2-pt shot from 15 ft,,0-2,,
10:45.0,,,0-2,,Defensive rebound by J. Calderon
10:37.0,,,0-2,,A. Afflalo misses 3-pt shot from 25 ft
10:35.0,Defensive rebound by C. Bosh,,0-2,,
10:24.0,G. Green makes 3-pt shot from 23 ft (assist by G. Dragic),3,3-2,,
10:09.0,,,3-2,,Shooting foul by G. Green (drawn by C. Anthony)
10:09.0,,,3-3,1,C. Anthony makes free throw 1 of 2
10:09.0,,,3-4,1,C. Anthony makes free throw 2 of 2
9:54.0,D. Wade misses 2-pt shot from 5 ft,,3-4,,
9:51.0,Offensive rebound by H. Whiteside,,3-4,,
9:51.0,H. Whiteside makes 2-pt shot at rim,2,5-4,,
9:40.0,,,5-4,,R. Lopez misses 2-pt shot from 3 ft (block by H. Whiteside)
9:39.0,,,5-4,,Offensive rebound by Team
9:38.0,,,5-4,,Offensive foul by R. Lopez
9:38.0,,,5-4,,Turnover by R. Lopez (offensive foul)
9:21.0,Shooting foul by R. Lopez (drawn by G. Green),,5-4,,
9:21.0,G. Green makes free throw 1 of 2,1,6-4,,
9:21.0,,,6-4,,K. O'Quinn enters the game for R. Lopez
9:21.0,G. Green makes free throw 2 of 2,1,7-4,,
9:11.0,,,7-4,,Turnover by K. O'Quinn (bad pass; steal by G. Green)
9:06.0,D. Wade makes 2-pt shot at rim,2,9-4,,
8:45.0,,,9-6,2,C. Anthony makes 2-pt shot from 15 ft (assist by K. O'Quinn)
8:32.0,Turnover by G. Dragic (bad pass),,9-6,,
8:10.0,,,9-8,2,K. Porzingis makes 2-pt shot from 12 ft
7:52.0,C. Bosh misses 2-pt shot from 17 ft,,9-8,,
7:50.0,,,9-8,,Defensive rebound by K. O'Quinn
7:37.0,,,9-8,,K. O'Quinn misses 2-pt shot from 16 ft
7:35.0,Defensive rebound by D. Wade,,9-8,,
7:26.0,Turnover by C. Bosh (bad pass; steal by K. O'Quinn),,9-8,,
7:17.0,,,9-10,2,J. Calderon makes 2-pt shot from 16 ft
6:52.0,G. Dragic misses 2-pt shot from 3 ft,,9-10,,
6:50.0,Offensive rebound by H. Whiteside,,9-10,,
6:50.0,H. Whiteside misses 2-pt shot from 1 ft,,9-10,,
6:49.0,Offensive rebound by H. Whiteside,,9-10,,
6:49.0,H. Whiteside misses 2-pt shot from 1 ft,,9-10,,
6:48.0,,,9-10,,Defensive rebound by K. Porzingis
6:33.0,,,9-10,,K. Porzingis misses 2-pt shot from 15 ft
6:31.0,,,9-10,,Offensive rebound by K. O'Quinn
6:28.0,,,9-12,2,A. Afflalo makes 2-pt shot from 1 ft (assist by K. O'Quinn)
6:18.0,Miami full timeout,,9-12,,
6:18.0,J. Winslow enters the game for C. Bosh,,9-12,,
6:18.0,J. McRoberts enters the game for G. Green,,9-12,,
6:03.0,Shooting foul by C. Anthony (drawn by H. Whiteside),,9-12,,
6:03.0,H. Whiteside misses free throw 1 of 2,,9-12,,
6:03.0,Offensive rebound by Team,,9-12,,
6:03.0,H. Whiteside misses free throw 2 of 2,,9-12,,
6:03.0,,,9-12,,Defensive rebound by K. Porzingis
5:44.0,,,9-12,,K. Porzingis misses 2-pt shot from 15 ft
5:42.0,Defensive rebound by H. Whiteside,,9-12,,
5:34.0,Turnover by H. Whiteside (bad pass; steal by K. Porzingis),,9-12,,
5:33.0,,,9-12,,Shooting foul by J. McRoberts (drawn by K. Porzingis)
5:33.0,,,9-13,1,K. Porzingis makes free throw 1 of 2
5:33.0,,,9-13,,K. Porzingis misses free throw 2 of 2
5:32.0,Defensive rebound by G. Dragic,,9-13,,
5:21.0,D. Wade misses 2-pt shot from 1 ft,,9-13,,
5:20.0,Offensive rebound by D. Wade,,9-13,,
5:20.0,D. Wade makes 2-pt shot from 1 ft,2,11-13,,
5:20.0,Shooting foul by K. O'Quinn (drawn by D. Wade),,11-13,,
5:20.0,,,11-13,,L. Thomas enters the game for K. Porzingis
5:20.0,D. Wade makes free throw 1 of 1,1,12-13,,
5:05.0,,,12-15,2,C. Anthony makes 2-pt shot from 2 ft
4:39.0,D. Wade misses 2-pt shot from 15 ft (block by A. Afflalo),,12-15,,
4:37.0,,,12-15,,Defensive rebound by K. O'Quinn
4:33.0,,,12-15,,A. Afflalo misses 2-pt shot from 2 ft
4:31.0,Defensive rebound by G. Dragic,,12-15,,
