time,Philadelphia,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. N. Noel (J. Grant gains possession),,,,Jump ball: D. Jordan vs. N. Noel (J. Grant gains possession)
11:33.0,N. Noel makes 2-pt shot from 20 ft (assist by J. Sampson),2,2-0,,
11:18.0,,,2-2,2,J. Redick makes 2-pt shot from 15 ft (assist by C. Paul)
11:02.0,I. Canaan misses 2-pt shot from 20 ft,,2-2,,
11:02.0,,,2-2,,Defensive rebound by D. Jordan
10:52.0,,,2-2,,C. Paul misses 2-pt shot from 11 ft
10:50.0,Defensive rebound by N. Noel,,2-2,,
10:44.0,,,2-2,,Personal foul by L. Mbah a Moute (drawn by J. Grant)
10:30.0,I. Smith misses 2-pt shot from 14 ft,,2-2,,
10:29.0,,,2-2,,Defensive rebound by J. Redick
10:12.0,,,2-2,,L. Mbah a Moute misses 2-pt shot from 4 ft (block by N. Noel)
10:11.0,,,2-2,,Offensive rebound by L. Mbah a Moute
10:07.0,,,2-2,,W. Johnson misses 3-pt shot from 26 ft
10:06.0,Defensive rebound by N. Noel,,2-2,,
9:58.0,J. Sampson misses 2-pt shot at rim (block by W. Johnson),,2-2,,
9:56.0,Offensive rebound by I. Canaan,,2-2,,
9:47.0,J. Sampson makes 2-pt shot from 1 ft (assist by I. Smith),2,4-2,,
9:33.0,,,4-2,,J. Redick misses 2-pt shot from 19 ft
9:32.0,Defensive rebound by N. Noel,,4-2,,
9:17.0,I. Canaan misses 3-pt shot from 23 ft,,4-2,,
9:17.0,,,4-2,,Defensive rebound by W. Johnson
9:07.0,,,4-2,,Shooting foul by N. Noel (drawn by L. Mbah a Moute)
9:07.0,,,4-2,,L. Mbah a Moute misses free throw 1 of 2
9:07.0,,,4-2,,Offensive rebound by Team
9:07.0,,,4-3,1,L. Mbah a Moute makes free throw 2 of 2
8:58.0,Turnover by J. Sampson (lost ball),,4-3,,
8:49.0,,,4-6,3,W. Johnson makes 3-pt shot from 24 ft (assist by C. Paul)
8:25.0,I. Smith misses 2-pt shot from 19 ft,,4-6,,
8:25.0,,,4-6,,Defensive rebound by D. Jordan
8:18.0,,,4-9,3,C. Paul makes 3-pt shot from 25 ft
8:18.0,Philadelphia full timeout,,4-9,,
8:07.0,,,4-9,,Personal foul by D. Jordan (drawn by N. Noel)
7:55.0,J. Grant misses 2-pt shot from 5 ft (block by L. Mbah a Moute),,4-9,,
7:53.0,,,4-9,,Defensive rebound by D. Jordan
7:45.0,,,4-9,,Turnover by W. Johnson (lost ball; steal by I. Smith)
7:40.0,N. Noel makes 2-pt shot from 2 ft (assist by I. Smith),2,6-9,,
7:20.0,,,6-9,,J. Redick misses 2-pt shot from 2 ft
7:19.0,Defensive rebound by I. Smith,,6-9,,
7:12.0,I. Canaan misses 3-pt shot from 24 ft,,6-9,,
7:11.0,,,6-9,,Defensive rebound by L. Mbah a Moute
7:00.0,Personal foul by I. Smith (drawn by J. Redick),,6-9,,
6:53.0,,,6-11,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
6:39.0,J. Sampson makes 2-pt shot at rim (assist by N. Noel),2,8-11,,
6:31.0,Personal foul by I. Canaan (drawn by J. Redick),,8-11,,
6:23.0,Personal foul by N. Noel (drawn by J. Redick),,8-11,,
6:15.0,,,8-11,,C. Paul misses 2-pt shot from 16 ft
6:14.0,Defensive rebound by N. Noel,,8-11,,
6:02.0,I. Canaan misses 2-pt shot from 5 ft,,8-11,,
6:01.0,Offensive rebound by N. Noel,,8-11,,
6:00.0,N. Noel makes 2-pt shot from 1 ft,2,10-11,,
5:41.0,,,10-14,3,W. Johnson makes 3-pt shot from 26 ft (assist by J. Redick)
5:24.0,N. Noel misses 2-pt shot from 20 ft,,10-14,,
5:23.0,,,10-14,,Defensive rebound by D. Jordan
5:12.0,Personal foul by I. Smith (drawn by D. Jordan),,10-14,,
5:12.0,,,10-15,1,D. Jordan makes free throw 1 of 2
5:12.0,N. Stauskas enters the game for I. Canaan,,10-15,,
5:12.0,J. Okafor enters the game for N. Noel,,10-15,,
5:12.0,R. Covington enters the game for J. Sampson,,10-15,,
5:12.0,,,10-15,,D. Jordan misses free throw 2 of 2
5:11.0,Defensive rebound by R. Covington,,10-15,,
5:00.0,I. Smith makes 2-pt shot from 17 ft,2,12-15,,
4:47.0,,,12-15,,J. Redick misses 2-pt shot from 12 ft
4:45.0,Defensive rebound by J. Grant,,12-15,,
4:34.0,J. Okafor makes 2-pt shot from 12 ft (assist by I. Smith),2,14-15,,
4:34.0,,,14-15,,LA Clippers full timeout
4:34.0,,,14-15,,J. Crawford enters the game for L. Mbah a Moute
4:34.0,T. McConnell enters the game for I. Smith,,14-15,,
4:23.0,,,14-15,,Shooting foul by T. McConnell (drawn by C. Paul)
4:23.0,,,14-16,1,C. Paul makes free throw 1 of 2
4:23.0,,,14-17,1,C. Paul makes free throw 2 of 2
