time,Detroit,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. R. Lopez (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. R. Lopez (R. Jackson gains possession)
11:40.0,M. Morris makes 2-pt shot from 20 ft,2,2-0,,
11:14.0,,,2-2,2,R. Lopez makes 2-pt shot from 3 ft
10:58.0,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by R. Jackson),2,4-2,,
10:30.0,,,4-2,,C. Anthony misses 2-pt shot from 17 ft
10:29.0,,,4-2,,Offensive rebound by R. Lopez
10:29.0,,,4-2,,R. Lopez misses 2-pt shot at rim
10:27.0,,,4-2,,Offensive rebound by R. Lopez
10:20.0,,,4-4,2,K. Porzingis makes 2-pt shot from 8 ft (assist by C. Anthony)
9:55.0,R. Jackson misses 2-pt shot from 7 ft,,4-4,,
9:52.0,Offensive rebound by A. Drummond,,4-4,,
9:52.0,A. Drummond makes 2-pt shot at rim,2,6-4,,
9:41.0,,,6-4,,A. Afflalo misses 2-pt shot from 8 ft
9:40.0,Defensive rebound by R. Jackson,,6-4,,
9:33.0,M. Morris makes 3-pt shot from 24 ft (assist by E. Ilyasova),3,9-4,,
9:11.0,,,9-4,,C. Anthony misses 2-pt shot from 17 ft
9:11.0,,,9-4,,Offensive rebound by K. Porzingis
9:06.0,,,9-6,2,K. Porzingis makes 2-pt shot at rim
8:48.0,E. Ilyasova makes 2-pt shot from 4 ft,2,11-6,,
8:34.0,,,11-6,,A. Afflalo misses 2-pt shot from 13 ft
8:33.0,,,11-6,,Offensive rebound by Team
8:33.0,Loose ball foul by A. Drummond (drawn by R. Lopez),,11-6,,
8:27.0,,,11-6,,A. Afflalo misses 2-pt shot from 13 ft
8:26.0,Defensive rebound by Team,,11-6,,
8:02.0,R. Jackson misses 2-pt shot from 5 ft,,11-6,,
8:01.0,,,11-6,,Defensive rebound by Team
7:45.0,,,11-9,3,C. Anthony makes 3-pt shot from 25 ft (assist by J. Calderon)
7:32.0,R. Jackson makes 2-pt shot at rim,2,13-9,,
7:18.0,,,13-11,2,R. Lopez makes 2-pt shot from 2 ft
6:59.0,A. Drummond misses 2-pt shot from 2 ft (block by R. Lopez),,13-11,,
6:58.0,,,13-11,,Defensive rebound by R. Lopez
6:55.0,,,13-11,,Turnover by C. Anthony (bad pass; steal by E. Ilyasova)
6:38.0,A. Drummond misses 2-pt shot from 5 ft,,13-11,,
