time,Toronto,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. T. Zeller (M. Smart gains possession),,,,Jump ball: J. Valanciunas vs. T. Zeller (M. Smart gains possession)
11:48.0,,,0-0,,T. Zeller misses 2-pt shot from 19 ft
11:47.0,Defensive rebound by K. Lowry,,0-0,,
11:31.0,D. DeRozan misses 2-pt shot from 19 ft,,0-0,,
11:30.0,,,0-0,,Defensive rebound by A. Bradley
11:20.0,,,0-0,,Shooting foul by K. Lowry (drawn by M. Smart)
11:20.0,,,0-0,,M. Smart misses free throw 1 of 2
11:20.0,,,0-0,,Offensive rebound by Team
11:20.0,,,0-1,1,M. Smart makes free throw 2 of 2
11:06.0,Turnover by L. Scola (bad pass),,0-1,,
10:54.0,,,0-1,,D. Lee misses 2-pt shot from 7 ft
10:53.0,Defensive rebound by J. Valanciunas,,0-1,,
10:45.0,K. Lowry misses 2-pt shot from 20 ft,,0-1,,
10:44.0,,,0-1,,Defensive rebound by A. Bradley
10:35.0,,,0-3,2,A. Bradley makes 2-pt shot from 19 ft
10:11.0,D. DeRozan misses 2-pt shot from 12 ft (block by A. Bradley),,0-3,,
10:10.0,,,0-3,,Defensive rebound by A. Bradley
10:10.0,,,0-3,,Turnover by A. Bradley (step out of bounds)
9:58.0,D. DeRozan misses 2-pt shot from 1 ft,,0-3,,
9:57.0,Offensive rebound by J. Valanciunas,,0-3,,
9:57.0,J. Valanciunas makes 2-pt shot at rim,2,2-3,,
9:46.0,,,2-3,,J. Crowder misses 2-pt shot from 17 ft
9:45.0,Defensive rebound by L. Scola,,2-3,,
9:40.0,Offensive foul by J. Valanciunas,,2-3,,
9:40.0,Turnover by J. Valanciunas (offensive foul),,2-3,,
9:31.0,,,2-3,,M. Smart misses 2-pt shot from 11 ft
9:30.0,,,2-3,,Offensive rebound by D. Lee
9:30.0,,,2-3,,D. Lee misses 2-pt shot from 1 ft
9:28.0,Defensive rebound by L. Scola,,2-3,,
9:20.0,K. Lowry makes 2-pt shot at rim,2,4-3,,
9:07.0,,,4-5,2,D. Lee makes 2-pt shot from 1 ft (assist by A. Bradley)
8:44.0,Turnover by D. DeRozan (bad pass; steal by J. Crowder),,4-5,,
8:39.0,,,4-8,3,A. Bradley makes 3-pt shot from 25 ft (assist by J. Crowder)
8:22.0,D. Carroll misses 3-pt shot from 22 ft,,4-8,,
8:21.0,,,4-8,,Defensive rebound by D. Lee
8:09.0,,,4-8,,T. Zeller misses 2-pt shot from 18 ft
8:08.0,Defensive rebound by J. Valanciunas,,4-8,,
8:02.0,K. Lowry misses 2-pt shot from 21 ft,,4-8,,
8:02.0,,,4-8,,Defensive rebound by Team
8:02.0,Loose ball foul by L. Scola (drawn by T. Zeller),,4-8,,
7:50.0,,,4-8,,D. Lee misses 2-pt shot from 7 ft
7:49.0,Defensive rebound by J. Valanciunas,,4-8,,
7:39.0,J. Valanciunas misses 2-pt shot from 2 ft (block by J. Crowder),,4-8,,
7:37.0,Offensive rebound by L. Scola,,4-8,,
7:35.0,L. Scola misses 2-pt shot from 4 ft,,4-8,,
7:34.0,,,4-8,,Defensive rebound by D. Lee
7:29.0,,,4-10,2,T. Zeller makes 2-pt shot from 1 ft (assist by J. Crowder)
7:24.0,,,4-10,,Personal foul by D. Lee (drawn by K. Lowry)
7:24.0,Toronto full timeout,,4-10,,
7:09.0,D. DeRozan makes 3-pt shot from 24 ft (assist by K. Lowry),3,7-10,,
6:53.0,,,7-10,,A. Bradley misses 2-pt shot from 17 ft
6:53.0,Defensive rebound by K. Lowry,,7-10,,
6:45.0,D. Carroll makes 3-pt shot from 24 ft (assist by K. Lowry),3,10-10,,
6:31.0,,,10-10,,M. Smart misses 3-pt shot from 26 ft
6:30.0,Defensive rebound by J. Valanciunas,,10-10,,
6:13.0,,,10-10,,Personal foul by T. Zeller (drawn by J. Valanciunas)
6:13.0,,,10-10,,I. Thomas enters the game for M. Smart
6:13.0,,,10-10,,K. Olynyk enters the game for T. Zeller
6:04.0,Shooting foul by D. Lee (drawn by J. Valanciunas),,10-10,,
6:04.0,J. Valanciunas makes free throw 1 of 2,1,11-10,,
6:04.0,J. Valanciunas makes free throw 2 of 2,1,12-10,,
5:54.0,,,12-10,,Turnover by D. Lee (lost ball; steal by D. DeRozan)
5:48.0,D. Carroll misses 2-pt shot from 1 ft,,12-10,,
5:47.0,,,12-10,,Defensive rebound by D. Lee
5:39.0,,,12-10,,J. Crowder misses 3-pt shot from 23 ft
5:38.0,Defensive rebound by K. Lowry,,12-10,,
5:24.0,D. DeRozan misses 3-pt shot from 24 ft,,12-10,,
5:23.0,,,12-10,,Defensive rebound by J. Crowder
5:17.0,,,12-12,2,I. Thomas makes 2-pt shot from 1 ft (assist by J. Crowder)
5:00.0,L. Scola misses 2-pt shot from 19 ft,,12-12,,
4:59.0,,,12-12,,Defensive rebound by Team
4:59.0,,,12-12,,A. Johnson enters the game for D. Lee
4:59.0,P. Patterson enters the game for J. Valanciunas,,12-12,,
4:59.0,B. Biyombo enters the game for L. Scola,,12-12,,
4:48.0,,,12-12,,I. Thomas misses 2-pt shot from 18 ft
4:47.0,Defensive rebound by D. DeRozan,,12-12,,
4:30.0,D. Carroll misses 2-pt shot from 2 ft,,12-12,,
4:29.0,,,12-12,,Defensive rebound by J. Crowder
4:20.0,,,12-12,,K. Olynyk misses 2-pt shot from 11 ft
4:19.0,Defensive rebound by D. DeRozan,,12-12,,
4:05.0,P. Patterson misses 3-pt shot from 23 ft,,12-12,,
4:04.0,Offensive rebound by D. DeRozan,,12-12,,
4:02.0,Shooting foul by J. Crowder (drawn by P. Patterson),,12-12,,
4:02.0,P. Patterson makes free throw 1 of 2,1,13-12,,
4:02.0,P. Patterson makes free throw 2 of 2,1,14-12,,
3:39.0,,,14-14,2,K. Olynyk makes 2-pt shot at rim (assist by A. Bradley)
3:39.0,,,14-14,,Shooting foul by B. Biyombo (drawn by K. Olynyk)
3:39.0,T. Ross enters the game for D. Carroll,,14-14,,
3:39.0,,,14-14,,E. Turner enters the game for J. Crowder
3:39.0,,,14-15,1,K. Olynyk makes free throw 1 of 1
3:27.0,P. Patterson makes 3-pt shot from 24 ft (assist by K. Lowry),3,17-15,,
3:16.0,,,17-15,,Turnover by A. Johnson (bad pass; steal by K. Lowry)
3:03.0,Shooting foul by E. Turner (drawn by K. Lowry),,17-15,,
3:03.0,K. Lowry makes free throw 1 of 2,1,18-15,,
3:03.0,K. Lowry makes free throw 2 of 2,1,19-15,,
2:51.0,,,19-17,2,A. Johnson makes 2-pt shot from 8 ft
2:36.0,P. Patterson makes 3-pt shot from 24 ft (assist by D. DeRozan),3,22-17,,
2:22.0,,,22-17,,K. Olynyk misses 3-pt shot from 25 ft
2:20.0,Defensive rebound by K. Lowry,,22-17,,
2:09.0,,,22-17,,Personal foul by I. Thomas (drawn by K. Lowry)
2:09.0,,,22-17,,Boston full timeout
2:09.0,,,22-17,,M. Smart enters the game for A. Bradley
2:09.0,D. Carroll enters the game for D. DeRozan,,22-17,,
2:09.0,K. Lowry misses free throw 1 of 2,,22-17,,
2:09.0,Offensive rebound by Team,,22-17,,
2:09.0,K. Lowry makes free throw 2 of 2,1,23-17,,
1:54.0,,,23-20,3,K. Olynyk makes 3-pt shot from 24 ft (assist by I. Thomas)
1:39.0,Turnover by K. Lowry (lost ball; steal by E. Turner),,23-20,,
1:34.0,,,23-20,,E. Turner misses 2-pt shot at rim
1:33.0,Defensive rebound by Team,,23-20,,
1:33.0,,,23-20,,Loose ball foul by I. Thomas (drawn by K. Lowry)
1:33.0,K. Lowry makes free throw 1 of 2,1,24-20,,
1:33.0,K. Lowry misses free throw 2 of 2,,24-20,,
1:32.0,,,24-20,,Defensive rebound by A. Johnson
1:24.0,,,24-20,,Turnover by I. Thomas (bad pass)
1:24.0,C. Joseph enters the game for K. Lowry,,24-20,,
1:08.0,T. Ross misses 3-pt shot from 25 ft,,24-20,,
1:07.0,,,24-20,,Defensive rebound by E. Turner
1:03.0,,,24-20,,Shooting foul by P. Patterson (drawn by I. Thomas)
1:03.0,,,24-21,1,I. Thomas makes free throw 1 of 2
1:03.0,,,24-22,1,I. Thomas makes free throw 2 of 2
0:52.0,,,24-22,,Personal block foul by M. Smart (drawn by T. Ross)
0:52.0,T. Ross makes free throw 1 of 2,1,25-22,,
0:52.0,T. Ross makes free throw 2 of 2,1,26-22,,
0:42.0,,,26-24,2,A. Johnson makes 2-pt shot at rim (assist by I. Thomas)
0:31.0,P. Patterson misses 2-pt shot from 6 ft,,26-24,,
0:29.0,,,26-24,,Defensive rebound by K. Olynyk
0:23.0,,,26-24,,E. Turner misses 2-pt shot from 15 ft
0:22.0,Defensive rebound by B. Biyombo,,26-24,,
0:03.0,Turnover by B. Biyombo (offensive foul),,26-24,,
0:03.0,Offensive foul by B. Biyombo,,26-24,,
0:01.0,,,26-24,,Shooting foul by B. Biyombo (drawn by A. Johnson)
0:01.0,,,26-25,1,A. Johnson makes free throw 1 of 2
0:01.0,,,26-26,1,A. Johnson makes free throw 2 of 2
0:00.0,T. Ross misses 3-pt shot from 58 ft,,26-26,,
0:00.0,Offensive rebound by Team,,26-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:34.0,C. Joseph makes 3-pt shot from 30 ft (assist by D. Carroll),3,29-26,,
11:15.0,,,29-26,,M. Smart misses 2-pt shot from 16 ft
11:14.0,,,29-26,,Offensive rebound by A. Johnson
11:06.0,,,29-26,,M. Smart misses 3-pt shot from 27 ft
11:05.0,Defensive rebound by J. Valanciunas,,29-26,,
10:56.0,Turnover by D. Carroll (bad pass; steal by A. Johnson),,29-26,,
10:55.0,Personal foul by J. Valanciunas (drawn by M. Smart),,29-26,,
10:42.0,,,29-28,2,I. Thomas makes 2-pt shot from 8 ft (assist by M. Smart)
10:20.0,J. Valanciunas misses 2-pt shot from 8 ft (block by J. Sullinger),,29-28,,
10:19.0,,,29-28,,Defensive rebound by E. Turner
10:16.0,,,29-28,,Turnover by E. Turner (bad pass)
10:01.0,T. Ross makes 2-pt shot from 7 ft,2,31-28,,
10:01.0,Shooting foul by J. Sullinger (drawn by T. Ross),,31-28,,
10:01.0,T. Ross makes free throw 1 of 1,1,32-28,,
9:47.0,,,32-30,2,J. Sullinger makes 2-pt shot from 21 ft (assist by I. Thomas)
9:29.0,P. Patterson misses 3-pt shot from 25 ft,,32-30,,
9:27.0,,,32-30,,Defensive rebound by J. Sullinger
9:13.0,,,32-32,2,J. Sullinger makes 2-pt shot from 22 ft (assist by I. Thomas)
8:46.0,J. Valanciunas misses 2-pt shot from 10 ft,,32-32,,
8:45.0,,,32-32,,Defensive rebound by A. Johnson
8:38.0,,,32-32,,I. Thomas misses 2-pt shot from 17 ft
8:36.0,Defensive rebound by C. Joseph,,32-32,,
8:32.0,,,32-32,,Personal foul by E. Turner (drawn by D. Carroll)
8:32.0,Official timeout,,32-32,,
8:32.0,,,32-32,,D. Lee enters the game for I. Thomas
8:32.0,,,32-32,,J. Crowder enters the game for A. Johnson
8:32.0,L. Scola enters the game for J. Valanciunas,,32-32,,
8:32.0,A. Bennett enters the game for P. Patterson,,32-32,,
8:20.0,T. Ross makes 3-pt shot from 25 ft (assist by L. Scola),3,35-32,,
7:59.0,,,35-32,,E. Turner misses 2-pt shot from 12 ft
7:59.0,Defensive rebound by L. Scola,,35-32,,
7:53.0,,,35-32,,Violation by M. Smart (kicked ball)
7:48.0,Turnover by C. Joseph (lost ball; steal by M. Smart),,35-32,,
