time,Atlanta,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. K. Towns (P. Millsap gains possession),,,,Jump ball: A. Horford vs. K. Towns (P. Millsap gains possession)
11:45.0,K. Korver misses 2-pt shot from 23 ft,,0-0,,
11:44.0,,,0-0,,Defensive rebound by A. Wiggins
11:31.0,,,0-2,2,A. Wiggins makes 2-pt shot from 1 ft (assist by K. Garnett)
11:31.0,,,0-2,,Shooting foul by T. Sefolosha (drawn by A. Wiggins)
11:31.0,,,0-2,,A. Wiggins misses free throw 1 of 1
11:31.0,Defensive rebound by T. Sefolosha,,0-2,,
11:19.0,T. Sefolosha makes 2-pt shot at rim,2,2-2,,
11:03.0,,,2-4,2,R. Rubio makes 2-pt shot from 16 ft (assist by K. Garnett)
10:37.0,Turnover by T. Sefolosha (lost ball),,2-4,,
10:24.0,,,2-4,,A. Wiggins misses 2-pt shot from 17 ft
10:23.0,Defensive rebound by K. Korver,,2-4,,
10:17.0,,,2-4,,Personal foul by R. Rubio (drawn by J. Teague)
10:11.0,A. Horford misses 2-pt shot from 22 ft,,2-4,,
10:09.0,,,2-4,,Defensive rebound by K. Martin
9:59.0,,,2-6,2,K. Towns makes 2-pt shot from 12 ft
9:44.0,Turnover by J. Teague (bad pass; steal by K. Garnett),,2-6,,
9:31.0,,,2-8,2,K. Garnett makes 2-pt shot from 13 ft (assist by R. Rubio)
9:17.0,J. Teague makes 3-pt shot from 24 ft,3,5-8,,
9:04.0,,,5-8,,Shooting foul by P. Millsap (drawn by K. Martin)
9:04.0,,,5-9,1,K. Martin makes free throw 1 of 2
9:04.0,,,5-9,,K. Martin misses free throw 2 of 2
9:04.0,Defensive rebound by P. Millsap,,5-9,,
8:45.0,J. Teague misses 3-pt shot from 24 ft,,5-9,,
8:44.0,Offensive rebound by A. Horford,,5-9,,
8:41.0,K. Korver makes 3-pt shot from 25 ft (assist by A. Horford),3,8-9,,
8:30.0,,,8-9,,K. Martin misses 2-pt shot from 2 ft (block by P. Millsap)
8:28.0,Defensive rebound by P. Millsap,,8-9,,
8:19.0,P. Millsap makes 2-pt shot from 9 ft,2,10-9,,
8:06.0,,,10-11,2,K. Garnett makes 2-pt shot from 20 ft (assist by R. Rubio)
7:53.0,J. Teague misses 2-pt shot from 19 ft,,10-11,,
7:52.0,Offensive rebound by A. Horford,,10-11,,
7:42.0,Shooting foul by K. Garnett (drawn by P. Millsap),,10-11,,
7:42.0,P. Millsap misses free throw 1 of 2,,10-11,,
7:42.0,Offensive rebound by Team,,10-11,,
7:42.0,L. Patterson enters the game for T. Sefolosha,,10-11,,
7:42.0,P. Millsap makes free throw 2 of 2,1,11-11,,
7:31.0,,,11-13,2,K. Towns makes 2-pt shot at rim (assist by R. Rubio)
7:11.0,P. Millsap makes 3-pt shot from 24 ft (assist by A. Horford),3,14-13,,
7:02.0,,,14-13,,Minnesota full timeout
7:02.0,M. Muscala enters the game for A. Horford,,14-13,,
6:59.0,,,14-13,,Shooting foul by L. Patterson (drawn by A. Wiggins)
6:59.0,,,14-14,1,A. Wiggins makes free throw 1 of 2
6:59.0,,,14-14,,A. Payne enters the game for K. Garnett
6:59.0,,,14-15,1,A. Wiggins makes free throw 2 of 2
6:45.0,L. Patterson misses 3-pt shot from 25 ft,,14-15,,
6:44.0,,,14-15,,Defensive rebound by R. Rubio
6:33.0,,,14-15,,K. Martin misses 2-pt shot from 16 ft
6:32.0,Defensive rebound by L. Patterson,,14-15,,
6:22.0,Shooting foul by A. Payne (drawn by P. Millsap),,14-15,,
6:22.0,P. Millsap makes free throw 1 of 2,1,15-15,,
6:22.0,P. Millsap makes free throw 2 of 2,1,16-15,,
6:09.0,,,16-15,,K. Towns misses 2-pt shot from 4 ft
6:08.0,Defensive rebound by M. Muscala,,16-15,,
5:52.0,Turnover by M. Muscala (bad pass; steal by A. Payne),,16-15,,
5:49.0,,,16-17,2,K. Martin makes 2-pt shot at rim (assist by A. Payne)
5:24.0,P. Millsap misses 2-pt shot from 11 ft,,16-17,,
5:23.0,,,16-17,,Defensive rebound by K. Towns
5:09.0,,,16-17,,K. Towns misses 2-pt shot from 5 ft
5:07.0,,,16-17,,Offensive rebound by A. Wiggins
5:04.0,,,16-19,2,A. Wiggins makes 2-pt shot from 1 ft
4:53.0,Offensive foul by K. Korver,,16-19,,
4:53.0,Turnover by K. Korver (offensive foul),,16-19,,
4:53.0,D. Schroder enters the game for J. Teague,,16-19,,
4:38.0,,,16-19,,Shooting foul by L. Patterson (drawn by A. Wiggins)
4:38.0,,,16-20,1,A. Wiggins makes free throw 1 of 2
4:38.0,,,16-20,,G. Dieng enters the game for K. Towns
4:38.0,,,16-20,,A. Wiggins misses free throw 2 of 2
