time,LA Clippers,pts.away,score,pts.home,Houston
3:35.0,L. Stephenson enters the game for W. Johnson,,12-27,,
3:35.0,,,12-27,,C. Brewer enters the game for T. Ariza
3:35.0,Violation by A. Rivers (kicked ball),,12-27,,
3:33.0,,,12-27,,T. Jones misses 2-pt shot from 9 ft
3:32.0,,,12-27,,Offensive rebound by C. Capela
3:32.0,,,12-29,2,C. Capela makes 2-pt shot from 1 ft
3:18.0,,,12-29,,Personal foul by J. Harden (drawn by B. Griffin)
3:11.0,Shooting foul by J. Terry (drawn by B. Griffin),,12-29,,
3:11.0,,,12-29,,Houston full timeout
3:11.0,B. Griffin makes free throw 1 of 2,1,13-29,,
3:11.0,B. Griffin makes free throw 2 of 2,1,14-29,,
2:59.0,,,14-31,2,J. Terry makes 2-pt shot from 17 ft
2:42.0,A. Rivers misses 3-pt shot from 27 ft,,14-31,,
2:41.0,,,14-31,,Defensive rebound by C. Capela
2:27.0,,,14-34,3,T. Jones makes 3-pt shot from 25 ft (assist by J. Terry)
2:11.0,B. Griffin misses 2-pt shot from 19 ft,,14-34,,
2:10.0,,,14-34,,Defensive rebound by C. Brewer
2:02.0,,,14-34,,J. Harden misses 2-pt shot from 23 ft
2:01.0,,,14-34,,Offensive rebound by C. Capela
1:59.0,,,14-34,,C. Capela misses 2-pt shot from 1 ft
1:58.0,Defensive rebound by A. Rivers,,14-34,,
1:52.0,A. Rivers misses 2-pt shot at rim,,14-34,,
1:51.0,,,14-34,,Defensive rebound by T. Jones
1:42.0,,,14-36,2,J. Harden makes 2-pt shot from 2 ft
1:18.0,,,14-36,,Def 3 sec tech foul by J. Terry
1:18.0,J. Crawford makes technical free throw,1,15-36,,
1:18.0,,,15-36,,P. Beverley enters the game for J. Terry
1:18.0,,,15-36,,M. Thornton enters the game for J. Harden
1:18.0,J. Smith enters the game for B. Griffin,,15-36,,
1:04.0,J. Crawford misses 2-pt shot from 8 ft (block by P. Beverley),,15-36,,
1:02.0,,,15-36,,Defensive rebound by C. Capela
0:59.0,,,15-36,,T. Jones misses 2-pt shot from 4 ft
0:58.0,Defensive rebound by P. Pierce,,15-36,,
0:53.0,Offensive charge foul by L. Stephenson,,15-36,,
0:53.0,Turnover by L. Stephenson (offensive foul),,15-36,,
0:43.0,Loose ball foul by L. Stephenson (drawn by M. Thornton),,15-36,,
0:43.0,,,15-37,1,M. Thornton makes free throw 1 of 2
0:43.0,,,15-38,1,M. Thornton makes free throw 2 of 2
0:35.0,J. Smith misses 2-pt shot from 3 ft (block by C. Brewer),,15-38,,
0:32.0,,,15-38,,Defensive rebound by T. Jones
0:31.0,,,15-38,,Turnover by T. Jones (bad pass)
0:07.0,P. Pierce misses 3-pt shot from 25 ft,,15-38,,
0:06.0,Offensive rebound by J. Smith,,15-38,,
0:05.0,,,15-38,,Violation by T. Jones (def goaltending)
0:05.0,J. Smith makes 2-pt shot from 2 ft,2,17-38,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,J. Smith misses 2-pt shot from 3 ft (block by C. Capela),,17-38,,
11:42.0,,,17-38,,Defensive rebound by T. Jones
11:36.0,,,17-38,,M. Thornton misses 3-pt shot from 24 ft
11:35.0,Defensive rebound by L. Stephenson,,17-38,,
11:29.0,Turnover by L. Stephenson (lost ball; steal by P. Beverley),,17-38,,
11:10.0,Personal foul by J. Crawford (drawn by M. Thornton),,17-38,,
10:55.0,,,17-41,3,T. Jones makes 3-pt shot from 26 ft (assist by M. Thornton)
10:36.0,,,17-41,,Def 3 sec tech foul by C. Capela
10:36.0,J. Crawford misses technical free throw,,17-41,,
10:36.0,Offensive rebound by Team,,17-41,,
10:36.0,C. Paul enters the game for A. Rivers,,17-41,,
10:36.0,,,17-41,,D. Howard enters the game for C. Capela
10:36.0,D. Jordan enters the game for P. Pierce,,17-41,,
10:30.0,Turnover by J. Crawford (bad pass),,17-41,,
10:20.0,,,17-41,,C. Brewer misses 2-pt shot from 19 ft
10:19.0,Defensive rebound by D. Jordan,,17-41,,
10:09.0,J. Smith misses 3-pt shot from 24 ft,,17-41,,
10:08.0,,,17-41,,Defensive rebound by T. Jones
9:57.0,,,17-41,,T. Jones misses 2-pt shot from 3 ft
9:57.0,,,17-41,,Offensive rebound by D. Howard
9:57.0,Personal foul by D. Jordan (drawn by D. Howard),,17-41,,
9:57.0,B. Griffin enters the game for J. Smith,,17-41,,
9:51.0,,,17-41,,Offensive foul by D. Howard
9:51.0,,,17-41,,Turnover by D. Howard (offensive foul)
9:50.0,,,17-41,,Personal foul by P. Beverley (drawn by C. Paul)
9:37.0,J. Crawford misses 3-pt shot from 24 ft,,17-41,,
9:35.0,,,17-41,,Defensive rebound by Team
9:20.0,,,17-41,,C. Brewer misses 3-pt shot from 25 ft
9:19.0,,,17-41,,Offensive rebound by D. Howard
9:18.0,,,17-43,2,D. Howard makes 2-pt shot from 1 ft
9:18.0,,,17-43,,Shooting foul by D. Jordan (drawn by D. Howard)
9:18.0,,,17-43,,D. Howard misses free throw 1 of 1
9:18.0,Defensive rebound by D. Jordan,,17-43,,
8:57.0,J. Crawford misses 2-pt shot from 6 ft,,17-43,,
8:56.0,Offensive rebound by Team,,17-43,,
8:56.0,,,17-43,,Loose ball foul by M. Thornton (drawn by D. Jordan)
8:56.0,LA Clippers full timeout,,17-43,,
8:44.0,B. Griffin makes 2-pt shot from 4 ft (assist by C. Paul),2,19-43,,
