time,LA Lakers,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. R. Hibbert (D. Green gains possession),,,,Jump ball: A. Bogut vs. R. Hibbert (D. Green gains possession)
11:44.0,,,0-3,3,D. Green makes 3-pt shot from 26 ft (assist by S. Curry)
11:27.0,K. Bryant misses 2-pt shot from 19 ft,,0-3,,
11:24.0,,,0-3,,Defensive rebound by A. Bogut
11:18.0,,,0-3,,K. Thompson misses 3-pt shot from 26 ft
11:16.0,Defensive rebound by D. Russell,,0-3,,
11:03.0,D. Russell misses 3-pt shot from 26 ft,,0-3,,
11:02.0,,,0-3,,Defensive rebound by A. Bogut
10:50.0,,,0-3,,D. Green misses 3-pt shot from 26 ft
10:50.0,Defensive rebound by Team,,0-3,,
10:30.0,J. Randle misses 2-pt shot from 9 ft (block by D. Green),,0-3,,
10:29.0,,,0-3,,Defensive rebound by S. Curry
10:20.0,,,0-3,,S. Curry misses 3-pt shot from 25 ft
10:19.0,Defensive rebound by K. Bryant,,0-3,,
10:02.0,Shooting foul by H. Barnes (drawn by K. Bryant),,0-3,,
10:02.0,K. Bryant misses free throw 1 of 2,,0-3,,
10:02.0,Offensive rebound by Team,,0-3,,
10:02.0,K. Bryant makes free throw 2 of 2,1,1-3,,
9:45.0,,,1-3,,A. Bogut misses 2-pt shot from 7 ft
9:45.0,Defensive rebound by R. Hibbert,,1-3,,
9:36.0,D. Russell makes 2-pt shot from 22 ft,2,3-3,,
9:27.0,,,3-3,,Shooting foul by D. Russell (drawn by H. Barnes)
9:27.0,,,3-4,1,H. Barnes makes free throw 1 of 2
9:27.0,,,3-5,1,H. Barnes makes free throw 2 of 2
9:13.0,R. Hibbert misses 2-pt shot from 15 ft,,3-5,,
9:13.0,,,3-5,,Defensive rebound by D. Green
9:04.0,,,3-5,,K. Thompson misses 2-pt shot from 2 ft
9:03.0,Defensive rebound by R. Hibbert,,3-5,,
8:51.0,J. Randle makes 2-pt shot from 9 ft,2,5-5,,
8:28.0,,,5-8,3,S. Curry makes 3-pt shot from 24 ft (assist by H. Barnes)
8:12.0,D. Russell makes 2-pt shot from 15 ft,2,7-8,,
7:57.0,,,7-8,,K. Thompson misses 2-pt shot from 8 ft
7:56.0,Defensive rebound by K. Bryant,,7-8,,
7:35.0,K. Bryant misses 2-pt shot from 20 ft,,7-8,,
7:35.0,,,7-8,,Defensive rebound by D. Green
7:27.0,,,7-11,3,H. Barnes makes 3-pt shot from 23 ft (assist by K. Thompson)
7:10.0,J. Clarkson misses 2-pt shot from 16 ft,,7-11,,
7:09.0,,,7-11,,Defensive rebound by S. Curry
6:54.0,,,7-11,,K. Thompson misses 2-pt shot from 11 ft
6:52.0,Defensive rebound by J. Randle,,7-11,,
6:49.0,Turnover by D. Russell (palming),,7-11,,
6:30.0,,,7-11,,K. Thompson misses 2-pt shot from 2 ft
6:30.0,,,7-11,,Offensive rebound by A. Bogut
6:24.0,,,7-11,,K. Thompson misses 3-pt shot from 24 ft
6:22.0,Defensive rebound by K. Bryant,,7-11,,
6:09.0,Turnover by J. Clarkson (traveling),,7-11,,
6:09.0,L. Williams enters the game for D. Russell,,7-11,,
5:57.0,,,7-13,2,D. Green makes 2-pt shot from 2 ft (assist by A. Bogut)
5:43.0,R. Hibbert misses 2-pt shot from 7 ft,,7-13,,
5:42.0,,,7-13,,Defensive rebound by A. Bogut
5:35.0,,,7-13,,S. Curry misses 3-pt shot from 27 ft
5:32.0,,,7-13,,Offensive rebound by H. Barnes
5:27.0,,,7-16,3,H. Barnes makes 3-pt shot from 26 ft (assist by S. Curry)
5:19.0,LA Lakers full timeout,,7-16,,
5:19.0,,,7-16,,A. Iguodala enters the game for A. Bogut
5:19.0,B. Bass enters the game for R. Hibbert,,7-16,,
5:03.0,K. Bryant misses 2-pt shot from 14 ft,,7-16,,
5:02.0,,,7-16,,Defensive rebound by A. Iguodala
4:50.0,,,7-18,2,D. Green makes 2-pt shot from 2 ft (assist by S. Curry)
4:22.0,K. Bryant misses 3-pt shot from 24 ft,,7-18,,
4:22.0,Offensive rebound by Team,,7-18,,
4:22.0,Turnover by Team (shot clock),,7-18,,
4:08.0,,,7-18,,K. Thompson misses 3-pt shot from 26 ft
4:08.0,Defensive rebound by B. Bass,,7-18,,
4:01.0,,,7-18,,Personal foul by S. Curry (drawn by J. Clarkson)
4:01.0,L. Nance enters the game for K. Bryant,,7-18,,
4:01.0,N. Young enters the game for J. Randle,,7-18,,
3:51.0,J. Clarkson misses 2-pt shot from 15 ft,,7-18,,
3:49.0,,,7-18,,Defensive rebound by D. Green
3:44.0,,,7-20,2,S. Curry makes 2-pt shot from 1 ft
3:26.0,Turnover by L. Williams (lost ball; steal by D. Green),,7-20,,
3:19.0,,,7-20,,S. Curry misses 3-pt shot from 26 ft
3:18.0,,,7-20,,Offensive rebound by H. Barnes
3:18.0,,,7-20,,H. Barnes misses 2-pt shot from 1 ft
3:16.0,Defensive rebound by L. Williams,,7-20,,
3:06.0,B. Bass misses 2-pt shot from 18 ft,,7-20,,
3:05.0,,,7-20,,Defensive rebound by A. Iguodala
2:55.0,,,7-23,3,D. Green makes 3-pt shot from 23 ft (assist by A. Iguodala)
2:31.0,L. Williams misses 2-pt shot from 15 ft (block by D. Green),,7-23,,
2:30.0,Offensive rebound by L. Nance,,7-23,,
2:30.0,L. Nance makes 2-pt shot at rim,2,9-23,,
2:13.0,,,9-25,2,A. Iguodala makes 2-pt shot from 2 ft (assist by D. Green)
1:51.0,J. Clarkson misses 2-pt shot from 10 ft (block by K. Thompson),,9-25,,
1:51.0,,,9-25,,Defensive rebound by Team
1:51.0,,,9-25,,Golden State full timeout
1:51.0,,,9-25,,F. Ezeli enters the game for H. Barnes
1:51.0,,,9-25,,S. Livingston enters the game for K. Thompson
1:41.0,,,9-27,2,D. Green makes 2-pt shot from 2 ft (assist by A. Iguodala)
1:20.0,N. Young makes 2-pt shot from 21 ft,2,11-27,,
1:07.0,,,11-27,,S. Curry misses 2-pt shot from 18 ft
1:07.0,,,11-27,,Offensive rebound by F. Ezeli
1:05.0,,,11-27,,F. Ezeli misses 2-pt shot from 7 ft
1:04.0,Defensive rebound by B. Bass,,11-27,,
0:55.0,L. Nance misses 2-pt shot from 17 ft,,11-27,,
0:55.0,,,11-27,,Defensive rebound by A. Iguodala
0:46.0,,,11-30,3,S. Curry makes 3-pt shot from 26 ft (assist by F. Ezeli)
0:31.0,N. Young misses 3-pt shot from 25 ft,,11-30,,
0:29.0,,,11-30,,Defensive rebound by A. Iguodala
0:14.0,,,11-30,,S. Curry misses 3-pt shot from 26 ft
0:12.0,Defensive rebound by N. Young,,11-30,,
0:02.0,N. Young misses 3-pt shot from 26 ft,,11-30,,
0:00.0,,,11-30,,Defensive rebound by A. Iguodala
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,L. Nance misses 2-pt shot from 1 ft,,11-30,,
11:38.0,Offensive rebound by Team,,11-30,,
11:35.0,D. Russell misses 2-pt shot from 15 ft,,11-30,,
11:35.0,,,11-30,,Defensive rebound by A. Iguodala
11:21.0,,,11-32,2,M. Speights makes 2-pt shot from 20 ft (assist by S. Livingston)
11:05.0,D. Russell makes 2-pt shot from 7 ft (assist by R. Hibbert),2,13-32,,
10:47.0,,,13-34,2,L. Barbosa makes 2-pt shot from 3 ft
10:38.0,,,13-34,,Personal foul by F. Ezeli (drawn by R. Hibbert)
10:29.0,K. Bryant misses 3-pt shot from 25 ft,,13-34,,
10:29.0,,,13-34,,Defensive rebound by L. Barbosa
10:21.0,,,13-34,,Turnover by S. Livingston (bad pass; steal by R. Hibbert)
10:14.0,K. Bryant makes 3-pt shot from 26 ft,3,16-34,,
9:57.0,,,16-34,,M. Speights misses 2-pt shot from 18 ft
9:57.0,Defensive rebound by R. Hibbert,,16-34,,
9:45.0,K. Bryant misses 3-pt shot from 25 ft,,16-34,,
9:45.0,,,16-34,,Defensive rebound by F. Ezeli
9:32.0,,,16-34,,L. Barbosa misses 3-pt shot from 25 ft
9:31.0,,,16-34,,Offensive rebound by S. Livingston
9:23.0,,,16-37,3,L. Barbosa makes 3-pt shot from 23 ft (assist by S. Livingston)
9:07.0,Shooting foul by F. Ezeli (drawn by L. Williams),,16-37,,
9:07.0,L. Williams makes free throw 1 of 2,1,17-37,,
9:07.0,L. Williams misses free throw 2 of 2,,17-37,,
9:06.0,,,17-37,,Defensive rebound by M. Speights
8:57.0,,,17-37,,S. Livingston misses 2-pt shot from 16 ft
8:56.0,Defensive rebound by K. Bryant,,17-37,,
8:52.0,Turnover by K. Bryant (lost ball),,17-37,,
8:52.0,Official timeout,,17-37,,
8:35.0,,,17-39,2,F. Ezeli makes 2-pt shot at rim (assist by A. Iguodala)
8:19.0,Shooting foul by F. Ezeli (drawn by L. Nance),,17-39,,
8:19.0,L. Nance makes free throw 1 of 2,1,18-39,,
8:19.0,,,18-39,,A. Bogut enters the game for F. Ezeli
8:19.0,L. Nance makes free throw 2 of 2,1,19-39,,
7:59.0,,,19-39,,Turnover by M. Speights (lost ball; steal by K. Bryant)
7:52.0,L. Williams makes 2-pt shot from 1 ft (assist by K. Bryant),2,21-39,,
7:36.0,,,21-41,2,A. Iguodala makes 2-pt shot from 18 ft (assist by A. Bogut)
7:14.0,D. Russell misses 2-pt shot from 20 ft,,21-41,,
7:14.0,,,21-41,,Defensive rebound by M. Speights
7:11.0,Personal foul by L. Williams,,21-41,,
7:11.0,,,21-41,,H. Barnes enters the game for A. Iguodala
7:11.0,,,21-41,,K. Thompson enters the game for L. Barbosa
7:11.0,N. Young enters the game for K. Bryant,,21-41,,
7:11.0,J. Randle enters the game for L. Nance,,21-41,,
7:04.0,,,21-41,,M. Speights misses 2-pt shot from 6 ft (block by R. Hibbert)
7:03.0,Defensive rebound by D. Russell,,21-41,,
7:02.0,Shooting foul by S. Livingston (drawn by L. Williams),,21-41,,
7:02.0,L. Williams makes free throw 1 of 2,1,22-41,,
7:02.0,J. Clarkson enters the game for D. Russell,,22-41,,
7:02.0,L. Williams misses free throw 2 of 2,,22-41,,
7:01.0,,,22-41,,Defensive rebound by A. Bogut
6:50.0,,,22-43,2,S. Livingston makes 2-pt shot from 13 ft
6:33.0,L. Williams makes 2-pt shot from 21 ft (assist by J. Clarkson),2,24-43,,
6:17.0,,,24-43,,A. Bogut misses 2-pt shot from 7 ft (block by J. Randle)
6:17.0,Defensive rebound by J. Randle,,24-43,,
6:16.0,,,24-43,,Personal foul by M. Speights (drawn by J. Randle)
