time,Toronto,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. J. Valanciunas (J. Dudley gains possession),,,,Jump ball: M. Gortat vs. J. Valanciunas (J. Dudley gains possession)
11:44.0,,,0-0,,G. Temple misses 2-pt shot from 18 ft
11:43.0,Defensive rebound by J. Johnson,,0-0,,
11:20.0,K. Lowry misses 2-pt shot from 1 ft,,0-0,,
11:19.0,,,0-0,,Defensive rebound by J. Dudley
11:15.0,,,0-2,2,O. Porter makes 2-pt shot at rim (assist by J. Dudley)
10:45.0,L. Scola misses 2-pt shot from 17 ft,,0-2,,
10:44.0,,,0-2,,Defensive rebound by O. Porter
10:36.0,,,0-2,,J. Wall misses 3-pt shot from 25 ft
10:35.0,Defensive rebound by L. Scola,,0-2,,
10:21.0,L. Scola misses 2-pt shot from 12 ft (block by O. Porter),,0-2,,
10:21.0,Offensive rebound by Team,,0-2,,
10:18.0,Turnover by K. Lowry (bad pass; steal by O. Porter),,0-2,,
10:14.0,,,0-4,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
9:58.0,Turnover by J. Johnson (bad pass; steal by J. Dudley),,0-4,,
9:52.0,,,0-4,,Turnover by J. Wall (traveling)
9:37.0,D. DeRozan makes 2-pt shot from 1 ft (assist by J. Valanciunas),2,2-4,,
9:23.0,,,2-6,2,O. Porter makes 2-pt shot from 15 ft
9:00.0,D. DeRozan misses 2-pt shot from 17 ft,,2-6,,
8:58.0,,,2-6,,Defensive rebound by M. Gortat
8:54.0,,,2-6,,Turnover by J. Wall (bad pass)
8:39.0,D. DeRozan misses 2-pt shot from 1 ft,,2-6,,
8:38.0,Offensive rebound by D. DeRozan,,2-6,,
8:31.0,L. Scola misses 2-pt shot at rim,,2-6,,
8:29.0,Offensive rebound by L. Scola,,2-6,,
8:23.0,K. Lowry misses 3-pt shot from 25 ft,,2-6,,
8:21.0,,,2-6,,Defensive rebound by G. Temple
8:15.0,,,2-6,,G. Temple misses 2-pt shot from 15 ft
8:14.0,Defensive rebound by K. Lowry,,2-6,,
8:13.0,Turnover by K. Lowry (lost ball),,2-6,,
8:03.0,,,2-6,,M. Gortat misses 2-pt shot from 13 ft
8:02.0,Defensive rebound by J. Johnson,,2-6,,
7:53.0,Toronto full timeout,,2-6,,
7:49.0,L. Scola makes 2-pt shot at rim (assist by J. Valanciunas),2,4-6,,
7:36.0,Personal foul by L. Scola (drawn by M. Gortat),,4-6,,
7:26.0,,,4-6,,J. Wall misses 2-pt shot from 14 ft
7:25.0,Defensive rebound by J. Johnson,,4-6,,
7:12.0,D. DeRozan makes 2-pt shot from 1 ft,2,6-6,,
6:59.0,,,6-6,,M. Gortat misses 2-pt shot from 15 ft
6:58.0,Defensive rebound by D. DeRozan,,6-6,,
6:51.0,Turnover by D. DeRozan (bad pass; steal by J. Dudley),,6-6,,
6:50.0,Clear path foul by L. Scola,,6-6,,
6:50.0,,,6-7,1,J. Dudley makes clear path free throw 1 of 2
6:50.0,,,6-8,1,J. Dudley makes clear path free throw 2 of 2
6:50.0,P. Patterson enters the game for L. Scola,,6-8,,
6:41.0,,,6-11,3,J. Dudley makes 3-pt shot from 26 ft (assist by J. Wall)
6:17.0,J. Valanciunas makes 2-pt shot from 3 ft (assist by P. Patterson),2,8-11,,
6:03.0,,,8-11,,M. Gortat misses 2-pt shot from 1 ft (block by J. Valanciunas)
6:01.0,,,8-11,,Offensive rebound by M. Gortat
5:58.0,,,8-14,3,O. Porter makes 3-pt shot from 27 ft (assist by M. Gortat)
5:45.0,Turnover by K. Lowry (step out of bounds),,8-14,,
5:36.0,,,8-16,2,J. Wall makes 2-pt shot from 1 ft
5:14.0,Shooting foul by O. Porter (drawn by J. Valanciunas),,8-16,,
5:14.0,J. Valanciunas makes free throw 1 of 2,1,9-16,,
5:14.0,J. Valanciunas makes free throw 2 of 2,1,10-16,,
5:07.0,,,10-16,,Turnover by J. Wall (lost ball)
4:56.0,D. DeRozan misses 3-pt shot from 24 ft,,10-16,,
4:56.0,,,10-16,,Defensive rebound by M. Gortat
4:42.0,,,10-16,,O. Porter misses 3-pt shot from 23 ft
4:41.0,Defensive rebound by J. Johnson,,10-16,,
4:34.0,J. Johnson misses 2-pt shot from 1 ft,,10-16,,
4:33.0,,,10-16,,Defensive rebound by O. Porter
4:30.0,,,10-18,2,G. Temple makes 2-pt shot from 2 ft (assist by O. Porter)
4:25.0,Toronto full timeout,,10-18,,
4:25.0,T. Ross enters the game for J. Johnson,,10-18,,
4:12.0,K. Lowry misses 2-pt shot from 21 ft,,10-18,,
4:11.0,,,10-18,,Defensive rebound by M. Gortat
4:04.0,Def 3 sec tech foul by J. Valanciunas,,10-18,,
4:04.0,,,10-19,1,J. Wall makes technical free throw
4:04.0,,,10-19,,G. Neal enters the game for O. Porter
3:58.0,,,10-19,,Turnover by J. Wall (lost ball; steal by J. Valanciunas)
3:51.0,P. Patterson misses 2-pt shot from 13 ft (block by J. Wall),,10-19,,
3:51.0,Offensive rebound by Team,,10-19,,
3:46.0,D. DeRozan misses 2-pt shot from 11 ft,,10-19,,
3:45.0,,,10-19,,Defensive rebound by M. Gortat
3:40.0,,,10-19,,J. Dudley misses 3-pt shot from 25 ft
3:37.0,Defensive rebound by T. Ross,,10-19,,
3:23.0,K. Lowry misses 2-pt shot from 5 ft (block by M. Gortat),,10-19,,
3:23.0,Offensive rebound by Team,,10-19,,
3:23.0,,,10-19,,D. Gooden enters the game for J. Dudley
3:16.0,T. Ross makes 2-pt shot from 20 ft,2,12-19,,
3:04.0,,,12-21,2,J. Wall makes 2-pt shot from 18 ft
2:50.0,D. DeRozan makes 2-pt shot from 3 ft (assist by J. Valanciunas),2,14-21,,
2:29.0,,,14-23,2,M. Gortat makes 2-pt shot from 6 ft
