time,Boston,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. N. Vucevic (J. Sullinger gains possession),,,,Jump ball: A. Johnson vs. N. Vucevic (J. Sullinger gains possession)
11:44.0,A. Bradley misses 3-pt shot from 26 ft,,0-0,,
11:43.0,Offensive rebound by A. Johnson,,0-0,,
11:43.0,A. Johnson makes 2-pt shot from 2 ft,2,2-0,,
11:30.0,,,2-0,,N. Vucevic misses 2-pt shot from 11 ft
11:28.0,Defensive rebound by A. Johnson,,2-0,,
11:19.0,Turnover by I. Thomas (bad pass),,2-0,,
10:59.0,,,2-0,,V. Oladipo misses 3-pt shot from 23 ft
10:57.0,Defensive rebound by I. Thomas,,2-0,,
10:42.0,J. Sullinger misses 2-pt shot from 13 ft,,2-0,,
10:41.0,,,2-0,,Defensive rebound by A. Gordon
10:17.0,,,2-0,,A. Gordon misses 2-pt shot from 5 ft
10:16.0,,,2-0,,Offensive rebound by A. Gordon
10:08.0,,,2-0,,E. Payton misses 3-pt shot from 25 ft
10:06.0,Defensive rebound by A. Bradley,,2-0,,
9:56.0,Turnover by A. Bradley (lost ball; steal by V. Oladipo),,2-0,,
9:53.0,Jump ball: A. Gordon vs. J. Sullinger (N. Vucevic gains possession),,,,Jump ball: A. Gordon vs. J. Sullinger (N. Vucevic gains possession)
9:34.0,,,2-2,2,A. Gordon makes 2-pt shot from 17 ft
9:14.0,A. Bradley makes 3-pt shot from 25 ft (assist by I. Thomas),3,5-2,,
8:55.0,,,5-2,,V. Oladipo misses 3-pt shot from 23 ft
8:54.0,Defensive rebound by J. Sullinger,,5-2,,
8:50.0,Turnover by A. Bradley (lost ball; steal by V. Oladipo),,5-2,,
8:43.0,,,5-2,,N. Vucevic misses 2-pt shot from 9 ft
8:41.0,,,5-2,,Offensive rebound by T. Harris
8:41.0,,,5-4,2,T. Harris makes 2-pt shot at rim
8:20.0,J. Sullinger misses 2-pt shot from 11 ft,,5-4,,
8:19.0,Offensive rebound by A. Johnson,,5-4,,
