time,LA Clippers,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. D. Jordan (R. Westbrook gains possession),,,,Jump ball: S. Adams vs. D. Jordan (R. Westbrook gains possession)
11:43.0,,,0-3,3,S. Ibaka makes 3-pt shot from 24 ft (assist by R. Westbrook)
11:22.0,Turnover by J. Redick (lost ball; steal by R. Westbrook),,0-3,,
11:19.0,,,0-3,,Turnover by R. Westbrook (lost ball; steal by C. Paul)
11:13.0,P. Pierce misses 3-pt shot from 24 ft,,0-3,,
11:13.0,,,0-3,,Defensive rebound by A. Roberson
11:00.0,,,0-3,,S. Ibaka misses 2-pt shot from 17 ft
11:00.0,,,0-3,,Offensive rebound by Team
10:58.0,,,0-5,2,K. Durant makes 2-pt shot at rim (assist by R. Westbrook)
10:57.0,LA Clippers full timeout,,0-5,,
10:49.0,Shooting foul by K. Durant (drawn by D. Jordan),,0-5,,
10:49.0,D. Jordan misses free throw 1 of 2,,0-5,,
10:49.0,Offensive rebound by Team,,0-5,,
10:49.0,D. Jordan misses free throw 2 of 2,,0-5,,
10:48.0,,,0-5,,Defensive rebound by K. Durant
10:33.0,,,0-5,,S. Ibaka misses 3-pt shot from 22 ft
10:33.0,Defensive rebound by D. Jordan,,0-5,,
10:26.0,J. Green makes 2-pt shot at rim (assist by C. Paul),2,2-5,,
10:17.0,,,2-8,3,K. Durant makes 3-pt shot from 25 ft (assist by R. Westbrook)
10:01.0,,,2-8,,Personal foul by S. Ibaka
9:46.0,C. Paul makes 2-pt shot from 6 ft,2,4-8,,
9:29.0,,,4-10,2,S. Adams makes 2-pt shot from 2 ft (assist by R. Westbrook)
9:10.0,D. Jordan makes 2-pt shot from 1 ft (assist by C. Paul),2,6-10,,
9:10.0,Shooting foul by A. Roberson (drawn by D. Jordan),,6-10,,
9:10.0,D. Jordan misses free throw 1 of 1,,6-10,,
9:09.0,,,6-10,,Defensive rebound by S. Adams
9:07.0,,,6-10,,Turnover by S. Adams (lost ball; steal by C. Paul)
9:03.0,C. Paul misses 3-pt shot from 24 ft,,6-10,,
9:03.0,,,6-10,,Defensive rebound by S. Adams
8:51.0,,,6-13,3,A. Roberson makes 3-pt shot from 23 ft (assist by R. Westbrook)
8:35.0,J. Green misses 2-pt shot from 22 ft,,6-13,,
8:34.0,,,6-13,,Defensive rebound by S. Adams
8:17.0,,,6-13,,K. Durant misses 2-pt shot at rim (block by P. Pierce)
8:15.0,Defensive rebound by J. Green,,6-13,,
8:08.0,J. Green makes 2-pt shot from 2 ft,2,8-13,,
7:56.0,Personal foul by P. Pierce,,8-13,,
7:50.0,,,8-15,2,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook)
7:29.0,J. Redick misses 2-pt shot from 16 ft,,8-15,,
7:28.0,,,8-15,,Defensive rebound by K. Durant
7:18.0,Personal foul by D. Jordan,,8-15,,
7:07.0,,,8-15,,S. Adams misses 2-pt shot from 2 ft
7:06.0,,,8-15,,Offensive rebound by S. Adams
7:01.0,,,8-15,,Shooting foul by C. Paul (drawn by S. Adams)
7:01.0,,,8-15,,S. Adams misses free throw 1 of 2
7:01.0,,,8-15,,Offensive rebound by Team
7:01.0,W. Johnson enters the game for P. Pierce,,8-15,,
7:01.0,,,8-16,1,S. Adams makes free throw 2 of 2
6:52.0,C. Paul misses 2-pt shot from 14 ft,,8-16,,
6:52.0,,,8-16,,Defensive rebound by S. Adams
6:45.0,,,8-16,,R. Westbrook misses 2-pt shot from 18 ft
6:43.0,Defensive rebound by J. Redick,,8-16,,
6:41.0,Turnover by C. Paul (lost ball; steal by R. Westbrook),,8-16,,
6:41.0,,,8-16,,Turnover by R. Westbrook (step out of bounds)
6:30.0,Technical foul by Team,,8-16,,
6:30.0,,,8-17,1,K. Durant makes technical free throw
6:25.0,J. Redick makes 3-pt shot from 24 ft (assist by C. Paul),3,11-17,,
6:10.0,,,11-19,2,K. Durant makes 2-pt shot at rim
6:10.0,,,11-19,,Shooting foul by W. Johnson (drawn by K. Durant)
6:10.0,,,11-20,1,K. Durant makes free throw 1 of 1
5:56.0,J. Green misses 3-pt shot from 23 ft,,11-20,,
5:55.0,,,11-20,,Defensive rebound by S. Adams
5:43.0,,,11-22,2,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook)
5:24.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,13-22,,
5:11.0,,,13-22,,Turnover by R. Westbrook (lost ball; steal by J. Green)
5:11.0,,,13-22,,Personal take foul by A. Roberson
5:11.0,,,13-22,,K. Singler enters the game for K. Durant
5:11.0,J. Crawford enters the game for J. Green,,13-22,,
5:02.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,15-22,,
4:48.0,,,15-22,,R. Westbrook misses 2-pt shot from 14 ft
4:48.0,,,15-22,,Offensive rebound by Team
4:48.0,,,15-22,,R. Foye enters the game for A. Roberson
4:45.0,,,15-22,,R. Foye misses 2-pt shot from 16 ft
4:44.0,,,15-22,,Offensive rebound by R. Westbrook
4:34.0,,,15-22,,K. Singler misses 2-pt shot from 3 ft
4:33.0,Defensive rebound by D. Jordan,,15-22,,
4:26.0,J. Crawford makes 2-pt shot from 6 ft,2,17-22,,
4:17.0,,,17-22,,Oklahoma City full timeout
4:17.0,A. Rivers enters the game for J. Redick,,17-22,,
4:07.0,,,17-24,2,R. Westbrook makes 2-pt shot from 1 ft
3:56.0,,,17-24,,Personal foul by S. Ibaka
3:56.0,D. Jordan makes free throw 1 of 2,1,18-24,,
3:56.0,D. Jordan misses free throw 2 of 2,,18-24,,
3:55.0,,,18-24,,Defensive rebound by R. Westbrook
3:33.0,,,18-24,,S. Ibaka misses 2-pt shot from 14 ft
3:33.0,Defensive rebound by D. Jordan,,18-24,,
3:31.0,Turnover by D. Jordan (bad pass),,18-24,,
3:21.0,,,18-24,,S. Ibaka misses 3-pt shot from 22 ft
3:21.0,Defensive rebound by W. Johnson,,18-24,,
3:08.0,D. Jordan makes 2-pt shot from 2 ft (assist by J. Crawford),2,20-24,,
2:57.0,,,20-26,2,S. Adams makes 2-pt shot from 3 ft (assist by R. Westbrook)
2:36.0,A. Rivers makes 3-pt shot from 26 ft (assist by W. Johnson),3,23-26,,
2:29.0,Personal foul by A. Rivers,,23-26,,
2:29.0,,,23-27,1,R. Westbrook makes free throw 1 of 2
2:29.0,,,23-27,,E. Kanter enters the game for S. Adams
2:29.0,,,23-27,,A. Morrow enters the game for S. Ibaka
2:29.0,,,23-28,1,R. Westbrook makes free throw 2 of 2
2:23.0,J. Crawford makes 3-pt shot from 22 ft (assist by C. Paul),3,26-28,,
2:10.0,,,26-28,,Shooting foul by A. Rivers (drawn by R. Westbrook)
2:10.0,,,26-29,1,R. Westbrook makes free throw 1 of 2
