time,Toronto,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:45.0,,,0-0,,K. Irving misses 2-pt shot from 17 ft
12:00.0,Jump ball: B. Biyombo vs. T. Thompson (L. James gains possession),,,,Jump ball: B. Biyombo vs. T. Thompson (L. James gains possession)
11:45.0,,,0-0,,Offensive rebound by T. Thompson
11:36.0,,,0-2,2,K. Love makes 2-pt shot from 8 ft
11:18.0,L. Scola makes 3-pt shot from 25 ft (assist by D. DeRozan),3,3-2,,
10:48.0,,,3-2,,L. James misses 2-pt shot from 21 ft
10:48.0,,,3-2,,Offensive rebound by Team
10:48.0,Loose ball foul by K. Lowry,,3-2,,
10:36.0,,,3-4,2,K. Irving makes 2-pt shot from 17 ft
10:14.0,D. Carroll makes 2-pt shot from 9 ft (assist by L. Scola),2,5-4,,
9:56.0,,,5-4,,K. Irving misses 2-pt shot from 17 ft
9:56.0,Defensive rebound by B. Biyombo,,5-4,,
9:39.0,D. Carroll misses 3-pt shot from 25 ft,,5-4,,
9:39.0,,,5-4,,Defensive rebound by Team
9:25.0,,,5-4,,L. James misses 2-pt shot from 7 ft
9:24.0,,,5-4,,Offensive rebound by T. Thompson
9:20.0,,,5-6,2,T. Thompson makes 2-pt shot from 1 ft
9:08.0,B. Biyombo makes 2-pt shot from 19 ft (assist by K. Lowry),2,7-6,,
8:41.0,,,7-6,,L. James misses 3-pt shot from 25 ft
8:41.0,Defensive rebound by D. Carroll,,7-6,,
8:38.0,Turnover by D. Carroll (lost ball; steal by T. Thompson),,7-6,,
8:34.0,,,7-8,2,T. Thompson makes 2-pt shot at rim
8:16.0,Turnover by K. Lowry (lost ball; steal by K. Irving),,7-8,,
8:09.0,,,7-11,3,K. Love makes 3-pt shot from 26 ft (assist by K. Irving)
7:58.0,Toronto full timeout,,7-11,,
7:47.0,K. Lowry misses 3-pt shot from 25 ft,,7-11,,
7:46.0,,,7-11,,Defensive rebound by L. James
7:33.0,,,7-13,2,L. James makes 2-pt shot from 1 ft (assist by K. Love)
7:29.0,,,7-13,,Personal foul by L. James
7:18.0,D. DeRozan misses 2-pt shot from 12 ft,,7-13,,
