time,New Orleans,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. M. Gasol (M. Conley gains possession),,,,Jump ball: A. Davis vs. M. Gasol (M. Conley gains possession)
11:40.0,,,0-2,2,M. Conley makes 2-pt shot from 12 ft
11:19.0,O. Asik makes 2-pt shot at rim (assist by E. Gordon),2,2-2,,
10:56.0,,,2-2,,C. Lee misses 2-pt shot from 10 ft
10:55.0,Defensive rebound by A. Davis,,2-2,,
10:44.0,Turnover by E. Gordon (bad pass; steal by M. Gasol),,2-2,,
10:42.0,Violation by D. Cunningham (def goaltending),,2-2,,
10:42.0,,,2-4,2,T. Allen makes 2-pt shot from 1 ft (assist by M. Conley)
10:29.0,,,2-4,,Personal foul by M. Conley (drawn by N. Cole)
10:24.0,E. Gordon misses 3-pt shot from 24 ft,,2-4,,
10:24.0,,,2-4,,Defensive rebound by Z. Randolph
10:12.0,,,2-6,2,T. Allen makes 2-pt shot from 1 ft (assist by M. Gasol)
9:56.0,A. Davis misses 2-pt shot from 18 ft,,2-6,,
9:56.0,,,2-6,,Defensive rebound by M. Gasol
9:42.0,,,2-6,,Z. Randolph misses 2-pt shot from 1 ft (block by D. Cunningham)
9:39.0,,,2-6,,Offensive rebound by Z. Randolph
9:39.0,,,2-8,2,Z. Randolph makes 2-pt shot at rim
9:25.0,Turnover by E. Gordon (lost ball; steal by Z. Randolph),,2-8,,
9:16.0,,,2-10,2,Z. Randolph makes 2-pt shot from 14 ft (assist by M. Conley)
9:03.0,N. Cole makes 2-pt shot from 11 ft,2,4-10,,
8:51.0,,,4-12,2,M. Gasol makes 2-pt shot from 19 ft (assist by M. Conley)
8:38.0,Turnover by N. Cole (bad pass; steal by M. Gasol),,4-12,,
8:18.0,,,4-12,,M. Conley misses 2-pt shot from 22 ft
8:17.0,Defensive rebound by O. Asik,,4-12,,
8:04.0,Shooting foul by M. Gasol (drawn by A. Davis),,4-12,,
8:04.0,A. Davis makes free throw 1 of 2,1,5-12,,
8:04.0,A. Davis makes free throw 2 of 2,1,6-12,,
7:42.0,,,6-12,,Z. Randolph misses 2-pt shot from 19 ft
7:41.0,Defensive rebound by A. Davis,,6-12,,
7:31.0,D. Cunningham makes 2-pt shot at rim (assist by N. Cole),2,8-12,,
7:18.0,Personal foul by D. Cunningham (drawn by C. Lee),,8-12,,
7:18.0,,,8-12,,M. Chalmers enters the game for M. Conley
7:03.0,,,8-12,,C. Lee misses 3-pt shot from 24 ft
7:01.0,Defensive rebound by O. Asik,,8-12,,
6:51.0,A. Davis makes 2-pt shot from 12 ft (assist by N. Cole),2,10-12,,
6:32.0,,,10-12,,M. Gasol misses 2-pt shot from 12 ft
6:31.0,Defensive rebound by O. Asik,,10-12,,
6:22.0,,,10-12,,Def 3 sec tech foul by M. Gasol
6:22.0,A. Davis misses technical free throw,,10-12,,
6:22.0,Offensive rebound by Team,,10-12,,
6:15.0,Turnover by N. Cole (lost ball; steal by Z. Randolph),,10-12,,
6:10.0,,,10-14,2,C. Lee makes 2-pt shot from 15 ft (assist by T. Allen)
5:58.0,,,10-14,,Personal foul by Z. Randolph (drawn by A. Davis)
5:58.0,,,10-14,,Memphis full timeout
5:42.0,N. Cole misses 2-pt shot from 22 ft,,10-14,,
5:41.0,,,10-14,,Defensive rebound by T. Allen
5:22.0,,,10-14,,M. Gasol misses 2-pt shot from 4 ft
5:19.0,Defensive rebound by A. Davis,,10-14,,
5:06.0,Turnover by N. Cole (bad pass; steal by T. Allen),,10-14,,
4:51.0,,,10-14,,Turnover by T. Allen (bad pass; steal by N. Cole)
4:45.0,N. Cole makes 2-pt shot from 5 ft,2,12-14,,
4:22.0,,,12-16,2,M. Gasol makes 2-pt shot from 7 ft
3:59.0,Shooting foul by M. Gasol (drawn by E. Gordon),,12-16,,
3:59.0,E. Gordon makes free throw 1 of 2,1,13-16,,
3:59.0,,,13-16,,J. Green enters the game for M. Gasol
3:59.0,,,13-16,,M. Barnes enters the game for C. Lee
3:59.0,R. Anderson enters the game for O. Asik,,13-16,,
3:59.0,E. Gordon makes free throw 2 of 2,1,14-16,,
3:34.0,,,14-16,,J. Green misses 3-pt shot from 25 ft
3:34.0,,,14-16,,Offensive rebound by Team
3:34.0,,,14-16,,Turnover by Team (shot clock)
3:21.0,,,14-16,,Def 3 sec tech foul by M. Barnes
3:21.0,A. Davis makes technical free throw,1,15-16,,
3:16.0,Shooting foul by M. Barnes (drawn by A. Davis),,15-16,,
3:16.0,A. Davis makes free throw 1 of 2,1,16-16,,
3:16.0,J. Holiday enters the game for N. Cole,,16-16,,
3:16.0,A. Davis makes free throw 2 of 2,1,17-16,,
3:00.0,,,17-18,2,M. Barnes makes 2-pt shot from 4 ft (assist by M. Chalmers)
2:43.0,A. Davis makes 2-pt shot from 7 ft (assist by J. Holiday),2,19-18,,
2:31.0,New Orleans full timeout,,19-18,,
2:31.0,,,19-18,,V. Carter enters the game for T. Allen
