time,Philadelphia,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Len vs. N. Noel (E. Bledsoe gains possession),,,,Jump ball: A. Len vs. N. Noel (E. Bledsoe gains possession)
11:43.0,,,0-2,2,E. Bledsoe makes 2-pt shot from 11 ft (assist by J. Leuer)
11:23.0,N. Noel makes 2-pt shot at rim (assist by I. Smith),2,2-2,,
11:05.0,,,2-2,,A. Len misses 2-pt shot from 15 ft
11:03.0,Defensive rebound by N. Noel,,2-2,,
10:42.0,I. Smith misses 2-pt shot from 8 ft,,2-2,,
10:38.0,,,2-2,,Defensive rebound by B. Knight
10:24.0,,,2-2,,Turnover by J. Leuer (traveling)
10:12.0,I. Canaan makes 3-pt shot from 23 ft,3,5-2,,
9:59.0,,,5-4,2,B. Knight makes 2-pt shot at rim (assist by J. Leuer)
9:41.0,N. Noel makes 2-pt shot at rim (assist by I. Canaan),2,7-4,,
9:33.0,Violation by N. Noel (kicked ball),,7-4,,
9:31.0,Personal block foul by J. Grant (drawn by P. Tucker),,7-4,,
9:24.0,,,7-4,,A. Len misses 2-pt shot at rim
9:21.0,Defensive rebound by N. Noel,,7-4,,
9:18.0,Turnover by R. Covington (traveling),,7-4,,
9:07.0,,,7-4,,A. Len misses 2-pt shot from 4 ft
9:05.0,Defensive rebound by R. Covington,,7-4,,
8:52.0,,,7-4,,Personal foul by J. Leuer (drawn by J. Grant)
8:45.0,Turnover by J. Grant (traveling),,7-4,,
8:33.0,,,7-4,,B. Knight misses 3-pt shot from 25 ft
8:29.0,Defensive rebound by R. Covington,,7-4,,
8:25.0,R. Covington misses 2-pt shot from 4 ft,,7-4,,
8:22.0,,,7-4,,Defensive rebound by J. Leuer
8:14.0,,,7-4,,B. Knight misses 3-pt shot from 25 ft
8:10.0,Defensive rebound by R. Covington,,7-4,,
8:02.0,R. Covington misses 3-pt shot from 25 ft,,7-4,,
8:00.0,,,7-4,,Defensive rebound by J. Leuer
7:46.0,,,7-6,2,J. Leuer makes 2-pt shot from 13 ft (assist by P. Tucker)
7:35.0,N. Noel makes 2-pt shot from 16 ft (assist by I. Smith),2,9-6,,
7:27.0,,,9-6,,Offensive charge foul by E. Bledsoe
7:27.0,,,9-6,,Turnover by E. Bledsoe (offensive foul)
7:27.0,Philadelphia full timeout,,9-6,,
7:09.0,I. Smith misses 2-pt shot from 12 ft,,9-6,,
7:07.0,Offensive rebound by Team,,9-6,,
6:53.0,N. Noel misses 2-pt shot from 17 ft,,9-6,,
6:52.0,,,9-6,,Defensive rebound by E. Bledsoe
6:46.0,,,9-6,,J. Leuer misses 3-pt shot from 25 ft
6:41.0,Defensive rebound by N. Noel,,9-6,,
6:34.0,R. Covington misses 2-pt shot from 12 ft,,9-6,,
6:31.0,Offensive rebound by R. Covington,,9-6,,
6:17.0,I. Smith makes 2-pt shot from 4 ft,2,11-6,,
6:03.0,,,11-6,,E. Bledsoe misses 3-pt shot from 23 ft
6:01.0,Defensive rebound by J. Grant,,11-6,,
5:51.0,Turnover by R. Covington (lost ball; steal by P. Tucker),,11-6,,
