time,Cleveland,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. T. Mozgov (K. Love gains possession),,,,Jump ball: D. Dedmon vs. T. Mozgov (K. Love gains possession)
11:49.0,Turnover by K. Love (bad pass),,0-0,,
11:34.0,,,0-0,,E. Fournier misses 2-pt shot at rim
11:34.0,Defensive rebound by Team,,0-0,,
11:24.0,Turnover by K. Irving (lost ball; steal by V. Oladipo),,0-0,,
11:20.0,,,0-2,2,V. Oladipo makes 2-pt shot from 1 ft
11:00.0,L. James misses 3-pt shot from 25 ft,,0-2,,
11:00.0,Offensive rebound by T. Mozgov,,0-2,,
10:55.0,Turnover by T. Mozgov (lost ball; steal by E. Fournier),,0-2,,
10:49.0,,,0-4,2,E. Fournier makes 2-pt shot at rim
10:49.0,Cleveland full timeout,,0-4,,
10:32.0,T. Mozgov makes 2-pt shot at rim (assist by L. James),2,2-4,,
10:12.0,,,2-6,2,B. Jennings makes 2-pt shot from 14 ft
9:55.0,K. Irving misses 2-pt shot from 17 ft,,2-6,,
9:55.0,,,2-6,,Defensive rebound by V. Oladipo
9:47.0,,,2-6,,V. Oladipo misses 2-pt shot from 20 ft
9:47.0,Defensive rebound by K. Love,,2-6,,
9:41.0,L. James makes 2-pt shot from 1 ft (assist by K. Love),2,4-6,,
9:25.0,,,4-8,2,V. Oladipo makes 2-pt shot from 18 ft
9:06.0,K. Irving misses 3-pt shot from 25 ft,,4-8,,
9:05.0,,,4-8,,Defensive rebound by D. Dedmon
8:52.0,,,4-8,,B. Jennings misses 3-pt shot from 25 ft
8:52.0,Defensive rebound by L. James,,4-8,,
8:41.0,K. Love makes 2-pt shot from 19 ft (assist by K. Irving),2,6-8,,
8:29.0,,,6-8,,E. Fournier misses 2-pt shot from 1 ft
8:28.0,Defensive rebound by K. Love,,6-8,,
8:14.0,K. Irving makes 3-pt shot from 24 ft (assist by L. James),3,9-8,,
7:59.0,,,9-11,3,A. Gordon makes 3-pt shot from 24 ft (assist by V. Oladipo)
7:45.0,T. Mozgov misses 2-pt shot at rim (block by D. Dedmon),,9-11,,
7:44.0,,,9-11,,Defensive rebound by V. Oladipo
7:41.0,,,9-11,,Shooting foul by T. Mozgov (drawn by V. Oladipo)
7:41.0,,,9-12,1,V. Oladipo makes free throw 1 of 2
7:41.0,,,9-13,1,V. Oladipo makes free throw 2 of 2
7:26.0,J. Smith makes 2-pt shot from 22 ft,2,11-13,,
7:12.0,,,11-13,,V. Oladipo misses 2-pt shot from 10 ft
7:12.0,,,11-13,,Offensive rebound by V. Oladipo
7:08.0,,,11-13,,B. Jennings misses 2-pt shot from 7 ft
7:07.0,Defensive rebound by T. Mozgov,,11-13,,
6:57.0,K. Irving makes 2-pt shot from 1 ft,2,13-13,,
6:49.0,,,13-15,2,A. Gordon makes 2-pt shot at rim (assist by B. Jennings)
6:30.0,Offensive charge foul by L. James,,13-15,,
6:30.0,Turnover by L. James (offensive foul),,13-15,,
6:13.0,,,13-15,,E. Fournier misses 2-pt shot at rim (block by L. James)
6:13.0,Defensive rebound by K. Love,,13-15,,
5:56.0,Shooting foul by A. Gordon (drawn by T. Mozgov),,13-15,,
5:56.0,T. Mozgov misses free throw 1 of 2,,13-15,,
5:56.0,Offensive rebound by Team,,13-15,,
5:56.0,T. Mozgov makes free throw 2 of 2,1,14-15,,
5:45.0,,,14-15,,B. Jennings misses 2-pt shot from 17 ft
5:43.0,,,14-15,,Offensive rebound by A. Gordon
5:43.0,,,14-15,,A. Gordon misses 2-pt shot at rim
5:41.0,,,14-15,,Offensive rebound by A. Gordon
5:38.0,,,14-18,3,V. Oladipo makes 3-pt shot from 25 ft (assist by A. Gordon)
5:18.0,J. Smith misses 3-pt shot from 23 ft,,14-18,,
5:16.0,,,14-18,,Defensive rebound by E. Fournier
5:08.0,,,14-18,,Turnover by A. Gordon (step out of bounds)
4:51.0,K. Irving misses 2-pt shot from 1 ft,,14-18,,
4:50.0,Offensive rebound by T. Mozgov,,14-18,,
4:50.0,T. Mozgov makes 2-pt shot at rim,2,16-18,,
4:45.0,,,16-18,,Offensive foul by D. Dedmon
4:45.0,,,16-18,,Turnover by D. Dedmon (offensive foul)
4:29.0,K. Love misses 2-pt shot from 7 ft,,16-18,,
4:28.0,,,16-18,,Defensive rebound by A. Gordon
4:23.0,,,16-20,2,V. Oladipo makes 2-pt shot at rim (assist by A. Gordon)
4:04.0,K. Love misses 3-pt shot from 25 ft,,16-20,,
4:04.0,,,16-20,,Defensive rebound by Team
4:04.0,,,16-20,,Orlando full timeout
4:04.0,T. Thompson enters the game for K. Love,,16-20,,
4:04.0,C. Frye enters the game for T. Mozgov,,16-20,,
4:04.0,,,16-20,,J. Smith enters the game for D. Dedmon
3:46.0,,,16-22,2,V. Oladipo makes 2-pt shot from 2 ft (assist by J. Smith)
3:26.0,L. James misses 2-pt shot at rim,,16-22,,
3:25.0,Offensive rebound by L. James,,16-22,,
3:25.0,L. James misses 2-pt shot at rim,,16-22,,
3:24.0,,,16-22,,Defensive rebound by E. Fournier
3:19.0,,,16-22,,E. Fournier misses 2-pt shot from 1 ft
3:19.0,Defensive rebound by Team,,16-22,,
3:08.0,Shooting foul by J. Smith (drawn by L. James),,16-22,,
3:08.0,L. James makes free throw 1 of 2,1,17-22,,
3:08.0,,,17-22,,M. Hezonja enters the game for E. Fournier
3:08.0,,,17-22,,C. Watson enters the game for B. Jennings
3:08.0,I. Shumpert enters the game for J. Smith,,17-22,,
3:08.0,M. Dellavedova enters the game for K. Irving,,17-22,,
3:08.0,L. James makes free throw 2 of 2,1,18-22,,
2:51.0,,,18-22,,Turnover by J. Smith (lost ball; steal by T. Thompson)
2:49.0,,,18-22,,Personal foul by A. Gordon
2:49.0,,,18-22,,E. Ilyasova enters the game for A. Gordon
2:34.0,L. James misses 2-pt shot from 6 ft,,18-22,,
2:34.0,,,18-22,,Defensive rebound by V. Oladipo
2:24.0,,,18-22,,J. Smith misses 2-pt shot from 15 ft
2:23.0,Defensive rebound by M. Dellavedova,,18-22,,
2:09.0,I. Shumpert makes 3-pt shot from 24 ft (assist by L. James),3,21-22,,
1:56.0,,,21-22,,M. Hezonja misses 3-pt shot from 27 ft
1:56.0,Defensive rebound by M. Dellavedova,,21-22,,
1:50.0,Offensive charge foul by M. Dellavedova,,21-22,,
1:50.0,Turnover by M. Dellavedova (offensive foul),,21-22,,
1:40.0,,,21-24,2,J. Smith makes 2-pt shot from 19 ft (assist by C. Watson)
1:23.0,C. Frye makes 3-pt shot from 23 ft (assist by L. James),3,24-24,,
1:03.0,,,24-24,,C. Watson misses 2-pt shot from 9 ft
1:03.0,Defensive rebound by T. Thompson,,24-24,,
0:46.0,T. Thompson misses 2-pt shot from 5 ft,,24-24,,
0:46.0,,,24-24,,Defensive rebound by E. Ilyasova
0:37.0,,,24-27,3,V. Oladipo makes 3-pt shot from 22 ft (assist by E. Ilyasova)
0:19.0,C. Frye makes 3-pt shot from 26 ft (assist by L. James),3,27-27,,
