time,New York,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. R. Lopez (C. Paul gains possession),,,,Jump ball: D. Jordan vs. R. Lopez (C. Paul gains possession)
11:37.0,,,0-0,,J. Redick misses 2-pt shot from 21 ft
11:34.0,Defensive rebound by C. Anthony,,0-0,,
11:20.0,K. Porzingis misses 2-pt shot from 9 ft,,0-0,,
11:19.0,Offensive rebound by R. Lopez,,0-0,,
11:19.0,R. Lopez makes 2-pt shot at rim,2,2-0,,
11:00.0,,,2-0,,W. Johnson misses 2-pt shot from 21 ft
11:00.0,Defensive rebound by R. Lopez,,2-0,,
10:42.0,K. Porzingis misses 3-pt shot from 23 ft,,2-0,,
10:41.0,Offensive rebound by R. Lopez,,2-0,,
10:41.0,R. Lopez makes 2-pt shot at rim,2,4-0,,
10:23.0,,,4-0,,J. Redick misses 2-pt shot from 21 ft
10:23.0,Defensive rebound by J. Calderon,,4-0,,
10:15.0,J. Calderon misses 2-pt shot from 18 ft,,4-0,,
10:14.0,,,4-0,,Defensive rebound by W. Johnson
10:00.0,,,4-0,,W. Johnson misses 2-pt shot from 17 ft
9:59.0,Defensive rebound by C. Anthony,,4-0,,
9:43.0,Shooting foul by W. Johnson (drawn by K. Porzingis),,4-0,,
9:43.0,K. Porzingis makes free throw 1 of 2,1,5-0,,
9:43.0,K. Porzingis misses free throw 2 of 2,,5-0,,
9:39.0,,,5-0,,Defensive rebound by D. Jordan
9:31.0,,,5-0,,Shooting foul by S. Vujacic (drawn by J. Redick)
9:31.0,,,5-1,1,J. Redick makes free throw 1 of 2
9:31.0,,,5-2,1,J. Redick makes free throw 2 of 2
9:14.0,C. Anthony makes 3-pt shot from 24 ft (assist by J. Calderon),3,8-2,,
8:58.0,,,8-5,3,C. Paul makes 3-pt shot from 24 ft
8:42.0,C. Anthony makes 2-pt shot from 19 ft (assist by K. Porzingis),2,10-5,,
8:30.0,,,10-5,,W. Johnson misses 3-pt shot from 24 ft
8:29.0,,,10-5,,Offensive rebound by D. Jordan
8:13.0,,,10-7,2,C. Paul makes 2-pt shot from 1 ft
8:02.0,K. Porzingis misses 2-pt shot from 4 ft,,10-7,,
8:00.0,,,10-7,,Defensive rebound by D. Jordan
7:55.0,,,10-9,2,W. Johnson makes 2-pt shot at rim (assist by C. Paul)
7:37.0,J. Calderon makes 2-pt shot from 19 ft (assist by S. Vujacic),2,12-9,,
7:17.0,Personal foul by C. Anthony,,12-9,,
7:11.0,,,12-11,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
6:45.0,C. Anthony makes 2-pt shot at rim,2,14-11,,
6:28.0,,,14-13,2,C. Paul makes 2-pt shot from 1 ft
6:15.0,Shooting foul by W. Johnson (drawn by K. Porzingis),,14-13,,
6:15.0,K. Porzingis makes free throw 1 of 2,1,15-13,,
6:15.0,K. Porzingis makes free throw 2 of 2,1,16-13,,
6:05.0,,,16-13,,Turnover by J. Redick (lost ball; steal by C. Anthony)
5:51.0,R. Lopez misses 2-pt shot from 16 ft,,16-13,,
5:51.0,,,16-13,,Defensive rebound by W. Johnson
5:42.0,,,16-16,3,J. Green makes 3-pt shot from 23 ft (assist by C. Paul)
5:26.0,J. Calderon misses 3-pt shot from 24 ft,,16-16,,
