time,Washington,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Hilario vs. I. Mahinmi (J. Dudley gains possession),,,,Jump ball: N. Hilario vs. I. Mahinmi (J. Dudley gains possession)
11:43.0,Turnover by N. Hilario (bad pass; steal by M. Ellis),,0-0,,
11:42.0,,,0-0,,Turnover by P. George (dbl dribble)
11:31.0,Shooting foul by I. Mahinmi (drawn by K. Oubre),,0-0,,
11:31.0,K. Oubre misses free throw 1 of 2,,0-0,,
11:31.0,Offensive rebound by Team,,0-0,,
11:31.0,K. Oubre makes free throw 2 of 2,1,1-0,,
11:17.0,,,1-0,,Turnover by I. Mahinmi (lost ball; steal by J. Wall)
11:13.0,N. Hilario makes 2-pt shot from 1 ft (assist by J. Dudley),2,3-0,,
11:02.0,,,3-0,,Turnover by I. Mahinmi (bad pass; steal by K. Oubre)
10:55.0,G. Temple misses 3-pt shot from 24 ft,,3-0,,
10:53.0,Offensive rebound by K. Oubre,,3-0,,
10:46.0,N. Hilario misses 2-pt shot from 16 ft,,3-0,,
10:45.0,Offensive rebound by G. Temple,,3-0,,
10:33.0,N. Hilario misses 2-pt shot from 4 ft,,3-0,,
10:32.0,,,3-0,,Defensive rebound by P. George
10:25.0,,,3-0,,P. George misses 3-pt shot from 24 ft
10:25.0,Defensive rebound by J. Dudley,,3-0,,
10:13.0,J. Wall misses 2-pt shot from 18 ft,,3-0,,
10:12.0,,,3-0,,Defensive rebound by P. George
10:07.0,,,3-2,2,M. Ellis makes 2-pt shot from 2 ft (assist by P. George)
9:48.0,,,3-2,,Personal foul by C. Miles (drawn by J. Wall)
9:48.0,J. Wall misses free throw 1 of 2,,3-2,,
9:48.0,Offensive rebound by Team,,3-2,,
9:48.0,J. Wall makes free throw 2 of 2,1,4-2,,
9:35.0,,,4-2,,Turnover by G. Hill (lost ball)
9:21.0,K. Oubre misses 2-pt shot from 2 ft,,4-2,,
9:21.0,Offensive rebound by K. Oubre,,4-2,,
9:17.0,K. Oubre misses 2-pt shot from 2 ft (block by P. George),,4-2,,
9:16.0,,,4-2,,Defensive rebound by P. George
9:13.0,Personal foul by J. Dudley (drawn by P. George),,4-2,,
9:00.0,,,4-4,2,P. George makes 2-pt shot from 1 ft
8:41.0,J. Dudley makes 3-pt shot from 25 ft (assist by J. Wall),3,7-4,,
8:20.0,,,7-4,,I. Mahinmi misses 2-pt shot from 18 ft
8:18.0,Defensive rebound by J. Wall,,7-4,,
8:03.0,N. Hilario misses 2-pt shot from 1 ft,,7-4,,
8:03.0,Offensive rebound by J. Dudley,,7-4,,
7:53.0,N. Hilario makes 2-pt shot from 3 ft,2,9-4,,
7:44.0,Personal foul by N. Hilario (drawn by I. Mahinmi),,9-4,,
7:37.0,,,9-4,,I. Mahinmi misses 2-pt shot from 4 ft (block by G. Temple)
7:37.0,Defensive rebound by Team,,9-4,,
7:23.0,J. Wall makes 2-pt shot from 1 ft,2,11-4,,
7:16.0,,,11-4,,Turnover by P. George (lost ball)
7:07.0,,,11-4,,Personal foul by G. Hill (drawn by G. Temple)
6:52.0,K. Oubre misses 2-pt shot from 23 ft,,11-4,,
6:49.0,Offensive rebound by N. Hilario,,11-4,,
6:47.0,J. Wall misses 3-pt shot from 24 ft,,11-4,,
6:47.0,Offensive rebound by Team,,11-4,,
6:47.0,,,11-4,,Loose ball foul by G. Hill (drawn by K. Oubre)
6:47.0,,,11-4,,C. Budinger enters the game for G. Hill
6:30.0,G. Temple misses 2-pt shot from 1 ft,,11-4,,
6:28.0,,,11-4,,Defensive rebound by C. Budinger
6:24.0,,,11-4,,Shooting foul by K. Oubre (drawn by C. Budinger)
6:24.0,,,11-5,1,C. Budinger makes free throw 1 of 2
6:24.0,D. Gooden enters the game for N. Hilario,,11-5,,
6:24.0,,,11-5,,C. Budinger misses free throw 2 of 2
6:23.0,Defensive rebound by G. Temple,,11-5,,
6:09.0,J. Wall misses 2-pt shot from 16 ft,,11-5,,
6:09.0,,,11-5,,Defensive rebound by I. Mahinmi
5:59.0,,,11-7,2,C. Miles makes 2-pt shot from 20 ft
5:49.0,D. Gooden makes 2-pt shot from 14 ft (assist by G. Temple),2,13-7,,
5:48.0,,,13-7,,Indiana full timeout
5:48.0,B. Beal enters the game for J. Dudley,,13-7,,
5:36.0,,,13-7,,P. George misses 2-pt shot from 19 ft
5:35.0,Defensive rebound by D. Gooden,,13-7,,
5:16.0,G. Temple misses 2-pt shot from 2 ft (block by C. Miles),,13-7,,
5:15.0,,,13-7,,Defensive rebound by C. Budinger
5:10.0,,,13-7,,M. Ellis misses 2-pt shot from 13 ft
5:10.0,,,13-7,,Offensive rebound by P. George
5:09.0,,,13-9,2,P. George makes 2-pt shot from 1 ft
4:51.0,K. Oubre makes 3-pt shot from 23 ft (assist by J. Wall),3,16-9,,
4:41.0,,,16-9,,Turnover by I. Mahinmi (bad pass; steal by K. Oubre)
4:38.0,K. Oubre makes 2-pt shot from 1 ft,2,18-9,,
4:16.0,,,18-11,2,P. George makes 2-pt shot from 8 ft
4:12.0,Washington full timeout,,18-11,,
4:12.0,G. Neal enters the game for G. Temple,,18-11,,
4:12.0,,,18-11,,L. Allen enters the game for C. Miles
4:12.0,,,18-11,,M. Turner enters the game for I. Mahinmi
3:58.0,D. Gooden misses 2-pt shot from 5 ft,,18-11,,
3:57.0,,,18-11,,Defensive rebound by L. Allen
3:53.0,,,18-13,2,M. Ellis makes 2-pt shot from 1 ft
3:53.0,,,18-13,,Shooting foul by K. Oubre (drawn by M. Ellis)
3:53.0,J. Dudley enters the game for K. Oubre,,18-13,,
3:53.0,,,18-14,1,M. Ellis makes free throw 1 of 1
3:36.0,Turnover by B. Beal (traveling),,18-14,,
3:27.0,,,18-14,,Shooting foul by B. Beal (drawn by M. Turner)
3:27.0,,,18-15,1,M. Turner makes free throw 1 of 2
3:27.0,,,18-16,1,M. Turner makes free throw 2 of 2
3:13.0,Turnover by D. Gooden (lost ball; steal by P. George),,18-16,,
3:06.0,,,18-18,2,P. George makes 2-pt shot from 11 ft
2:53.0,B. Beal makes 2-pt shot from 2 ft (assist by J. Wall),2,20-18,,
2:37.0,,,20-18,,Turnover by C. Budinger (bad pass)
2:25.0,B. Beal misses 2-pt shot from 18 ft,,20-18,,
2:24.0,,,20-18,,Defensive rebound by C. Budinger
2:15.0,,,20-20,2,L. Allen makes 2-pt shot from 2 ft (assist by M. Ellis)
2:15.0,Shooting block foul by J. Dudley (drawn by L. Allen),,20-20,,
2:15.0,D. Blair enters the game for J. Dudley,,20-20,,
2:15.0,,,20-21,1,L. Allen makes free throw 1 of 1
1:55.0,G. Neal makes 2-pt shot from 9 ft,2,22-21,,
1:42.0,,,22-23,2,M. Turner makes 2-pt shot from 7 ft (assist by P. George)
1:30.0,J. Wall misses 2-pt shot from 3 ft,,22-23,,
1:28.0,Offensive rebound by J. Wall,,22-23,,
